ISBN13,rating,review
9791190980302,6,완결이 언제쯤..
9791190980203,10,아이가 출간 기다리는 책중 하나입니다
9791190980203,10,아람이귀여워
9791190980203,10,빠른배송....아이들이 용돈을 모아 구매하는 책이네요. 이번에도 예약 꾹꾹!!!!!
9791190980203,10,중학생아들 깜짝선물로 또 구입하네요사은품 학생증2개 잘 챙겨서 보내주세용~~알림 설정해놓으니  신간 나오는것 빨리 구매하니 좋네요
9791190980203,10,21번째 예약이네요벌써 딸들이 중학생이 되었네요...학생증 2개 주세욤 ㅋㅋ
9791190980203,10,좀비고등학교 21권 예약구매 ..고고싱
9791188380015,10,"이 책을 저도 사서 한번 읽어봤는데요, 주인공의 정체가 드러날 듯 말듯 한 아슬아슬한 전개가 정말 너무 재밌어요."
9791188380015,2,스솔 코믹스 사권이 재미있있어요 그거봐여
9791133463817,10,아이 선물용으로 구입했습니다. 올 컬러라 넘 예쁘다며 좋아합니다. 모르고 있던 포켓몬이 많다면서 하루종일 보고있어요.
9791133463817,10,이제 한글 깨치기시작한 아이인데 너무 좋아해요포켓몬 이름 읽으며 한글공부합니다^^
9791133463817,10,초등학교 유치원~저학년용으로 닌텐도 게임을 하지않고 애니만 좋아한다면 2만원이 넘는 알로라 도감보다 더 괜찮음.
9791188380763,10,아이가 애독자 입니다
9791188380572,10,동석이랑 제로 전투 스토리좀 빨리 끝내봐여.. 무슨 토끼좀비가 각성된 토끼좀비보다 빨라....차라리 각성되 광기좀비때처럼 토끼도오로라에 검은 마스크 씌워주던가..ㅠ(but 꿀잼)
9791188380572,10,와 나와서 너무 기뻐요. 기다리고 있었는데
9791188380572,10,조카가 기다리고 기다리는 책입니다. 기대가 됩니다.
9791188380572,10,첫째와 약속을 지키기 위해 늘 예약 문자 해놓고 문자가 오면 구매를 합니다 .좀비고를 몇년쪠 하고 코믹스를 1권부터 지금 15권까지 이번에 16권까지 앞으로 쭈욱 발전을 언제|까지 나올지 모르지만 .약속을 지키는 아빠..
9791188380572,10,또 구매 예약했어요.. 우리 딸이 너무 좋아하는 잡지입니다. 님들도 많이 구매하세요...
9791188380572,10,또 구매...예약을...
9791188380701,10,아이들이 용돈을 모아 사고 있습니다. 이건 꼭 봐야한다면서요~
9791188380701,10,딸아이들이 다음권 나오길 눈빠져라 기달려요^^ 요번도 예약판매구입했내요 완젼팬이예요
9791188380701,10,딸아이의 생일이랑 배송일짜랑 같아서 너무 좋아여 1편부터 매니아 입니다.딸아이는 1편부터 다시보기 여러번 너무 좋아여!! 대박 나세여!!
9791188380701,10,계속 구입하게 되네요이번엔 서비스 사은품이 없어서 아쉬워할것같아요몰래 구입해서 깜짝 선물로 줘야겠어요
9791188380701,10,예약 바로 구매했어요. 이번엔 사은품이 따로 없어서 아이가 섭섭해하긴 했지만 그래도 책 샀다고 너무 좋아하네요.
9791188380701,10,어린이날 다가오는데 좀비고 18권 나와서 좋네용
9791188380640,8,아이가 좋아합니다
9791188380640,10,너무 보고 싶었어여어ㅓ게다가 준범이 학생증까지 준다닛!
9791188380640,10,재미있을것 같다...
9791188380640,10,딸이 너무 좋아합니다. 17권 많이 기다렸어요... 빨리 배송 됐으면 좋겠네요 ^^
9791188380640,10,딸래미생일에 맞추어 나오겠네요^^ ㅎㅎ  이번에도 미리구매합니다~~ 빨리오길!!
9791188380640,10,따님 16편 사줬는데 17편 나왔다고 문자왔네요 언능 사야겠어욤
