ISBN13,rating,review
9791187512509,10,"긴 직장생활에도 금융투자는 늘 새롭고, 낯설기만 하다. 왜 일까? 다른 사람들의 성공투자만 지켜봐야 할까?내 아이들도 나같은 상황을 겪지 않을까? 라는 고민에서 책을 선택했습니다.<가족으로 좋은의도로 조언> 하는 것보다 <스스로 생각하고 쓰고 말하는> 과정이 있는 책이라 좋은 거 같습니다."
9788950993511,10,코로나로 멈춰버린 세계여행! 고고카카오프렌즈덕에 오스트리아 여행기 넘 재미났습니다!
9788950993511,10,역시나 이번편도 알차고 흥미롭네요^^
9788950993511,10,아이가 얼른 보고싶어하네요
9788950966980,10,요즘들어 부자가 되는것에 관심이 많은 12살 시작한 아들을 위해 구매한책인데 내가 먼저 후루룩~~읽어버렸다. 우선 흐름이 재미있다. 당장 주인공 키라의 성장 과정을 따라해보려고 한다. 누가?? 내가...ㅎㅎ 아들에게 완전 추천하고 난 현재 내가 바라는 10가지를 생각중이다. ㅎㅎ
9788950966980,10,12살 우리아이에게 선물 합니다~^^
9788950966980,10,도서관에서 빌려 읽었는데 너무 좋아서 소장하려고 구매했어요 아이가 읽고 스스로 돈에 대해 계획을 세우더라구요 열 마디 잔소리보다 한 권의 책이 더 낫네요
9788950966980,4,‘정말 꼭 필요한 것인가?‘ ‘해 보기 전까지는 미리 판단하지 않기!‘ ˝대부분의 어른들은 평생을 잘 하지도 못하고 잘 알지도 못하는 것에 집중하며 시간을 보내 버리지˝ ˝네가 얼마나 간절히 바라는지 깨닫는 게 훨씬 더 중요해. 그게 없으면 어려움이 닥쳤을 때 쉽게 포기하게 되거든.˝
9788950966980,8,5학년부터 용돈을 주고 기초적인 경제공부를 하기 위해서 선택한 책보도새퍼의 돈이라는 책을 읽고 아이의 눈높이에 맞춰 선택했지만아직 아이는 흥미가 없다...덕분에 나만 즐겁게 읽었네...ㅎㅎ
9788950966980,10,아이들을 위한 책인데 내가 재미있고 유익하게 잘 읽었다내년쯤엔 꼭 아이에게 읽히고 통장 나누기 황금거위키우기 성공하는 사람들의 마인드에 관해 이야기를.나누고 성공노트도 같이 써봐야겠다
9788950966980,8,기본기 다지기 경제서적
9788950966980,10,초등학교 2학년 조카에게 키라세트 선물해줬더니 엄청 좋아하네요...
9788950966980,10,"경제에 관한 자료를 찾고 있던 중에 선택한 서적으로서, 가족들과 함게 읽어도 특히 아이들에게도 많은 생각 할 거리를 제공하는 것 같아 좋았고요, 책 신청과 함께 원하는 일정에 제대로 도착하여서 즐거운 마음으로 책을 접했습니다. 수고하셨습니다."
9788950966980,10,기대됩니다.
9788950966980,10,키라라는 아이가 머니라는 개를 만나고 부터 부자가 되는 과정까지가 나옵니다. 경제지식을 쌓을 수 있는 좋은 책인 것 같아요. 열세살에 부자가 된 키라도 있답니다.^^
9788950966980,8,삽화는 개정전이 훨씬 좋네요... 시중에 많은 만화책 같은 느낌에 이상하게 상업적인 것 처럼 보이네요...ㅠ 물론 책 내용은 여전히 좋습니다
9788950966980,8,성공노트에 대한 부분이 좋았다..아이눈높이에 맞춘 자기개발서...부자가 핵심이 아니라내가 하는일에 자발적이고 능동적이길~~
9788950966980,10,"어린이를 위한 경제동화이긴 합니다만, 이야기형식이서 좋은 점도 있고 어른들도 좋은 것 같습니다."
9788950966980,10,조카 선물주려고 샀어요 . 어린이 경제 도서 1위라고 하니 도움될듯 싶네요 ㅎㅎ
9788950966980,8,지극히 현실적인 세상에 눈뜨고 실천해 나가는 키라의 이야기. 마냥 동화같은 세상은 없다라는 조금은 잔혹한(?!) 동화가 아닐런지~
9791196893187,8,"tvn 방송에서 근대사 나오길래 기대 만 걱정 반 조마 조마 했었는데 역시나 일본의 만행과 그 만행을 덮어준 미국, 맥아더의 이기적 행동들을 언급하니 여지 없이 바로 탈탈 털리네. ‘메세지를 반박하지 못하겠으면 메신저를 공격해라‘ 같은 잣대면 당시 연세대 논문과 학위들 모두 문제 아닌가?"
9791196893187,8,"역사에 관심을 갖게 하고 역사공부에 재미를 붙여주셨는데, 최근 긍정적인 면이 완전 파뭍히는 것 같아 씁쓸하네요.  바로 인정하시고 숙고의 시간을 갖는다 하니, 그것 또한 선생님의 용기라 생각하고 응원 드립니다."
9791196893187,2,이런거 제목 검색창에 보이게하지마라. 알라딘 실망이다.
9791196893187,2,"이 와중에 출판이 되다니, 출판사도 슬프겠다."
9791196893187,2,상황 이쯤되면 출판사나 인터넷서점이나모두 고민 좀 해봐야 하지 않나요?방송출연은 안해도 책만 팔아먹으면 된다?
9791196893187,2,석사 학위 실망입니다
9791196893187,10,아이들이 기다리던 7권이 나왔네요!
9791196893187,4,"원래 전문가들은 자신이 부족하다고 여겨 더욱 겸손하고, 어설프게 아는 사람들은 자신이 남보다 많이 안다고 생각하는 경향이 있죠. 더닝-크루거 효과라고 하는 것 같던데요. 안타깝지만 저자 소개에 석사 약력도 삭제해야 맞겠습니다."
9791196893187,10,6권 미국편 아이와 함께 재미있게 잘 봤네요.7권도 기대되요.
9791196893187,10,내용이 정말 알차네요~~ 아메리카 원주민에 대해 알게 되어서 너무 좋네요~
9791196893187,2,역사를 잘 아시지도 못하는 분이...
9791196893187,2,전문가의 책을 봐야지. 비전문가가 어설픈 역사를 논하는 것은 이제 그만둬야 된다.
9791196893187,10,기대되요!!!!!!!!!!!!
9788937886966,10,매우만족합니다. 초등 5학년 딸이랑 같이 읽고 이야기해 볼 예정이예요
9788937886966,8,"청소년을 위한 요약판, 술술 읽히긴 하지만 시험대비용 요점정리를 읽은 기분이 든다."
9788937886966,10,정의란 무엇인가?라는 책을 10대 초반의 학생이 읽기에는 힘든 것이 사실이다. 이 책을 읽기 전에 기초체력을 기르기 위해서 이책을 읽는 것이 좋을 듯하다. 그래서 이 책을 조카에게 선물하였다. 이 책을 읽고 나중에 ｀정의란 무엇인가?｀라는 책을 읽기를 바란다.
9788937886966,10,매우 만족
