ISBN13,rating,review
9788936458669,10,중학교 작품을 한번 보니 재밌었다
8809565330063,8,찾아보니 중급은 아직 판매가 안되나보네요~초3이 하기엔 많이 쉬워요^^;그래도 아이 시간 떼우기엔 쉬워서 잘 합니다..
9791165214272,8,"서술형과 수행평가를 위해서뿐아니라 본인이 쓴 글자,숫자도 잘못읽는 아들을 위해 준비했습니다. 연필잡는법, 힘을주어쓰는법, 책상에 앉는 방법을 시작으로 직선.곡선.사선등을 연습하면서 이미지화해서 글씨 연습을 시작합니다. 한권을 마무리할때는 악필에서 벗어날수있을러같습니다"
9791165214272,10,"초등 저학년, 미취학 자녀 두 명의 손글씨를 지도하는데 되움되는 정보가 많았습니다. 연필잡는법, 모음에 따라 글자 모양을 생각하며 매일 조금씩 지도해 주고 있습니다. 왼손으로 글씨는 쓰는 아이와 오른손으로 선 긋기도 하면서 꾸준히 지도하려고 합니다. 교정할 수 있다는 희망이 있네요"
9791165210687,10,"처음글을배우는아이도,이미악필인 아이도악필에고심하는성인에게도,도움이 될 구성력을 지닌도서입니다."
9791190776370,10,"등교하는 날이 며칠 되지 않아 한글을 제대로 익히지 못한 것 같아 좀 걱정이 되었던 차에 현직 초등선생님께서 내신 받아쓰기 책을 보고 구입해서 아이와 함께 해보았답니다. 하루에 한장, 두장씩 할 때도 있어서 한달만에 다 풀었어요. 띄어쓰기에 신경써서 할 수 있게끔 만들어져있어서 좋았어요."
9791164062416,10,초등3학년인 아들에게 한국사공부를 시켜주기 딱인 책입니다^^간단하고 쉽고 재미있는 키워드학습이 가능하고 컬러풀해서 한눈에 들어오는 점이 가장 마음에 들어요^^ 자연스럽게 글쓰기를 유도하는 논술책이기도 해요^^ 정말강추합니다!!!!!!!
9791158681487,10,"이 책 시리즈로 아이가 속담 책을 가지고 있는데 캐릭터 들도 너무 좋아하고, 책도 재미있게 몇번을 읽길래 구매해 줬더니 역시나 좋아하네요. 캐릭터들이 대화하는 형식으로 이야기가 쓰여 있어서 아이들이 쉽게 이해할 수 있는거 같아요."
9791191308396,10,배송 빠르네요.내용이 너무 좋아서 유치원 친구 엄마들 졸업선물로 추가로 주문했어요
9788927747611,10,"교과서 속 개념이 보이는 ˝초등전과목 어휘력 사전˝국어, 수학, 사회, 과학, 예체능 필수 어휘 1200초등과학 연계도서라고 하니 초등학생들이 읽으면 도움이 되겠지요?^^ 학년이 올라갈수록 배워야 할 내용은 많은데 이책 읽고 도움이 되겠어요!"
9791157528523,10,이렇게 좋은 책을 왜 이제야 알게된건지 너~무 좋습니다 아이와 그날의 질문을 작성후에도 같은내용으로 하루종일 이야기하고 점점 이야기가 업그레이드 되네요아들이 너무 재미있다고 합니다
9788954753999,10,읽기편하고 이해하기 쉽게 잘되어있습니다.지루하지가않네요
9788936459703,10,안그래도 국어교과서가 바뀐다고 해서 걱정이 많았는데 ‘국어 교과서 작품 읽기‘시리즈와 함께라면 제대로 대비할 수 있을 것 같아 든든합니다
9788960660281,10,올해도 아이들이 즐거워하면서 잘했어요
9788960660281,10,집근처서점에 없어 주문하니  더빨리 오고  할인도되고
9788960660281,10,"개정전이 좀 더 풍성한 느낌이라 좋았는데....
개정판은 가격이 비싼게 흠이에"
9788960660281,10,"책 잘받았습니다..3학년 울아이에게 필요한 책이네요..
담기회에 또 ~~^^"
9788960660267,10,가장 기초적인 것부터 글쓰기 연습을 시키기에 좋은 교재인 것 같습니다.
9788960660267,8,기본에 충실한 책인 것같아요.
9788960660267,8,글쓰기의 첫걸음으로 좋은 교재인거 같아요..^^
9791163460961,10,"괜찮다고 추천받았던 책이었어요.역시 재미있네요.매일꾸준히 다양한주제로 생각을 써볼 수 있어 재미있습니다.코로나로 인해 꾸준히 등교도 못해서 아쉬웠는데,집에서 할 수 있는 재미있는 글쓰기 책인것 같아요!ㅎ"
9791163460961,10,"학교에서 글쓰기 교육을 하다보면 항상 듣는 말이 있습니다. ‘선생님 일기에 쓸 게 없어요..‘, ‘글쓰기가 재미없어요...‘ 그런 아이들에게 글쓰기는 쉽고 재미있는 것이라는 걸 알려주기 딱 좋은 교재인 것 같습니다. 학생들에게 매일 글쓰기 시간이 기다려지는 신기한 경험을 시켜주고 싶네요^^"
9791163460961,10,누가 언제부터 시작했는지는 모르겠지만 하루 두줄쓰기 등등 일기를 부담스러워하는 아이들에게 했던 글쓰기 지도 방법입니다. 그것만으로는 부족하다싶었던 차에 네이버밴드에서 뵙던 달리샘의 글쓰기가 책으로 출판되어 너무 기쁩니다.책으로 나왔으니 곁에 두고 주 1회 이상 꼭 해봐야겠습니다^^
9791163460961,10,"다양한 글쓰기 주제들이 생각을 해야만 글을 쓸 수 있는 질문들이라서 정말 좋은 것 같아요^^ 요즘 학생들이 능동적으로 사고하려고 하지 않으니 이 책으로 글쓰기를 하게 하면 학생들이 생각하는 좋은 습관을 가질 수 있겠어요! 창의력, 사고력, 글쓰기 능력을 같이 길러줄 수 있다니 기대됩니다!"
9788960660274,8,오랫동안 글쓰기 기초 교재로 쓰는 책이에요. 근데 이제 다시 개정이 필요래요. 독해역비타민은 금세 새거가 나왔는데 얼른좀 개정판 나왔으면 하네요.
9788960660274,6,좋아요. 조금씩 하려구요
9788960660274,10,글쓰기 교재에 참 좋아요
9788960660274,8,새로운 개정판..글쓰기에 대한 학습 내용이 알차게 들었네요.
9788960660298,8,글쓰기 교재로 계속 쓰고 있어요. 기본에 충실하고 큰 부담없이 공부할 수 있어 좋아요.
9791157686292,8,문장시작시 한칸 띄우고다음행에 자동으로 한칸씩 띄어진게있단거에요.˝있지만˝을 ˝있지 만˝˝같이˝를 ˝같 이‘이런식이란겁니다˝궁궐로˝는 행이 바뀌는데도 ˝궁궐로˝로 되어있고요.사진첨부가 안되어서 글로 설명합니다
9791188483235,10,아이의 학습 증진과 자신감을 불어 넣기 위해서라도 악필 교정은 필요하다고 생각합니다. 점점 시간이 갈수록아이들이 손으로 글씨 쓰는 것이 어색하게 느껴지네요 손글씨 연습장으로 조금씩 연습해서 이 책을끝낼 즈음이면 예쁜 손글씨를 보게 되지 않을까요
9791188483235,10,"초등학교생들에게 필수 도서 같네요. 요즘 아이들은 휴대폰 사용이 급증하면서 읽기는 잘해도 악필인 경우가 너무 많아요, 이책은 사자성어, 속담, 편지, 우리말 동시등 많은 것들도 배울수 있네요. 모든 아이들이 어릴때 꼭 바른글씨를 몸에 익혀야 할 것 같아요~ 강력 추천!"
9788965463825,10,낱말 공부도 되고 놀이도 되고 좋아요~ 레벨 넘어갈 때마다 있는 학습 재미 더하기도 재미있어요. 구성이 게임 형식이라 아이들이 부담없이 친숙하게 풀 수 있는 것 같아요.
9788965463825,10,국어 공부도 되고 놀이도 되고 어휘력 향상에도 도움이 될 것 같습니다. 부담 없이 아이들과 함께 할 수 있어서 더 좋아요. 책도 넓어서 맘에 듭니다.
9788937811883,10,"초등학교 큰 아들 위해 구입했어요. 서점에서 미리 내용을 봤는데 유익하더라구요~ 글쓰기는 나중 논술을 위해서, 스토리텔링 위해서도 중요한데..  길잡이가 되어주는 책 잘 선택한것같아요♡  집에서 아이와 재밌게 연습하고 있어요"
9788937811883,10,"평소 책읽기를 좋아하는 딸에게 독서 감상문쓰기의 기초 개념을 잡아주는데 도움을 주고자 선택한 책이다. 쉽게 개념을 이해할 수 있도록 예시가 잘 나와있고, 간단한 문제를 풀어보면서 개념을 정리한 후 직접 예시대로 따라서 독서감상문을 써보는 실전활동을 할 수 있어 좋은 것 같다."
9788937811883,10,참 고민되는 독서감상문 쓰기. 어른도 쉽지 않은 게 글쓰기인데.. 초등 아이들에게 자신있게 쓸 수 있게 도움이 되는 길라잡이 책!
9788937811883,10,독서감상문 쓰는 것을 아이들이 힘들어 하는데 큰 도움이 될 것 같습니다.
9788937811883,10,스스로 계획하고 쓰게 만들어 주는 워크북이라고 해서 조카에게 선물해주고 싶습니다.
9788937811883,10,"책읽기는 좋아하는데, 독후감 쓰는것은 부담스러워하는 아이와 함께 읽으면 좋은 책이예요. 아이에게 단순히 책을 읽고 글을 쓰라고 말할것이 아니라, 어떻게 써야하는지 알려주고 부모도 함께 독후감을 써야 아이도 잘 따라하는것 같습니다."
9788937811883,10,"책읽는 것도 어떤 때에는 힘들어하는데, 독서감상문 쓰라고 하니 너무 싫어하네요. 그래도 자기 감정이나 느낌을 잘 정리하는게 가장 중요하다고 생각해서 구입합니다."
9788937811883,8,학교숙제 하는거 너무 힘들어해서 구입해봤어요 아직 힘들어하지만 점점 나아질거라 믿고 일주일에 한번씩만 하고있네요
9788960660304,10,"하루에 조금씩, 부담없이, 스스로 글쓰기 훈련을 할 수 있는 책."
9791197156236,10,하루3줄초등글쓰기내용이좋네요~~
9788935654444,10,중학교에서 국어를 가르치는 교사인 제가 친구의 추천으로 구매하게 되었습니다. 초등 2학년 딸아이를 위한 체계적인 논술을 엄마의 힘으로 해 보려합니다. 내용이 어렵지 않으면서 사고를 확장하는 형태로 되어 있어 누구든 그 첫발을 쉽게 내디딜 수 있을 듯하네요. 열심히 해 봅시다.
9788935654444,8,"이 책에서 말하고자 하는 내용은 한마디로 관찰의 중요성입니다. 이를 책 전체에 여러 분야의 이야기와 문제를 통해 강조하고 있습니다. 자기 의견, 생각을 위한 관찰의 중요성은 아무리 강조해도 지나치지 않습니다."
9788935654444,10,긴가민가 하고 구매했는데 좋습니다. 아이들의 사고를 확장시켜주는거 같네요. 논술과외에서도 비슷한 책을 가지고 수업하는거 같더라구요. 잘산거 같아요. 열씨미 시켜볼라구요 ㅎㅎ
9788935654444,10,"올해 초등학교에 입학하는데 국어에 흥미를 가지게되어,주위의 추천으로 구입했는데 정말 좋은 교재입니다.엄마나 아빠가 도움을 줘야겠네요."
9788935654444,10,꼭 필요한 책이라고 생각됩니다. 큰아이때는 몰랐는데 진작 알았다면 좋았을텐데....
9788935654444,8,단순히 글을 잘쓰는 논술이 아니라 논리적 사고에 의한 구조적 글쓰기를 단계적으로 엄마표로 가르치기 손쉬운 책입니다. 강추합니다
9788935654444,10,처음에 이 책이 논술에 도움이 되나? 라는 생각을 하였는데 나름 논리적사고를 위해서 필요한 책이라는 생각이 드네요. 좀 어렵기는 하지만 끝까지 쭉~하게되면 도움이 될 것 같아요^^
