ISBN13,rating,review
9788950993153,10,애들이 보는 것인데도 퀄리티가 이렇다니~^^한자 공부와 재미를 한꺼번에 챙기는 아주 좋은 책입니다~~ 누가 만든건지 모르겠는데 정말 잘 만들으셨네요 ㅎㅎ 아이들의 한자 실력이 날이 갈수록 늘고 있어요! 정말 감사합니다~^^ 다음 권도 기대할게요~~
9788950993153,10,아이들이 좋아하는 마법천자문 책이에요~~
9788950993153,10,Good
9788950993153,10,너무 재밌어요 아이들에게 추천해주고 싶네요 ㅎㅎ 우리 아이가 좋아 할 것 같아요^^
9788950993153,10,애들이 손꼽아 기다리던 책이 왔네요.
9788950993153,10,후반 막판에 반전이 있을 줄이야..! 49권부터 퀄리티와 스토리가 더욱 탄탄해져서 좋네요.
9788934988915,6,"요시타케 신스케 책인데 별 세 개라니...?-장식 바탕 마음에 안 들어서 하나 빼고,-읽을수록 어쩐지 더 힘이 빠져서 또 하나 빼고,-전체적으로 분위기가 너무 맥없어서 하나 더 빼고,-다음 책을 기대하며 하나 다시 넣고..힝."
9791161659688,6,파닉스 교재 기본구성에 있는 큐알코드 동영상강의가 안됩니다. 저는 오픈마켓에서 샀지만 여기도 역시나 그거에 대한 공지는 없네요. 없어도 할수는있지만 기본적인 구성조차 다 사용할 수 없으니..  다들 알고 구매하셔요
9791160805550,10,"12살이 되면서 감정이 들쑥 날쑥하는  딸아이에게 도움이 될까하여 구매했습니다. 주말동안 읽으면서 딸 아이보다 제 자신의 여러가지 감정들을 정리하고 대처하는 방법을 알았고, 딸아이를 어떻게 도와야 하는지도 많이 배웠습니다. 참 좋은 책입니다. 여러가지 감정을 잘 정의해 준 점이 맘에 듭니다"
9788950983116,10,6권 사달라고 하는데..이제 나올때가 된듯..기다립니다^^
9788950983116,10,오! 아이가 제일 좋아하는 책! 저까지 기대됩니다 예약구매합니다
9788949190020,8,이토록 깊이 있는 아동문학을 본 적 있었던가! 미하엘 엔데는 동화작가로 불러선 안 된다.
9788949190020,10,이 책은 시간의 소중함을 알수있는 책이다 책속에서 모모가 시간을 낭비하는 게 아니다 라는 문구를보고 시간을 낭비하지말고 계획을세워서 시간을 잘활용해야겠다는 생각이들었다.
9788949190020,10,제자에게 좋은 선물이 되었어요.
9788949190020,10,모모가 시간을 잃어버린 사람들에게 시간을 되찾아준지 50년이 지났다. 그러나 지금 몇몇을 제외한 대부분의 사람들은 다시 시간을 잃어버린 체 힘겹게 살아가고 있다. 다시 모모가 필요한 때다. 모두 모모를 찾아 나서자.
9788949190020,10,어렸을 때 우연히 읽고 독서를 시작하게 되었던 책. 그때 읽었던 책의 여운이 몇 년이 지난 지금도 여전히 가시질 않는다. 마지막 장을 읽으며 느꼈던 박진감이란... 명작이란 이런 책을 말하는 것이다.
9788949190020,10,30대인 지금이랑 어린 시절 읽었을 때랑 느낌이 또 다르더라구요. 회색신사에 쫒겨 사는건 아닌지 가끔식 책을 꺼내 읽어봐여겠다는 마음이 들었어요 ㅎ
9788949190020,10,명작. 어릴 때 읽고 나이 들어서 읽으니 또 다른 느낌.
9788949190020,8,시간의 소중함을 알수있었습니다.
9788949190020,8,"많은 사람들이 노란 표지로 기억하는 동화, <모모>.두께로 봤을 때 청소년이나 어른을 위한 동화인 줄 알았는데책 뒷 면에 ˝초등학교 5학년부터˝라고 적혀있다.^^순수하고 귀여운 동화였다.<모모>는 1970년에 나왔다고 한다."
9788949190020,10,마음 속 깊은 곳을 찔렸어. 모모 사랑해♡
9788949190020,8,2019년 여섯번째 책. 명작이라는데 잘 모르겠어요. 지금은 시간에 대해서 너무 많은 의미들을 알아버려서인지 모르겠지만 책이 처음나왔을 때나 비슷한 내용을 처음 접한다면 좋은 이야기일 수도 있겠네요. 실천할 수 없는 자기계발 서적같습니다.
9788949190020,10,말이 어린이도서지 어른이되서 읽어보면 삶의 견해를 좀더 넓힐수있지 않을까 싶은책이다.시간대비 더효율적으로! 더 빨리! 더많이!를 바라게 만드는 세상에서 좀더 주변에 관신을 가지고 내주변을 가꿀수있는 생각을 꿈꾸게 만들어주는 좋은책!
9788949190020,10,시간과 죽음에 대하여 생각해 볼 수 있는 책.어릴적 읽었던 것 보다 어른되서 읽는 다가옴이 더 크다.
9788949190020,10,시간에 대해 다시 생각해보는 책
9788949190020,10,성서보다 위대한 책.장담할 수 있다
