ISBN13,rating,review
9788936443160,10,아이가 너무나 좋아해요 저녁마다 함께 읽으며 와니니 무리의 모험에 대하여 이야기 합니다2권 출간하게 된 이야기 듣고 혹시 3권도? 했는데 작가님이 3권을 쓰고 계시다는 소식에 뛸듯이 반가웠지요 알림 해 두고 알림 뜨자마자 구입했어요4권도 나오면 좋겠어요~
9788936442804,10,대한민국을 대표할 동화 시리즈의 시작
9788936442804,10,베스트셀러에 있어서 구매했어요. 아이들에게 조금씩 읽어주고 있습니다. 와니니의 성장 이야기가 기대되네요
9788936442804,10,아이가 매일 조금씩 읽다가 끝까지 다 읽은 첫번째 장편동화책이에요.  아이가 정말 잘 읽었어요! 이번에는 2번째 이야기도 기대해보겠습니다!
9788936442804,10,‘바람이 불어오자 마른 풀잎들이 우수수 소리를 내며 일제히 돌아누웠다. 풀숲의 그림자들이 조심스럽게 몸을 일으켰다.’ 위 글은 동화내용의 서두로서. 사자가 사냥의 가장 기본으로 바람을 마주한 채 풀숲에 숨어서 사냥을 시작하는 방법이다. 공격조가 사냥감을 몰아서 쫓으면 뒤쳐진 사냥감을 매복조가 기습하는 암사자의 사냥법이다.
9788936442804,10,"세상에 쓸모 없는 것은 아무 것도 없다. 와니니는 와니니답게, 흰개미는 흰개미답게, 코끼리는 코끼리답게 모두 그렇게 살아간다. 어른들도 아이와 함께 읽으면 좋을 감동적인 동화."
9788936442804,10,버림받은 와니니의 성장기가 가슴을 울린다. 아픔을 겪은 친구들과 함께 서로 도우며 살아가는 모습이 아름답다.
9788936442804,10,아이들 학교수업에 사용하는 교재로 샀어요~그만큼 좋은 책이겠죠~^^
9788936442804,6,라이온킹이 떠오르네요. 재미있습니다~
9788936442804,10,아껴두었다. 온작품읽기 연수 추천작 중 가장 기대작이었기에.. 과연! 한달음에 후루룩 읽게 됐다. 내일부터 아이들에게 제목과 표지를 숨긴채 감질나게 읽어줄 참이다. 우히히히히~ 신난다! 아이들이 나보다 와니니 무리를 더 사랑하게 되길~~
9788954677158,10,이 이야기를 애니메이션으로 만든다면 단언컨대최고의 영화가 탄생할 것이다.
9788954677158,10,펑펑 울었습니다아이들 읽어주다가 목이 메이고울음을 멈출 수가 없었습니다지나간 긴긴밤들이 떠오르는 밤입니다
9788954677158,10,짧지만 몇 날 며칠 읽어온 책보다 더 좋았어요 이 책을 산다면 엽서도 꼭 같이 구매하시길 바라요
9788954677158,10,딸 아이에게 주려고 다른책과 함께 주문해서 읽었는데.. 아이는 잠들고 혼자 끝까지 읽다가 눈물을 흘렸어요. 마지막 한장의 일러스트까지 가슴시리게 아름다운 책입니다.어른들에게도 추천하고 싶은 책이예요.
9788954677158,10,책 도착하자마자 무릎에 애를 앉히고 읽어주다가 마지막쯤에는 제가 울어버렸네요 애는 아직 어려서 잘 이해를 못하고 저만 펑펑 울고...고든과 치쿠 그리고 어린펭귄 오랫동안 잊지못할 그들의 여정이 너무 아름답고도 아팠습니
9788954677158,10,삶에 대한 이야기 잘만들어서 너무 좋다 어린이문학에만 있기에는 너무 아쉬운 작품
9788954677158,10,"옛 시절 당연하게 읽었던 우화 중 하나로 여기고 읽어나간 것을, 책을 덮을 때까지 내내 돌아보았다. 사람이고 동물이고 간에 생명을 가진 한 존재의 인생에 대해 고찰할 수 있었고, 그런 존재들이 만들어나가는 관계의 힘에 대해서도 생각해볼 수 있었다. 어른이 읽어도 무방한, 아니 어른을 위한 책."
9788954677158,10,정말 아름답고 슬픈이야기에요. 주변사람들 모두에게 소개해주고싶은 책입니다. 소중하게 간직할거에요.
9788954677158,10,삽화가 아름다워요. 삽화만큼 내용도 감동적이에요. 아이들이 작가님께 엽서보냈는데 답장 받길 기도하고 있어요.
9788954677158,10,오랜만에 이런 감동적인 동화책을 만난다. 아이들에게 섣불리 가르치려 들지않고 그저 담담한 스토리로 가슴을 울리는 책. 루리 작가님 앞으로의 행보가 기대됩니다.
9788954677158,10,기대됩니다!
9788954677158,8,마음이 또 찡~울림이 올것같은 슬프게도 아름다운 내용일거같네요
9788954677158,10,기대되요!
9788954677158,8,기대되요
9788954677158,10,어떤 느낌인지 아니까 더 슬프다. 근간에 읽었던 책중 가장 아름답고 슬펐던 인생이야기♡
9788936443054,8,책이랑 담쌓는 중인 봉봉이가 재밌다며 추천해준 책. 사자로 태어난 것이 아니라 사자가 되어가는 여정.
9788936443054,10,"이 책은 암사자 와니니의 성장 과정을 다룬 책입니다와니니는 암사자지만 사자 무리를 이끌어 가는 과정이 너무나도 흥미진진해서 이 책이 끝나기 전 까진 책을 손에서 놓을 수가 없었습니다와니니의 리더쉽이 궁금하거나, 리더쉽이 무엇인지 궁금한 친구들에게 읽어 보길 권합니다"
9788936443054,10,1권을 읽으면서 2권을 기다린 책!!푸른 사자 와니니~초원의 누구나 자신의 털만큼 무수한 이야기를 가진 법이다.그 무수한 이야기가 가슴을 뭉클하게 감동하게 하는 이야기!! 한편의 상장드라마를 보는 듯한 아이들에게 꼭 추천하고 싶은이야기!!!
9788936443054,10,기대하던 푸른사자 와니니2가나와서 너무반가웠고 기대되었다. 기대만큼 너무새로웠고 여러갈등과 에피소드 있었지만 해피엔딩이어서 너무다행이었어요
9788936443054,10,푸른사자와니니2  기다리고기다렸습니다. 지금 도착 첫문장부터 흥미진진합니다. 나는이 아니라 우리라서 더욱 뜨겁습니다.와니니 다 읽기전에 먼저 사랑을 보냅니다
9788997592661,2,싸다고 덥썩 집어들지 마시길 ...
9788936442507,8,"소년의 가정사에 가슴이 먹먹했고, 페달을 밟으며 세상으로 나아감에 나도 함께 설레었으며, 또다른 도전에 새로운 희망을 갖게 되었다."
9788936442507,10,나도 자전거여행 가고 싶다.뒷이야기가 궁금해 단숨에~어른이 읽어도 재밌고!부모들이 읽으면 좋을 것 같다.
9788936442507,10,큰 아이와 온책읽기 도전^^녀석과 나눌 수 있는 얘기가 있어 좋았음.문장과 내용이 어렵지않아 즐겁게 온책읽기 가능했음.어렵지않으나 결코 가볍지 않음.-내 아이가 어른이 되어 가족이라는 단어를 떠올릴때 가슴이 따뜻해질 수 있도록 뿌리가 튼튼한 부모의 자리를 잘 지켜주어야지...
9788936442507,8,마지막 페이지를 넘기며 나도 당장 자전거 여행을 떠나고 싶어졌다. 오늘도 아픔과 고민을 안고 힘들어할 수많은 ‘호진이들’을 응원한다.
9788936442507,8,"이 책 읽으면서 자전거 여행을 하고 싶다는 생각이 들었다. 많이. 호진이가 가족 구성원으로서 제 역할을 하는 것, 좋은 결말이라는 생각이 든다."
9788936442507,10,쉴틈 없이 이어지는 이야기 속에 빠져들어 함께 자전거 여행을 한 것 같다.
9788936442507,10,"한달여 아이들과 여행했다. 아침시간 조금씩 읽어주며 호진이 외 여자친구 멤버 모두에 조금씩 익숙해져갔다. 내 맘과 다른 아이들과 한해살이가 버거웠다. 어찌어찌 겨울방학이 코앞이다. 미운정이 들었다. ""2편도 있나요?"" ""그건 네 상상 속에 있지."""
9788936442507,10,6학년인 호진이가 벌써부터 가출을해서 아타깝기도했지만 자전거를타고 통일 전망대까지 갔다는 것이 대단하다고생각합니다
9788936442507,10,불럏항 자전거 여행 넘넘 재미잇었용~~~ 호진이와 엄마 아빠 가족의 평화를 응원합니다!!!꼭 부모님과 같이 자전거 여행을 해서 행복해지세용
9788936442507,10,불량한 자전거 여행 정말 흥미진진하고 또 호진이의 가출 불량(?)한 것 같지만 멋졌어요 왜냐하면 6학년이 가출을 시도한다는 건 쉽지 않은 도전이라고 생각하기 때문입니다.
9788936442507,10,13살 호진이가 자전거 여행을 하는게 신기하고 힘들텐데 끝까지 포기안하고 완주한것이 대단하다
9788936442507,10,"호진이의 불량한 가출, 불량한 자전거 여행 너무 재밌어용!! 13살 아이가 그렇게 하기 쉽지 않은데 ! 호진이가 행복해져야 하는데 ㅠㅠ 꼮 읽어보세요 후회 ㄴㄴ 합니다!"
9788936442507,10,호진이가 가족의 평화를 위해 새로운 계획을 하는 모습이 매우 멋졌어요~ 꼭 일어보세요!! 호진아 행복해~
9788936442507,10,또다른 책도 있으닌까 꼭읽어 보세요 재미있어요
9788936442507,10,나는 이제 행복할길만 남을 호진이네 가족에게 꼭 행복하라고 애기하고 싶다. 행복하세여!!~~
9788936442507,10,호진이가 거의 스트레스를 풀기위해 자전거를 타는데 나도 스트레스가 많기 떼문에 나도 자전거를 타고 여행을 하고 십습니다 한소년의 1100킬로미터............................ 저도 해보고 십네요
9788936442507,10,이다 그리고 호진이는 대단하다 왜냐하면 자전거로 산을 올라갔기 때문이다 나는 오르막길도 잘 못 올라가는데 산을 올라간게 멋있었다 나도 다음 부턴 포기하지않고 해봐야겠다
9788936442507,10,너무 재밋구요 부모님사이가 어떻게 될지도 궁금합니다.저도 자전거를 타고 싶네요. 진자 완전 재미있어요.!!!!!!!!
9788936442507,10,저도 자전거 여행을 하고싶을만큼 재미있내요2편도나왔으면좋겠습니다
9788936442507,10,"이책에서 2편이 나왔으면 좋겠고,나도 이렇게 자전거여행을 가족과 함께 참여하고 싶다.그리고 이 자전거 여행을 참가한 사람들이 포기하지 않고 끈질기게 노력을 하여 탄 주인공들이 참 멋있다고 생각한다.이책을 저는 추천을 합니다.^^"
9788936442507,10,두둠칫! 대박 재미있어요!!!⊂_ヽ 　 ＼＼ Λ＿Λ 　　 ＼( ‘ㅅ‘ ) 　　　 >　⌒ヽ 　　　/ 　 へ＼ 　　 /　　/　＼＼ 　　 ﾚ　ノ　　 ヽ_つ 　　/　/ 　 /　/| 　(　(ヽ 　|　|、＼ 　| 丿 ＼ ⌒) 　| |　　) / `ノ )　　Lﾉ
9788936442507,10,너무너무너무 재밌었다. 2편은 안나오나?
9788936442507,10,"이런 자전거 여행이 있으면 꼭 참여해보고 싶고, 이책 등장인물들이 끝까지 자전거를 타고 달린다는게 존경스럽다.그리고 이책이 너무 재밌어서 계속 읽게 될거 같다."
9788936442507,10,불량한자전거여향은 정말 초등학생과 어른에게 끈기란 걸 알려주는것같다 이책을 읽고 내 삶이 변할것같다 많은사람들이 이책을읽고 끈기란걸 배우면 좋겠다  이책에 대하여 매우 만족이다^^^^^
9788936442507,10,마지막에 엄마와아빠만의 자전거여행을 떠나게 해준게 인상깊었다.한번쯤은 나도 가족과 함께 자전거 여행을 떠나보고 싶다.
9788936442507,10,너무나도 재밌는 책이었고 기억에 제일 잘 남을것 같다. 게다가 스토리는 극과 극을 달리는 이혼과 해고는 사태의 심각성을 알려 주었고 가슴에 와 닿았다
9788936442507,8,재미있을 것 같아요~
9788936442507,10,"아빠의 수입으로는 생활이 어려워, 엄마가 직장 생활을 하게 되면서 아이는 혼자가 된다. 그러면서 가정불화가 함께 온다. 주인공은 이런 상황에서 가출하여 삼촌을 찾아 자전거 여행을 하며 혼자 서는 방법을 배운다. 절대 불량스럽지 않은 주인공의 용기있는 행동에 박수를 보낸다."
9788936442507,8,"찬찬하고 세심한 작가의 시선을 느끼게 하는 동화다. 그래, 어려운 일이 있을 땐 혼자만 끙끙대지 말고, 한 번 벗어나 보는 것이 필요하다. 내 아이도 호진이처럼 문제해결을 할 수 있었으면 하는 바램."
9788936442507,10,오랜만에 한국문학 읽네요~이책으로 인해 한국문학 다시보면서 즐겁게 봤습니다^ㅇ^
9788936442507,10,"땀범벅으로 심장이 터질 때까지 자전거 페달을 밟는 건, 나 자신을 이기기 위해서다!!"
9788936442507,8,자전거여행으로 부모님의 이혼을 막을수는 없지만  다만 호진이가 그 아픔을 이겨내리
