ISBN13,rating,review
9791186274798,10,노인인이 아니더라도 이 책은 노후관리를 위해 읽어보는것이 좋다.일종의 노인으로써 삶의 비전을 제시해준다고 할까?어차피 누구나 나이들고 약해지는데 나이듦을 비참하게만 생각하게 하지 않고 책임감을 가질수 있게한다.
9791165342876,10,죽음이 더 가까워져 가는 나이에 이르러 인생에 대한 이런저런 생각들을 풀어 놓았다  저자는 말한다. 남의 인생을 부러워하고 비교하고 비평할 시간에 내 마음부터 챙겨보자고 맞다.  내 맘부터 우선 잘 챙겨보자
9791165342876,10,"예순을 앞둔 부모님이 어떤 생각을 하고 계시고, 어떤 두려움에 가끔 잠을 못 이루시는지 조금이나마 이해할 수 있게 되었다. 자식을 키우느라 자신들의 청춘을 모두 희생하신 부모님을 위해 내가 당장 할 수 있는 일이 무엇인지 생각하게 되는 밤이다."
9791165342876,8,노년에 접어드는 사람들에게 보내는 조언! 젊은이들도 읽어보면 좋을 노년 이해서! 젊은이들도 곧 노년 될거니까...
9791165342876,10,"<인생이라는 멋진, 거짓말>은 중년에서 노년으로 가는 길목에 있는 많은 이들이라면 충분히 공감할 만한 내용들을 한 권의 책에 담았다. 저자는 인생이라는 멋진, 때로는 허무한 거짓말에 울고 웃다 보면 어느덧 노년의 삶과 마주하게 될 것이라고 말했다."
9791165342876,10,이 책은 여러 번 읽어 보게 될 것 같다. 아마도 지금 이해했다 해도 시간이 지나고 보면 분명 아직은 이해하지 못하는 말들이 분명 많았으리라~  나의 가족의 노후와 죽음을 미리 준비하는 사람이 되고 싶다면 꼭 만나봤으면 하는 책이다.지금은 가족 중 누군가를 언젠가 보내야 하는 입장으로 책을 읽지만 시간이 좀 더흐르면 나도 남겨질 자식들과 다음 세대를 위한 마음으로 읽겠지.
9791165342876,10,"서울대학교병원 정신의학과 교수이신 작가는 아무래도 직업상 수많은 사람들과 만나고 이야기를 나누면서 스스로도 많은 생각이 있었을 것이고, 또한 지난 세월을 돌이켜본다면 수만가지의 감정이 생길 것이라고 여"
9788901242668,10,요양원에 근무하면서 매일 보는 여러 어르신들.나이를 먹는다고 시간이 지나간다고 배려와 아량이 시간만큼 쌓이는게 아니란 걸 알았습니다.평생을 어떻게 살았는지 어르신들의 그동안의 과정이 보이는 것 같습니다.어르신들의 삶을 보면서 오늘 하루도 최선을 다해봅니다.
9788901242668,10,제목을 보는순간 눈물이 멈추지 않네요.작년에 갑자기 하늘나라로 떠나신 아빠가 꽃같이 돌아오실수만 있다면..
9788901242668,10,너무 슬프고 아프지만 가슴이 따뜻해지는 책이다. 누구나 설마 내게 라고 생각하지만 결코 나만 예외가 될수없는 기억을잃는병..그들의 마지막을 지켜온 고재욱작가님 스스로의 삶도 무척이나 가슴시리다 . 각자의 레이스에 집작하며 앞만보고 달리는 우리에게 꼭 추천하고싶은 책이다
9788901242668,10,감동인거같아요 잘 읽었습니다!
