ISBN13,rating,review
9791158888381,10,「(100쪽)우리 가족은 1925년부터 어머니가 돌아가신 1979년까지 54년을 그곳에서 살았다.」「(122쪽)나는 평생 단어로 그 집을 다시 지으려 애써 왔는지도 모른다.」‘예술 작품 속에서 산다는 것‘이라는 제목이 붙은 이 글을 읽고 머리카락이 쭈삣 서는 전율을 느꼈다. 최고다!
9791158888381,10,"위험! 경고가 붙은 이 책을 오늘부터 읽기 시작한다. 서문과 본문 한 편 읽었는데, 미쳐 버리게 좋다. 생각과 작법의 혼연일체. 흡입력 짱! 시원시원함! 기대 밖 감동까지! 르 귄의 ˝정신과 교감˝하게 될 앞으로의 여정이 기대 만땅!! 잠자냥님께 감솨!"
9791158888381,10,"읽기와 쓰기에 관한 르 귄의 깊고도 너른 사유를 만나는 일은 언제나 즐겁다. 르 귄은 책 읽기는 끊임없이 지속될 거라고 말하며 읽기 중독자들을 위로한다. 그러면서 더 읽으라고 강렬하게 유혹한다. 장담하건대, 이 책을 읽으면 언급된 모든 책들이 읽고 싶어서 장바구니가 터져버리게 될 것이다."
9791158888381,10,너무나 반갑군요
9791160947083,10,읽은 시간이 아깝지 않아요. 따뜻하게 등을 쓸어내려주는 손 같은 글이에요. 제 모난 마음이 전보다 둥글어진 기분입니다. 좋은 책 내주셔서 감사합니다. 앞으로도 책 많이 내주시면 좋겠어요.
9791160947083,10,이렇게 좋은 책이 세상에 나와서 감사하다. 이 아름다운 실천과 티내지 않는 무덤덤한 따스함에 감동하게 된다. 포스트잇을 여기저기 붙이며 읽게 되는 진짜 멋진 책. 독서동아리가 널리널리 퍼져가기를. 아이들의 진짜 마음을 들여다 보는 일에 무심하지 않기를. 눈가가 자꾸자꾸 시큰했다.
9791160947083,10,세상에....미리보기만 읽었는데도...
9791196589158,8,여기 나온 책들을 먼저 읽어보고 읽어야겠다... 사노 요코 책 빼고 읽은 게 없네 ㅜㅜ
9791196589158,10,"더 많은 일상의 이야기가 공유되기를. 더 많은 여성들이 글을 쓰기를 바라게 됐어요. 이슬아님이 정확히 어떤 사람인지 무엇을 하는 사람인지 사전 정보는 별로 없었지만 많은 위로를 받았어요. 유진목 시인의 식물원, 꼭 읽어보고 싶네요"
9791196589158,10,"빛이 되는 슬픔도 있는지, 그거면 되죠"
9788956055466,8,소개된 책들 다 읽고 싶오지는.덕분에 판화가 이철수를 알게됐다. 새로운 세계를 만난 거다.
9788956055466,10,길을 잃었을 때 앞선 이의 발자취를 따라 걸으면 도움이 된다.그것처럼 책을 손 놓은 지 오래되어서 책을 고르는 것조차 힘든 분들에게 추천하는 책!
9788956055466,8,여러 문학에 대한 저자의 감상을 읽을 수 있음
9788956055466,2,"고은시인 부분이 매우 거슬립니다.책이 고은시인의성추행 파문이전에 출간되었지만, 독자들에게 고은시인에대해 큰 영향력을 미치고있습니다. 저자는 고은시인을 자연과 인간을 경외하는 관점으로 칭찬하고 있으나 실제 고은시인 행적에 관한 의혹들을 보건대 읽기에매우 불편하네요.수정이필요합니다."
9788956055466,10,좀 어렵다
9788956055466,10,가끔 꺼내 읽습니다. 저에게는 너무 좋은책이였어요.다른책을 읽게끔 다리를 놓아주었고 독서를 하도록 격려를 받는 느낌이었어요. 추천해요!
9788956055466,4,광고쟁이 박웅현이 다독보다 깊이읽기를 권하며 좋은 책을 권유하는 독서법 강독책. 책에 소개된 걸로 보아 알수있는 그의 폭넓은 책의 데이터베이스와 적재적소에 배치가능한 에디톨로지에 감탄. 하지만 거기까지. 좋은 책 좋은 글들의 나열과 배열에 그치는 것 같은 아쉬움이 남는다.
9788956055466,6,독서에 입문하기 좋은책
9788956055466,8,소개하는 책들 중 일고 형편없다고 느낀 책들도 있었다. 그러나 글쓴이의 감수성으로 다시 바라보게 되었다. 글쓴이의 시선이 좋았다. 여전히 그 책들과 작가들을 좋아하진 않지만 좋아하고 공감하는 사람들을 감수성을 이해할 수 있었다.
9788956055466,10,"수 년전 유명했던 베스트셀러인데, 늦게라도 접하게 된것에 정말 감사 또 감사할 정도로오랜만에 밑줄 그으며 도끼처럼 꽂히는 내용을 마음에 새겼습니다.일기장 한 페이지같아 책 추천에 유독 부끄러웠는데, 지인들에게 추천해서 좋은 피드백도 많이 받았어요~!"
9788956055466,10,좋은 책 많이 소개해 주시는 것 같아 좋습니다.
9788956055466,6,이 책은 책을 소개하는 책이다. 개인마다 책을 읽고난 후의 해석은 다를 수 밖에 없다. 책 머리에 나온 책을 우선 읽고 읽는편이 좋겠다. 그렇지 않으면 온전히 나의 감상으로 책을 읽어나가기 힘들기 때문이다.
9788956055466,8,나에게 책을 소개해준 책. 다시말해 책을 알려주고 읽는행위에 대해 알려주고 읽지않는 책에 대해 읽었다는 느낌을 받게해주고 책을 읽은행위에 대한 압박에서 벗어나게해주고 책에 흥미를 사랑을 갈망을 갖게해준 책인것같다. 여러모로 좋다 책한테도 우리한테도!
