ISBN13,rating,review
9791165340957,10,"이 책을 보고 뭔가 성격,생각하는 게 많이 달라진거 같아요항상 너무 힘들었었는데 이 책을 보고 나아졌습니다"
9791165340957,8,"안녕하세요 작가님. 이별 후 힘들 때, 작가님 유튜브를 시청하며 힘을 얻고 책을 구입한 사람입니다. 책의 내용들은 유튜브에서 하신 말들을 정리하신 것 같았습니다. 가끔 음성지원이 돼서 재밌게 읽었어요. 다만 아쉬운 점은, 방송에서 알 수 없었던 새로운 인사이트를 얻긴 힘들었던 것 같습니다."
9791165340957,10,첫줄부터  팩폭 당해버렸네..
9791165340957,10,즐거운 독서시간이 되었습니당
9791165340957,10,연애 10년. 이별후 달님에게 많은 위로를 받았네요. 감사합니다^^
9791165340957,10,사랑하고 있는 지금 읽어도 참 위로가 되는 책입니다. 가볍게 읽을 수 있을 것 같아서 선택했는데 가볍지 않은 위로를 받았습니다!작가가 책 시작하는 부분에 이야기 한 지친 마음의 책 속에서 쉬어기길 바라는그 마음이 잘 전달되는 글입니다.책을 다 읽고 사랑에 대해서 생각해봅니다.
9791165340957,10,어떤 순간에도 ‘나 자신‘을 중요하게 생각하라는 김 달 작가의 말이 와닿는 에세이 .https://www.instagram.com/p/B_ckH4AFgkF/?igshid=7z9ox8j4q8uo
9791165340957,8,구매는 안했습니다만 개인적으로 책에 대한 만족도를 얘기해주시면 더 도움이될거같습니다
9791165340957,2,배르벨 바르데츠키의 사랑한다고 상처를 허락하지마라 리커버판인줄 착각하겠어요 제목이 비슷해서요
9791165340957,10,오자마자 바로 다 읽어버렸어요! 지금 한창 힘든 시기인데 제 편같이 느껴지는 책이라서 포근합니다 ㅎㅎ 힘들때마다 펼쳐볼 것 같아요. 감사해요:)
9791165340957,10,오늘 책 받았어요! 읽다가 너무 서러워져서 펑펑 울고 다시 읽고를 반복했어요. 나만 알고 싶은 책이면서도 모든 사람들이 이 책을 읽었으면 좋겠는 책인 것 같아요.
9791165340957,10,그저멋지게 느껴집니다 달님
9791165340957,10,안녕하세요 ㅠㅠ 달님 1년째 구독자입니다! 마침 제가 헤어지고 방황할때 나와서 큰 도움이 되네요 ㅠ 감사합니다!
9791165340957,10,달님 응원해요 ~ 달님이 있어서 다행이다 !! ♡♡
9791165340957,10,안 그래도 요즘 마음이 힘들었는데 마음을 어루만져 줄 책이네요 ㅠㅠㅠ 내용이 넘 기대됩니다 ㅠㅠ
9788968332449,10,그가 계속 글쓰는 사람으로 있어줬음 좋겠다 영원히 사랑을 생각하면서
9788968332449,10,"생각했던것 이상이었다. 어쩌면 사랑에 관한 철학서를 방불케하는 느낌의 책이기도 했다. 생각이 많아졌고, 그간 지나간 사랑에 대해 한번쯤 곱씹으며 나의 사랑은 어떠했는지를 되짚었다. 최유수 작가의 다음 작품들도 기대가 될정도였다."
9788965705802,6,사랑의 시작부터 이별까지
9788965705802,4,어디서 들어본 직한 말들을 엮어서 쓴 책같다.좋긴하다.사서 읽을만하다곤 생각하진 않았다.
9788965705802,10,살아가며 경험하는 감정은 각기 다를지라도 글로써 표현되는 것들은 그 유한성 때문에 더욱 공감가는 부분들이 많은게 아닐까? 감정은 무한하지만 표현은 유한한체 반복되는 삶이 각자에게 이야기가 되어 또 하루를 보낸다.
9788965705802,10,"올 봄에 오롯이 내자신만을 위한 힐링의 도서로 이정하님과 김재식님의 신작을 선택했어요.메말라가는 마음에 생기를 주는 아름다운 굴귀들이 많아요,"
9788965705802,10,사랑하지 않는 날은 살아 숨쉬는 날이 아니다. 사랑에 대한 절절한 이야기.
9791195935000,10,공감대를 자극하는 감수성 넘치는 책 ! 제목만 보고 마음이 끌려 구입했는데 너무 잘 읽고있다
9791165340544,10,숨가쁜 일상에 쉼표처럼 건네지는 동화에요. 사랑하는 사람에게 선물하고픈 책입니다 :) 내 맘을 가득담은 책이라고 작게 손편지 적어 함께 건네고 싶어요
9791165340544,10,글귀와 일러스트 모두가 너무 이쁜 책..!!!
9791165340544,10,"마음이 따뜻해지는 글과 그림. 매일 치이며 살아가는 일상의 끝에서 수고했다, 네가 걱정된다 토닥이는 다정한 연인과도 같은 책이다."
9791165340544,10,너무너무 예쁜 일러스트와 작가님의 따뜻한 마음이 느껴지는 예쁜 책
9791165340544,10,보기만해도 기분좋아져요 일러스트가 하나하나 예뻐서 전시회 도록을 산 느낌이고요ㅎㅎ 발렌타인데이에 연인에게 선물하기 좋은 책이네요!
9791165340544,10,춥고 삭막한 날 읽기 좋은 쉼표 같은 책
9791165340544,10,밤을 아름답게 표한하고 있는 일러스트와 감성적인 글이 잘어울려요~^^ 어른들을 위한 동화로 힐링되네요!
9791165340544,10,특별하고도 따뜻한 사랑 이야기.너무 예쁜 러브북이다~~
9791165340544,10,그림 속에 가득한 설렘에 기분이 좋아집니다.
9791165340544,10,아름다운 일러스트와 감성적인 글귀가 예쁘다
9791165340544,10,이게 바로 성인들은 위한 동화책이다.일러스트라고 하지만 글과 그림의 감수성에는 동화책이란 말이 걸맞다
9791165340544,10,"어른을 위한 동화를 이야기 하자면, 아마 이 책이 꼭 들어가지 않을까? 싶었던 책.제목에 걸맞게 표지에는 정말 밤 하늘이 흐르는 느낌을 준다.외로운 순간들을 사랑과 접목시켜 아름다운 순간으로 만들어버린 글과 제딧님의 일러스트는 정말 완벽하다고 생각한다.제딧님의 일러스트는 트위터에서"
9788965707462,10,"인스타그램을 통해서만 보았던 따뜻한 사랑구절을 일러스트와 함께 보니 더 감성적으로 만들어주었다. 두고두고 새벽감성 속에 꺼내보고픈 책이었다. 연애 전, 연애 중, 연애 후.. 어떤 상황에서 보던 내가 표현하고픈 문장들이 담겨있다."
9788965707462,10,저는 11살 8살 두아들을 키우는 워킹맘 입니다.늘 힘들고 지쳐서 두 아이에게 사랑한다는 말 한마디 조차 잘 못하게 되네요제가 책을 받고 두아이에게 읽어주고 싶은 부분을 자기전에 읽어주었습니다.두 아들 모두 너무 행복해 하는것 같더라구요~그림들이 너무 이뻐요~~
9788965707462,10,작가님 책이라면 뭐.... 믿고 읽는 힐링 책 ❤️빨리 받아서 읽고싶어요~
9791197037108,4,그래... 나를 사랑해야지
9788994796864,8,사랑에 대한 작가의 여러가지 느낌들에 관한 글이다물론 사랑은 물론 인간의 어떤 느낌도 그저 몇가지 글들의 조합으로 나타낼 수는 없다그래서 더욱 신비로운것이 아닐까 싶다 ^^
9788901239309,4,"있는 그대로의 나와 너를 받아들이라는, 요즘 읽기엔 좀 뻔한 말들이 늘어져있다. 출간 당시 읽었더라면 좋았을 듯."
9788901239309,8,복잡미묘 예측불가인 사랑에 임하여. 있는 모습 그대로 간단하고 솔직하게 자신을 던져라. 그리고나서 실패한 사랑은 그 자체로도 충분히 괜찮다. 고통이 머무를 자리를 내어주고 직시하라. 내 삶은 더 강하고 충만해 질거니까.
9788901239309,8,"애초에 사랑이라는 게 이성적일 수 없기에 이걸 읽는다 해서 내 사랑이, 인생이 크게 달라질 것 같진 않지만 그럼에도 나 자신을 다독이고 용기를 얻는 데는 도움이 된다. 다만 한국인들에게도 보편적으로 적용되는 이야기일지는 조금 의문이다. ㅎㅎ"
9788901239309,8,"공감하는 부분이 많아 깨끗하게 볼 수없었던 책.사랑은 번잡하기에 매력적이고, 상처받을 걸 알면서도 도전할만한 가치가 있다."
9788901239309,4,"이거 번역자, 한국어 실력이 너무 형편없어요.번역자가 교포인가봐요. 수정 좀 부탁드려요."
9788901239309,10,사랑의 목표가 행복이 아니라는 것을 알게 해 준 책이다. 만약 당신이 지금 사랑하고 있다면 무조건 이 책을 읽길 권한다. 사랑이라는 행복한 저주에서 풀려날 수 있을 걸. 나는 이 책으로 인하여 덜 고통스럽고 더 충만해졌다.
9788901239309,8,아니 이거 리커버로 새로 내심 제 예전 책은...또르르...
9791185959955,10,‘연애의 언어’라는 책은 누가 맞다 틀리다 할 것 없는 감정에 흔들리고 있는 사람들에게 교과서 같은 명제와 답을 내려주는 책이다. 냉철하게 답을 잘 내리는 사람도 감정으로 인해 혼란이 오는 것이 사랑이다. 이 책은 그 방법을 조금 더 쉽게 접근할 수 있게 길잡이 역할을 해주고 있다.
9791162142899,8,"글을 엄청나게 잘 쓰는 것보다, 괜찮은 글을 꾸준히 쓰는 것이 가장 어려운 일인데 묵돌은 차근히 그 길을 성공해 나가고 있는 것 같다."
9791162142899,10,"항상 읽기 쉽고 재밌는 글을 써주시네요. 아직 저는 저런 사랑을 해 본적이 없어, 공감은 못하지만 간접경험 잘하고 갑니다 :)"
9788965708308,10,다양한 상황을 예로 들어 남자들의 심리를 다각도로 보여주고 있다. 사랑을 시작하고 싶거나 사랑을 유지하고 싶은 사람이라면 읽어봐도 좋다.
9788965708308,8,"자라서 남자들의 심리가 궁금하긴 하지만~연애나 썸 이런건 결혼 한 사람들에게 관심거리는 안되는 부분이고~ 남자의 심리가 궁금했는데솔직한 속 마음을 알 수 있었다.상황에 맞는 예가 나와있어서,적극적인 여자"
9788950978167,10,책에서 향기가 난다..사람의 향기
9788950978167,8,그림을 잘 그리는 사람들은 참 부럽다.그것도 예쁜데 묘하게 현실적인 그림들을 잘 그리는 사람들.그림 속 나이 때에 있는 사람들이라면 더 동감될 작품들이었다. 나도 어릴적 생각도 나고^^
9788950978167,10,"너와 나 사이의 거리가 0이 되는 순간, 그 느낌, 그 온도."
9788950978167,10,예쁨. 괜히 메이커스에서 선구매했다! 으 사은품 너무 좋네요ㅠㅠ 아쉬워라.. 책은 역시 알라딘.... ㅠ
9788950978167,10,"제가 정말 좋아하는 작가님의 그림,드디어 책으로 나왔네요그림 속 눈동자만 봐도 사랑의 감정을 읽을 수 있는정말 좋아하는 작가님의 그림입니다.책으로 출간해주셔서 대단히 감사합니다."
9791195871414,2,작가 이름이 박가람이길래 여자분인 줄 알고 불쾌한 표현 없을거라 생각하고 구입했는데 남자분이시네요. ‘젖무덤‘이니 10대 소녀와 성애를 다룬 영화를 비판하는 이들을 저만 불편한가요 종족이라느니... 내 돈 주고 모욕을 듣다니 하는 생각이 들어 돈과 시간이 억울하네요.
9791195871414,10,좋은 책이다. 그냥 사서 읽으면 된다작가도 좋은 사람이다 가끔 실수도 하지만이책도 그 실수 때문에 탄생 아이좋아
9788959134809,10,책의 제목에서 부터 감정이 전해지는 것 같아요.사랑보다도 더 사랑한다는 말이 있다니.......사랑한다는 말도 아끼고 싶어서 정말 소중한 사람들에게만 쓰는데더 사랑한다는 말은 과연 무엇일지 궁금해요
9788959134809,10,개인적으로 핑크색을 너무 좋아한다그런 나에게 분홍색의 책이 도착했다한장 한장 넘길때마다마음이 아파오기 시작했다 사랑이라는 말에 난 너무 인색했고그런 단어를 이렇게나예쁜 언어들로 글을 썼을까정말 제목처럼사랑보다도 더 사랑한다는 말이 있었다그것도 너무나 많았다 문득문득 첫사랑이 생각났었다지금은 신랑에게 사랑해 라는 말을 자주하지만 그 아이에겐그러한 말 한마디를 해주지못해서괜시리 그 아이에게 미안한마음이었다중간중간 작가가 좋아하는 영화대사나책속의 글귀들이 나오는데그것마저도 너무 아름다웠다여러곳으로 여행을 다니면서도작가는 누군가를 생각하고그 누군가를 너무나도 사랑하고있다는감정이 그대로 전해져왔다글씨쓰는 사람으로써너무너무 좋은 글들이 많아서읽는 동안 행복하고 내가 사랑받는 기분을 들게 만들어준여자입장에서 내 남자가 이렇게나에게 사랑을 말해준다면난 진짜 잊지못할 고백을 들었다는 생각에하루하루 행복해질거같다
9788959134809,6,"자크 프레베르의 시 구절에 낚여서 여행작가 최갑수의 책을 샀다. 곳곳에 발췌되고 인용된 시나 영화의 대사들은 마음을 끌어당기나, 정작 작가의 글들엔 조금도 마음이 움직이질 않는다. 내 인생은 시나몬 롤과 슈베르트만으론 충분치 않아서인지도 모르겠다."
9788959134809,10,기대리던 최갑수 작가님 신간이군요! 기대됩니다!
9788973813933,10,책 자체가 예술이다
9788973813933,10,이책이모든빛을~^^
9791196918071,10,"7년 장수연애 이야기가 담긴 솔직담백한 책이예요. 연애가 잘 풀려도, 잘 안풀려도 추천하는 책입니다. 책 속 내용 中 ˝이런 싸움의 원인들은 남자친구 탓이 아니었다. 그저 나의 낮은 자존감이 나 자신을 괴롭히고 있을 뿐이었다.˝"
9791196918071,10,"장수연애중인 커플들이라면 꼭 읽어봐야하는 책˝우리 연애는 장기전이었다. 좋을 때도 한없이 미울 때도, 정이 떨어질 때도, 몹시 보고 싶을 때도 있었다. 극과 극의 감정을 오가면서 그 간극을 점점 줄여나갔다. 둘 사이에 보이지 않는 적정한 틈 덕분에 이렇게 편안하게 지내고 있을지도 모른다.˝"
9791196918071,10,여자친구랑 같이 읽어보려고 구매했어요 좋아요!
9788950984304,10,난 이토록 오만하면서도 경우 있게 사랑하는 사람을 보지 못했다. 배우자에 대한 저자의 행태가 너무 얄미웠음에도 내 감정은 그녀의 문장에 멱살 잡혀 이리저리 끌려다녔다. 자신의 사랑을 잘 아는 사람은 얼마나 성숙한가. 연인의 소개로 읽었다. 나도 저자에 부럽지 않을 사랑을 이어나갈 것이다.
9788950984304,6,"개인적으로는 읽으며 너무 힘들었다... 저자분과 비슷한 사람이 읽는다면 위안도 되고, 공감도 되고, 즐겁게 읽힐 수 있겠으나 그런 관계로 인해 고통받았던 사람으로서는 내내 옛날의 관계가 떠올라 괴로울 뿐이었다. 신중하게 구매하시길."
9788950984304,10,"요즘 마음이 좀 힘들어서, 혹시 읽기 힘든 내용들이 있지 않을까 싶어 조금 망설이다가 읽었는데 다행히(!) 굉장히 웃기고 귀여운 부분들이 많아서 즐겁게 읽었습니다. 아주 솔직한 마음속 이야기들도 있지만 그게 보는 사람을 힘들게 하는 그런 연애이야기는 아니었어요. 서밤님의 이야기 좋아합니다."
9788950984304,10,연애를 하고 있지 않은 사람인데도 재미있고 공감가고 너무 귀엽네요 두고두고 한 두번씩은 생각날때 꺼내볼만한 가볍게 읽을 만한 책인 것 같아요 한 번씩 읽으면서 이런저런 고민들도 하게 되서 좋은 것 같아요.
9788950984304,6,읽는 내내 여러가지 감정과 생각이 드는데 가장 합리적이고 안전한 한줄평을 쓴다면 ˝뭐 둘이 좋다는데˝ 정도면 충분 할 것 같다. 아주 힘들었습니다. 읽는 내내.. 왜냐면 저는 이렇게 못살거든요.
9788950984304,10,불안형 애착 유형인 나는 연애를 할 때마다 언제 헤어질지 불안했다. 쉬지않고 연애하는 내게 아빠는 남자없이는 못사냐고 했다. 항상 마음이 헛헛하고 언제 이별당할지 불안해서 작은 것으로도 트집잡아 비난하기도 했다. 작가님께 공감되고 결국 아직도 사랑하고 사는 작가님이 내게 좋은 선례이심.
9791190065009,10,못말 김요비 작가님 sns팔로우 해두고 자주 보던 작가님이였어요 사랑에 대해서 혼자 많이 고민하고 생각했었는데 책을 읽고 더 사랑해보고싶다 라는 생각이 많이 들었어요 특히 예쁜 말에 예쁜 삽화들이 더 마음을 움직였던 것 같아요 너무 좋았습니다ㅎㅎ
9791190065009,10,"듣기 좋은 말들로만 위로를 하는 것이 아니라 마음을 공감해주는 글들로 위로를 해주는 책인 것 같아요. 따뜻함이 느껴지는 그림들도 같이 들어있어 감성충만한 새벽에 읽기 좋고, 자기전에 읽어도 좋을 거 같네요. 책을 읽으면서 마음을 좀 추스를 수 있는 시간이 되더라구요^^"
9791190065009,10,"새벽마다 못말 작가님 sns에 자주 들어갔었어요. 수많은 사람들이 좋아하는 글. 어떤 면이 사람들의 마음을 채웠을까 고민했는데, 아마 강요하지 않는 위로기 때문이라고 생각해요. 아이콘 <사랑을 했다> 작사에도 참여하셨다는데, 시인듯 노래인듯한 글들이 좋았습니다."
9791162205006,6,빤짝이는 것들을 사랑하는 도대체씨의 연애 후일담. 연애를 하면 자신을 더욱 더 알아가는 장점이 있다. 그러나 익숙해지지 않는 아픔도 있다.
9791162205006,10,도대체 님의 [일단 오늘은 나한테 잘합시다]를 너무 재미있게 읽어서 주저없이 구매했어요. 작가 님이랑 비슷한 점이 많아서 역시 재미있게 읽고 있어요
9791162205006,10,소주잔  너무 이뻐요
9791162205006,10,"서점에 서서 다 읽었는데, 집에 와서 곰곰히 떠올려보니 책을 사야겠다고 생각했어요.그래서 삽니다."
9791162205006,10,‘일단 오늘은 나한테 잘합시다‘로 알게 된 도대체 작가님의 신작.전작을 워낙 재밌게 읽어서 이 책에 대해서도 기대가 컸다.연애를 해본 사람이라면 누구나 공감할 것들 + 따뜻한 위로가 돋보이는 책이다.
9791162205006,10,처음엔 괜히 샀다 싶었는데읽다보니 끝까지 읽고 싶었고다 읽고 나니 사서 읽길 잘했다 싶었다.
9791162205006,10,책 읽기 어려워 하시는 분들도 읽기 쉽게 소제목스토리로 있으면서 모든 스토리가 이어지는 책이라 가볍게 읽기 좋은책인거 같아요 연애하면서 느꼇던 감정을 잘 풀어놓고 나를 돌아보기 좋은 책인거 같아요 맘의 휴식이 필요하신분들 고민하지 마시고 사셔도 후회는 안할거 같아요
9791162205006,10,책 제목부터 안에 담긴 문장들이 읽으면서 찔리기도 하고 웃기고 슬프고 짠내나고 연애하면서 느꼈던 감정들이 모두 담겨 있었어요 어차피연애는남의일 이라는 제목이 내얘기 같아서 읽기 시작했다가 읽을수록 다시 연애를 해보자! 라는 생각으로 바꼈습니다ㅎㅎ
9791162205006,10,어차피 남의 일인 남의 연애는 어쩜 다 이렇게 다 비슷하게들 하는 걸까?
9791162205006,10,왜때문에 도대체님 책은 맨날 내가 산다음에 이벤트를 하는지 모르겠다....^.T....
9791162205006,10,<일단 오늘은 나한테 잘합시다>에 이어 신작! 이라니 ㅠ <어차피 연애는 남의 일> 제목부터 확 ㅠㅠ 무릎 꿇고 시작함ㅋㅋㅋㅋㅋ 여전히 웃기면서도 따뜻하고 지난 연애 시절을 가만히 떠올리게 만든다
9791162205006,6,"책보다도 소주잔에 더 끌렸음.어차피 남의 일인데, 뭐."
9791162205006,10,"본능에 충실하지 않으면 직진도 없다! 연애에서 본능과 직진은 정말 중요한 요소인 듯^^ 의외로 본능 충실 도대체 씨의 일단 직진 연애 탐구로 예전 그 시절, 나에게도 반짝이는 순간이 있었음을 확인하고 싶은 걸까!"
9791162205006,8,기대만큼 유쾌하고 공감을 불러일으키는 책이었어요 :-)
9791162205006,10,일단 오늘은 나한테 잘합시다 보고 이 책도 연달아 샀어요! 작가님 최고!
9791162205006,8,서점에서 보다가 구매했어요 ㅎㅎ 공감백배 재밌음
9791162205006,10,내가 여태 본 책 제목 중에서 짱 먹음. ‘어차피 연애는 남의 일‘.... 아 정곡을 찔린 이 기분 뭐지.
