ISBN13,rating,review
9788956605418,10,"물욕과 상업주의, 신분상승이 세인들의 주된 목표가 된 현세에서 무소유라는 단어는 거추장스러울 수도 있다.생의 대부분을 오두막과 강,호수,언덕과 자급자족했던 소로우 작가는 인간의 평등과 인권을 실천해 왔던 인물이다.인간에게 주어진 최고의 선물, 대지와 자연은 속세를 비추는 거울과 같다."
9788956605418,10,한번쯤은 읽어봐야할 고전^^
9788956605418,10,어떤 사람도 높은 수준의 정신생활을 하는 것으로 인해 낮은 차원에서 손해를 보지 않는다. 남아돌아가는 부는 쓸모 없는 것들밖에 살 수 없다. 영혼에게 필요한 단 한 가지의 필수품을 사는 데는 돈이 필요 없다.
9788956605418,10,월든-‘자연’으로 돌아가라는 뜻이 아니라 인간’본성’으로 돌아가라는 뜻입니다.-구속받지 않으려는 한 자주적 인간의 독립선언문입니다.-소박하고 자주적인 인간은 어느 군주의 지시에 따라서도 일하지 않는다.
9788956605418,8,교훈을 얻을수 있는 부분에는 줄을 그어가며 보았는데독서속도가 느려서 3일 걸렸다최근 허한 마음에 큰 도움이 되어준꼭 읽어야 할 최고의 인생서적Walden
9788956605418,8,오래된 책이지만 좋은 책이다.물론 지루한 부분도 있었다.하지만 그 보다는 소박함 삶의 즐거움이 더 크다.다른 번역본은 어떤지 모르겠으나 다시 수정 보완이 필요해보인다.너무 옛날스러운 문장들 때문에 몇몇 부분은 읽기가 불편했다.
9788956605418,2,이런 책은 문체가 아니라 메시지 그 자체가 중점이 되어야하는건데 뚱딴지 같이 ˝~이다˝ 하면 될 것을 ˝~할 따름이다˝ 그리고 ˝~한다˝ 하면 될걸 ˝~하지않으랴˝ 같은 본연의 메시지 읽는데 방해만 되는 이중부정같은 쓰레기 문체로 만들어놨다. 김석희 번역이 좋았던 책이고 이책 강승영 번역이 최악.
9788956605418,8,일단 머릿말은 재밌어요 이책 언제 다 읽으려나
9788956605418,8,단순함에서 길어 올린 풍요로운 삶
9788956605418,2,이레판을 원서와 대조해 읽다가 깜짝 놀랐다. 첫 문단에서부터 오역이 있었다. 개정판에선 수정된 것 같지만 불안해서 안 되겠다.
9788956605418,4,"월든 월든..월든....이라.....작가의 연보와 생애를 보고 책을 읽어보면 애착 가고, 대단하단 생각이 드는 건 사실."
9788956605418,6,자연속에서 자신의 이념을 실천했던 저자. 삶을 생각해보개 한다.
9788956605418,8,월든호수의 풍경이  눈앞에 펼쳐진듯 잡힐듯 보일듯 생생합니다.
9788956605418,10,국내 현존 최고번역본. 숲생활의 경제학등 각파트를 읽다보면 주옥같은 말들이 많습니다. 도서관서 빌려보다가 밑줄그을게 하도 많아서 전격 구입!
9788956605418,10,아마도 내 삶의 축을 바꿔줄 책
9788956605418,8,빚없이 사는 소박한 삶의 강조이지 비참한 과거로의 회귀가 아님을.
9788956605418,10,"우리들이 있어야 할 곳이 어디인지를 알려주고, 해야 할 일이 무엇인지를 보여주는 경건한 자연의 메시지"
9788956605418,10,월든 호숫가에 자그마한 불을 올린 나의 등대여.
9788956605418,10,삶을 다시 보게 한다.
9788956605418,10,손에 쥐려고 발버둥치는 그것들을 조금만 놓아주면 더 많은 것들을 얻을 수 있다.
9788956605418,10,아무리 칭찬하고 읽고 또 읽어도 좋은 책.어렵다고 덮지 말고 꼭 두 번은 읽어 보면 좋겠다.자연의 묘사부터 소로우가 살아가는 모습 그리고 시대비판이 적절히 이루어져 지겹지 않았다. 특히 자연 묘사가 정말 적절하고 매력적이다. 월든 호수를 한 번 가 보고 싶다는 생각이 들 정도로..
