ISBN13,rating,review
9791156756682,8,마음이 지옥과도 같았을때 이 책을 읽었다. 그 저명한 정신과 의사의 상담보다 더 도움이 많이 되었는데 시간이 되면 2편도 꼭 읽고싶다.
9788964291009,10,루미 관련 서적들이 더 많이 소개가 된다면 좋겠는데...
9788964291009,8,쉬우면서도 어려운책
9788964291009,10,이슬람 최고의 신비주의 수피 교단의 창시자인 루미의 우화 모음집
9788904700271,10,알록달록 예쁜 색의 띠를 두르고 단단한 두께감이 있는 양장본책을 두손에 받아들고서 우선 작가의 말을 살폈다.딱딱한 글씨로된 활자에서 왜인지 따뜻한 사람내가 나고 온기가 느껴진다. 부드럽게 흘러가는 저자의 필체에 첫번째 이야기로 읽어 들어갔다.가벼운 마음으로 첫번째 이야기 <엄마의 뒷모습>을 읽어내려가다 차오르는 슬픔에 그만 눈물을 흘리고 말았다. 책속의 어머니의 모습을 내 어머니의 모습으로 빗대어보고 열심히 사는 아들의 모습을 내 철없는 아들의 모습으로 빗대어 본 까닭이다. 뭉클해진 감동을 아이와 함께 나누고 싶어서 초등아이를 품에 끼고서 책을 읽어주었다. 오랫만에 엄마가 읽어주는 책에 주의를 기울이던 아들은 가엽고 희생적인 어머니의 모습에 눈물이 고였다. 눈물고인 자신의 모습이 창피했던지 첫번째 이야기만 읽고 두번째 이야기는 못읽게 방해하여 우선 책을 덮었다.한참뒤에 <별이 뜰 때까지 우리는> 이편을 함께 읽어보고자 하였으나 부모의 가여운모습이 아직 초등학생인 우리아이에게는 받아들이기 버거웠던지 더이상 책읽는것을 거부하였다.내가 어릴적만 해도 노숙자도 있었고  어려운 환경속에서 힘겹게 안타깝게 살아가는 우리네 이웃들이 많이 있었는데. 지금의 아이들 눈에는 그렇게 힘겹게 살아가는 소외계층의 이웃들이 눈에 안보이는 까닭일것이다.어릴적 동무들과 골목대장놀이를 하며 온동네를 무리지어 뛰놀기만 했던 우리와는 다르게 지금의 아이들은 학교에서 공부하고 방과후수업까지하고 학원까지 다니고나면 저녁이되어 집에 돌아와야 되기 때문이다. 주변을 살필틈 없이 바쁘게 살아가는 아이들이 안타깝다.초등 저학년인 아이와 <연탄길>을 함께 읽고싶었지만 좀더 시간이 흐르고 아이가 육체적으로나 정신적으로 좀더 건강해지고 성숙해질때 함께 읽어봐야 하겠다.아이에게 건강한 음식을 줘서 육체가 튼튼해지길 바라는 마음처럼 따뜻한 정을 가르쳐주고 돕고산다는 마음을 가르쳐주어 마음이 튼튼해지는 아이로 키우는 부모가 되었으면 좋겠다.마음의 힐링을 위해서 감동적인 음악과 영화를 찾고 여행을 떠나는 이들에게 마음의 치유를 책에서 찾기를 바란다면 느긋한 마음으로 <연탄길>을 읽어보라고 추천해주고 싶다.
9788904700271,10,책장을 펼치면 가슴이 따뜻해고 그림작품과 함께 밀려오는 감동적인 책입니다.
9788998602383,10,"간호학생입니다. 다시 한 번, 내가 왜 간호사가 되고싶었는지 새삼 느끼게해주는 책."
9788998602383,10,임상경력 3년차로 수준높은 cure와 care를 동시에 제공한다는 것이 얼마나 힘든 일인지 현실의 벽에 부딪히고 좌절하고 있었습니다. 나이팅게일 선서를 하며 다짐했던 포부도 꿈도 무너져 가던 찰나 제가 하는 일에 대한 진정한 의미를 다시 새길 수 있어 너무 좋았습니다
9788985599061,8,평범한 일상속에서 생각날 때마다 하나씩 읽다보면 마음이 따뜻해지는 책.
9788973374601,8,삶의 여유가 무엇인지 알게 해준 책
9788973374601,10,천천히 읽어가면서 마음의 위안을 많이 받은 책 입니다.
9788973374601,10,달리기만 하는 사람에게 잠시 멈춤의 의미를 알려주는 좋은 책이라서
9788973374601,6,꿈을 꾸는 사람들 그리고 바쁜 일상속에서 꿈을 잃어버린 사람들... 잠깐 멈추고 지금 어떤 길을 가고 있는지 그 길이 나의 길인지 꿈을 향해 가는지 생각해볼 필요가 있다고 생각하기 때문에
9788973374601,8,"잠깐 자신을 뒤돌아본다는 것, 나무를 베기위하 낫을 간다는 것, 참으로 소중한 일이다. 바삐 살아야만 존재감을 느끼는 나 자신에게 외치고 싶다 ˝잠깐 멈춰!˝ 그리고 ˝너 지금 어디로 가고 있니?˝라고 자문한다"
9788973374601,8,아는분이 선물한책인데...넘 좋아...제가 다시구입했어 다른분께 선물했습니다..
9788973374601,10,존경하는 분이죠
9788973374601,10,"평소 좋아하는 작가님이라 더욱 기대되었고,
늘 꿈꾸던 저에게 희망을 불어넣어준 책!"
9788973374601,10,너무나 바쁘게 살고있는 현대인이라면 잠시 꼭 읽어봤으면 해요
9788973374601,8,상품평이 넘 좋아서 믿고 선물했습니다..좋아하시길 바라며.
9788973374601,10,"잠깐 슬럼프라고 느끼신다면 혹 좀 더 성공을 원한다면 꼭 읽어봐야 할 듯 만족감 ""짱"
9788973374601,10,마음에와닿고정말배울게많고무지무지감동ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
9788973374601,10,아침편지를 매일 받으면서 하루일과전에 힘을 얻고 시작합니다 항상감사합니다^^
9788973374601,10,정신없이 빠른 세상 흐름에 잠깐 휴식과 되돌아봄을 주는 책
9788973374601,10,원래 꿈을가지면 멈출줄 모르는데 아니었다 반전!!
9788973374601,6,"큰 감동은 없지만,그냥 따뜻함이 느껴지는 책임입니다..."
9788973374601,10,정말 일상을 행복하게 해 주는 글들때문에 한해를 마무리하면서 꼭 읽으면 좋겠네요
9788973374601,10,아침 편지 매일 감사히 받고 있어요. 편지와는 또 다른 에세이 기대합니다.
9788973374601,10,책도 좋은데 사실 탁상 달력도 탐이 납니다. 매일 아침 꽃마 소식도 정겹구요 :)
9788930008716,10,"이름 석 자 만 들어도 누군지 알 것 같은 시인, 소설가들은 어떻게 글을 쓰기 시작했을까? 그리고 어떻게 글을 쓸까? 그 진솔한 이야기를 들어보자."
9788930008716,10,달콤한 책.
9788930008716,10,"도서관에서 3권 채우려고 어부지리로 집어든 책, 안되겠다. 사서 읽어야지!"
9788995501405,8,아프리카 아이들과 난민에 대해 다시 깨닫게 되었다. 깨달음에서 멈추면 안 될 텐데....
9788995501405,10,많은 사람들이 읽으면 좋겠다
9788995501405,8,"사람이 귀하다는 것을 잔잔한 목소리로 알려주는 책

너도 나와 같이 귀한 사람이라는 걸
마음 깊이 울리게 해준 책"
9788995501405,8,꽃으로도 그들은 아플 수 있다
