ISBN13,rating,review
9788954648332,10,"책을 읽으며 따라가다보니 몽골 유목민의삶이 오롯이 내게로 오는것 같다. 또한 진정한 인간성, 자연과 인간의 관계 등에 대해 오랑캐의 삶의 태도, 생각에 깊이 공감하게 된다. 복잡한 현실을 떠나 몽골로 떠나보고싶게 만드는 멋진 책이다."
9788954648332,10,몽골로 떠나고 싶다
9788954648332,10,"충남 부여 신동엽문학관을 방문했는데 몽골 여행 사진전을 하고 있었다. 문학관 김형수 관장님의 아이디어인지 몽골 사진전과 더불어 지상의 마지막 오랑캐 책도 전시하고 있어 이 책을 접했다. 우리민족의 또다른 형제, 몽고반점으로 통용되는 단군할아버지 자손의 삶이 나열되어 있다."
9788954648332,10,마음에 힐링되는 책입니다.아름답고 감각적인 글로 읽는 내내 내 정신은  몽골 초원으로 날아가 있었습니다.
9788954648332,10,몽골여행에 깊이를 더해줄 것 같다.
9788954648332,10,"아 정말 좋네요. 티비에 나오는 흔한 여행 프로에서 본 몽골은 그냥 볼거리(?)에 지나지 않았다는 생각이 든다. 진짜 그들의 삶, 철학, 그리고 역사 또, 아픔.. 을 알게해준 것이 이 책의 가장 큰 장점이다."
9788954648332,10,"친구 이야기를 이렇게 재밌게 쓰다니! 그를 통해 유목민을, 몽골을 다시보게 된다."
9788954648332,10,"몽골에 가기 전에 이 책을 읽었더라면 하는 아쉬움과 몽골에 다녀와 이 책을 읽은 게 다행이라는 마음이 교차하게 만드는 책, 주변에 몽골에 다녀왔거나 몽골에 가고 싶은 사람이 있다면 꼭 추천해주고 싶은 책."
9791196826420,10,멋진 책입니다. 아이와 함께 떠난 엄마의 마음이 부럽습니다.
9791196826420,10,"바람이 불어올때 온 몸으로 바람을 느껴본 사람은 안다. 바람의 끝에는 내가, 나의 사람들이 있다는 것을… 그래서 온몸을 휘감는 바람이 차갑지만도 않다는것을 말이다. 여행을 가고싶지만 못가고, 자연을 만끽하기 어려운 지금 글로, 사진으로 대리만족을 시켜준다. 몽골에 가고싶다."
9791196826420,10,여행이 너무나도 목마른 요즘 필요한 이야기가 아닐까 싶다. 몽골의 푸른 초원과 끝없이 펼쳐진 하늘 아래서 작가가 보고 듣고 느끼고 온 것들은 글을 읽는 우리에게 작은 위로가 되어줄 것이다.
9791187342137,2,"신은미는 종북콘서트를 열다가 2015년에 대한민국으로부터 공식 추방된 자이다. 미국에 살면서도 끊임없이 북한을 찬양/옹호하는 이런 책을 낸 것도 이상한데, 비판하는 내 글을 집요하게 삭제하며 저자를 비호하는 알라딘은 이제 그 공식입장을 밝혀라. 정부의 추방령을 개무시하는건가? 이유가 뭔가?"
9791187342137,10,"오직 남북 이해 화해 평화 사랑 뿐 ! 그러나, 다른 이가 아닌 여기에서 입국조차 가로막고 있다. 부끄럽지 않나"
9791187342137,10,아랫분들은 그냥 변희재 책이나 읽으세요.
9791187342137,2,"이런 책은 무상으로 나눠져야지 돈을 받고 팝니까?.. 북한을 찬양해 달라고 부탁을 할 거면 독자들에게 돈을 주면서 읽어달라고 해도 읽을까말까일텐데... 그냥 길거리에서 일반 시민들에게 나눠주세요.. 그게 지은이, 출판사 모두에게 조금이라도 도움이 되는 길입니다.."
9788954618328,10,"르 클레지오에게서 기대할 수 있는 묵직하고 담백한 에세이. 사진, 지도 따위 필요치도 않은, 매우 아름답고 바람직한 여행서."
9788954618328,10,"소설가 르 클레지오의 여행 에세이..... 소설이 아닌 리얼함으로 그를 만날 수 있다니, 설렌다."
