ISBN13,rating,review
9791166033131,10,빵만 봐도 기분이 좋아지는 나. 빵 향기를 맡으면 나도 모르게 미소를 짓게 된다. 나는 빵순이이다. 나랑 취향이 비슷한 사람을 만나면 반갑듯이 이 책을 읽는 내내 기쁜 마음이 가득했다. 집에서 현지의 모습을 상상하면 여행가는 기분으로 읽었다. 그리고선 꼭 가볼테야!!하는 다짐도 하고ㅋㅋㅋ
9791197020148,10,"그 흔한 -해라, -해야한다. 가 아닌 새로운 책입니다. 비슷한 문체와 감성, 교훈에 한참 질린 요즘.. 유쾌한 글을 써주어서 감사합니다. 브런치에 연재하셨을때부터 남모르게 응원했어요. 예약주문해서 책장에 꽂아두니 노랑이 상큼하네요!"
9791187514114,10,저처럼 해외 여행에 두려움을 갖고 있는 독자에게 용기를 주는 매력있는 여행 안내서네요. ^^
9791195148264,10,"이 책은 여행 자체도 여행자 자체도 아닌, 여행에서의 시선과 마음을 다루고 있다. 마냥 들뜨지도 신나지도 않은 그 마음이 언젠가의 나의 여행도 떠올리게 해서 매우 편안한 독서를 하였다. 손에 스윽 감기는 가볍고도 거칠거칠한 표지와 내지도 매력적이다. 종이책으로 만나서 특히 반갑다."
9791197050008,10,"너무 아름다운 사진들, 사진보다 더 아름다운 글...한번 들면 손에서 놓을 수 없고 다 읽은 후에도 자꾸 들춰보고 싶은 책입니다. 한 번 읽을 때보다 두번 읽을 때 울림이 더 큰 책입니다. 꼭 읽어보세요!!"
9791197050008,10,친구에게 선물해주니 넘 재밌었다네요.일상에 힐링이 되는 내용이라고 합니다 추천해요
9791197050008,10,답답한 일상에 쉼을 주는 책입니다. 힘든 시기에 내가 원하는 것이 무엇인지 돌아보게 되네요. 새로운 꿈이 생겼습니다.
9791197050008,10,코로나로 부쩍 늘어난 집안일과 아이 돌보기로 지쳐 있던 마음이 시원하게 뚫리는 것 같은 책이네요!
9791159015960,10,"태국에 정통하신 외대 태국어과 정환승 선생님의 책~!지난 번의 <태국 다이어리, 여유와 미소를 적다>도 그렇고 이번 책도 몹시 기대가 됩니다.일반인을 위한 태국 관련 책을 최근 계속 저술하시는 듯 하셔서 저로서는 정말 감사드릴 따름이네요."
9791185831756,10,"‘치앙마이 한달살기‘를 위한, 치앙마이를 여유있게 그리고 느리게 즐기기 위한 단 한 권의 여행책.현지에서 직접 게스트하우스를 운영 중인 로컬 작가님이기에 더욱 신뢰와 믿음이 갑니다."
9791197219481,10,팔색조 매력을 담은 달랏 가이드북
9791197219481,8,베트남의 유럽으로 떠나볼까요? ^^
9791197219481,10,한편의 여행수기 같은 느낌을 받았다. 저자가 18년에 여행삼아 달랏에 방문하였다가 아직까지 체류중인 관계로 본인의 경험에 감성을 더하여 일기와 같이 차곡차곡 글을 적어 남겼기 때문인것 같다. 그 덕에 한편의 그림동화를 보듯이 편하게 책을 읽으며 정보를 얻을수 있었다.
9791197285110,10,문화유산ODA는 막연하게 어렵고 궁금했는데 이번 책을 읽고 친근하게 다가오는거 같았어요. 어려운 환경속에서도 천천히 세월과 함께 일을 진행하시는 연구원들에게 존경의 박수를 보내고 싶어요. 좀더 생생한 현장이야기가 담긴 다음 시즌을 기대해 봅니다.
9791197285110,10,"문화유산ODA 하면 라오스 사례를 자주 접했는데요, 라오스팀의 이야기가 있다고 해서 바로 구입했습니다. 받자마자 읽었는데, 우리나라의 ODA전문가분들의 실질적인 이야기를 접해서 정말 좋았어요. 그리고 특히 라오스의 이야기는 정말 생생해서 기대했던 것 보다 훨씬 감동적이었어요"
9791196985905,10,재밌게 잘 봤습니다. 좋은 책 만들어주셔서 감사합니다.
9791190486217,10,베트남도 감성 충만 여행지가 정말 많네요. 트래블로그로 든든하게 준비합니다.
9791190486217,10,"하노이뿐만 아니라 하롱베이, 사파, 닌빈 등 주변 지역 정보까지 상세히 잘 나와있습니다!"
9791190486217,10,"하노이에서 꼭 가봐야 할 역사 유적지는 물론 요즘 뜨는 맛집, 연계해서 가보면 좋을 인근 여행지도 잘 소개되어 있어서 좋습니다."
9788926897164,10,"베트남, 라오스, 캄보디아 각각은 알지만 세 나라가 인접해 있고 모두 프랑스의 지배를 받았었다는 사실은 처음 알게 되었다. 그들의 많은 식생활이 유럽의 영향을 받았고 그것을 각 나라만의 방법으로 해석한 모습이 매우 인상 깊었다."
9788926897164,10,"단순히 가성비 좋은 여행지로만 생각했던 베트남, 라오스, 감보디아. 이 책을 읽지 않았으면 여전히 단편적으로만 생각했을 것이다. 이들 나라 안에 숨겨진 역사적 이야기를 알고 나니 그들의 식문화가 이해가 됐으며, 이 3국을 바라보는 시선 넓어진 것 같다."
9788926897164,6,라오스랑 베트남 부분은 되게 재밌게봤는데 캄보디아 분량 너무 적은거 아니에요? 인도차이나에 맞추려고 캄보디아는 억지로 끼워넣은 느낌이에요. 캄보디아 커피 누들에 대한 얘기는 전혀 없네요.
9788927810582,10,우선 가볍게 들고 다닐 수 있어서 강추합니다. 이번달 말에 방콕을 처음가는데.. 도서관에서 책을 많이 빌려서 봤어요.. 넘 무거워서 들고 다닐수없겠다 싶었거든요..이건 정말.. 가볍고.. 힙쌕에 쏘옥~들어가는 크기..또한 안에 내용도 알차서.. 정말.. 좋은거 같아요~
9791196515607,8,이 책은 단순히 여행책자가 아니었다. 간단한 소개를 해주면서도 자신을 기록하고 싶어했다. 퇴사 여행 에세이 . 어디서 많이 들어봄 직한 그리고 우리나라의 여행서적의 대부분에 담고 있는내용이기도 한. 그런데 이 작가는 누구에게 나 이렇게 여행했어요가 아닌 나 이렇게 여행했지를 담고 있었
9791196515607,10,요새 유행하는 치앙마이 한달살기현재 당장 실천 못하지만 대리만족 할 수 있었어요
9791188829101,10,프리북으로 공부하고 여행갈 때 리얼북만 들고갔는데 리얼북이 얇고 최신 정보도 가득하고 들고다니기도 편해서 여행하는데 많은 도움을 받았어요.
9791188829101,8,2019-2020 개정판이라고 되었는데 지하철 노선도 같이 업데이트가 안 된 정보들이 좀 있는 것 같아 아쉬웠습니다. 다른 정보들은 표준적이었습니다.
