ISBN13,rating,review
9788972916529,10,김은희 작가님이 방송에서 추천해주셔서 보게되었는데 진짜 재밌어요. 읽고나면 동네 뒷산이라도 걷고싶어질거에요.
9788972916529,2,커버 디자인을 대체 무슨 생각으로..?
9788972916529,10,역시 최애 작가님이라 신작 나온 것 보고 묻지도 따지지도 않고 구매했어요. 입담 세계 최고 브라이슨 님!
9788972916529,10,기대되는책
9788972916529,10,가장  재미있게  읽은  여행기    도서관에서    두번이나  대여해  다시  읽은  기억이  새롭다
9788972916529,8,기대되는책입니다
9788972916529,6,왠지진지할듯함
9788972916529,8,이 책의 100자평이 별로 없는 이유는 사람들이 이미 구판을 사서 다 읽었기 때문입니다. 제가 읽은 여행기 중 가장 유쾌했습니다. 강력 추천합니다.
9788972916529,10,여행기에 그림이나 사진한장 없이 오로지 저자의 말로 여행을 이끌어가는 방식이 좋다. 세상에서 가장 재밌는 여행작가이자 세상에서 가장 불친절한 여행작가. 좋은책이다.
9788972916529,10,"여행지에서 읽었다. 생각보다 힘든 여행이었는데, 사서 고생하는 작가의 발랄한 고행담이 내가 처했던 상황을 전혀 다르게-발랄하게-해석할 수 있게 해줬다. 역시 일체유심조가 맞긴 한 모양이다."
9788972916529,8,책 내용은 참 재밌으나 군데군데 글꼴이 다른 글자들이 눈에 띄네요. 편집자가 놀면서 일한 듯.
9788950987879,8,읽는내내 내가간 뉴욕여행이 생각났다. 재밌어요
9788950987879,2,여행이 너무 가고 싶어 충동적으로 구매하게 된 책인데 솔직히 내용에 비해책값이 너무 비싼 것 같네요 내용이 캐쥬얼한 측면에선 나쁘진 않고 뉴욕 여행 가고 싶어서 난리나지만 뒷편에 직접 작성한 가계부도 한 두 장 정도만 보여줬어도 될 것같기에 잉여스러운 부분들이 좀 허탈하게 만드네요
9788950987879,8,"사진들이 많이 있어 여행의 추억을 떠올리기에 제격이었다. 그리고 아직 뉴욕 여행을 가지 않은 사람도 사진들을 보며 행복한 상상을 할 수 있을 것 같다. 지금은 코로나가 터져서 당분간은 여행을 못 가겠지만, 언젠간 뉴욕에 다시 갈 때 이 책을 다시 펴서 직접 쓰는 페이지를 채워넣겠다."
9788962918946,10,코로나 시대로 국내 이동도 자유롭지 못한 지금ㅜㅜ 책 한권으로 미서부 여행을 했습니다. 사랑스러운 부부의 여행기와 아름다운 풍경들 사진으로 눈호강 제대로 했네요
9788962918946,10,여행 못가는 코시국에 이만한 여행 에세이가 없다. 지루할 틈 없는 스토리 텔링이 좋았다.
9788955968873,8,"<그레이 아나토미> 볼 때마다 꼭 한번은 가보고 싶었던 도시 시애틀! 만약 미국 여행을 가게 된다면 시애틀에만 쭈욱 머물고 싶었던 적도 있었는데. 드라마의 배경이 아닌, 진짜 시애틀의 실체에 대해 깊이 알고자 하면 이 책을 읽어보는 것도 괜찮을 것 같음"
9788993690774,10,황상호 작가님 팬이라서 책 구입했는데 너무 잘 읽히고 재밌어요! <벼랑에 선 사람들> <내 뜻대로 산다> 도 정말 재밌게 읽었는데 역시는 역시!!  제가 직접 도전하진 못하겠지만 pct 하이커들 정말 대단합니다! 강력 추천!
9788993690774,10,책을 읽는 동안 하이킹을 하고 있는 기분이 들었어요. 여러명의 시각을 한권에서볼 수 있어서 더 좋네요!
9788993690774,10,"코로나19로 마음대로 움직이지 못하는 시기에 책과 함께 자유로운 여행, 기대됩니다 :)"
9788937489440,8,"내가 할 수 있는 것을 그대들도 할 수 있고, 서로 다른 장소에 살고 있지만, 똑같이 생명을 지니고 있지, 그런 한없이 존경에 가까운 존중심이 넘쳐 흐르는 느낌."
9788937489440,10,신혼여행지가 하와이였던 까닭에 하와이라는 말어 손이 저절로~ 2017년에는 다시 하와이로 가보고 싶다는 남편의 말에 기대를 해볼까나?
9788937489440,10,내가 가장 사랑하는 힐링작가
9788937489440,2,하와이 찬가랄까. 공감이 형성되지 않는건 누구의 탓인지.
9788937489440,10,하와이라~ 가고 싶었던 곳. 간접경험으로 나마.책 중간중간 사진도 너무 이쁘고 :) 감성저격
9788937489440,10,너무 아름다워서 꿈을 수반한 가수면 상태같은 느낌으로 바람을 맞고 내 머리위를 떠돌던 공기를 들이마시던 그리고 그 가치를 결코 의심할 수 없는 마술같던 풍경들에 행복했던.... 하와이의 느낌...바나나가 바라보았던 따듯한 느낌을 만나보세요^^
9788937489440,6,하와이에 대한 요시모토 바나나의 사랑이 물씬물씬 느껴져서 역시 하와이! 라는 생각이 들었다.영양가가 있거나 한 에세이는 아니지만그 두근거림만으로도 충분하다는 생각이 들었다.
9788937489440,8,바나나의 소설이나 에세이는 짧지만 잔잔하면서도 뭔가 따뜻한 글을 보여주는 작가.
9788937489440,8,"이 책을 읽고나서야 진정한 훌라춤의 의미를 알게됐다. 훌라는 하와이의 자연을 표현하는 춤이었다. 하와이의 바다, 하와이의 바람, 하와이의 파도. 훌라춤을 배우고 싶어졌다."
9788934999232,4,"글의 내용과는 별개로 ‘오하우‘라는 틀린 지명이 자꾸만 거슬린다. 2년이나 살고 왔다면서 지명이 오아후인지 오하우인지도 구분을 못한건가 싶고, 이걸 교정하지 않고 그대로 출판한 출판사도 뭐지? 싶다. 거슬려... 거슬려... 이게 별점 다 까먹고... 책장이 안넘어간다."
9788934999232,8,아주 잠깐이지만 하와이에 다녀왔다. 그때의 행복을 발판삼아 읽었더랬다.
9788934999232,10,"하와이주에 거주하는 사람이에요. 시중에 많이 나와있는 관련책...정확하지 않은 정보도 있고 마냥 환상만 가득한 내용도 많지만 이 책은 참 재미있게, 그리고 고개도 끄덕이며 읽었어요. 전자책으로 먼저 접했지만 고국 방문때는 종이책으로 소장하고픈 책이었습니다."
9788934999232,10,나는 이 책이 너무 좋다 그림과 글 모두 좋았다 이 부부가 계속해서 책을 써냈으면 좋겠다!
