ISBN13,rating,review
9791196923006,10,"어디론가 훌쩍 떠나버리고 싶을 때 이 책을 읽게 되었어요. 여행의 경로에 집중하는 다른 여행에세이와 달리 작가의 생각, 관심, 감정을 세심하고 깊이 있게 엿볼 수 있는, 그래서 더 여운이 많이 남는 책이었습니다. 그리고 삶에 지친 나에게, 지금도 괜찮다고 위로를 건내주는 책입니다."
9788959894642,10,CTC 지도를 보고 동서횡단길 우리나라도 가능할까 생각해보았다.산티아고 순례길의 반 정도 규모이면서도 경치와 정서면에서 닮았다고하니나같은 겁쟁이도 현실적인 꿈을 꾸게 만드는 도보여행기이다.탁 트인 언덕과 낮은 꽃들이 길잃은 여행자를 두려움에 떨지 않게해서 더 좋은것같다
9791197219450,10,"무한매력을 담은 스코틀랜드, 도보여행정보도 유용하고 책으로나마 여행기분 느껴서 넘 좋네요"
9791185831749,6,가이드북을 원한다면 비추입니다
9791185831749,10,"손꼽히는 ‘멀티 컬처‘ 도시 런던의 색다른 매력을 가장 끌림 있게 담아낸 <트립풀 런던>.클래식한 멋과 함께 문화예술, 미식, 패션, 라이프스타일 등을 새로운 테마로 풀어내 여행의 끌림을 더하네요."
9791196368364,10,"제가 책리뷰 잘 안남기는데 너무 마음에 들어서 글 남겨요 여행을 좋아하고 많이 다녀서 집에 각종 여행서와 가이드북이 진짜 많은데 버리거나 팔기에는 아까워서 소장하고 있다가 시간이 지나 쓸모없게 느껴지는 경우가 많은데, 지도형태의 가이드북이라 추억으로 간직하기에 너무 좋아요^^"
9791196368364,10,"새로운 스타일의 여행 가이드 북, 너무 예쁘네요^^작년 파리 갔을 때 이걸 보고 갔으면 좋았을 텐데^^올해는 런던 여행 계획 중인데요, 이 지도 한장으로 런던 여행 편하게 할 수 있을 거 같아요.다른 유럽 국가들 여행지도도 나오길 기대합니다^^"
9791185153131,8,"버지니아 울프의 시선에 담긴 1930년대 런던 거리는, 직접 내 눈에 런던 거리가 펼쳐지는 듯 묘사되어 있다.세련되고 정감있어 보이지만 섬세하게 날카로운 그녀의 눈처럼, 6편의 에세이에 담긴 분위기는 그렇게 다가온다.작은 책이지만, 곧바로 울프처럼 어디든 걷고 싶어지게 만드는 책이다."
9791185153131,6,런던 산책을 즐기던 버지니아 울프의 짧은 글 6편. 처음엔 평범한가 싶었는데 토머스 칼라일의 집을 돌아보면서 칼라일 부부의 생활 현장을 ‘노동과 수고와 끝나지 않은 싸움의 현장’이라고 명명하는 부분에서부터 감탄했다. 일상처럼 이뤄지는 산책에서도 명민한 울프의 시선을 느낄 수 있다
9791185153131,6,가볍게 읽기 좋았던 책.
9791185153131,8,다소 얇은 두께에 엄청난 여백과 줄간격에 잠시 실망했지만 버지니아의 눈으로 살펴본 런던은 역시나 흥미로웠습니다. 특히 옮긴이의 말이 참 좋았어요~ 매력적인 책입니다.
9791185153131,10,1930년대 울프가 잡지에 연재했던 런던산책 글 6개가 실려 있다. 런던의 곳곳에 새로운 시각을 입혀준다. 런던이라는 도시의 매력을 어쩌면 이렇게 잘 보여줄 수 있을까? 산책을 좋아했다던 울프가 사랑하는 도시를 산책하며 쓴 책. 재능과 애정이 듬뿍 담겨 있다.
9791186972137,10,정말 가고싶다..ㅠㅜ
9791186972137,6,음악과 역사가 있는 아일랜드 펍 100곳 방문기
9788971848227,10,정혜윤답게 많은 지식들을 바탕으로 감성적으로 써내려간 여행기.
9788971848227,10,"흔한 사진 몇 장으로 살펴보는 런던이 아닌, 머리로 상상하고 가슴으로 느꼈던 런던"
9788971848227,6,기대했던 것보다는... 글은 잘 쓰지만 취향이 다르다는...
9788971848227,6,가벼운여행관련서적이라고생각하고구매하면오산.무거운역사문화의이야기들이들어있어다소부담스러운속삭임
9788971848227,8,런던가기 전에 사서 읽었습니다. 두세번 읽고 이책을 들고 런던을 여행하세요.~~
9788971848227,8,유럽여행 때의 추억을 다시 되돌아보게 해줍니다!!!
9788971848227,10,영국의 역사와 문화 그리고 문학까지 어울어진 단순한 여행서적을 초월한 책^^
9788971848227,10,런던의 역사와 문화를 시공간을 초월해 독특한 방법으로 보여준 여행서...
9788971848227,10,런던은 항상 동경하던 도시였는데 책으로나마 접할 수 있어 좋았어요.
9788971848227,10,런던의 참모습을 잘 풀어내고 있다는 생각이 듭니다.
9788971848227,8,"런던명소에 대한 작가의 감상문 형식의 소개서,  런던에 가면 방문하고 싶어졌다."
9788971848227,10,언젠가 떠날 '나'에게 -런던을 상상하게 해 준 책!!내용과 질감과 향기까지 좋은 책!!
9788971848227,6,기존의 여행관련서들과는 조금 다른 느낌! 오래된 책에서 나는 종이 냄새가 나는 느낌
9788971848227,10,이 세번째 책으로 그녀가 풀어내는 이야기의 블랙홀에 빠졌다는 걸 확실히 알았다.
9788971848227,8,나긋나긋한 런던 읽기는 기대 이상이다. 드러누운 다리 노출 표지까진 필요없는데...
