ISBN13,rating,review
9791189930493,10,해외생활에 적응도 바빳을 텐데 생각을 정리하여 책을 낸 것이 훌륭하다. 꼭 읽어볼 책.
9791189930493,10,"어른이 된 후 한 번도 앉은자리에서 책을 끝낸 적이 없었지만, 일요일 아침에 문득 읽기 시작한 이 책은 마지막 장을 넘기고 나서야 침대에서 일어나야 함을 알게 되었습니다. 여행을 다녀온 친구에게 이야기를 듣는 듯한 편안함과 소재의 신선함이 그 원인이 아니었을까 싶습니다."
9791189930493,10,"작가가 1년 넘게 핀란드에서 교환학생으로 지내며 쓴 이 책은 핀란드에 대한 글이기도 하지만 한국에 대한 글이기도 하다. 더 나은 사회를 위한 깊은 고민을 책의 모든 부분에서 확인할 수 있다. 언젠가는 ˝세상에서 가장 행복한 나라, 대한민국˝이라는 책을 작가님이 쓸 수 있는 사회가 되면 좋겠다:)"
9791189930493,10,교육은 행복해지려고 받는 것이라는 말에 공감하는 분들께 이 책을 추천합니다. 집콕 중에도 잠시나마 핀란드의 향기와 교환학생 간접경험(?)을 느껴보고 싶은 분들께도 추천합니다.
9791189930493,10,다양함이 공존하는 평등한 사회를 만들기 위해 내가 기울이는 노력이 결국 다시 나에게 돌아올 것이라는 믿음을 얻었다
9791160360806,10,"반전있는 사연들도 있고, 너무 솔직해서 지루하지않고 재밌게 읽었어요~2권도 나왔으면좋겠습니다!!"
9791160360806,8,이민  생각하고  계신 분들에게는   좋은  참고가 될 만한  책입니다.  막연하게   좋을 거라는 생각보다   이민자들의  현실이  정말 어떠한지  적절하게  보여주는 내용이 좋았습니다.   역시  어디에  살든  간절하게  노력하지  않으면  힘들고 고달픈 세상이네요  ㅠㅠ
9791160360806,10,여러편의 소설 같은 에세이네요. 이민을 택한 사람들의 가지각색 사연이 뭉클하기도 하고 저릿하기도 합니다.
9791189930066,10,요즘같이 여행을 떠나지 못할 때... 읽으면 좋은 책. 특히 코로나로 인해 무기력함에 빠져있었는데 이 책을 읽고 무언가에 도전해봐야겠다고 다짐했다!
9791189930066,10,좋아서 친구한테 선물한 책.
9791189930066,10,유학 정보만 써있을 줄 알았는데 동기부여 에세이였다. 그래서.... 더 좋았다.
