ISBN13,rating,review
9788937461057,8,아직 읽어보진 못했지만 리뷰들 보면서 읽고싶다는 생각이 더 커지더라고요.잘읽겠습니다 ㅎㅎ 배송 매우빨라써요!
9788937461057,8,그 시대에 유행했던 이탈리아 여행에 대하여 대문호 괴테를 알수있다.
9788937461057,8,18세기 독일 지식인의 이탈리아에 대한 생각을 알 수 있었어요
9791187895190,10,책을 한번 읽기 시작했더니 놓을 수 없어 밤새 읽었습니다. 내용이 쉬우면서도 영성 적으로 깊이가 있어 좋았고 몇 군데에서는 전율이 일었습니다. 사진도 현장감 넘치고요.
9791187895190,10,"현지를 제대로 아는 사람의 안내가 담긴 여행기는 빛난다. 그리스도 신앙의 발자취와 함께하는 로마의 유적들을 보며 역사, 인물들을 깊은 묵상과 함께 만나고 현재의 내 삶과 신앙을 돌아보게 하는 거룩하고 아름다운 순례기이다. 놓쳤던 장소와 새로운 이야기, 맑은 영성이 나를 한 뼘 자라게한다"
9791189469771,10,"이탈리아 렌트카 여행을 준비하시는 분들, 이 책 한 권이면 모든 준비를 마치실 수 있습니다. 렌트카 여행의 모든 것이 담겨있는 책이에요!"
9791165210212,10,14페이지에 중복되는 구절이 있네요~ 편집 오류인것 같은데 2쇄 찍을때는 수정해야 할 것 같아요~
9791165210212,6,"힘내라! 이탈리아! 어서 빨리 건강하게 코로나사태를 극복하시길! 그래서 다시 한번 전세계인들에게 아름다운 피렌체, 아시시, 파도바의 거리를 걷게 해주시길!"
9791195976041,10,이탈리아북부 2주 자유여행에서 느낀 이탈리아 사람과 문화에 관한 가장 실제적인 내용 이었어요 역사나 자연 문화 유산은 지식관련  글이나 직접 가서보고 느낄 수 있지만 생활풍습은 설명이 필요했는데 콕 집어 썼네요 알베대단해요
9791195976041,8,"어렵지않게 술술 읽히는 내용들이다. 이탈리아 문화에 대한 기초지식이라고 생각하면 된다. 여행을 위해 그 나라에 가기 전 최소한의 정보를 얻고싶을 때 읽으면 좋은 책. 음식을 주문하는 법, 식당을 고르는 법 등 사소하지만 필요한 지식을 얻을 수 있다."
9791195976041,4,100페이지의 ‘고백‘과 245페이지의 ‘고백‘은 다른 의미인가?
9791195976041,6,"이탈리아 문화에 대해 매우 흥미롭고 쉽게 기술한 책이다. 커피, 음식, 휴가 등 다양한 부분을 보여주는데 매우 신기하게 다가왔다. 우리나라와 살짝 비슷하면서도 다른 모습들을 흥미를 불러일으킨다."
9791195976041,6,쉽고 무겁지 않게 이탈리아 문화에 대해 알 수 있는 책. 근데 그만큼 가볍기도 하다.
9791195976041,10,"별 기대없이 집어들었는데, 이탈리아인들의 소박한 일상 풍경들이 짜임새 있게 가득 차 있어서, 뜻밖의 흡입력을 지닌 이탈리아 소개서. 가능하다면 이탈리아통과 함께 그 나라를 구석구석 누벼보고 싶다는 생각이 물씬 들었다, 여타 책에선 알기 어려운 이탈리아 청소년 문화 풍경도 의외의 수확."
9791195976041,10,"이탈리아 가서 커피 한잔 마실때 알베르토의 얼굴이 떠오를거 같다. 알베르토가 들려준 이탈리아 이야기는 재미있었고 쉽게 읽혔다. 그리고 유익했다.특히,커피, 음식에 대한 이야기는 5월에 있을 이탈리아 여행의 즐거움을 더해줄거 같다."
9791195976041,10,"비정상회담의 이탈리아 대표 알베르토가 책을 냈다길래 호기심에 집어든 책인데, 잘 모르고 있었던 이탈리아의 오늘을 엿볼 수 있었다. 이탈리아의 음식이나 커피, 요즘 젊은이들 이야기(+알베르토의 어릴 적 이야기)가 궁금하다면 적극 추천."
9788994981307,8,이탈리아 미술관들을 둘러보면서 작가별로 설명을 해놨음.~근데 너무 겉만 핥은 느낌이 조금...
9788962609073,10,이탈리아 속속들이 여행하며 고수한테 감상법 배우는 기분..힐링된다..깊이 있는 큐레이션이다
9788962609073,8,미술관 여행기에 잘 소개되지 않는 이탈리아 미술관의 작품을 만날수 있어서 좋았다!
9788962609073,6,"작은 미술관이 소개된 점 자체에 의의를 둘 수 있는 책이나, 분량에 비해 너무 많은 장소를 다루려는 욕심이 있지 않았나 싶네요. 30곳이나 되는 미술관을 소개하다보니 한 미술관 별로 소개되는 작품 수도 적고, 설명도 풍부하지는 않아 아쉽습니다. 사진과 도판이 풍부했다면 더 만족스러웠을텐데요."
