ISBN13,rating,review
9791188829170,10,내용도 알차고 정보량 자체도 많지만 주제별 분류나 여행의 특색과 목적에 따른 정보도 알차고 너무 좋은 책을 만나서 기쁩니다
9791188829194,10,"책이 꼼꼼하게 정리가 잘 되어있습니다.최근 관광지 정보로 카페 맛집 등 아이와 함께 가기 좋은곳이 소개되어있어요. 시티투어, 오일장 등 생각하지 못한 아이와 갈만한 장소 추천해 주셔서 다음에 아들과 다녀오고 싶어요.제주에 살고 있지만 모르던 제주도 관광지를 알게되었어요. 감사해요!"
9791188829194,10,"요즘 제주 한달살기, 1년살기 등 장기여행도 정말 많이 하시는데 아이랑 제주여행 책 한권이면 제주 곳곳을 알차게 여행 할 수 있을 것 같아요:)제주여행정보 추천책입니다."
9791188829194,10,한달살이 계획용으로 구입한 책인데 완전 맘에 들어요! 두껍고 디테일 장난 아닙니다~~
9791188829194,10,"와! 책 소개 보고 주문했는데 기대 이상 입니다. 필요한 정보만 쏙쏙 알차고 깔끔하게 정리 되어 있어요. 진심 제주 여행책 중에 최고네요. 게다가 완전 최신판. 가족 단위도 물론 좋고, 테마별 추천 특히 맛집 추천에 진심인 책 같아요ㅋㅋ사진도 굿! 제주도 가고 싶어져요. 매우 만족&추천합니다."
9791190073066,6,광고가 없어서 깔끔합니다. 꽃구경 요일이 표시된 건 좋아요. 자꾸보다보니 아쉬운 점들이 보입니다.  거문오름에는 세계자연유산센터 표시가 없네요. 신화월드에 놀이동산 표시도 없었어요. 길 번호와 함께 길 이름도 따로 적어주신다면 제주에서 유용할것 같네요. 1131도로의 구불구불함은 어디로...
9791190073066,8,너무 좋습니다.다만 추자도에 대한 내용이 없어 추가되었으면 합니다. 그러면 정말 완벽할거 같습니다.
9791190073066,6,책은 지도로 위치와 무엇이 잇는지 보기 좋게 정리가 되서 좋네요. 근데 애월.한림부분 지도랑 함덕 부분 지도랑 내용이 동일하네요. 인쇄오류인지 모르겠지만.. 보다가 뭐지싶네요
9791190073066,10,제주도민이라고 제주도를 다 손바닥처럼 아는 것은 아님. 내가 사는 곳이나 자주 가는 곳 아니면 잘 모름. 이 지도는 관광객에게도 필요하지만 나같은 도민에게도 꼭 필요함. 나는 디지털보단 아날로그 갬성이라 휴대폰보다 종이지도가 좋음
9791190073066,10,"제주살이를 처음 시작하는 저에게, 제주를 여행 이상으로 둘러볼 모든 사람에게 꼭 필요한 책인것 같습니다!원하는 여행 스타일이 어떻든 전문적이고 꼼꼼하며 직관적인 정보들은 좀 더 알찬 제주를 느끼게 해 줄 거라 기대합니다 :)"
9791190073066,10,제주도민 20개월 경과 작년은 제주 동쪽 성산읍에서 올 해는 서남쪽 대정읍에서 거주하면서 제주를 경험 중인 한 사람으로서 세밀한  지도 작서에 감탄드리며 그간의 노고에 힘찬 박수를 보내드리며 제주를 아는 데 많은 도움이 될 것으로 확신합니다 다음에 개정판에 함께 하고 싶은 마음을 전 합니다
9791190073066,10,이 지도 하나면 제주 구석구석 가볼 수있겠어요.여러가지 제주도 지도 중 활용도가 높을것 같아요.제가 몰랐던 또 다른 제주 기대됩니다.
9791190073066,10,5년 가까이 다니던 회사 퇴사하고 9월달에 제주도로 떠납니다!기약없이 가는거라 언제 돌아올지 모르는만큼 구석구석 제주도를 여행할 계획인데 이 책 하나면 든든할거 같네요 혼자 무작정 떠나는거라 걱정반 설레임 반 이였는데 이 책 하나면 수월할것 같단 생각이 듭니다 빨리 받아보고싶어요ㅜㅜㅜ
9791190073066,10,집단 지성의 결정판! 이제 이 지도만 있으면 블로그 검색하느라 시간 보낼일 없겠네요! 강주~
9791190073066,10,깨알같은 정보가 알차게 들어있어 기대됩니다 :-)
9791190073066,10,"제주에 살고 있지만, 정말 필요한 지도네요. 관광지부터 가볼만한 곳 모두 지역별로 정리되어있어서, 도장깨기 하기 좋을 것 같아요."
9791190073066,10,"제주의 구석구석이 너무 궁금한데, 꼼꼼하게 나와있는 제주 여행지도가 있는 책이라니!!너무너무 기대됩니당!!  SNS에 나온 곳부터, 나오지 않은 곳까지 따라다니며 여행하고 싶게 만드는책!!넘넘 기대됩니당♥"
9791190073066,10,한손에 딱 들고 여행다니기 좋은 지도
9791190073066,10,제주 여행가려고 준비하려는 분들에게 필수품. 광고없는 유일한 제주지도
9791190073066,10,제주지도중 이런지도는 없지요. 개정판이 나온다니 기대됩니다. 항상 추천하는 지도입니다~^^
9791185831978,4,얇은데 알차지 않은 잡지 같은 소장용 책. 중고로 구매 추천
9791185831978,2,"내용이 너무 부실합니다. 당황스럽네요. 관광지에 대한 내용은 아~주 부실하고 카페,베이커리,서점 정도만 조~금 충실한 정도? 수박 겉핡기식 보여주기식 여행을 위한 책입니다. 진정한 여행을 사랑하는 분들은 절대 사지 마세요. 요즘 급부상하고 있는 흰 드레스입고 여행오는 여자분을을 위한 팜플렛"
9791185831978,10,제주도 여행가면서 맛집이나 여행지 일일이 검색해보고 추리기 힘들었는데 정리가 잘되어있고 보기 쉬워서 좋았습니다~! 책 한권 읽었는데 마음은 이미 제주도 가있네요~ㅎㅎ
9791185831978,10,간단명료하게 알짜정보를 잘 요약해놓아서 넘 좋아요~
9791185831978,10,많은 사진들이 있어 직접 가지않고도 제주도를 느낄 수 있어서 좋았습니다. 어서 코로나가 끝나서 책 속에 있는 곳곳을 다녀보고 싶어요.!!
9791185831978,10,요즘 코로나로 인해 해외이든 국내이든 여행을 못가는데 책으로 제주도 여행을 해보고싶어요.시간이 지나 제주도를 갔을때도 굉장히 도움이 될것 같습니다.
9791185831978,10,아름다운 제주 풍경을 담은 사진을 보는 것만으로도 제주 여행을 다녀온 기분을 느낄수 있을것 같아요^^게다가 현지주민들만 알고 있는 다양한 찐정보까지 담겨 있다고 해서 더욱 기대가 됩니다!!
9791185831978,10,"트리풀 시리즈 중에서 국내편은 아직 한번도 기회가 닿지 않았었는데요. 이번에 제주편 Trip full은 너무 기대 되고, 트리풀시리즈 감성을 가득 담은 제주 안내를 제대로 받아볼 수 있을거 같아요!바이러스 더 잠잠해지면 이 책 들고, 제주 여행 즐기기고 싶어요 정말!!"
9791185831978,10,요즘 여행프로그램에서 제주의 곳곳을 보여줘서 좋아요. 뭐가 있어서 보다 거기에 있는 경험 자체가 특별함을 주는 제주. 이 책으로 내가 있는 곳에서도 제주를 느끼고 싶어요
9791185831978,10,제주. 제주도는 우리나라지만 특별한 분위기가 있는 것 같아요. 가로수로 심어져 있는 야자수들도 다른 곳과 다른 정취를 남기죠. 제주도 여행할 때 도움이될 것 같아 참 기대가 되는 책입니다.
9791185831978,10,제주는 언제나 멋진 섬같아요. 여행자가 원하는 제주를 경험 할 수 있도록 도움을 주는 책이니 정말 제주테마여행을 기획하며 읽어야 할 책인 듯합니다
9791185831978,10,매년 여행지로 제주도를 방문하곤 하는데 이렇게 책을 통해서 제주도의 구석 구석을 이모저모 알 수 있다니 크나큰 기대가 됩니다.
9791185831978,10,제주도 주변 섬에 대해서도 꼼꼼하게 다루고 있어 믿음이 가는 책이네요. 사진도 감각적이고 멋져요~
9791185831978,10,제주도의 아름다움을 느껴보고 싶네요!!! 100배 1000배 즐길수있을것 같아요!!
9791185831978,10,"컬러풀한 사진과 보기좋게 설계된 지도가 눈에 뛰네요! 이번 여름 제주도로 티켓팅 해 놓은 상태인데, 많은 도움 받을 것 같아요. 기대되요^^"
9791185831978,10,"트립풀은 여행 할 때 정말 꼭 필요한 도서예요 ♥ 눈에 딱딱 들어와서, 다른 여행책들보다 도움이 많이 되더라구요^^ 신혼여행으로 꼭 유럽을 원했는데,, 코로나 때문에 국내로 가게된 건 아쉽지만 ㅠㅠ 트립풀 책으로 제주도를 배우고나면 누구보다 행복한 신혼여행을 다녀올 수 있을 것 같아요..♥"
9791185831978,10,"드디어 제주라니요! :-) 트리풀/방콕 편을 본 적이 있는데 여행하지 않아도 직접 다녀온 기분이 드는 책이었어요.이번 제주는 더 기대되는 책인게, 예비신랑과 제주도로 일주일 여행 다녀오기로 했기 때문이에요♥️ 히든스팟과 감성적인 여행지, 여행테마 꾸미는 데 도움이 될 책이네요!"
9791185831978,10,trpi   full이라니 여행만으로도 충만한 느낌인것 같은데요. 제주도 자주 다니는 1인으로써 아름다운 제주를 많이 경험해보고 싶어서 읽고싶네요^^ 아름다운 섬 제주도ㅎㅎ 이번 코로나 사태만 끝난다면 여행 많이 다니고 싶어요~
9791185831978,10,제주는 언제나 힐링을 선사해주지요 트립풀이 나와서 제주를 한눈에 볼수 있어서 너무 좋네요
9791185831978,10,임신막달이라서 몸이 무거워서 어딜못가는데책으로나마 제주에 향기를 제대로 느끼고 싶네요보는것만으로 힐링될거 같아요~♡♡
9791185831978,10,코로나때문에 해외여행 대신 제주도여행을 가려고 해요. 부부동반 여행이라 기대도 많이되고 가고싶은 곳도 많은데 Tripful제주 보면서 여행일정 잘 짜고 싶어요 :)
9791185831978,10,"제주도는 언제가도 다채롭고 새로운 곳 같습니다.사계절 언제 가도 그 매력이 다 다르고, 언제 가도 좋은 곳이죠.친구와, 가족과, 그리고 혼자여행 등으로 많이 찾은 제주이지만,이번에는 신혼여행으로 현재의 제 연인과 함께 제주도를 갈 예정인데Tripful 제주와 제주여행을 떠날 예정입니다."
9791185831978,10,제주도 작년에 처음가봤지만 갈때 태풍와서 제대로 구경도못했네요 책을 통해서 제주도 여러 관광지를 알고싶네요 사진과글로 구성되어있어서 읽기쉬울것같아요
9791185831978,10,가끔 제주도를 가보지만 갈때마다 사람많고 잘 알려진 관광지만 가게 되기마련이고 새로운 느낌은 없는데 다양한 너무 기대되는 제주도의 100배 즐기기를 이 책속에서 꿀팁을 알려주는것같아 궁금하네요
9791156161653,8,지도가 많이 아쉽습니다다른 내용들을 볼만합니다
9791160508192,8,"차 없이 도보와 버스여행하기를 원하는 저와 같은 뚜벅이들에게는 최적의 가이드 북입니다. 소요시간, 배차간격, 난이도, 근처 맛집 등 자세한 설명이 정말 도움이 될 것 같아요! 나중에 간편한 소책자 버전으로도 나오면 여행하면서 들고다니기에 좋을 것 같습니다."
9791160508192,10,"제주도를 버스로 여행하면 시간은 걸리지만 훨씬 여유롭고 색다른 풍경들을 만날 수 있는 것 같아요~ 책을 보니 코스도 알차고 맛집이랑 이색 카페, 작은 책방, 플리마켓 등 가보고 싶은 곳들이 가득하네요~ 멋진 사진들도 많아서 여행 가기 전부터 설레네요~~~"
9791160508192,10,"책의 구성과 내용이 알차고, 너무 좋습니다~제주 구석구석이 들여다 보이는 것 같아서이책 한 권 들고 무작정 제주로 떠나고 싶게 만드는 책이네요."
9791160508192,10,인터넷으로 구매해서 봤습니다.. 책 구성이 너무 너무 좋네요버스타고 다닐수 있는 곳들을 코스로 잘 정리되어 있어 뚜벅이 여행자에겐 정말 필수품이 아닌가 싶어요
9791160508192,10,제주는 차없이 다닐수 없는 곳이라는 생각을 가지고 있는데~ 멋진 여행방법을 소개해주셔서 감사합니다. 도움이 많이 될 것 같아요.
9791160508192,8,아직 읽기전이지만  제주도 도민이 된 지금 유용한 정보가 많을듯 하여 기대중입니다
9791160508192,10,"제주의 곳곳을 알 수 있는 좋은 책이네요. 올레길부터 자건거, 도보까지 많은 정보 감사합니다."
9788970597461,8,이 책을 따라가다보면 코스별로 가니까 뭔가 가이드라인같은 느낌이 들것 같아요
9788970597461,8,실용적이며 간략하다
9788970597461,10,좋아보여서?
9788970597461,10,제주도에는 몇번못가봐서 여행코스를 잘 모르니까 이책을 정독하고 제주도에 가보고 싶어서....
9788970597461,10,여행 목적에 맞게 다양하게 활용할 수 있어 좋아요. 특히 보기 쉬운 구성에 생생한 사진이 많아 더욱 만족스럽습니다.
9788956052922,8,"역시 실천보다 힘이 센 것은 없다. 글솜씨보다는 저자의 실행력이 주는 매력이 더 크다. 그런 까닭에 이 책은 제주의 골목길을 걸었던 경험이 있는, 그래서 검은 돌담과 노란 꽃과 파란 하늘을 만난 적 있는 독자일수록 더 쉽게 동감할 수 있을 것"
9788956052922,2,"나 유명인, 연예인들과 친하고 올레길 잘 열었다는 자기자랑 밖에 없는....중고책사서 화장실에서 보면 끝나는 허덥한 책.."
9788956052922,6,제주 올레길을 만들어낸 작가의 길과 사람 이야기. 나도 그 길을 걷고 싶다.
9788956052922,8,"역시 제주도는 여유있게 걸으면서, 쉬면서, 놀면서 즐겨야 하는 곳!"
9788956052922,8,재미있어요
9788956052922,10,올레길의 전도사께서 올레길의 속살을 비집고 들어가서 길의 아름다움을 같이 보는 시선으로 안내하는 바이블임.
9788956052922,10,제주에서 나고 청소년기를 보낸 저자의 경험이 베어 있는 가장 제주다운 책
9788956052922,10,제주에 가고 싶어진다 . 이책을 읽게 되면 ㅎㅎ
9788956052922,10,어렵지 않고 그냥 손에 잡으면 쉽게 쉽게 읽혀져서 제일 좋다
9788956052922,10,실재로 여행가는 기분입니다
9788956052922,8,걷는 즐거움이 있는 제주가 보고 시퍼요
9788956052922,10,"새로운 제주를 우리에게 보여준 올레길.
그 올레길이 시작된 이야기"
9788956052922,8,이 책을 읽고 올레길을 걸어서
9788956052922,10,"언제가도 좋은 제주!  이제는, 그 섬을 걷고 싶다!!"
9788956052922,10,제주 올레길을 직접 만드신 서명숙 저자의 올레이야기! 강추합니다  _  ㅎㅎ
9788956052922,8,일상에 찌든 나에게 제주 올레는 새로운 희망이다. 우리 아이들과 꼭 걷고 싶은길...
9788956052922,10,"별 기대 안했는데, 재미나게 읽었습니다. 덕분에 행복하게 올레길 걷을 수 있었습니다"
9788956052922,10,정말 멋진여자다!
