ISBN13,rating,review
9791197025600,10,"아르헨티나의 곳곳을 누비며 눈호강은 제대로, 인간미 넘치는 세 배우들의 호감도는 상승. 좋은 사람과 함께 하는 좋은 장소의 추억은 무엇과도 바꿀 수 없다는 사실이 새삼 뭉클하게 와닿는 책."
9791197025600,10,책이 정말 알차네요 아껴서 읽고 싶은 책입니다. 프로가 아닌 출연진들의 사진들이 실려있어서 더 친근하고 실감나네요
9791197025600,10,"시간과 계절이 지나 코로나19를 이겨내고, 트래블러가 되어 이들의 감정에 공감하고 같은표정을 할수있기를...Hola,Argentina!"
9791197025600,10,방송 재미있게 봐서 기념삼아 구입했는데 방송과는 또 다른 감성으로 읽을 수 있었습니다 마지막장을 덮고 나니 뒷표지의 등대 사진이 뭉클하네요 아르헨티나에 꼭 한 번 가 보고 싶어지는 책
9791197025600,10,사진 하나하나 다 예뻐요 :)
9791197025600,10,책이 정말 알차요 내용도 사진도 꽉꽉 차 있음 다 보고도 또 들춰보고 또 들춰봅니다
9791197025600,10,방송도 좋았지만 책으로 보니 또 다른 좋음!
9791197025600,10,500페이지 가까이 되는 풀컬러책이 이런 착한가격이라는것에 1차로 감탄했어요트래블러 아르헨티나 정말 재밌게 봤는데 책으로 읽는건 또다른 느낌이라 정리되는것같고 좋네요얼른 시국이 나아져서 여행 떠나고 싶어집니다
9791197025600,10,훑어보려 했는데 3시간동안 봤어요 방송에서 편집된 대화가 나와서 더 재밌게 읽었어요
9791197025600,10,구성 너무너무 좋아요!! 방송도 넘 재밌게 봤는데 책으로 보니까 그때의 감정이 떠오르며 더 감동적이에요 :) 아르헨티나 꼭 가보고 싶네요
9791197025600,10,"트래블러 아르헨티나를 시청하면서, 사진이 많이 실린 책으로도 나왔으면 좋겠다고 생각했었는데..그게 실현이 되었네요^^ 멋지고 예쁜 풍경들이 많아서 사진도 많이 실렸으면 했는데, 사진도 선명하고 티비에서 시청하지 못했던 사진들도 실려 있어서 돈이 아깝지 않고 읽기도 좋고 소장가치도 있네요"
9791197025600,10,책이 엄청 두껍고 내용도 많아서 좋아요. 이벤트 굿즈도 너무 좋아요.
9791197025600,10,"정말 정성이 가득한 책이네요읽는데 음성지원,영상지원 돼요찬찬히 감사히 볼게요"
