ISBN13,rating,review
9788970129327,6,"공기의 흐름같은 미묘한 것들을 잡아내는 솜씨라니. 그리고 번역가 아저씨, ACDC는 직류교류가 아니구요 모터헤드같이 록그룹 이름이에요."
9788970129327,8,개인적으로 워낙 하루키의 에세이를 좋아하기에 이번에도 흥미롭게 읽었다는... 중간 중간 들어가 있는 사진들은 보너스~^^
9788970129327,8,다시 재판되는 책인데 이전에 안읽어서 구매합니다~~잔잔하게 읽을만합니다.
9788952764669,8,세계 3대 요리고장 터키 어떤 나라인지 어떤 음식이 있는지 호기심에 구입 했네요 ㅋㅋ
9788952764669,10,웬만한 터키여행가이드북보다 훨씬 낫다. 또 가고 싶은 터키...또 먹고 싶은 것도 많다.
9788952764669,6,"신기하고 재미있는 터키의 먹거리들이 나오는데... 실제로는 하나도 찾아볼 수 없었다. 
무엇보다 이스탄불의 뒷골목은 상상을 초월할만큼 무섭다."
9788995847978,6,유럽의 이슬람문화가 궁금해서.
9788995847978,10,터키의 매력이 잘 들어난 사진과 글.
9788995847978,4,그냥 저냥 읽을만..
9788995847978,6,여행가이드 책으로는 조금 부족한 듯 합니다.
9788995847978,2,빠른 배송  및 책 상태 양호 ~감사
9788995847978,8,터키 여행의 바이블^^
9788995847978,6,터키여행중 에피소드나 개인느낌이 좀더 들어갔으면하는 아쉬움..역사얘기는 그만.
9788995847978,8,올여름에는터키에꼭가야지.
