ISBN13,rating,review
9791197360404,10,전 책을  별로좋아하지 않는사람입니다 .하지만 조영권 작가님 중국집 책부터 경양식집에서  이책까지 지루하지않고 음식사진과 피아노조율이란 매력적인 직업의 컨텐츠에 접목시켜 좋은것같아요 이제 세권째가 어떤작품일지 기대됩니다 화이팅~.^
9791197360404,10,라디오에서 며칠 전 우연히 듣고 읽어봤네요. 경양식 추억 돋네요. 몇군데 가보고 싶어지네요.
9791197360404,8,"인스타 맛집에 아주 질렸는데 이런 오래된 식당 소개 반갑다. 식당 소개도 좋지만 피아노 조율사 18년, 직장인의 애환도 함께 볼 수 있어서 좋았다. 근데 소개한 식당 한 군데도 가보지 못했는데 가보기 전에 없어지면 어쩌나 걱정이네..."
9791197360404,8,책 자체는 좋았다. 그런데 책 읽고 책에 나온 식당을 4곳 찾아갔는데 책에서 묘사한 그런 느낌은 아니었다...
9791197360404,10,"평소에 구독하던 블로그의 주인분께서 쓰신 책인데다, 경양식 매니아인지라 반갑게 텀블벅 펀딩했었습니다. 블로그 포스트들처럼 언제나 식사에 진심인 분이시기에 정보들도 알차고 가독성도 좋아서 술술 읽힙니다. sns 맛집에 지친 노포 매니아들에게 강추해요"
9791197360404,10,"군침이도네요,,,아저씨의 담담하고 담백하면서도 신난 말투가 잘 살아있어서 읽는 동안 덩달아 즐겁고 흐뭇했어요. <중국집> 재밌게 읽어서 또 샀는데, 그때 느꼈던 저자분의 매력이 그대로 살아있으면서 옛날 경양식이라니 신선했어요. 지난번에 없던 인터뷰 섹션까지 생겨서 더 유익했네요! 츄릅"
9791197360404,10,소재랑 분위기가 일본인줄 알았는데 한국책일 줄이야 ㅎㅎ꼭 읽어보고 싶네요!!
9788972916529,10,김은희 작가님이 방송에서 추천해주셔서 보게되었는데 진짜 재밌어요. 읽고나면 동네 뒷산이라도 걷고싶어질거에요.
9788972916529,2,커버 디자인을 대체 무슨 생각으로..?
9788972916529,10,역시 최애 작가님이라 신작 나온 것 보고 묻지도 따지지도 않고 구매했어요. 입담 세계 최고 브라이슨 님!
9788972916529,10,기대되는책
9788972916529,10,가장  재미있게  읽은  여행기    도서관에서    두번이나  대여해  다시  읽은  기억이  새롭다
9788972916529,8,기대되는책입니다
9788972916529,6,왠지진지할듯함
9788972916529,8,이 책의 100자평이 별로 없는 이유는 사람들이 이미 구판을 사서 다 읽었기 때문입니다. 제가 읽은 여행기 중 가장 유쾌했습니다. 강력 추천합니다.
9788972916529,10,여행기에 그림이나 사진한장 없이 오로지 저자의 말로 여행을 이끌어가는 방식이 좋다. 세상에서 가장 재밌는 여행작가이자 세상에서 가장 불친절한 여행작가. 좋은책이다.
9788972916529,10,"여행지에서 읽었다. 생각보다 힘든 여행이었는데, 사서 고생하는 작가의 발랄한 고행담이 내가 처했던 상황을 전혀 다르게-발랄하게-해석할 수 있게 해줬다. 역시 일체유심조가 맞긴 한 모양이다."
9788972916529,8,책 내용은 참 재밌으나 군데군데 글꼴이 다른 글자들이 눈에 띄네요. 편집자가 놀면서 일한 듯.
9788997225484,10,배고플때 보면 안됨 ㅋㅋ 우리 동네는 어떤 중식 맛집이 있나 읽다 말고 찾아보게 되는 마력
9788997225484,8,읽으면 중국집에 가고 싶어진다.
9788997225484,8,내용이 흥미롭고 저자의 직업(피아노 조율사)적 경험도 재미있다. 맛집 리스트에 자주 오르내리는 유명 차이니즈 레스토랑이 아니라 각 지방에 자리잡은 ‘중국집‘ 경험기. 그런데 편집상 실수가 잦아서 가독성을 내리는 요인이다.
9788997225484,8,피아노 조율일을 하시는  장인이 전국 각지 중국집에서 음식을 맛보며 숨은 장인의 정성과 실력을 발견하는 소박한 에세이!  남이 알아봐주지 않을 허름한 곳에서 수십년간 묵묵히 자기 길을 걷는 장인들이 진정 멋져 보였고 많은 것을 배우게 되었다. 배고플땐 읽기 힘들다는 것이  단점ㅠㅠ
9788997225484,10,지금까지 이런 책은 없었다.이것은 피아노조율서인가 중국집조율서인가? 만화를 읽다보면 《고독한 미식가 》의 이노가시라 고로 이야기를 닮았고 텍스트를 읽다보면 글씨를 아주 잘 쓰는 사람의 손글을 보는 것 같다.비록 중국음식을 못먹는 입장이라서 그림의 떡같은 내용이나 여러면에서 흥미롭다.
9788997225484,10,동네마다 있는 오래된 중국집들은 이미 60년이넘는다. 담담한 책으로 전국 중국집을 만나는 호사를 누렸네요. 작가님 감사합니다.
9788997225484,8,"피아노조율과 매장운영을 하는 저자의 중식탐방. 잔잔한 에세이, 만화형식, 사용된 글씨체까지 좋은 책. 내가 중국음식을 좋아해서 특히 그럴지도. 한국식 중식말고도 제대로 된 사천식의 알싸한 마라를 좋아한다. 덕분에 중국친구들이 잘 먹는다고 날 좋아하는 건 덤."
9788997225484,10,참 흐뭇하고 정겹고 즐거운 마음으로 읽었습니다  해외에도 출간되고 2권 3권도 나오게 되기를 바래봅니다
9788997225484,8,생활의달인편에서  잠시나왔던 그분이네
9791197317316,10,"언젠가 한 번쯤은, 이름 없는 행인 1의 역할로라도 상트페테르부르크라는 거대한 무대에 서 보고 싶어지게 만드는 책."
