ISBN13,rating,review
9788996724179,10,아직 가보지 않은 곳이지만 같이 여행하는 듯한 느낌입니다. 단순한 여행기가 아니라 다양한 이야기가 있어 시간가는 줄 모르고 읽게 됩니다..바쁜 일상생활에 편안한 마음으로 읽을 수 있어서 좋았습니다.
9788954638999,10,이 책을 읽으면 여행지에서의 기분을 느낄 수 있어서 좋았다.박연준 작가님의 책을 다 구매하게 된 계기가 된 책.표지가 지도라니...ㅋㅋㅋ
9788954638999,6,"✏심심하고 싶다, 무척. 심심함이 만들어내는 자연스러운 의욕에 놀라며 몸을 일으키고 싶다."
9788954638999,4,JJ는 시드니 가서 읽은 책 되새김질만...
9788954638999,8,좋아요!!
9788954638999,4,장석주의 글은 잘 읽히지않고 인용이 많았다 박연준의 글은 담백하니 좋았고.
9788954638999,4,친구같은 연인. 나이차이는 사랑의 장애물이 되지 않는다.
9788954638999,8,나도 몰랐던 사실인데 이 책을 사고 나니 장석주 마니아가 되었네요. 그동안 은근히 장석주님 책을 많이 샀었나 봐요. 예전부터 詩나 산문을 자주 보았다는 뜻.이 책은 사실 두 분이 결혼 한다는 사실이 더 놀라웠던 듯...지금은 앞 부분에 머물러 있지만 참 흥미로운 글 입니다
9788954638999,8,"장석주 시인의 저서를 좋아합니다. 박연준 시인과 같이 엮어서 그런지 그의 여타의 저서와는 분위기가 사뭇 다른 듯해요. 역시 전 장석주 시인의 글이 더 마음에 들어차네요. 박연준 시인의 글은 말랑말랑 따스해요. 일기 읽는 느낌. 축하드려요, 두 분.^^"
9788954638999,10,사랑은 힘이 세다. 그리고 혼자서 할 때보다 둘이 할 때 사랑의 힘은 더 세진다.
9788954638999,10,"어제 주문해서 좀 읽고오늘 출근길에 지하철에서 웃음참느라 고생좀 했습니다. (와인이야기 ㅎㅎㅎ)정말 솔직하고, 거침없는 글입니다일부러 꾸며낸듯 거추장스럽지않고 산뜻하네요. 읽은 부분은 만족하고 읽지않은 부분은 기대되는 책이라고 후기 남겨봅니다."
9788983798718,8,"하양증기가피어오르는 화산지대,화산이만들어낸경이로운지형들,빙하에의해형성된아름다운지형들-prolague중에서, 책장의 첫페이지를 넘기기도 전에 벌써 반할듯하다.직접 걷고, 먹고, 숙박하며 쓰여진 책이라 왠지 신뢰가 가는 책이다."
9788964372296,10,막연히 워킹가면좋다~ 워킹가라! 하는 이야기보다 현실을 보여주는 책인것 같네요! 씁쓸하지만 워킹준비하는 청춘들이 꼭 읽고가야할 워킹 필독도서인듯!!!
9788994799452,8,"구석구석 관광지가 다 나와 있는 책. 대도시 뿐만아니라 그외에 지역도 많이 소개되어 있다. 하지만 구체적으로 숙박시설, 교통시설이 설명이 나와 있지 않다는 점이 단점."
9788932316321,10,지금까지 읽어본 여행기 중 단연코 최고의 작품
