ISBN13,rating,review
9791164842254,6,궁금하긴한데...매경출판이라...
9791164842254,10,전문세 허진모 석사가 추천하길래 묻지도 따지지도 않고 바로 주문해서 오늘 받음. 기대만빵 ^^
9791164842254,10,인류의 문명발전사를 도시의 역사를 통하여 잘 담아냄과 동시에 도시의 본질을 실속있게 담아 놓은 도시 역사 필독서
9791164842254,10,26개의 도시를 중심으로 도시와 인간의 상호작용을 잘 담아낸 도시사의 역작
9791164842254,10,도시에 거주하는 사람들이 도시 생활의 압력에 대처해 온 6천 년의 대서사시!
9791164842254,10,도시 역사를 통해 인류 문명을 흥미롭게 살펴볼 수 있는 책입니다!
9791164842254,10,인류의 역사를 도시의 역사로 살펴보는 과정이 정말 흥미롭고 재미있었습니다. 상당한 두께의 벽돌책이지만 세계사를 신선한 관점으로 볼 수 있게 하면서도 가독성이 좋아서 추천하고 싶은 역사책입니다.
9791164842254,10,저자는 여러 도시로 독자를 인도하며 최고의 가이드 역할을 해 준다. 벤 윌슨보다 완벽한 여행 가이드를 만날 수 있을까?
9791164842254,10,시간 가는 줄 모르고 읽은 역사책. 도시사가 이렇게 재미납니다!
9791164842254,10,거대 도시의 역사를 통해 살펴보는 인간의 본성
9791164842254,10,"인간의 가장 위대한 발명품, 도시의 역사로 보는 인류문명사를 알 수 있습니다."
9791164842254,10,유수의 도시를 통해본 역사라니 넘 읽고싶어요! 얼른얼른 보고싶다~!!
9791164842254,10,인류의 역사와 함께한 세계적 도시들의 발달사를 한 눈에 볼 수 있어서 기대가 됩니다
9791164842254,10,도시로 보는 인류사!! 너무 기대되는 도서입니다. 도시가 과연 어떤 영향을 줬을지 궁금하게 만드는 책입니다.
9791164842254,10,많은 기대가 되는 책! 주요 도시들을 통해서 보는 인류 문명사라니 ! 너무 궁금합니다
9791164842254,10,도시를 중심으로 보는 인류문명사! 무척 흥미롭고 재미있을 것 같아 기대됩니다 ^^
9791164842254,10,인류문명사를 도시 중심으로 한눈에~이 역사기행을 어찌 그냥 넘어갈수가 있을까요. 너무 보고싶습니다~
9791164842254,10,"최초의 도시, 인류의 문명의 출발 생각만해도 신나는 여행 기대됩니다^^"
9791164842254,10,메트로폴리스 궁금한 도시들...
9791164842254,10,도시로 보는 인류문명의 역사.도시의 탄생과 발전을 각 나라 문화별로 연구한 이 책이 정말 궁금합니다.
9791164842254,10,도시의 역사로 풀어보는 인류의 역사.  매우 흥미롭고 기대됩니다.
9791164842254,10,"완전 기대되는 책! 과연 도시는 어떻게 발전해왔고, 특히 고대의 도시들은 어떤 모습이었을지.. 인류 문명 발달과 함께 그 변천사가 궁금합니다."
9791164842254,10,도시의 역사를 통해 인류문명사를 알아보는책 기대됩니다.
9791164842254,10,세계 여러 도시의 역사와 문명을 함께 볼 수 있다니 재미있을거 같아요~
9788993178692,6,세계를 바라보는 새로운 접근은 신선하나 생각보다 내용이 깊진않다는 느낌 그리고 중간중간 번역이 서툰 문장들이 있어서 살짝 거슬립니다. 누구나 가볍게 읽을 수 있을 정도의 책.
9788993178692,4,˝그러나 현재 미국에게 러시아는 대체로 유럽의 문제 가운데 하나다.˝하.... 수능특강 해설도 이거보단 친절할듯요지리학 지정학 관련 책 읽으면서 이렇게 지루하고 빡빡했던 적은 처음임
9788993178692,2,이 책은 바보같은 번역체로 통찰력 없는 사실을 나열하고있어서 백과사전 보는 기분이었다
9788993178692,6,기대에 못미침
9788993178692,10,동남 아시아와 북유럽을 제외한 전 대륙의 주요국가의 근현대사적 부침을 지정학적 또는 지경제적으로 통찰하여 흥미롭게 읽힘. 다만 번역의 일부 오류로 몰입을 방해함.
9788993178692,10,가볍게 읽기 좋다.
9788993178692,8,"아프리카 대륙까지는 흥미로웠으나, 중동 지역으로 넘어가면서 지정학적 관점보다는 민족과 종교적 갈등(중동인만큼 어쩔 수 없는 부분도 있겠지만)에 대한 팩트 나열이 반복돼 아쉬웠습니다. 영국, 프랑스, 벨기에 등이 아프리카와 인도 등지에서 저지른 만행에 대해 정확하게 지적한 점은 좋습니다."
9788993178692,8,"대충 훑어 본 근현대사...지리의 힘이라곤 하지만, 강대국의 힘에 논리에 의한 근현대사."
9788993178692,8,"힘과 균형을 통해 세계는 발전되어 왔고 앞으로도 그럴 것이리라. 특히 지정학적 위치가 각국의 과거, 현재, 미래를 가늠케 하는 요소일 뿐만 아니라, 현재 글로벌 세계에서 강국들이 영토, 자원, 경제적 실리 등을 염두에 두고 각축전을 보이는 양상은 매우 흥미롭고 관심 대목이 아닐 수가 없다."
9788993178692,8,지리학 전공을 희망하는 제게는 너무 재미있는 책입니다. 그러나 다른 후기들처럼 번역이 많이 미흡합니다. 아직 끝까지 읽진 않았지만 세상을 보는 시야을 넓히는데 도움이 될 것 같습니다.
9788993178692,2,티비엔에서 돈받고 이책을 추천해줬나보네요. 캬..이제 하다하다 출판계까지 피피엘인가요. 책이 알맹이가 하나도 없고 자기 주장도 없고.. 인터넷 기사만 뒤져도 나올 내용들입니다. 진짜 속았다. 자본에 속았어.
9788993178692,4,"잘 읽히지도 않고, 티피컬한 서양 시각으로 세상을 얘기하고 있어서 재미없었음."
9788993178692,8,"지리의 관점에서 지구촌 여러 대륙의 역사, 정치등을 조명하고 생각해 보는것은 흥미로웠으나, 좀  더 지리적 관점의 디테일에 집중했으면 하는 아쉬움과 지도가 심층적으로 더 많이 실렸으면 하는 아쉬움이 남는다!"
9788993178692,8,역사와 지리가 공존하는 재미있는 책입니다.
9788993178692,6,번역이 정말 왜이럴까요? 전문 번역가 맞나요?문장이 읽는 내내 피곤합니다. 내용은 재밌을것 같은데몰입도가 확 떨어지네요. 있는 그대로 말만 옮겨둔것 같은 느낌
9788993178692,6,"책의 내용은 매우 훌륭하지만 번역이 모든걸 다 망쳐놓았다. 시제는 대부분 엉망진창이고 그밖에 문법적 오류는 오역 축에도 끼지 못할정도로 오역이 많았다. 역자가 서반어, 불어 전문이던데 왜 영문원서 번역을 맡겼는지 의문."
9788993178692,10,작년에 너무 재밌게 읽음 소장가치가 있음
9788993178692,2,내용이 좀 얕고 기자들 특유의 과장이 많은 느낌이다.글도 눈에 잘 들어오지 않는다. 게다가 중국 미국 근사하고.. 그래서 어쩌라는건지?
