ISBN13,rating,review
9791135459757,10,책을 다 읽고 알았다. 본인을 여자라고 밝히지 않았다면 저자를 남자라고 알고 살았을거같다.
9791135459757,10,책이 무척 두껍지만 생각보다 빠르게 읽기는 이야기 형식의 책 리더만을 위한 책이 아니라고 생각된다.
9791135459757,10,이런 좋은 책의 가치를 일개 개인의 이익관계로 평가 절하하는 우매한 사람들..쯧쯧
9791135459757,2,역대급
9791197293467,10,중학생 아들과 함께 너무 재미있게 읽고있습니다.중요한 내용을  짧지만 알기쉽게  이야기해주셔서  아들도  엄청 흥미있다하네요.
9791197293467,10,미국의 개척사를 지명이라는 돋보기와 졸보기를 통해 맛깔나게 풀어 쓴 책.
9791197293467,2,오류정정P94 하단˝왕자 에드워드 4세를 얻지만 얼마 후 왕자는 요절하고 만다.이제 왕위를 계승할 왕자는 사라지고..˝헨리8세 생존한 첫아들은 에드워드 6세이고 부왕 뒤를 이어 왕이 되지요. 재위6년여 10대 나이에 죽고 메리. 엘너자베스 누나들이 여왕이 되고요.기본 fact 인데 아쉽네요
9791197293467,8,미국이 어떻게 만들어졌는지 알 수 있은 것 같군요
9791197293467,8,요즘 미국 대선 이후 관심이 많이 가고 있는데 이 책으로 배경지식을 쌓으면 되겠네요!
9791159014390,2,사진 칼라 라지만 즈그들이 찍은것도 아니요. 위키에서 컨씨 컨브 ㅋㅋㅋㅋㅋ진짜 소개해주는게 맞는건지 현실감이 완전 떨어진다.남미에 한번 가보기는 했을까?정부에서 나오는 지원금 신청해서 타먹고으려고 연구비나 신청하고 대충 끄적끄적 이걸 연구결과라고 낸거 아닐까....
9791189938369,10,"미국을 알려는 자, 이 책부터 숙독하여라"
9788972911722,8,"마르케스의 <백년동안의 고독>을 읽으면서 함께 읽다. 근현대로 갈수록 멕시코의 역사에 치우친 한계는 있지만, 라틴아메리카 인민들이 거쳐온 삶의 궤적의 험난함, 고뇌, 좌절, 그럼에도 불구하고 희망에 대한 저자의 애정이 엿보이는 책이다. 아직 제대로 된 라틴아메리카 통사가 없는 것이 현실"
9788972911722,8,소설가가 쓴 라틴 아메리카 통사. 470여 쪽에 작은 글자에 문장이 매끄럽지 않지만 제법 잘 읽힌다. 아마 이 한 권으로 라틴 아메리카에 대한 대략적인 이미지를 정리할 수 있지 않을까 한다. 추천.
9788972911722,10,"소설가로 유명한 칼를로스 푸엔테스, 그가 정리한 라틴 아메리카의 역사. 정교하면서도 체계적인 서술에 문학적인 색채까지 더해져 읽기 딱 좋다."
9788972911722,10,"현재의 스페인과 라틴아메리카의 관계, 역사인식을 일목요연하게 습득할 수 있는 탁월한 학술서다."
9788972911722,10,라틴 아메리카의 역사를 알 수 있다.
