ISBN13,rating,review
9788958624950,10,"근현대에는 한중일의 교류가 전과 비교 안 되게 잦아져서, 삼국의 역사를 따로 떼어놓고 파악할 수 없다. 하지만 삼국 각각의 민족주의 및 정치적 입장 때문에 해석 뿐 아니라 사실관계조차 왜곡되곤 한다. 그런데 이렇게 삼국 학자들이 공동으로 역사를 인식하려는 노력을 하다니 다행이다."
9788958624950,10,한중일이 아픈역사를 뒤로 하고 발전적인 방향으로 나가길 기원합니다유로처럼 같은 통화를 쓰는 시대가 올른지..
9788958624950,10,한중일 세나라의 근현대 역사를 하나로 꿰다. 동아시아와 세계의 역사를 정리할 수 있는 좋은 책~
9788958624950,10,"아는 지인의 추천으로 구입하였습니다. 읽어보니 학술계에서는 많은 부분 역사인식의 통합작업이 진행되어가지만, 진실을 왜곡하고 표를 의식하는 정치인들만이 삼국 갈등을 끊이지 않도록 만드는것 같아 안타깝습니"
9788958624950,8,"근대에 한중일 세나라의 관계는 최악이었다. 일본은 한국을 식민지화, 중국과는 전쟁을 하였다. 다른 역사관을 가질 수 있는 세 나라의 역사학자들이 객관적 역사관을 가지고 서술한 책이다"
9788958624950,8,e북으로도 빨리 내 주시기 바랍니다.
9791188990597,10,중앙아시아의 역사가 궁금해서 구입했습니다. 두고두고 읽을 책이네요.
9791188990597,10,"중앙아시아사의 세계적 석학, 피터 골든 교수님의 글을 한글로 접할 수 있게 되어서 영광입니다. 감사합니다."
9791188990597,10,지금 당장은 못사지만 이사 후 구입하겠습니다. 김호동 교수님께서 편집중인 것으로 알고 있는 케임브리지 중앙유라시아사도 빨리 번역되어 나왔으면 좋겠네요..
9788976964380,10,경성콤 필독서
9788976964380,10,에세이 형식이지만 그 깊이는 최고다!!!
9788976964380,8,"광범위한 자료의 섭렵과 분석을 통한 빼어난 역사에세이. 강추!동아시아의 현대 노정을 추적하는 일은, 내재적으로 전개되어온 동아시아 현대의 역사적 광경, 그것이 19세기에 도래한 ‘식민 현대‘와 맺은 복잡한 관계, 그리고 서구의 현대성에 대한 독점적 해석을 타파하는 과정을 탐색하는 것이다."
9791158520892,10,역시 박사님 너무 재미있게 잘 읽었습니다. ^^
9791158520892,10,"현재 김정민 박사님의 ☆유투브 동영상☆ 진짜 반복해서 계속 보고 있습니다. 드디어 책을 사서보게되네요^^  여러번 읽겠습니다!  김정민 박사님의 명강의 최고! <단군의 나라, 카자흐스탄> 읽어본 후 지인들에게 선물 중입니다^^"
9791158520892,4,색다른 내용이지만 이런류의 역사에 관심이 있다면 한단 고기를 제대로 읽는  것이 더 나을 것같다. 무엇보다  이 책을 쓴 작가가 유투브에서 강의한 것을 들어 봤는데 과학이니 하며 독립항쟁을 비웃고 우리 역사를 비난 일색로만 설명하는데  놀라웠다. 이 작가분은 뉴라이트가 아닌가 의심스럽다.
9791158520892,10,"흑백사진들이 아닌, 컬러사진이 이 책에 담겨있어 더욱 눈에 쏙쏙 들어왔던 것 같습니다. 어느 한부분도 가볍게 지나치지않고 친절히, 자세하게 나와있어 더욱 좋았습니다. 오랜만에 제대로 공부한 느낌이 드네요."
9791158520892,10,"카자흐스탄이 단군의 나라라니, 카자흐스탄은 생소하지만 새롭게 알게 된 흥미로운 나라입니다."
9791158520892,10,잘 몰랐던 시대의 상황과 모습들을 볼 수 있어서 좋습니다.
9791158520892,10,중앙아시아에서 온 우랄 알타이어족인 단군의 이야기는 최근에서야 접한 역사입니다. 카자흐스탄이 단군의 나라라니 새롭네요. 낯선  카자흐스탄을 알게 된 책입니다.
9791158520892,10,낯선 나라의 이야기는 언제나 새로운 동화책이나 미지의 지역에 대한 호기심을 불러일으켜주어 너무나 좋습니다. 더구나 그것이 정보가 너무 부족한 지역의 이야기라서 출간 자체만으로도 의의가 크다 생각합니다.
9791158520892,10,카자흐스탄의 역사에 대해서 알수 있는 책이 출간되어서 무척 반갑습니다. 꼭 읽어봤으면 좋겠습니다.
9791158520892,10,고조선 이전 역사 속에서 카자흐스탄과 한국과 유사성이 매우 높다니 매우 놀랍네요.특히 우리동포들이 많이 거주하고 있는 곳이라 더 자세히 알고 싶은 마음이 듭니다.
9791158520892,10,구성도 좋고 내용도 탄탄하니 흥미롭고 재미있네요 기대 이상이었습니다
9791158520892,10,우리가 잘 알지 못하는 카자흐스탄에 대하여 문화적이나 역사적으로 책으로 쉽게 알 수 있게 저술되어 있어서 조금이나마 도움이 될 수 있도록 저술되어 있어서 좋은 것 같습니다.
9791158520892,10,우리의 잊혀진 역사를 바르게 알아감으로써 우리는 자주적인 역사관을 가질수 있다고 저자는 말하고 있습니다. 현대 우리는 역사관을 바르게 정립하는것이 얼마나 중요한가를 절실히 깨달고 있는 상황이라 이 책이 큰 의미가 있다고 생각합니다. 책을 읽으며 우리 민족과 역사에 관해 생각했습니다.
9791158520892,10,모르고 있던 사실들이 많아 흥미롭고 재미있네요 생각보다 좋았습니다
9791158520892,10,카자흐스탄이 이런 나라인지 처음 알게되어 유익하네요
9791158520892,10,카자흐스탄의 시각자료 기대되네요
9791158520892,10,생각보다 모르고 있던게 많았네요 흡사한 점이 많아 신기하기도 하고 재미있었습니다
9791158520892,10,색다른 시선으로 보는 카자흐스탄 기대되네요
9791158520892,10,카자흐스탄에 대한 내용이군요 우리 민족과의 연관성등이 흥미롭게 느껴집니다
9791158520892,10,"단군의 나라, 카자흐스탄 컬러판이네요. 어떤 내용일런지 궁금하네요."
9791158520892,6,우리 민족의 원류가 몽고 유목민족이니 유사성이 많을것 같네요. 비슷한 것들의 비교해보는 재미가 있을것 같습니다.
9791158520892,6,다양한 시각은 좋지만 너무 국수주의로 빠지지는 않았으면 합니다.
9791158520892,10,민족을 구분해서 바라보는 역사와 거시적이고 통합적으로 해석하는 역사는 앞으로의 국제 교류에 있어서도 큰 차이를 가져올 것 같네요.
9791158520892,10,"유라시아의 민족-언어-인물 등에 대한 고대사에서 한국과의 연관관계에 대한 이해를 돕는 데 탁월한 서적인 듯 합니다. 단군의 나라라는 키워드에서 볼 수 있듯, 우리 민족의 근간에 대한 이해가 필요하기에 한 번쯤 읽어볼만한 책이라고 봅니다."
9791158520892,8,우리 고려인들이 많이 사는 지역이라 새로운 시장개척에 이 책이 많은 도움이 될 하네요
9791158520892,10,정말 가보고 싶은 나라입니다. 책으로라도 그 곳에 다가가봅니다.
9791158520892,10,카자흐스탄이 이런 나라인지는 처음 알게되었는걸요 . 한번 읽어보고 싶어지네요
9791158520892,10,카자흐스탄 매력적인 나라입니다. 친해지고 싶습니다. 이 책을 우선 읽자구요.
9791158520892,10,카자흐스탄이란 나라가 더욱 궁금해지네요그들은 어떤 생각을 갖고 어떤 생활을 하는지 알고싶어져요 -
9791158520892,10,카자흐스탄과 단군이 어떤 관계가 있는지 궁금하군요.
