ISBN13,rating,review
9788967358716,10,티머시 스나이더의 ‘블랙어스‘ 를 읽던 중에 굳이 이 책을 잡아들인다.
9788967358716,10,거장이라는 칭호가 어색하지 않은 티머시 스나이더. 2차 세계대전을 ‘이해’하려는 모든 이들을 위한 책.
9788967358716,10,기대합니다! 이런 벽돌을 꾸준히 내주시는 글항아리에 감사드립니다
9788967358716,10,정말 재미있는 책일 것 같습니다.
9788967358716,8,넘 기대됩니다! 히틀러와 스탈린 사이의 이야기가 궁금하네요
9791159017988,10,이책은 스페인의 과거에서 현재까지의 기간과 문화에 대해 알려주고 있어서 좋아요(^^).
9791127422042,10,그림 설명만 봐도 재미있다. 브리저튼 덕분에 찾아낸 볼만 한 책.
9791127422042,10,영화나 만화에 많이 나와 궁금한 사교계의 자세한 이야기. 사교계 예절에 대한 정보를 상세하게 알 수 있다 빅토리아 시대 사람들(특히 여자들)은 어떻게 그러고 살았을까.. 너무 피곤하고 정~말 가식적이다 이 책을 읽고 나니 확실히 사교계 배경의 영화 등에서 인물의 행동이 이해가 더 잘된다
9791127422042,6,꽤 흥미있게 읽었다.
9788994655659,10,"스페인 가기로 하고, 단숨에 읽고는 빨리 가고 싶어졌어요.. 2주간 딸과의 스페인 자유여행에 많은 도움이 됐어요. 기차 타고 갔다온 달리미술관 잊을수가 없네요~"
9788994655659,6,책은 재미있는데...같은 내용의 반복이 많아서 아쉬워요.
9788994655659,10,요즘 홈쇼핑 어디서나 봐도 스페인 여행상품이 굉장히 많더군요. 티비에서도 스페인 여행 관련 프로도 많구요. 핫하게 떠오르는 스페인! 스페인 음식에 관심이 가서 책을 사보게 되었는데 스페인 역사와 문화에 대해서 더 많이 알게 되었네요. 스페인에 대해 궁금하시다면 강추하는 책입니다.
9788994655659,10,"잘 몰랐던 스페인의 역사와 문화에 대해 쉽게 설명되어 있어서 재미있게 읽었다.턱받이를 하고 태워?!먹는 대파인 칼솟도 먹고 싶고, 잔인할 것 같기도 하지만 두 눈으로 직접 투우도 보고 싶고, 돈키호테의 생가와 구엘공원에도 가보고 싶다. 바로 스페인으로 떠나고 싶어지는 책ㅎㅎ"
9788994655659,6,스페인 여행 준비에 도움 되는 책
9791186293324,8,"고대그리스사를 사회, 문화, 예술등으로 잘 나타내져 있다. 전체적으로 간략하지만 읽기 편리하다."
9791186293324,8,화려하고도 찬란한 문명을 자랑했던 고대 그리스의 모든것. 선사시대부터 헬레니즘 시대까지 고대 그리스의 역사와 문명 그리고 그리스 인들의 삶 이야기가 생생하게 와닿는다.
9791186293324,10,고대 그리스 사의 이야기를 한눈에 볼수있는 책
9791170247999,6,이런책이 흔하지 않아 빌렸으나번역이 너무 초보 테가 나네요그래서 가독성이 떨어집니다체계적이기보단내용도 산만한 감이없지않아 있습니다가문 중심으로 저택 위주의 소개 많네요가문의 발생부터세세한 생활을 기대했다면 실망..차라리 같은 출판사에서 나온영국 메이드의 일상이 더 재밌고 생활을 알기 쉽습니다
9791170247999,8,사진과 사료등이 풍부한 책. 글쓴이의 빅토리아 시대에 대한 해박한 지식이 나열되어 있어 좋았습니다. 뒷부분에는 실제 성의 탐방기가 상당한 분량을 할애하여 실려있습니다.
