ISBN13,rating,review
9788967358624,2,책 내용은 마음에 듭니다. 하지만 책 상태는 육두문자가 바로 나올 만큼 최악이네요.
9788967358624,10,현재의 일본의 기원
9788967358624,8,"모순을 모순이라고 생각하지 않는 일본인, 그토록 미국을 선망하며 한국을 얕잡아 보는 그들의 특성을 제대로 파헤치는 책이 될 것 같아 기대된다."
9788967358624,10,정말 기대됩니다!
9788967358624,10,40년 넘게 일본에서 살아온 태가트 머피라는 그의 눈을 통해 겉으로 보이는 일본이 아닌 현실 그대로를 보고싶다.
9788967358624,10,"우리의 영원한 적수, 일본의 이야기.  이제 피하기보다 꿰뚫어보고 싶다."
9788967358624,10,"내용이 무척이나 흥미롭습니다. 일본의 역사와 문화에 대해 관심이 많은데 일본은 알면 알수록, 보면 볼수록 우리나라와 비슷한 듯 하면서도 전혀 다른 나라라는 사실입니다. 이 책을 통해 일본인들의 정체성에 대해 세세하게 알 수 있을 것으로 기대됩니다."
9788967358624,10,저자가 보는 느낀 일본을 내가 보고 배운 것과 또 다른 이야기가 있는지가 궁금하네요!
9788967358624,10,일본의 새로운 모습을 볼 수 있을거 같아 기대됩니다.
9788967358624,10,제목이 신선하네요. 일본은 정말 다 안다고 하기가 위험할 정도로 실은 다양한 얼굴을 하고 있잖아요. 궁금합니다~
9788967358624,10,일본통으로 알려진 저자의 눈을 통한 일본의 실체를 알아가는 책일것 같아궁금합니다.
9788967358624,10,저자가 말하는 과거의 굴레라는 것은 어떤 것일까?가깝지만 먼나라 일본.. 과연 일본을 바라보는 서양인들의 시점은 어떠한지 궁금하다
9788967358624,8,루스 베네딕트의 국화와 칼과 비교해보고 싶다
9788967358624,10,미국인의 눈으로 본 일본. 가깝고도 먼나라 일본을 알아봅니다
9788967358624,10,"가깝고도 먼 나라 일본, 일본에 대해 자세히 알아보는 계기가 될 것 같아요"
9788967358624,10,목차를 보니 <국화의 칼>이 생각나네요. 역사는 중국 다음으로 일본이 재미나죠. 일단 구입.
9788967358624,6,사서 읽어보겠습니다.
9788958285236,6,지도와 도표를 적극 활용해서 일본 역사의 이해를 돕는다.
9788958285236,8,지도로 톺아보는 가깝고도 먼 이웃 일본의 역사.
9788958285236,4,다른 아틀라스 시리즈에 비해 지명이 너무 성의없이 표시가 되어있어 지명을 찾기 너무 힘들다. 다른책들은 빼곡하게 중복적으로 지명을 계속 나타내고 있는데 말이다. 일본사 책을 보면서 지명 하나 찾으려고 하면 열불남..ㅠㅠ
9788958285236,10,일본 역사를 흝어보는데 아주좋다. 일본역사 입문서로 추천
9788958285236,10,"역사를 공부할 때 지도는 매우 중요한데 이 책은 지도가 알차다. 지도만 보아도 좋고, 내용을 샅샅이 훑으면 더 좋다. 가깝고도 먼 일본을 이해하는 데 큰 도움이 되는 책이다."
9788958285236,10,"일본이란 국명과 천황제도를 1500년 이상 유지하고 있는, 현존하는 지구상 가장 오래된 나라 일본. 그들의 통사로 읽을만 하다."
9788958285236,10,역사는 지면(紙面) 위가 아니라 지면(地面) 위에서 펼쳐진다는 자명한 사실을 확인시켜주는 기초 과정 텍스트 일본편.
9788958285236,10,지도가 매우 훌륭! 뒤에 부록으로 붙어있는 대형 일본지도는 때땡큐! (다른 시리즈에도 붙여주세요~~~~ ㅠㅠ) 게다가 지도책에 크게 기대하지 않는 ｀내용글｀도 훌륭하다! 술술 잘 읽히고 요약이 잘 되어 있어서 금상첨화다.
9788958285236,10,이유 없이 반일을 이용하는 정치인.. 그것을 보고 나는 의문감 호기심이 들기에 지피지기는 백전백승.
9788958285236,10,머릿속에 전체적인 일본사가 그림으로  그려지도록 지도와 함께 제대로 이해쉽게 만들었다. 도판이 많아 친절하며 개성있는 설명들이 지루하지 않다.기다려라 일본....
