ISBN13,rating,review
9791189946913,6,김영민 교수의 책은 늘 기대가 되지만 요즘 알라딘은 고가 전략으로 가기로 한 모양이다. 타 서점과 달리 할인이 없네.
9791189946913,10,고화질 그림이랑 지도도 많고 다 컬러라서 보는 재미가 있습니다
9791189946913,10,중국을 읽었네요
9791189946913,10,이 책 정말보고싶다!!!!
9791189946913,10,책 한권으로 중국이라는 나라를 꿰뚤어본다는건 사실 불가능할것 같다. 하지만 저자가 얘기한 것처럼 한국을 이해하려면 그 주변까지 훑어야 큰 맥락을 이해할수 있다는 수준에서 중국의 본질을 깨우치기에는 충분히 가치가 있는 책인것 같다.
9791189946913,4,정치사상사에서 흔히 논의되는 개념들을 단지 중국통사라는 교과서를 시도한 책. 소공권 이후 이 분야 교과서가 없었던 이유는 기존학계에서 더 이상 그와 같은 통사를 쓸 필요를 못 느꼈기 때문. 원서를 봤을땐 기존의 저자 논문들을 엮은 책인데 특정 주제가 아니라 교과서로밖에 엮지 못한 한계가.
9791189946913,10,칼럼과 책을 통해 만난 동료시민 김영민이 좋았다. 학자 김영민은 어떤지 궁금하다. 류쩌화의 책과 비교하는 재미도 있을 듯하다. 사서 읽어볼 수밖에.
9791189946913,10,선생님 팬입니다. 일단 별다섯개박고 시작하겠습니다~
9788974832100,4,전반적인 중국사 한번 보는 느낌 ??
9788974832100,10,정말 좋습니다 동양사 무식자가 동양사에 재미를 느낄 수 있게 해준 책입니다 :) 한위중 열심히 읽어서 임용도 합격하고 중국의 역사도 재미있게 알게되길!!
9788974832100,6,인내심을 가져야 끝까지 읽을 수 있다.
9788974832100,6,쉬운 개설서를 찾는다면 나쁘지 않다.
9788974832100,10,"방대한 중국사를 한국인의 눈높이에 맞춰 쉽게 풀어쓴 책으로 컬러 유물 사진이나 그림이 수록되어 있어 중국 역사를 이해하는데 도움이 된다. 활자가 커서 보기에 좋고, 내용도 충실해서 중국사 교재로 좋다."
9788974832100,4,목차만 봐선 일반 중국사와 차이점을 모르겠네.. 우리역사에 맞춰 서술돼야 하지 않나.
9788974832100,10,외곽지역임에 불구하고 하루만에 받았습니다.
9788974832100,8,새롭게 쓰여진 역사의 이해서...
9788974832100,10,단순교양서보다는 임용수험서에 가까운 듯;; 강좌중국사 읽기전에 읽으면 좋대요^^
9788974832100,10,중국사를 공부하는 사람에게는 꼭 필요한 서적 기초적인 부분부터 하나하나 집고있음
9788974832100,4,1부는 괜찮으나 2부는 뒤죽박죽 겹치고 빠진 서술 등 실망.. 강좌중국사 짜집기 한듯.
9788974832100,8,개론에 비하면 한결 수월하다. 내용도 알차고...
9788974832100,8,임용필독서
9788974832100,10,"오자있습니다. 21쪽 하단 그림설명에서 오른쪽->왼쪽, 왼쪽->오른쪽으로 바꾸어야 함."
9788974832100,8,"동양사개론에 비해 내용은 소략하나, 쉽고 그림과 사진(컬러)다수 수록되어 있음."
9788974832100,10,쉽게 쓰여져 있으나 내용은 알찬 책
9788974832100,10,공부에 필요한 책이라 샀는데 너무 좋네요~ㅎ
9788974832100,10,"중국사의 전반적인 이해를 하기 쉽고, 글씨도 커서 읽기 쉬운책이랍니다."
9788974832100,10,"동개론에도 없는 내용이 많이 담겨있습니다, 특히 근현대사는 완벽한 것 같군요."
9788974832100,10,책좋습니다
9788974832100,8,중국근현대사 부분이 잘 되어있는것같습니다^^
9788958289081,6,지도가 있어 전체적인 그림을 그리기는 좋았음.세세한 내용들이 있으나 .. 머리에는 잘 안들어 옴.
9788958289081,8,넓은 공간에서 기나긴 시간 동안 펼쳐진 중국 역사를 백여 개의 지도로 살펴본다.
9788958289081,10,중국사 공부하는데 많이 도움이 됩니다. 특히 처음 공부하는 사람에게 많은 도움이 될 책이네요^^
9788958289081,8,중국사를 흝어보는데 좋다. 그런데 중일전쟁부분과 문화대혁명 같은 근현대부분은 지도 활용이 기대보다 많이 떨어졌다. 사건이나 사태의 전개를 지도로 자세히 보여주길 기대했는데 이부분은 너무 약해서 실망했다. 다른부분의 지도활용은 괜찮다.
9788958289081,10,지도를 중심으로한 역사서 중 아틀라스 시리즈는 단연코 훌륭하다. 신석기 시대를 출발점으로 근현대 중국까지 수록된 도록도 보기에 좋고 연표가 잘 정리되어 있어 좋다. 교과서적인 참고도서지만  여러 가지 이론적인 내용이 수록되어 있어서 유용하다.
9788967358600,10,글항아리가 외서 고르는 안목은 진짜 리스펙트. 이번 책도 흥미진진하다.
9791191260892,6,공자의 식탁이라는 이름으로 나왔다 절판된 책의 개정판인지 재출간인지는 모르겠다. 구판인 공자의 식탁에는 ‘이러이러했을것이다‘ 라고 불확실하게 쓰인 문장은 없던데 번역자가 문제인가? 구판책 내용만 가지고 말하면 가볍고 재미있게 뚝딱 한시간 정도 읽을수있는 책.
9791191260892,2,형편 없는 책이다!이 책에서 취할것은 그럴싸한 제목과 표지 뿐이다.저자는 ˝ 잘 모르겠다 ˝ ˝ 문헌에 나와 있지 않다˝ ˝ 그럴 거라 생각된다˝ ...  확실한 주장없이 이런 말들만 지껄이고 있으니 도대체 무엇을 연구 하고 썻는지 모르겠다.이따위 책을 끝까지 읽는것은 정력 낭비다!
9791191260892,8,사료를 통해 다양한 중국 음식과 식생활 등을 알아볼 수 있어 유익하다.
9791191260892,8,한중 음식 문화사에 관한 논쟁이 진행중인 지금 시국에 읽어야 할 적절한 주제의 책이다!
9791191260892,10,중국 5천년 미식의 역사 흥미롭습니다. 시대별로 들려주는 이야기들도 흥미롭고 음식들의 역사가 생각보다 짧은 점은 놀라웠어요
9791191260892,10,중국음식과 요리에 대해 알 수 있고 그들의 역사와 문화까지 생각하게 하는 책입니다 :)
9791191260892,10,5천년 역사 속에 또 다른 중국의 식문화를 알게 되었다!
9791191260892,10,“식탁 위의 중국사”는 무심코 지나칠 수 있는 중화요리를 주제로 중국사를 관통하는 음식의 문화사를 펼쳐내고 있습니다. 문화사에 관심이 많은 독자에게 일독을 권해드립니다.
9791191260892,10,한 상 가득 펼쳐진 오천 년 미식의 역사. 정말 연구해볼 만한 가치가 있는 식문화 책.
9791191260892,8,"음식만큼 문화를 빠르게 반영하는 것도 있을까? 중국의 역사와 중국의 요리를 한눈에 알수 있는 책. 현재와는 다른 모습의 중국요리, 오늘날의 요리가 오게 된 배경을 모두 알 수 있었다."
9791191260892,10,<식탁 위의 중국사>는 중국의 여러 가지 상황들을 고려해 볼 수 있는 동시에 음식 문화의 다양한 변화에 대해 살펴볼 수 있었던 흥미로운 책이다.
9788954658362,10,요리에 대한 묘사만으로도 음식을 먹고 있는 것 같은 기분이 드는 즐거운 책.
9788954658362,10,미식 가이드가 아니고 중국 전문가들이 중국 요리를 주제로 해서 쓴 중국 문화 해설서이다. 내용에 깊이가 있고 출전(出典) 조사도 잘 되어 있어 읽을만한 가치가 충분하다.
9788954658362,10,"짭쪼름한 맛과 새콤한 맛, 달콤한 맛이 조화를 이루고 있는 오향장육처럼, 상상하는 재미와 보는 재미, 알아가는 재미가 조화를 이룬 맛있는 책."
9788954658362,10,"평소 즐기던 음식에 대한 유익한 정보를 얻을 수 있어서 유익해요..단, 읽으면서 식욕이 폭발하는건 주의! 해야 해요.강추!"
9791157201693,8,개론적인 내용 이해에는 좋으나 / 신해혁명 이전 명칭까지 중국식으로 발음하는 경우가 있고 몇몇 잘못된 사실 기입 (삼국연의에는 유비가 차를 구하는 대목이 없다)
9788936458522,10,"생각보다 너무 잘 읽혀서 놀란 책. 다이제스트는 원래 쉽고 간결하긴 하지만, 이렇게 간결하고 쉽게 읽히는 책은 처음. 중국의 시초부터 시작해 현대 중국인의 내면을 보여주는데 물흐르듯이 자연스럽다. 산 지는 2년 되었는데 안 읽고 있었는데 하루만에 읽었다."
9788936458522,8,저자의 글쓰기 능력이 탁월하다. 뻔한 주제이지만 잘 읽히는 좋은 글.
9788936458522,8,중국에 대한 대중 가이드북. 적당한 깊이에 깔끔하게 씌여 있어 중국을 알기 위한 시작점으로 이 책을 읽으면 좋을것 같다.
9788936458522,8,"광대하고 광활한 중국. 한 사람이 한 권에 담아내는게 가능할까 싶지만, 이 정도라면 편하게 쉽게 간단하게 읽을만하다."
9788936458522,8,중국을 다 알 수는 없다. 그러나 색깔은 어느 정도 알 필요가 있다. 이런 의미에서 필요한 책이다.
9788936458522,8,중국을 공부하고 싶다
9788936458522,8,잘 모르고 있던 중국에 대해 자세하게 알게 되었네요 ㅎ 흑백의 책이아니라 칼라로 되어서 더 보기도 좋았고 이해하기도 good!!중국에 대해 모르고 여행가기 전에 알게 되어서 좋았네요
9788936458522,10,청소년들도 쉽게 읽을 수 있을 난도.깔끔한 정리와 이해가 돋보인 책.
