ISBN13,rating,review
9791197035258,2,"글쎄, 읽내일페 시리즈중 최악이랄까.일단 구성 자체가 뒤죽박죽이다.차라리 단군부터 근대까지 연대별로 사건 인물 유적 문화순으로 했다면 훨씬 가독성 있었을 것이다. 그래서 나는 중고로 팔기로 했다"
9791197035258,8,요약의 신이신듯.ㅎㅎ 짧지만 있어야할것들은 다 있다. 특히 명문장 코너가 울림이 크다. 요즘 출판계에 이런 종류의 기획이 많은중에 가장 적절함.
9791197035258,8,가벼운듯 충실하다.
9791197035258,2,새로운 구성의 책이네요. 서점 앞자리에 진열된 책이라 믿고 구입했습니다. 단편지식을 얻기 좋은 책이나 엑사의 흐름을 읽기엔 불편한 구성입니다. 문재인정부의 성향에 맞는 책으로 보입니다. 부록으로 보내주는 페브릭 연대기에는 현대사만 자세히 나와있습니다. 구입시 참고하시길.
9791197035258,10,요즘 역사에 많은 관심을 가지는 조카에게 선물해보고자 구매합니다. 초3이 읽기엔 약간 내용도 깊고 그림책도 아니지만 읽으면서 좋아라 하네요~
9791197035258,10,"역사라는 단어가 가진 무거움을 내려놓은 책.가벼워진 현시대에 맞게 진화한 역사서.주제마다 알차지만 읽기 쉽고 간결해 부담이 없다.하루 한개의 주제로 한국사를 돌아본다.그러다 문득 나 자신을 발견하였고, 미래와 지혜를 보게 되었다.쉽다.모든 것은 쉬운 접근성에서 출발해야한다."
9791197035258,10,"한국사라면 시험때문에만 배웠는데, 살 수록 알아야된다는 생각만 드네요 . 하루 하나씩 보면 된다니 정말 기대됩니다"
9791197035258,10,오 읽기만하면 내것이 된다니 완전 기대됩니다
9791197035258,10,이런 역사책이 있었다면 이과에 가지 않았을텐데...
9788983411068,6,그냥 그래요
9788983411068,8,"사실 임용기본서이지만,앞의 선사~고려는 한국사통론을 베이스로 보시고, 이 책은 조선부터 보시는 걸 추천합니다.선사~고려의 완성도는 통론만큼 하지는 않다고 개인적으로 생각합니다."
9788983411068,10,한권으로 잘 다듬어진 통사입니다. 시험준비용이라면 부교재로 두고 들춰보는 게 좋을것 같습니다.
9788983411068,10,"우리 역사에 대한 개설서, 요사이 각종 한국사와 관련된 시험 준비생들이 많이 보는 핫한 책이다.^^"
9791129706829,10,"현대사 파트에서 문재인 정부까지 다룬 건 성급한 것 같습니다. 통일정책 칭찬일색인데, 남북공동연락사무소 폭파당한 것은 빠져있고요. 애치슨 라인에 대한 설명도 미국이 한국을 보호 안 하겠다는 식으로만 설명되어 있습니다. 북한의 남침에 영향을 주었다 정도가 맞는 표현입니다."
9791129706829,10,사회 생활하며 대화 주제로 종종 거론되는 역사 이야기..항상 역사 지식이 부족하다 느껴졌었거든요..ㅠ지식을 업그레이드 시키고자 주문합니다
9791129706812,10,텍스트로만 한국사를 배우다가 만화를 접하니 너무 행복합니다. 역사 인물 이름만 듣고는 어떤 사람인지 몰랐는데 얼굴이 보이니 행복하네요. 중간에 개그 센스가 최태성 선생님 강의보다도 진보한 게 느껴집니다. 김연큐 작가님 센스가 돋보이네요.
9791129706812,10,한국사는 뭔가 무겁고..어려운..느낌이라 공부해볼 엄두가 안났는데 티비에서 자주 보던 최태성 선생님 책이고 만화 구성이라해서 읽어봤어요. 내용은 알찬데 쉽게 읽히고 재밌어서 한번에 끝냈네요ㅎㅎ 잘 읽었습니다
9791191360011,10,"아직 읽어보지 않았지만, 나중에 꼭 사서 읽고 싶은 역사책!!"
9788944591013,10,대학교때 역사입문서로 처음 읽은책. 구석기 부터 현대사까지 훑을수 있는  그러면서도 깊이가 있는 책. 이 책을 읽으면 한국사에 대한 기본 지식을 갖출수 있게 된다.
9788944591013,10,한국사를 배우는 학생들이 기본서로 설정하고서 여러 번 반복하여 공부하기 좋은 책이 아닌가 생각한다. 한국사 통론은 그 기본을 철저히 학습하는 데 있어 가장 중요한 책이다. 한자에 연연해 하지 말고 여러 번 반복해서 읽기를 권한다.
9788944591013,8,정말 좋네요
9788944591013,10,한국사 분야에서 유명한 책. 좋아요^^
