ISBN13,rating,review
9788997142156,8,참 유익한 책입니다. 가격이 쎄서 중고도 없을정도로 인기가 있어요. 그만한 가치를 하기에 별 5개를 주고싶지만 가격이 역시;..
9788997142156,10,생각보다 굉장히 세세하게 적혀있네요~ 대학교에서 강의자료로도 쓰는 교재 인가봐요~ :)
9791196339074,10,"뮤지컬을 사랑하는 사람으로 무척 기대가 되는 책입니다, 잘 볼께요~^^"
9791189346003,10,"솔직히 책값이 망설여 지긴했었다. 그러나, 책을 읽고 나서 발간사에 심히 공감되었다. 문화적 소양을 넓힐 수 있도록 국문으로 발간해준 출판사에 고마움을 느낀다."
9791189346003,10,박종호 선생님과 풍월당 식구들의 노력에 경의를 표합니다.
9788991290471,10,"뮤지컬과 관련된 책은 많지만 기획, 제작 과정에 대해서 이처럼 한눈에 들어오게 쉽게 써 준 책은 없었다.뮤지컬 제작 현장에서 벌어지는 이야기를 생생하게 담아내고 있어서 읽으면서도 참 재미있었다. 강추!"
9788991290471,10,"공부를 하다보면 이론이 아닌 실질적인 이야기가 듣고 싶을 때가 많다. 이 책은 이론에 목메이지 않고, 실무와 함께 잘 버무려져 있다. 뮤지컬 기획이 무엇인가에 대해서 고민한다면 현명한 답을 들을 수 있을것이다"
9788952218230,10,뮤지컬을 이해하는데 정말 좋은 책 입니다.
9788952218230,8,"작지만 내용은 알찬 책입니다. 뮤지컬에대한 좋은 정보,,감사합니다"
9791186972717,10,"어렵게만 느껴지던 오페라에대해 일반 대중의 시각으로 일기쉽게,그리고 옆에서 소곤소곤 그 이야기를읽어주는 것 같은 친절한 책이다.특히 청소년들에게훌륭한 입문서가 아닌가 싶다.나 같은 60대에겐 글씨가 작은게 좀 불편한게 흠?이지만..."
9791186972717,10,"‘어두운 공간을 따스함으로 비추는 것은 빛이요,텅 빈 공간을 희망으로 채우는 것은 음악 아닐까요?‘‘삶이 힘들때 보면 흐뭇하다‘라고 표현한 작가의 말과 함께 조용하고 세심하게 속삭여준 글로 인해 비극과 희극의 오페라에 관심이 생겼어요!  삶에 활력소기 될 것 같습니다.QR코드 정말 좋아요^^"
9791186972717,10,"쉽게 설명한 오페라  입문서 맞네요.QR코드로 바로 생생한 영상을  들으니 작품이해도 잘되고  해설가의 코멘터리, 알쓸신상까지..볼거리가 많습니다.코로나 19로  밋밋한 제 일상이  더욱 풍요로워졌습니다.  늘 제 곁에 두고  보고 싶은책^^"
9791186972717,10,와우... 오페라를 이렇게 풀어 주시니 넘넘 좋으네요해설을 들으면서 QR코드 찍어 바로 아리아 감상을 할 수 있으니 유튜브 따로 안찾아도 되고 짱입니다.
9791186972717,10,"알기쉽고 재밌게 용어를 설명하고, 오페라 해설뒤에 바로 QR코드 있어서 넘 조아요~"
9791186972717,10,멀게 느껴졌던 오페라를 편하게 접할 수 있었습니다. 오페라 음악을 들으면서 설명을 읽으니 재밌었어요.
9791195568970,10,"세계적인 작곡가들의, 오페라보다 더 오페라 같은 이야기가 펼쳐진다. 음악적으로 천재였을지는 몰라도 결핍과 컴플렉스로 똘똘뭉친 사람들. 그 위인들의 이야기를 읽는 동안 당혹감과 함께 웃음이 터진다. 동시에 공감과 연민으로 가슴 한켠이 싸해진다. 우리 안에도 지독한 결핍들이 존재하지 않나"
9788962912838,10,학교에서 추천해서 아이들 위해 구매합니다.
9788997453252,8,도중에 예술 전문가의 어쭙잖은 말이 인용된 부분을 빼고는 괜찮습니다. 깊이는 부족하지만 현상을 읽어내는 통찰은 있는 책.
9788997453252,10,관심 있던 뮤지컬이란 분야에 대해 여러 방면으로 설명해 두어서 좋았다
9788997453252,10,한국 뮤지컬 시장의 메카니즘과 마케팅 현황에 대한 현직 공연전문기자의 애정 넘치는 실체 벗기기!-왜 뮤지컬은 비쌀 수 밖에 없는가?-브로드웨이에는 없는 다수 캐스팅의 성공비결-헤드윅 300번 이상 관람객 22명ᆢ
9788997453252,10,뮤지컬 매니아라면 이 책을! >_< 뮤지컬을 둘러싼 다양한 현상을 날카로운(?) 까칠한(?) 기자의 눈으로 파헤쳐줍니다!
9788997453252,10,언젠가부터 아이돌이 캐스팅이 많이 되고 있었는데 처음에는 그들의 무대가 부족해서 그런가싶었는데 그들이 잘하기도 하지만 티켓파워로 인해 이쪽 시장이 활발해진 것을 인정한다. 그리고 국내 뮤지컬에도 킬러 콘텐츠가 없었는데 김준수가 콘텐츠를 만들어주고 있다고 생각한다.
9788955861754,10,이 책은 오랜기간 삶의 터전이었던 공연 기획과 제작에 관한 저자의 일기장과도 같다. 작품에 대한 기획부터 제작 초기 단계에서 들여야 하는 수많은 고민과 최종적으로 작품이 무대에 오르기까지  만나고 부딪혀야 할 다양한 상황과 사람들에 대한 이야기이다
9788970138411,10,베르디 탄생 200주년을 맞이하여 출간된 한국인 저자의 내용 충실한 책. 이보다 더 좋을 순 없다 As Good As It Gets
9788970138411,10,베르디의 오페라를 보다 잘 이해하기 위해 산 책. 국내에서 나온 책이라 더욱 반갑다.
9788952758491,6,오페라 초보자인 나에게는 이것도 감지덕지 지식이지만 편집이 좀 어수선해서 집중이 떨어지고 종이가 너무 번쩍거려 눈이 피곤하다는 단점. 기대를 너무 많이 했나 보다. ㅠㅠ
9788952758491,6,"가볍게 훑기에는 나쁘지 않지만, 음반 구매에 필요한 정확한 소개가 많이 아쉽다."
9788952758491,8,오페라를 좀더 심층적인 분석을 통해 알려주었으면 하는 아쉬움이 있네요.
9788952750396,8,평시 궁굼하고 몰랐던 오페라에 대한 내용을 이 책을 통해서  쉽고 짧은 시간에 이해했고  즐기게 됐습니다. 감사합니다.
9788952750396,10,재미있게 오페라 학습하는 책. 죄다 먹고사느라 바쁜데 쓸데없이 오페라에 천착하는 내 신세가 영광스럽다. 박형! 고맙수.
9788952750396,8,이 분의 클래식책 정리도 잘 돼 있고 재밌어요!
9788952750396,8,나에게 오페라는 첫 작품이 라보엠이었는데 졸았던 기억밖에는 없다. 그게 항상 아쉬웠다. 뭔가를 알고 나서 볼 걸... 그래서 이 책을 선택해서 보게 된다. 다시 라보엠에 도전해 볼 요량이다.
9788952750396,10,무지렁이엔 나에게 오페라를 알수있게 해준 세상의 딱 한 권의 책...
9788952750396,10,이  너무나 먼 오페라가 가까워지는 계기를 가질 수 있다
9788952750396,6,저자의 오페라에 대한 열정과 박식한 지식을 초보자인 나에게 전달해 주는데 적적했다
