ISBN13,rating,review
9788958912842,2,"주문하다가,누리카드결체를오라인으로하는데취소가돼서.다시앙바구니에놓고.나중에다시누리카드로결체합니다.외국도서란같이결체하게되서.취소도같이하게되는겁니다"
9788958912842,10,미술치료에 관심이 있는 아내를 위하여 다량 구매하였습니다. 이 책이 나름 유명한 책이군요. 학지사 응원합니다. ^^;
9788958912842,8,평생교육원 수업을 위해 구매한 책입니다. 주교재라서 보는 이유도 있지만 특별한 수업없이 구매해서 아이들에게 가족에게 그림을 통해 서로 마음을 나눠보기에 좋은 책인것 같습니다. 미술치료에 관심이 있다면 꼭 한번 읽어보면 좋은것 같습니다.
9788958912842,10,매우 알차고 체계적으로 미술치료의 이론들을 학습할 수 있습니다. 자세한 설명으로 이론을 체화하고 실질적인 적용과 사례까지 담아 매우 고마운 책이에요
9788999702310,10,"들여다보고, 관심가지고, 움직이게 하고, 느끼게 하고, 이야기하게 하고, 깨닫게 하고. 사랑하여, 사랑받기까지도."
9788931447972,10,하는동안은 진짜 대박 좋아요. 모든 걸 잊을 수있음.ㅎㅎㅎㅎㅎㅎ
9788931447972,4,눈빠질거같아요. 프린터된것도 엉망.숫자가 좀 많이깨져있어요작아서그런가...시간은잘가지만눈에피로도심하네요여기껀사지말아겠어요
9788931447972,10,심심해서 구입해봤다가 처음엔 깨알같은 숫자에 놀랐었어요. 그런데 하다보니 중독성이 있네요.ㅎㅎ 친구들하고 같이 하고싶어 몇권 선물했습니다.
9788931447972,8,눈은 좀 아프지만 진짜 머리 비우고 싶을 때 좋다.자도 필요없고 그냥 몸 이케이케 비틀어가며 손으로 선 그을 때 최고.
9788931447972,8,고도의 집중력이 필요하군요. 재미있어요
9788931447972,10,심심할때마다 아무 생각없이 하고 있어요 ㅋㅋ
9788931447972,6,시간 때우기 좋습니다. 좀 지겹지만-
9788931447972,8,어려움
9788931447972,8,사고싶네요
9788931447972,8,"직장일에 찌들어있던 친구에게 선물했는데, 이거 하는 동안은 다른 생각이 안나서 행복하다고 하더라고요. ㅎㅎ"
9788931447972,10,머리 복잡하고 짜증날 때 그냥 아무 생각없이 숫자대로 점 잇다보면 거기에만 집중해서 다 잊게 되는게 참 좋다. 안티 스트레스 됨 정말 .
9788931447972,10,엄마 선물로 샀는데 엄마가 하기엔 점이 조금 작고 제가 하니 매우 재미있어요.
9788931447972,10,선잇기도 하고 컬러링도 하고. 너무나도 좋은 책이에요.
9788931447972,10,복잡하고 심란했던 마음이 다 날아가는거 같네요 선그리고 색칠하고 나면 어느새 머리속이 텅 비워집니다 스트레스 심한분들 꼭 한번 해보세요
9788931447972,6,잘 모르겠어요. 이 책이 어떻게 좋을지... 그래도 신기하긴 합니다.
9788931447972,10,"점잇기 컬러링북, 정말 좋아합니다. 번호 순서대로 점을 연결하기만 하면 세계적인 도시들이 그려지기에 신기한 책이죠. 지금도 완성 중에 있지만 그릴수록 신기한 책입니다."
9788931447972,10,점잇기와 컬러링이 함께 있는 책이 참신했어요. 아이들이 더 좋아하는 책입니다. 숫자만 연결해도 그림이 된다는 발상이 좋았어요.
