ISBN13,rating,review
9788987671826,4,"오역이 너무 많을뿐더러, 이후에 출판된 것들을 참고하여 수정하는 최소한의 성의조차 보이지 않는 번역본이다. 인용에 대한 언급 없이 영어 번역본의 각주를 그대로 가져다 쓴 것 역시 문제이다."
9788987671826,4,"저자나 저작 그 자체에 대해서는 의심할 것이 없고, 그렇다면 역자의 솜씨에 관심이 갈 수밖에 없다. 그는 직접 쓴 ‘해제’를 서두에 실을 만큼 자부심이 강한 자인데, 페이지를 넘겨보면 넘쳐나는 비문에 오역까지 섞어놓았다. 덕분에 기존 번역본과 원문까지 3자를 대조해가며 공부할 수 있었다."
9788987671826,8,아우라와 사진.
9788987671826,8,전공 관련해서 읽는 책 중에 가장 도움이 되었던 책.
9788987671826,10,"벤야민은 이 책에서 ˝아우라˝란 중요한 개념를 소개하는데 어떤 사물이나 풍경이 우리를 매혹시킬 때, 아우라가 있다고 말하고 그것은 반복되거나 복제될 수 없는 것이라고 한다. 복제된 예술품과 아우라에 대해 생각해 볼 수 있는 책이다."
9788987671826,10,클래식
9788987671826,10,현재의 미학은 많은 부분 벤야민에게 영향을 받아 형성되었다.미학에 관심이 있다면 꼭 한번 읽어봐야 할 책
9788987671826,8,이 책이야 뭐.
9788987671826,10,"현대사회속에서 예술이라는 개념이 갖는 의미를 철학적으로 고찰한다. 미학에 관심이 있는 독자라면 정말 흥미를 느낄 것이고(아마 그런 분들은 이미 읽어본 경험이 있겠지만) 그렇지 않더라도, 상식의 지평을 넓히는 용도로 용이할 것."
9788987671826,10,"회화 사진 연극 영화 건축 스포츠를 망라한, 벤야민의 유물론적 변증법에 의한, 베스트 저작. 지성인의 필수교양이자 예술과 기술에 관한 최고의 저작."
9788987671826,8,새로운 매체가 가진 해방적 잠재력에 관한 벤야민의 사유는 오늘날 재발견되어야 한다.
9788987671826,10,"고전이기도 하고, 벤야민을 좋아하기도 합니다."
9788987671826,8,유물론적으로 예술을 본다는 게 무엇인지 알기 시작하게 해준 벤야민의 명저ㅎㅎ비싼게 흠 ㅠㅠ
9788987671826,10,많은 것을 생각하게 하는 철학책.
9788987671826,6,"가격은 비싸지만, 발제하려면 이 책으로 하십시오. 분량이 적습니다^^"
9788987671826,10,시대가 흘러도 빛을 발하는 벤야민의 대표적인 저작. 지금을 사는 우리에게까지 통찰을 주는 책.
9788987671826,10,"아직 오지 않은, 혹은 이미 빼앗긴 시대에 부치는 편지"
9788987671826,10,"발터 벤야민, 결코 쉬운 책은 아니지만 곁에 두고 싶은, 소장가치 있는 책~!!"
9788987671826,10,"현대 세계에서 예술과 비예술의 차이가 점점 좁혀 지는 상황에서,이책은더욱빛을낸다"
9788988105726,4,새로 번역을 해서 내시는 건 어떨까요?https://blog.naver.com/asnever/222268443331
9788988105726,10,여대를 들어가고는 페미니스트가 된 듯~ 살짝 우려도 되지만 독서생활은 바람직한 듯 휴학을 앞두고 읽어보고 싶다해서 구입했다는~
9788988105726,10,재미있어요
9788988105726,4,번역이... 고3영어독해책 해설을 보는것 같습니다 정말 그냥 번역만 해놓았군요 파파고로 하셨나요
9788988105726,8,다 좋은데 번역이 정말 아쉽습니다. 글의 내용이 제대로 안 들어올 정도... 재번역해서 다시 나왔으면 좋겠네요.
9788988105726,10,"인간이 얼마나 섬뜩한방식으로 타인에게 잔인한 해코지를 할 수 있는지를 보여주는 증거를 볼때마다 끊임없이환멸을 느끼는사람은도덕적으로나 심리적으로아직 성숙하지 못한인물이다.나이가 얼마나됐든지간에 ,무릇 사람이라면 세상만사를 망각할 만큼순수하고 천박 해질 수 있을 권리가 전혀없다167P"
9788988105726,2,뜻 깊은 내용을 담고 있는 위대한 책을 이상한 번역과 문장들로 만들어 놓은 출판사에 박수를
9788988105726,8,꼭  읽어보세요
9788988105726,8,빨간책방의 두 패널들 이야기처럼 타인의 고통 보다는 타자의 고통이 더 어울리는 듯 싶다. 마지막 부분에 911사건에 대해 작가의 글들이 인상적이다.
