ISBN13,rating,review
9788937462177,8,사람의 운명이란 그가 죽기 전에는 알 수가 없다네.
9788937462177,10,"<트라키스 여인들>은 한 여인의 사랑이 불러온 비극...이지만 사실 난 이게 비극이라고 생각하지 않는다. 어릴 때 그리스 신화를 읽으면서는 여인의 질투와 어리석음을 이야기한다고 생각했지만 다시 읽어보니 어쩌면 진짜 승자는 데이아네이라라는 생각이 든다. 왜 있잖은가, 내가 가질수 없다면..."
9788937462177,10,"우리는 꼿꼿이 서 있는 안티고네가 아니라 서서히 비틀거리기 시작하며 자신의 불안과 공포, 푸념들을 흘리는 안티고네를 상상할 수는 없을까. 단지 체제 전복의 상징이 아니라 그 안에서, 그것과 공모함으로써, 그것을 전유하기도 저버리기도 하는."
9788937462177,10,강대진 선생의 번역이 최고죠.
9788937462177,10,"재미있다. 더 이상 무슨 말이 필요한가.존경하는 강대진 선생의 번역, 역시나 굿!!이다."
9788937462177,10,오이디푸스를 읽으면서 니체의 위버멘쉬가 오버랩 된다면 논리의 비약일까?
9788937462177,10,이런 게 진정한 ｀고전｀인가... 기원전 작품인데 지금 봐도 흥미진진하고 재밌다 ㅎㅎ
9788937462177,8,구입해야할 책
9788937462177,8,다시 읽으니 새롭네
9788937462177,8,고전을 알아야 현재도 미래도 안다는 국어선생님 말씀에 집어든 책!
9788937462177,6,"아는 이야기지만, 희곡의 형식으로 보니 무척 새로웠다!!"
9788937462177,6,"익히 알고 있던 제목이어서 선택했는데, 고전이라도 어렵지 않아서 읽기 좋습니다."
9788937462177,10,"운율을 가진, 가무에 의해 불려지는 노래이자, 무엇보다 '시'인 비극을 제대로 번역함"
9788937460036,10,모든 문장이 새로웠다. 북클럽에서 같이 읽자 하지 않았다면 이렇게 잘 알려진 문학 작품을 제대로 읽는 일은 없었을지도 모른다. 고루한 느낌이 있는데도 술술 잘 읽힌다. 아마도 막장같은 이야기 전개가 한 몫을 한 듯. 이것이 지금까지 이 작품이 이름을 남기고 있는 비결이 아니겠는가.
9788937460036,10,수많은 책들에 인용되어 숙제처럼 읽었으나 명불허전이라는 단어를 실감합니다.
9788937460036,6,많은 사람이 ˝햄릿˝에 극찬을 하는데 솔직히 개인적으로는 감동과 여운이 없었다. 작품에 대한 이해가 아직 부족하거나 적혀있는 글이 잘 전달이 안되었나 보다. 다른 번역서를 다시 한번 읽어봐야겠다.
9788937460036,6,읽었는데 모르겠다.왜 그렇게 햄릿에 열광하는지. 다시 읽어보겠다.
9788937460036,10,고전의 힘
9788937460036,6,등장인물이 다 죽어야 하는 비극의 처절함
9788937460036,4,"복수와 핏줄 사이 건널 수 없는 강, 음모와 운명의 뱃사공."
