ISBN13,rating,review
9788968332883,10,트렌드와 실용성을 모두 잡은 핵심 작법서. 중언부언과 예시가 지루하다면 ‘원칙‘만이라도 발췌해 읽어보라. 그것만으로도 충분히 값어치 있다.
9788968332883,10,작가를 꿈꾸기를 하고 있는데 자꾸 글쓰기가 막힌다면 꼭 읽어야 할 필독서 입니다.
9788968332883,10,작가 지망생으로서 이 책을 읽고 작가가 될 수 있으리라는 확신을 얻었다.
9788968332883,8,내용이 재미있고 가독성이 좋으며 활용도가 높은 책입니다.
9788968332883,10,이야기를 쓰려하는 누구나에게 추천할 책입니다. 기본 원칙과 함께 대가들의 작품도 새롭게 볼 수 있는 시각까지 길러주지요.
9788968332883,10,"작가가 되고 싶은 사람들, 작가로 성공하고 싶은 사람들을 위한 스토리텔링 필수 가이드"
9788968332883,10,"작가뿐만 아니라 소설, 영화를 재밌게 보고 싶은 사람들이 읽으면 좋은 책."
9788968332883,10,글을 맛깔라게 쓰고 싶어서 읽은 책!작가가 꿈이 분들은 참고서로 활용하면 좋을 책인거 같다.간단하게 읽을 책이 아니라 글쓰기 공부에 집중해서 아주 천천히 읽으면 더더욱 좋을 책이다.
9788968332883,8,"스토리를 흥미진진하게 만드는 27개의 원칙을 제시하는 책. 레시피를 제시하기 보다는 재료를 던져주는 책에 가깝다. 재료들을 조합해서 요리로 만드는 것은 독자의 몫이다. 저자의 말대로 ‘원칙은 따르되, 거기에 구애받진 말라‘ 라는 말이 어울리는 책. 연습문제 풀어보는 재미가 쏠쏠했다."
9788968332883,6,이론-> 예시-> 연습문제라는 구성은 획기적. 하지만 같은 말 반복에 예문이 지루함. 600p가 넘는 방대한 양에 비해 신선한 내용은 별로 없음. 작법서를 여러권 읽어봤다면 다 아는 내용일 듯.
9788968332883,10,"작법서들중 가장 트렌디하고, 와닿게 잘 설명한 책. 게임의 시나리오에 까지 설명되어져 있으며 로버트맥키의 시나리오 작법서와 마찬가지로 필독서라는 생각이 듭니다."
9788968332883,10,너 나 우리가 그렇듯이 한 챕터밖에 아직 읽어보지 못했지만 흥미롭습니다. 아마 앞으로도 그럴 것 같습니다. 아주 기대가 됩니다. 지금 쓰고 있는 글에 도움이 되었으면 좋겠는데 글 쓰는 것과 작법서 읽는 데에 시간 배분하기가 심적 여유상 어렵네요.
9788968332883,10,내용이 너무 좋기 때문에 금방 절판될거라 생각되는 책이다. 너무 좋으면 금방 절판되는 경우를 너무 많이 봐왔다. 이 책은 그러한 책이다. 소장하고 두고두고 펼쳐볼만한 책이다.
9788968332883,10,새해에 글 좀 써보고 싶다면 당장 구매해야 할 책. 다양한 분야의 레퍼런스와 실전문제와 친절한 해설까지 글쓰는 사람을 위한 실전 바이블이라 할 수 있겠다.
9788968332883,10,방대한 분량! 정말 핵심적이고  실용적인 내용이 많아 알찼음. 중간에 사례로 나오는 작품도 많아 지루하지 않았음  연습문제 푸는 재미도 굳굳
9788968332883,10,혼자있는 시간이 늘어난 시기 딱 맞는 책인 것 같아요. 기대됩니다!
9788968332883,10,작법서들 중 탁월하게 영리한 책.
9788968332883,10,검증된 작품들에서 원칙을 만들어 낸다는 것결코 쉬운일은 아닐것이다. 글을쓰는 사람이라면 충분히 소장해야 할 책이라고 생각된다  바이블이라고 제목을 쓴 이유 ~!
9788968332883,10,"어린시절부터 나는 글 쓰기를 좋아했다. 학교에서 문학소녀, 음유 시인이라고 불릴 정도로 시를 썼는데, 생각해보면 긴 글에는 두려움을 느꼈던 것 같다. 하지만 이 책을 통해 단계적으로 자세한 팁을 배우고 나니 차근차근 나만의 퀄리티 있는 글을 써내려갈 수 있었다."
9788968332883,10,잘 짜여진 구성과 탄탄한 작법론이 담겨있어서 너무 완벽한 작법서라고 생각한다. 글을 처음 쓰는 사람도 이 책으로 꾸준히 연습하면 실력있는 소설가가 될 수 있다는 확신이 들고 작가 및 작가지망생 분들에게 적극적으로 추천하고 싶은 책이다.
