ISBN13,rating,review
9788992607148,8,알라딘.... 중고 아니고 새 거 시켰는데 모서리 부분이 구겨져서 와서 기분은 불쾌했지만 과제때문에 그냥 바로 사용했습니다. 내용은 괜찮아요.
9788992607148,10,만화를 즐기는 독자에게도 재밌고 유용한 책. 만화를 더 잘 이해해 더 즐기게 하는 책이다.
9788992607148,10,책 내용은 좋습니다... 제발 책좀 잘 다뤄주세요...ㅠㅠㅠ 오는 책들 중에 모서리 성한 책 별로 없었습니다.
9788992607148,10,내가 사랑하는 매체에 대한 이해의 시작
9788992607148,10,만화 그리는 사람 아니라도 교양삼아 볼만해요
9788992607148,10,만화를 읽는 몇분간에 재미속에 얼마나 많은것들이 담겨있는지 보여주는 책. 만화그리는 사람이면 한번쯤은 읽어봐야
9788992607148,10,난 만화와 관련이 없다. 이 책은 철학책이라고 봐도 무방하다 유일한 단점은 비싸다는 것 정말 훌륭한 책이다
9788992607148,10,"그림만 잘 그린다고, 글만 잘 쓴다고 좋은 만화가 만들어 지는 것은 아니다. 만화의 연출이란 무엇인지 만화가도 어렴풋이만 알고 있던 것들을 체계적으로 잘 정리해 놓았으며 심지어 감동까지 전해주는... 만화를 읽는, 만화를 그리는 만화인이라면 반드시 읽어야 할 책."
9788992607148,10,"필독서 19,000원 이상의 값어치"
9788992607148,10,진정한 만화란 무엇인가? 만화를 향해있는 사람이라면 누구든 집어야 할 책.
9788992607148,8,만화를 예술의 경지까지 올리기위한 저자의 고군분투가 담겨있다. 만화의 형식과 내용을 나누고 예술로서 만화의 위치를 고민한다. 형식은 만화이지만 내용은 무거운 책이다. 만화를 좀 더 알고 싶은 사람에게 추천.
9788986377453,10,창조성은 예술가뿐만 아니라 모든 이들에게 도움이 된다고 생각합니다. 창의적으로 삶의 난관을 극복하는데 실질적인 도움이 되는 책이라 봅니다.
9788986377453,8,무기력에 시달리며 아무것도 창작하지 않은지 오래. 길을 안내하는 책이 있어 기대어가볼까 해요. 5주차인데 아직 눈이 번쩍 뜨였다던가 그런건 없는데요... 끝까지 읽어볼게요.
9788986377453,10,"이걸로 데뷔까지 하게되었어요, 지금 슬럼프가 온건지 일이 안되서 복습중입니다, 멘탈을 잡기엔 이만한 책이 없더라고요 모두 꼭 사서 보세요"
9788986377453,10,읽기 전에는 편집이 본문 외 여백이 지나치게 많아서 책이 커지기만 하고 불편하다고 생각했는데  읽다보니 나도 모르게 여백에다 갑자기 떠오르는 아이디어를 메모/스케치하고 있는 나를 발견
9788986377453,10,나를 돌아보며 검열하기에 좋은책 내마음의 앙금을 찾아보는책
9788986377453,10,대학생에게 책 선물을 하려고 보니 이 책이 딱 떠올랐다. 결코 후회하지 않을 선택이다. 지금의 삶에 만족하지 못한다면 이 책을 꼭 읽어보자. 새로운 인식의 세계가 열리는 기분이다. 최고 최고!!
9788986377453,6,모닝페이퍼 3장 아무거나 써서 3장을 채워라. ../
9788986377453,10,책 여백이 넓은데 거기 낙서하고 감상을 쓰면서 활용하면 재미있다. 과제도 그냥 책에 써서 하니까 편하다. 신이니 우주니 하는 부분은 거부감이 들지만 보다보니 나름 그런 느낌적인 느낌을 알거 같기도하고...모닝페이지는 나 자신에 대한 단서를 찾고 생각을 표현하는데 큰 도움이 되었다.
9788986377453,10,"저도 강하게 추천을 받아서 이책을 읽어보고 있고, 실제로 이책에서 권하는 ‘모닝페이지‘는 매일 아침 A4 한장분량~수기로는 시간이 너무 많이 들어 타이핑으로 쓰고 있는데,,,무언가 무의식을 자극하는 느낌을 받고 기분이 좋아지는 것을 확실히 느낍니다. 책에 무언가 의식을 개발시키는 힘이있는듯"
9788986377453,10,아트에 대한 자신감이 바닥을 치던 때였고 거의 모든 것을 포기했을때 이 책을 만났습니다 현재 힘드신 분이 있다면 추천해드리고 싶네요
9788986377453,8,다 좋은데 책 사이즈 어중간하게 커서 잘 잡히지가 않아서 ★ 4개 줌
9788986377453,10,삶을 예술적으로 살기 위한 모든 사람을 위한 책.매일 모닝페이지를 쓰기 바란다.
9788986377453,10,"생각보다 크게 조명받지 못했지만, 예술가들에게 중요한 책"
9788986377453,10,아티스트의 길에 대해서 흥미롭게 읽음
9788986377453,10,대학도서관에 항상 빌려가있고 도서수량이 많은것으로 보아 좋은 책인듯 싶다
9788986377453,10,완전 좋은 책입니다. 모닝페이지는 매일 꼭 써보고 싶어요. 아티스트데이트도 참 좋은 아이디어같아요 이두가진 꼭 해보고 싶습니다
9788986377453,8,아는 분의 추천으로 읽게 된 책. 헐리우드 영화 감독 마틴 스콜세지의 아내였고 그와 함께 ｀택시 드라이버｀의 시나리오를 집피하기도 했던 줄리아 카메론이 쓴 글이다. 무감각해져버린 마음과 무의미해진 일상을 어떻게 다시 빛나게 할 수 있을까에 대한 달빛같은 조언들.
