ISBN13,rating,review
9788989544371,10,매끄럽게 읽히고 군더더기 없이 깔끔한 서술이 좋습니다. 서양음악사 맥락 공부하는데 도움이 되요.
9788989544371,10,배송도 빠르고 가격도 쿠폰덕에 싸게샀고 만족합니다~잘쓰겠습니다
9788989544371,10,정말 좋은책 근데 아직 다 못읽고 있네 ㅋㅋㅋ 이책 만들어주셔서 감사해요 !
9788989544371,10,좋습니다 이해하기 참 좋아요~ 배송이 젤 좋구요 ㅋㅋ
9788989544371,10,내용은 아직 잘 모르겠지만.. 여기서 제일 싸게 사서 좋아요^^
9788989544371,8,그라우트와 말랑한 교양 사이에 위치하는 적절한 도서입니다.
9788903411116,6,초등학교 5학년 아이들의 바이올린 방과후 교재이다. 일주일에 한번씩 하는 것이라 얼마만큰의 실력이 지금 쌓이고 있는지 모르겠지만 수년째하고 있으니 더욱 즐거움을 가지고 바이올린에 대한 사랑이 일어나기를 기대해본다. 머지않아 아들의 연주를 듣고 싶다.
9788903411116,10,"연습에도 좋고, 곡도 괜찮고 설명도 양호하네요"
9788903411116,10,처음으로 바이올린을 배우는 아들이 필요한 교재라고 하여 구입합니다. 흥미를 가지고 열심히 하기를 기대해봅니다.
9788903411116,10,바이올린 처음 배울때 스즈키가 기본이죠.. 쉬운 곡부터 쉬운 조성으로 잘 되어있네요.
9788903411116,10,좋아요~^^
9788903411116,8,스즈키롤 연습해요~
9788903411116,8,실제 CD로 음악을 들으며 연주할 수 있어서 너무 좋아요
9788903411116,10,바이올린 수업은 스즈키가 기본이네요.
9788903411116,10,바이올리니스트가 되고 싶다네요..헉 예체능..그럼 돈은 누가대고?ㅋㅋ
9788903411116,10,"지루하지 않고, 구성이 좋습니다. 독학하기에는 힘들고요, 레슨 교제용으로"
9788903411116,8,"딸이 쉽고 보기 편하다고 하네요,"
9788903411116,10,"책하나샀을뿐인데 시디도 넣어주고 피아노 악보도있네요^^
바잉올린배우는게 즐"
9788903411116,10,초등학생 3학년이상부터 늘 사용하는 교재로 스즈끼를 가르치고 있어여..
9788903411116,10,교본을 시디까지 빨리 배송해줘서 고맙습니다.
9788903411116,8,많이 하는 책!
9788903411116,10,좋아요 좋아 ㅋㅋ
9788903411116,10,딸의 바이올린 교육을 위해 구매했습니다.  즐겁게 레슨을 잘 받고 있습니다.
9788903411116,10,교본이 이해하기 쉽게 잘 나와있어요
9791190999045,10,"구성이 생소하다. 특이하다. 하지만 읽으며, 악보를 보고 연주하는 기분이 들었다. 복잡하고 난해한 구성으로 단번에 읽어내기 어렵지만, 하나, 둘, 신중하게 연주하며 소리와 마음을 주고받게 만드는 악보. 아름다운 선율을 담아낸 악보와 같은 책이다."
9791190999045,10,음악을 통해 경험하는 삶의 다양한 이야기가 좋았습니다. ‘아... 엄마가 피아노학원 보내줄때 열심히 다닐걸‘하는 아쉬움을 참 많이 느끼게 하는 책이네요. ㅎㅎ
9791190999045,2,음악과 인생을  함께 다루는 책의 내용 자체는 정갈한 언어로 깊이 있게 쓰여졌다. 꽤 읽을만하다.  그런데 출판사는 각성하라. 책을 이렇게 어설프게 만들수도 있는가? 1. 단락 들여쓰기가 왜 정반대로 되어 있는가? 글쓴이가 의도한건가?2. 책의 디자인 & 커버 & 종이 질 모두 싸구려티 팍팍!!
9791190999045,10,내용이 너무 좋아요. 음악하는 분들이라면 다들 읽어보셨음 좋겠어요. 음악에 대해 진지하게 생각해볼수있었고 철학적이면서도 깊이 생각해볼수있어 좋았어요.
9791190999045,2,내용 이전에 출판사가 책을 되게 못만들어요. 읽다가 짜증나서 평 달러 왔어요. 총체적으로 읽기 불편해요. 정렬이 왜 이 모양이죠.좋아하는 내용임에도 읽다 불편해 짜증이 납니다. A4용지에900원에 판매되는 E북 출력해서 집어도 이것보단 나을듯요.
9791190999045,10,음악이 되기까지의 소소한 일상과 사유가 담백하게 담겨있네요 굳이 해석하지 않으면서 음악을 날 것으로 보여주는 책 입니다 음악까지 걸어가는 기분이에요
9791190999045,10,미소짓기도 눈물짓기도 하면서 펼쳐든 자리에서 다 읽었습니다. 끊겼다 이어졌다 하던 악기 연습을 다시 시작해야겠어요. 읽는 내내 마음이 두근거리네요. 이 책을 써주셔서 감사합니다.
9791190999045,10,"바흐가 직접 쓴 원본 악보에는 음표밖에 없다는 사실을 첨 알았어요. 이제야 왜 바흐 음악이 연주자마다 그렇게 다른지, 얼마나 다양하고 자유로운 해석이 가능한지 이해했습니다. 악기를 배우는 모든 분께 추천!!"
9791190999045,8,기대됩니다
9791190999045,10,"음악을 진심으로 사랑하는, 따뜻하고 소박한 마음씨의 음악 선생님한테 좋은 레슨을 받은 느낌~ 특히 음악을 대하는 태도에 대해 생각할 거리를 많이 던져준 책이었다."
9791190999045,10,음악이 자연스럽게 다가오게 만드는 마법 같은 책이다.
9788989544388,10,들배서양음악사 워낙 유명합니다.작고 두꺼운 구판을 가지고 있었는데 새 들으며 배우는 서양음악사가 필요해서 구매하게되었는데겉 표지만 바뀐게 아니라 내용이 전면 수정되었네요.참으로 좋습니다. 책은 언제 구매해도 기분이 참 좋아요.잘 읽고 양식으로 쌓겠습니다.
9788989544388,10,아직본문2는 읽어보진 않았지만.. 배송최고에요 ㅎ
9788989544388,10,잘받았어요^^어제 밤에 주문했는데..엄청빨리왔네요;ㅎㅎ공부할생각하니 쫌 막막..ㅠ
9788989544388,10,하루만에 빠른 배송! 책 상태두 좋구요 그전 들배보다 내용도 좋은거 같아요^^
9788989544388,8,개정하면서 완전 바뀐듯 회화쪽과 연결되면서 흐름 파악이 용이함
9791155813300,8,"책 내용은 정말 좋은데 월별 큐알코드와 노래 목록이 달라서 불편합니다.. 1월인데 10월 음악 목록이 나오고, 2월 음악인데 11월 음악 목록이 뜨네요...."
9791155813300,10,1일 1클래식으로 한 페이지를 장식하고 있는데 짧지만 음악가별 짧은 일화 등이 담겨 있을 때도 있다. 짧은 서술이라 음악 자체를 듣는데 더 집중하게 만든다.
9791155813300,10,"하루 한곡씩 듣고 있는데, 생소한 분야의 클래식 곡들도 듣게 되어서 좋네요."
9791155813300,10,구판에 없던 목차가 생겼군요. 흠
9791155813300,10,전 세계적으로 잘 알려진 음악가들뿐 아니라 상대적으로 덜 알려진 음악가들의 곡과 생애도 두루두루 소개해줘서 좋습니다. 클래식 음악을 이제 막 듣기 시작한 독자에게도 유용해요
9791155813300,6,정말 클래식 좋아하는 사람으로써 기쁜 마음으로 샀는데 월별 큐알코드랑 노래랑 아예 안맞아서 너무 힘드네요ㅠㅠ 하나하나 들어가서 확인해야합니다. 그래도 좋은 노래 많이 알려주셔서 감사해요!
9791155813300,8,책이 더이상 오프라인만의 것이 아님을 증명하는 듯해요. QR코드로 연결된 동영상으로 듣고 책으로 설명 듣는 클래식이라니! 한가지 아쉬운점은 하필 책을 처음 펼친 5월 1일의 동영상이 없다는 것..
9791155813300,10,"항상 즐겨듣는 고전음악은 정해져 있다. 하지만, 이책이 있다면 모르는 음악과의 하루가 즐거워지기도 아는 음악과의 하루가 반가워지기도 한다."
9791155813300,10,기분좋은 하루의 시작
9791155813300,10,매일 하나씩 들어보고 있습니다
9791155813300,10,혀를 내두르게 하는 ‘들어가는 말’ 때문에 책을 구입한 보람이 더욱 커졌다. 음악에 대한 그녀의 생각에 많은 공감이 간다. 책을 구입한 날은 공교롭게도 얼마 전 2월 29일이다. 따라서 이 책이 365곡이 아닌 366곡으로 이루어지게 된 이유의 그 페이지를 첫 곡으로 듣게 되었는데 아주 멋진 곡이다.
9791155813300,4,"친절한 저자의 흥미로운 가이드, 그러나 독자와 책의 특성에 대한 무성의한 편집!   초판 음원연결 바코드 실수보다 더한 것은 목차와 색인이 없다는 것!  뒤늦게 출판사 블로그에 올린 목차보다 음악가별/작품별 찾아보기 색인작업이 절실함.  매번 다시 넘겨가며 찾기 몹시 불편합니다."
9791155813300,10,유튜브 시대에 소환해 다시 듣는 20세기의 산물들. 저자가 전하는 사족들을 읽는 재미또한 쏠쏠.
9791155813300,10,너무좋은책이에요. 수록곡들을수있게 QR코드있는점도너무좋구요. 선물받은 지인도 대만족입니다.어렵지않고 매일 한곡씩 기분좋은시간을 내게선물하네요
9791155813300,10,"책 너무 좋아요. 클래식 음악을 오래 좋아했지만 취향이 좀 협소해서 모르는 곡이 많았는데, 이 책을 통해 정말 다양한 곡들을 접할 수 있네요. 하루에 한 곡이니까 부담도 없고요. 곡 설명도 딱 알아야 할 부분만 있어요."
9791155813300,8,전자책으로 읽는 중입니다. 곡마다 글이 다소 짧아 아쉽지만 유튜브 링크가 달려 있어서 해당곡들을 들으며 책을 읽으니 맘이 짜릿해져요. 적극권장요!
9791155813300,10,책을 읽으면서 제일 좋았던 점은 QR코드가 삽입되어 있어 실제로 클래식을 들으면서 책을 읽을 수 있다는 것이다. 지금까지 다양한 장르의 수많은 책을 읽어 왔지만 이렇게까지 독자를 배려한 책은 처음이었다. 덕분에 귀도 호강할 수 있었다.
9791155813300,10,제목이좋아서. 함사볼까하는 생각중
9791155813300,8,"이 출판사가 좋은 책 많이 내고, 제가 클래식 좋아해서 뜨자마자 구매. 작은 책을 좋아해서 받고 책이 커서 실망했지만, 정확히 1p당 1곡씩 딱 들어있는 구성을 보고 이해할 수 있었습니다. 부담없이 후루룩 넘기며 보기 좋아요. 다만, 곡의 목차가 없는 게 너무 아쉽네요. 곡 찾기가 너무 어려워요."
9788948311013,10,"빠르고, 질 좋은 배송에 기분이 좋았습니다!받고나서도 기분이 좋았어요~알라딘 짱짱짱!!! 최고예요~책구매는 역시 알라딘이죠~^^b"
9788948311013,10,좋아요
9788948311013,10,학교수업교재
9788948311013,10,제가 작곡공부를 하는데 쓰고있어요 좋은거같아요 괜찮음~~~~~~~~
9788948311013,10,생각보다 두툼한 두께~ 그리고 종이의 질이 매우 좋습니다. 정리가 잘 되어 있고 전공자가 보기에도 무척 좋지만 비전공자가 마지막으로 마무리할 책으로도 좋습니다~!
9788948311013,10,비전공자지만 음악 공부를 해보고 싶어 산 책!
9788948311013,10,대학교재입니다. 편입 준비 시 아주 중요한 교재입니다.
9788948311013,10,대학교재로 사용중이예요. 체계적이고 보기 편하게 편집되어 있어 눈에 확 들어와요!!
9788903412076,8,다른 책들 1권에 비해선 좀 어렵긴 합니다만 나쁘진 않습니다. 실력향상에 도움도 되구요.
9788903412076,8,시작해봅시다.
9788903412076,10,피아노반주악보가 따로 있어좋네요..근데 아이가 바이올린 어렵다구 안할라구하네요^^
9788903412076,6,깨끗한 것이 좋네요.
9788903412076,6,배송이 참 빨라서 좋네요. 다른곳보다 저렴하게 구입했네요.그런데 좀 어려운것 같아
9788903412076,8,기초를 다지기에 좋은 책! ^^
9788903412076,10,선생님이 권해주신 교본
9788903412076,8,자주 구입하는 책이죠. 반주 악보가 있다는 점이 틀린점!
9788903412076,10,"급하게 구입한 책입니다.
빠른 배송과 저렴한 가격에 만족합니다."
9791189598129,10,"유튜브, 다음팟으로 재미있게 듣던 송사비의 음악야화, 책으로 나왔네요~저같이 음악사 관련 교양을 이수했던 사람들에게는 다시한번 리와인드 할수 있고, 음알못인데 어쩔수없이(?) 음악사 교양강의를 듣는 이들에게는 이 책이 유일한 길잡이가 되어줄거라 확신합니다. 조만간 구입해볼 생각입니다~~"
9791189598129,10,"화가를 이해하면 그림이 다르게 보이듯이, 작곡가를 이해하면 음악도 다르게 들립니다. 이 책은 클래식에 한 발 더 가까이 다가갈 수 있도록 벽을 무너뜨려줍니다. 어, 이거 언택트 시대엔 좀 위험한 발언인가?"
9791189598129,10,클래식을 쉽고 재미있게그리고 작 곡가의 시대별 분류까지음악상식이 풍부해지는  유익한책입니다교양필독서로  강추합니다
9791189598129,10,어렵게 느껴질수도 있는 주제를 알기 쉽고 재미있게 써주셨어요! 재미있어서 술술 읽혀요
9791189598129,10,책을 노력해서 써주신 것이 보입니다. 재미있고 술술 읽히는 클래식에 관련된 책! 음악사에 대해 몰라도 잘 읽을 수 있는 것이 참 좋습니다
9791189598129,10,"너무 재밌게 읽고 있어요!작곡가별로 설명해주시고 중간중간에 추천곡도 많아, 곡 들으면서 읽으면 클래식을 좋아하지 않아도 재밌게 읽을 수 있어요표지도 너무 예쁘고 속지 재질도 두껍고 좋아요제가 책에 필기하며 읽는 스타일인데 형광펜이 비치지도 않고 필기감도 좋아요꼭 읽어보세요!"
9791189598129,10,흔히들 클래식 이야기를 하면 ‘어렵다‘라고 생각하지만 그러한 편견을 깨부수고 쉽게 풀어쓴 클래식 음악야화! 페이지수가 많아서 어려워 보일 수 있으나 생각보다 글자가 많이 없고 가독성도 좋아서 술술 넘어갑니다~ 또 대학 교양강의 참고서적으로 사용해도 될 정도의 내용들을 담고있는 최고의 책
9791189598129,10,표지가 예쁘네요 어렵기만한 클래식을 쉽게 이해할 수 있을거 같아 기대하고 있습니다
9791189598129,10,출판되는 그날이 너무 기다려집니다. 이 책을 통해 클래식 음악을 더 이해하고 들을 수 있을 것 같아요!!
9791189598129,10,"유튜브에서도, 팟빵에서도 잘 듣고 있었어요. 너무 기대돼요."
9791189598129,10,송사비의 클래식 음악야화! 팟캐스트에서 너무 재미있게 시간가는 줄 모르고 들었어요. 너무나 유명한 베토벤을 비롯하여 여러 작곡가들의 너무 놀라운 이야기들을 음악과 함께 들을 수 있어서 색다르고 재미있어서 예약구매 뜨자마자 주문했습니다. 책이 도착할 날만 손꼽아 기다립니다.
9791189598129,10,코로나로 힘든 시기에 클래식 음악을 쉽게 이해하고 접할 수 있을 것 같아 많은 위안과 안정을 줄 최고의 교양서인 것 같습니다
9791189598129,10,ㅅㅅㅂㅎㅇㅌ!!바로 구매ㄱㄱ!!
9791189598129,10,"누구한테 선물해도 받는 사람이 좋아할 것처럼엄청 예쁘고 재밌을 것 같아서 기대되는 책이에요!!무엇보다 책을보면서, 굳이 직접 찾지 않고도QR코드 한번으로 음악을 같이 들을 수 있다니ㅠㅠ짱짱 좋아요♥︎"
9791189598129,10,"평소 잠자리에서 팟캐스트로 즐겨듣던 음악야화가 책으로 나왔다니~!! 어머 이건 사야해!!!ㅎㅎ방송에서 출판 계획을 들었을 때 부터 지금까지 그동안 계속 기대를 가지고 기다렸던 책이 드디어 나왔군요! 아기자기하고 귀여운 일러스트와 버리지 못할 책 띠지, 그리고 팟캐스트에서 다루지 않았던 더 깊숙한 내용까지?! 음악가들의 삶을 통해서 현재 우리들의 삶을 돌아보게 되는 철학적인 접근까지~!!기대해보겠습니다~! 예약 구매한 책 빨리 받아보고 싶네요~~!!신혼부부 결혼 축하선물로 제격인거 다들 아시죠? ;)"
9791189598129,10,책이 나왔다해서 봤는데 겉에 표지만봐도 너무 재밋을것 같애서 책을 샀어요~ㅎㅎㅎ송사비화이팅!
9788995990155,10,임용고시 준비에 많은 도움을 준 책이었어요
9788995990155,10,아주 상세한 지식을 얻을 수 있는 책입니다 꼭 읽어보시길 바랍니다
9788995990155,10,아주 만족합니다!!!
9788995990155,10,서양음악사의 정규교과서로 사용되는 아주 유용한 책입니다. 꼭 읽어보시길 권합니다.
9788995990155,10,설명이 자세한 좋은 책
9788903411130,10,방과후 바이올린 교재입니다^^
9788903411130,10,역시 새책이 좋아요!
9788994034843,8,초보 우쿨렐러가 차근차근 따라하기 아주 좋은 책입니다
