ISBN13,rating,review
9791197341311,10,오픽은 역시 오픽노잼!! 오픽노잼 없이 오픽은 안된다구요..!각 파트별로 깔끔하게 정리되어 있어서 MP잡기도 훨씬 수월했어요! 또 각 챕터마다 큐알코드가 있어서 바로 영상으로 도움받을 수 있답니다!! 오픽의 전체적인 틀과 꿀팁을 알고싶다면 바로 사소!!
9791158551957,8,유형별 상황별로 정리가 잘 돼있어요. 한권쯤있음좋겠네요
9791158551957,6,해커스 인강 들으면서 보려고 샀는데 인강이 너무 별로라서 취소하고 혼자 보고 있어요
9791158551957,8,오픽 준비하려고 알아보다가 유명한 책으로 샀음IM3 이상이 목표여서 그냥 IH~AL 용으로 샀다.2주 동안 정확히는 10일 플랜으로 하루치 공부량 적혀있는 게 좋음내가 알아서 하루 이만큼씩 공부해야 끝내겠다 계획 안 해도2주 플랜 1주 플랜 이미 써있는 점 좋음기출문제집으로 보기에 좋습니다
9791158551957,8,도움이 됐어요 근데 막상 시험 보면 책 내용을 그렇게 많이 활용하게 되진 않더라구요
9791158551957,8,"서점에 가서 직접 골랐던 책이에요. 그래서 내용은 크게 상관이 없었습니다.배송은 역시나 빨랐고, 책도 손상없이 와서 만족했습니다."
9791158551957,10,만족스럽습니다 만족스럽습니다 만족스럽습니다만족스럽습니다만족스럽습니다만족스럽습니다병이야
9791158551957,10,가장 핵심만 짚어주는 고마운 책 ^^!
9791158551957,10,"정말 실전에 완벽 대비할 수 있는 교재인것 같습니다!주제별,유형별로 정리가 잘되어 있어서 학습하는데 도움을 많이 받았습니다."
9791158551957,10,"매번 오픽 돌발적인 질문때문에 걱정이었는데, 교재에서 어떤 질문에도 답할 수 있는 주제별 답변 아이디어랑 표현 사전 제공해준다고 하니까 완전 기대중이에요!ㅋㅋb"
9791158551988,10,오픽 공부하는데 정말 도움이 많이 되었습니다.다들 너무너무 추천드리는 책 입니다.저는 학교에서 인강을 무료로 제공 해줘서 이 책 덕분에 많이 공부할수 있었습니다.
9791158551988,10,교재 정말 잘 나왔네요. 특히 ｀시험장 위기 상황 대처 표현’은 실제 시험장에서 유용하게 쓰일 수 있을 것 같아요.
9788962818628,10,도움이 됩니다
9788962818628,10,아침마다 입트영 들으면서 출근하고 있는 직장인 입니다 이현석님의 강조하시는 최신 트레드가 잘 반영되어 있고 한달 후 예정인 오픽 시험을 잘 준비할 수 있을 것 같습니다. 전면 개정판이어서 정말 좋습니다
9788962818628,10,"이현석 선생님을 믿고 책을 구매하였습니다. 매일매일 입트영과 단톡방을 통한 살아있는 영어를 가르치시는 열정! 실생활과 관련된, 진짜 현지인이 쓰는 영어는 이제껏 배워왔던 영어와는 많이 다른것 같습니다. 정말 하고픈 말을 할 수 있게 해주는 선생님 감사해요! 이번 책도 잘보겠습니다!"
9791157527182,10,기본적인 면접책입니다. 예시가 꽤있습니다.
9791157527182,10,짧은 영어로 최대한 길게 답변할 수 있는 모범 답안을 참고해서 요령껏 대처해야겠군요
9791157527182,10,돌발 질문에 당황할 것 같다면 기본적인 내용이라도 확실히 대비하는 게 최선이겠네요
