ISBN13,rating,review
9788974825256,8,쉽기는 한데 첫걸음이라기엔 다소 아쉬운 느낌이 있네요
9788974825256,8,이책은 라틴어공부에 도움이 되고 회화부분도 있어요(^^). 근데 문법부분이 아쉬워요.
9788974825256,8,쉽고 좋은 책인데 설명이 아쉬운 느낌이 있어요.
9788974825256,10,몇 안되는 라틴어 책들 중에서 간단하고 이해하기 쉬운 책!
9791159016691,10,"오늘 도착해서 받았는데, 폴란드어공부에 도움이 많이 되어요(^^)."
9788982555367,10,히브리어를 공부 하는데에는 최고의 자습서라고 생각됩니다. 보기만 해도 겁이나는 히브리어를 솔솔 읽어 내려가는 재미를 맛보게 하네요.강력히 추천 합니다.  ^^
9788951101823,10,생각보다 나쁘지 않았다. 있을 건 다 있음.
9788951101823,6,성경을 제대로 이해하고 싶다면 헬라어는 기본!
9788971081891,10,탄탄한 내용에 좋은 책입니다.
9788971081891,10,다시 다듬어서 출판하면 정말 좋을텐데..
9788974646431,8,오늘도착해서 받은 포르투갈어책이에요(^^). 일단 cd도 포함되어 있고 기초문법을 배울수도 있어요(^^). 근데 해석이나 답안해석이 없어서 아쉬워요. 그리고 이책으로 포르투갈어를 공부하는것보다는 어느정도 포르투갈어를 배우고 해야해요.
9788988015063,10,덕분에 편하게 공부하고 있습니다~ 이 책이 있게 해 주신 분들에게 정말 감사드립니다~^^
9788988015063,10,라틴어 공부할때 바이블..
9788992683654,2,비닐겉표지찢어짐.145쪽찢어짐.뭘보낸거냐.확인은하고보내나.그래도참는다.다신알라딘에서안산다.책은 쓸데없는명사천지.동사가 없다.생활에서 유용한게 한반쯤은 된다.
9788992683654,8,초보자가 봐도 한국어로 발음이 맞지 않는게 많네요.. 그냥 최소한의 가이드정도.. 다른내용은 만족합니다
9788992683654,8,포어교재로 많이 씁니다.
9788992683654,10,포르투갈어어휘를 찾는데 도움이 되고 게다가 인터넷관련단어들과 요즘에 쓰이는 어휘들을 포르투갈어로 찾을수있어요(^^).
9788992683654,10,포르투갈어 단어 교재가 없어 해외 도서를 직수입 구매하는 상황이였는데 이 책이 새로 출판해서 아주 마음에 듭니다. 남성형 여성형에 따라 표기 방식은 달라도 내용 은 풍부합니다.
9791159016455,8,포르투갈어를 어느 정도 접한 사람이나 읽을 책인 것 같습니다. 왕초보 입장에서는 상당히 불친절한 책으로 느껴져요.
9788925564876,8,"컨셉, 형식 등 전반적인 면에서 한동일 교수의 ‘라틴어 수업‘을 벤치마킹한 흔적이 뚜렷이 보인다. ‘라틴어 수업‘보다 소개하는 라틴어 문장의 수를 늘리고 각 문장을 단어별로 분석해 문법을 좀 더 자세히 설명하는 것으로 차별점을 두었다. 라틴어와 관련된 지식은 ‘라틴어 수업‘보다 얕고 넓다."
9788995834534,10,"터키어에 관심이 생겨서 사던 책들중의 한권인데, 정말 너무 좋아요(^^). 게다가 터키어문법과 회화도 배울수도 있어요(^^)."
9788974828615,10,여러가지 언어를 배우고 책도 구매했지만 이 정도로 잘 쓰인 언어 교재는 본 적이 없다. 쉽고 내용도 알차다!
9788974829148,10,한동일이다. 달리 말이 필요한가? 오탈자나 열심히 찾아보자.
9788974829148,10,국내 현존하는 사전 또는 유럽의 라틴어 사전과도 견주어도 손색이 없습니다.
9791195054626,10,"오늘 도착해서 받았는데, 개정판이라서 그런지 크기가 좀 얇아졌지만, 스와힐리어회화공부에 도움이 많이 되어요(^^)."
9788992281713,10,체코어공부하려고 했는데 이 책을 딱 만나서 ! 유용하고 쉽게 공부하고 있습니다 ㅎㅎ
9788992281713,10,인터넷 강좌와 함께 들으니 정말 공부가 잘됩니다. 체코어 첫 교재로 제일 좋은거 같네요!!
9791195444809,8,라틴어의 라자도 모르는 상태에서 어떤 책으로 공부를 할까 고르다가 눈에 들어온 책인데 일단 재미있다. 초보자 입장에서는 앞에 나왔으면 더 좋았을 거 같은 내용이 뒤로 가 있어서 좀 난처하기도 했다. 발음이 헷갈리고 외울 게 넘쳐나고 뒤로 갈수록 어렵지만 어차피 각오하고 덤빈 거 해볼란다.
9791195444809,2,현재 쓰이는 교회 라틴어 읽기를 무시하고 v를 무조건 우로 읽어야 한다고 쓴 점이 흠. 예로 강동원이 불렀던 Victimae paschali laudes에서 victimae를 윅티마에 (현재 읽기는 빅티메)로 표기한다거나.. 실제 쓰이는 라틴어를 가볍게 보고싶으면 한동일의 라틴어 수업을 읽는걸 추천.
9791195444809,2,제목과 차례를 보고 라틴어와 관련된 재밌는 이야기 모음이라고 생각했느데 속았다. 쉽게 읽도록 쓴 문법서. 계속 반복되는 문법 이야기에 안타까울 지경이었다.
9788974828585,8,너무나 방대하다. 한 장씩 넘길때마다 물에 허우적대는 기분이다. 하지만 그 와중에 물결을 느끼는재미가 있다.
9788968172717,10,이 책은 라틴어를 한국어로 쉽게 재미있게 배울 수 있는 유일한 책 입니다. 프랑스어 아시는 분들에게 Assimil Le Latin 강추.
9788968172717,10,"라틴어와 파생되는 영어단어, 문법도 있어 그 문법을 사용해 라틴어로 작문을 해볼 수 도 있습니다"
9788968172717,10,"연습문제에 해답, 구성이 깔끔해서 좋았습니다."
9788934113744,10,단어공부도 효율적으로 지혜롭게.성경에 나온 헬라어 단어들을 빈도수 높은 단어들위주로 심도있게 선별하여 깔끔하게 편집한 최고의 단어핸드북!
9791196399436,10,"더바른 폴란드어 스텝1 보면서 여격, 기구격, 장소격 등등 어렵기만 한 폴란드어 변화형태로 배우다가 지치기 쉬운 언어가 슬라브어 계열 중 하나인 폴란드어. 국내어 관련 책이 많지 않아 뭘 봐야 할지 모르는 상황에서 차근차근 볼만한 책인 것 같아요."
9788992281706,10,생소한 루마니어 공부하는데 이만한 책이 없어요 기초와 입문단계를 배우시는 분들에게 추천합니다
9788992281706,10,"루마니아어가 한국에서 유명하지 않은데도 불구하고 전문성 높은 짜임새과 더불어 친절한 설명, 강의까지. 루마니아어를 배우는데 이보다 친절한 책은 본적이 없습니다.정말 강추합니다!"
9788992281416,6,"오늘와서 받은책인데 폴란드어문법과 회화를 배울수있어서 좋지만, 한페이지에 로만 폴란스키가 있는게 안좋아요. 출판사에서 로만 폴란스키부분을 빼고 재개정판을 다시 재출판해야해요."
9788974825690,10,"루마니아어회화책과 함께 샀었는데, 정말 루마니아어기초를 쌓을수있고 게다가 자세한 설명들이 많아서 도움이 되어요(^^)."
9788974825690,10,처음 배우기에 적절합니다. 문법 설명도 이해하기 쉽고 녹음 CD도 있습니다. 루마니아어 밑에 한글로 발음이 적혀 있는 게 단점입니다.
9788992257350,2,"｀사전｀이라 하지 않고, ｀단어집｀ 정도로 했어야 하지 않을까요? 잘 보고 있습니다"
9788972860075,4,헬라어전치사좋은데 가격이 너무비싸다 대불만족
9788974642273,10,"오늘도착해서 받았는데, 폴란드어공부하는데 도움이 많이 되어요(^^). 가격이 비싸긴 하지만, 공부하는데 도움이 많이 되어서 구입강추에요(^^)."
9788931105650,10,에스페란토에대해 궁금하셨던 분이라면 꼭 봐야할 책이에요정말 쉽게 설명이 되어있는데 대충읽어도 제법 말을 할수 있답니다
9788931105650,10,기초에스페란토를 배울수가 있어서 정말 좋아요(^^).
9788931105070,10,"덴마크어입문, 노르웨이어입문에 이어 샀었는데, 덴마크어와 노르웨이어와 비슷해서 배울때 빨리 배울 수 있어요(^^)."
9788931105070,10,기대안하고 샀는데.. 정말 괜찮습니다. 다른 언어도 사고 싶어요!
