ISBN13,rating,review
9788974827731,6,예전에 독일어를 배웠던걸 다시 공부하고 싶은 사람은 혼자 공부해도 괜찮을 책이다. 독학으로 쓰기엔 불친절한 책. 강의 교재의 느낌이 물씬 나서...
9788952114075,6,보통 비닐(?)같은거에 잘 포장되어서 오지 않나요? 그런게 하나도 없고 책 모서리 손상되어서 받았습니다..그래서 좀 아쉽네요
9788952114075,2,독일어를 처음 시작하는 입장에서 전혀 이해되지 않는 책이었습니다. 이 책은 어느정도 숙지하고 시작하시는 분이 아니라면 정말 추천해드리고 싶지 않으며 해설지나 답안지가 없어서 구하지도 못할뿐더러 책을 출판한지가 시간이 꽤 지났는지 이용하기도 쉽지 않습니다.
9788952114075,8,취미용으로 공부하려고 구매했습니다. 초보용으로 적합해 보입니다 감사합니다.
9791190032025,10,독일어 배운지 얼마 안된 입장에서 한눈에 쏙 들어오게 정리 매우 잘 되어 있습니다.
9791190032025,10,저자직강 인강이라 아무래도 신경 더 썼을것 같음
9788974646875,8,독일어 공부하기에 적합한 교재입니다! 학기마다 구매중
9788983007827,6,"회화편이 너무 빠르게 녹음되었고, 독일어 회화 다음에 한국말을 하여 cd만 들어도 공부되게 한 것이 있었으면 더 좋았을 것 같습니다."
9788983007827,2,겉멋만 들어있는 책만드는 기술에 한숨만 나오네요. 한심합니다.
9788983007827,6,cd는 안사용하게 되서.. 홈페이지 회원가입을하고.. 근데 영상이..쪼끔 옛날것 같은 느낌이...?
9788983007827,10,김미선 선생님 때문에 더믿음이 가네요^^
9788983007827,6,읽는중...독일어 교재는 별로 없어서 선택 폭이 좁네요..
9788983007827,10,제목 명 그대로 가장 쉬운 독일어 첫걸음 책으로 딱이에요. 잘 공부하고 있습니다.
9788983007827,8,책 초반부터 오류가 있어서 출판사에 문의해서 자료받고 했습니다.(구매자분들 확인하시길)이거 제외하곤 훌륭한 책인것 같내요
9788983007827,8,"이번에 사게된 독일어책인데, 제게도 유익하긴 해요(^^). 근데 인터넷강의인 경우 넘빠르긴해요."
9788983007827,8,"mp3파일 뿐만 아니라 동영상 강의가 함께 제공되어 독학하기에 좋다. 다만 발음 부분 예문 위치가 틀린 부분이 있고, 우움라우트에 대한 설명은 아예 빠져있어 수정이 필요해보인다."
9788983007827,8,"독일어를 아예 처음 공부한다, 이런분들께 강추합니다!문법정리도 쉽게 잘 설명되어 있고 동영상강의와 mp3파일 씨디도 안에 들어있어 독학하기 수월합니다."
9788983007827,8,처음 시작하는 사람들이 재밌게 접하기 좋은것 같습니다.
9788983007827,2,책이 어렵고 디비디 강의속도가 너무 빠르며 설명이 난해하다
9788983007827,10,독일어를 처음 접하는 제가 선택했던 책입니다. 쉽고 흥미롭게 만들어진 느낌 이었어요. 덕분에 요즘 독일어 공부 열심히 하고 있어요.
9788983007827,10,독일어를 처음 시작할때 너무나도 좋은책 ! 회화도 완전히익힐수 있어서 너무나도 좋아요!
9788983007827,8,독일어를 혼자 공부해보겠다며 구입했던 책입니다. MP3 파일과 무료 동영상강의를 들을 수 있어 좋습니다^^
9788983007827,10,독일어를 처음 공부하는데 많이 도움이 됩니다. 열심히 해서 독일어의 첫걸음을 내딛어봅시다.
9788983007827,8,요새 공부하는데 잘 보고 있어요! 약간 편한거 같아요 ! 공부방법도 제시해 주셨으면 독학하는 사람들을 위해 좋앗을거 같기도 ..? ㅜㅜ
9788983007827,10,"독일어를 처음 배우는데 이것만 한게 없는 것 같네요
동영상도 있어서 더욱더 좋은 것 같아요"
9788983007827,10,독일어를 완전 몰라도 혼자 배우기 좋았다. 동영상강의를 들으면 조금은 도움이 된다.
9788983007827,10,가장 기본적으로 접할 수 있는 독일어 책으로 초보자가 시작할때 도움이 되는 것 같습니다.
9788983007827,8,구매합니다.
9788983007827,10,"오늘 받았는데 좋네요. 강의 CD도 있고, 회화편 바로 문법편 있네요. 프랑스어편은 문법편이랑 회화편이랑 구별되어 있었는데요."
9788983007827,8,독일어에 좀 더 쉽게 다가갈 수 있는 기본서 입니다. CD가 함께 들어 있어 더욱 좋습니다.
9788983007827,8,고등학교 때 배웠던 독일어를 다시 시작해보려고 합니다. 스스로 하는 것이니까 기분이 색다르네요. 책 나름 괜찮아요.
9788983007827,10,괜시리 경상도 사투리같은 독일어...!!! 콧수염 기른 독재자로 상징되곤 하는 이 나라는 어떤 문화를 지니고 있을지?!
9788983007827,10,"고등학교 때 제 2외국어로 공부하고 거의 5년 만에 다시 한 독일어. 동양문고는 일본어 할 때도 그렇고 괜찮아서 고르게 되었는데, 역시나, 적당한 초급수준(너무 회화수준의 초급이 아니라)이라 맘에 듭니다!"
9788983007827,10,강의도 많고 MP3까지 지원해 주셔서 처음 공부하는 제게 많은 도움이 될 것 같습니다.
9788983007827,10,재밌고 책도 잘 정리 되있어서 좋아요
9788983007827,10,쉽게 잘 나와있어서 정말 좋았던거 같음~
9788983007827,8,"""가장 쉬운 독일어 첫걸음의 모든 것"" 정말 좋아요!!""가장 쉬운 독일어 첫걸음의 모든"
9788983007827,8,"스페인어, 프랑스어에 이어 독일어도 나왔네요ㅎㅎ 동양문고책이라 믿음이 가네요"
9791157520091,10,초보에게 딱이에요!
9791157520091,10,추천함다ㅋ플랜에 따른 콘텐츠까지 제공해줍니당 독학용 최고서  아닐까합니다
9791157520091,8,대학에서 교양 독일어 강의를 듣고 모래알처럼 빠져나가 버리는 독일어를 다시 머릿속에 붙잡아 두기 위해 구매했습니다. 함께 제공되는 무료강의와 함께 공부하니 제법 알찹니다. 추천할 만 합니다.
9791157520091,10,"지금 동영상 강의랑 함께 공부하고 있는데, 특히 이 책은 저같은 정말 왕초보를 위해서 재미있게 시작하기 좋습니다. 교재가 친절하고, 특히 팟캐스트와 유튜브를 통해서 동영상 강의를 해주시는 선생님과, 저자의 해설방송을 같이 들으니 훨~씬 재미있게 공부할수 있어서 적극 추천합니다."
9791157520091,10,"완전 좋습니다... 결정장애를 가진 의지부족민인 제게.... 하루에 할 분량을 정해주며, 복습까지 체크해주는 나를 이끌어주는 책!!! 성공하고 싶습니닷~!!! 제발......"
9791157520091,10,독학하기 정말 좋게 구성되어있는거같아요! 책 안에 발음기호도 한국어로 다 써져있고 회화에 딸린 설명들도 아주자세해요! 독일어의 명사나 형용사등이 어떤지도 처음에 설명해줘서 독일어에대해 이해하기 편해요!
9791157520091,10,참고할 수 있는 자료도 많구 설명도 친절하고 글씨도 크고 좋아요 :D 굿굿!
9791157520091,10,구입하면서 편하게 보고싶어서 분철도 택했어요 글씨도 크고 괜찮은거 같아요 열심히 해볼게요!
9791157520091,10,말 그대로 독학하기 아주 좋은 책의 구성이었습니다.  이론 과 온라인 강의 모두 제공되서 좋구요~ 당장 쓸 수 있는 기본 요소는 모두 담고 있어서 어려운 독일어 재미있게 접근할 수 있는 충분한 교재라고 생각합니다.
9791157520091,10,정말 혼자서도 공부할 수 있게 쉽게 되어있습니다~mp3파일도 있어서 들으면서 할 수 있어서 좋아요~독일유학 갔다온 남자친구도 책 괜찮다고 했어요~독일어 처음 혼자 공부하기에 좋은 책이예요~
9791157520091,6,기초책이라 그런지 생각보다 얇아여 ㅎ
9791157520091,6,내용 참 좋고 공부도 잘 하고 있습니다! 제 책만 그런지는 모르겠지만 책이 한장씩 떨어져 나오더라고요 ㅜㅜㅜ 구매하시려는 분들 꼭 스프링 제본 추천드릴게요 ㅜㅜ 책이 크게 펴면 정말 잘 뜯어져요 ㅜㅜ
9791157520091,4,다른책 보다 쬐금 저렴해서 구매했는데 싼 값을 하는책.단원마다 내용이 매우 부실한거같다. 인터넷 찾아보면서 공부중.
9788973585212,10,발음 한글 표기는 낯선 표기규칙으로 인해 눈에 잘 안들어오고 어지러움. 발음기호정도 표기하는 정도로 하고 대신 CD에 보다 많은 다이얼로그가 수록되면 좋겠어요(제발 부탁). 유용한 표현 부분 같은거요. 발음표기만 아니면 연습문제도 많고 j예문도 많고 구성이 아주 좋은 책.
9791190032032,10,기초문법이후 중급이상 문법을 위해 구입했습니다. 혼자 보기는 어려워 독**영상강의(유료)로 공부 중입니다. 정리를 깔끔하게 해 주셔서 많은 도움이 되고 있어요.
9788977395602,8,"독일 유학 갔을때, 독일어 어학코스를 밟는 학교인 하트낙슐레에서 썼던 학교 교재였다. 이렇게 한국에서 판매되는 걸 보니 이상하다~~ 아직 내 책꽂이엔 표지는 다르지만 이 책이 꽂혀있다~"
9791165210908,10,"효과적으로 공부할 수 있도록 구성되어 있어요. 예를 들어, 기본 동사를 중심으로 해서 파생된 동사들을 묶어서 볼 수 있고, 또한 각 단어마다 예문이 다 있어서 좋아요. 또, 아무래도 독일어의 많은 단어들이 동사를 중심으로 변형되기에 동사 공부가 중요한데, 동사 공부하기에 정말 좋은책이에요!"
9791165210908,10,우선 독일어 단어장이 생각보다 시중에 많이 없는데 이렇게 정리해주시니까 너무 좋았습니다! 그런데 생각보다 단어가 많아서..(좋은 점이지만 저의 게으른 탓..) 혼자 하시에는 좀 벅찼는데 저자님 블로그 들어가보면 스터디도 진행하셔서 이거 하시면 많은 도움 받을 수 있습니다!
9791165210908,10,단어 난이도가 좀 있네요 완전 초보가 공부하기에는 조금 어려운 편인 거 같아요c1 준비하고 있는데 기초 단어 헷갈릴 때 이 단어장 무조건 펴서 한번 달달달 외워요아 다르고 어 다른 부분까지 섬세하게 집어줘서초급도 물론이고 고급까지 꼭 가져가야 할 단어장인듯
