ISBN13,rating,review
9791155813102,6,재밌는데 소장하진 않아도 될 듯..
9791155813102,8,알찬 구성!! 재밌어요~~ 영어에도 도움이 되곘지만..그게 아니라도 일단 재밌음
9791155813102,10,글머리부터 비범하더니 너무 재밌습니닼ㅋㅋㅋㅋ
9791155813102,8,"아껴서 읽고 싶은 책영어를 잘 못해도 잘 하는 것 같은 기분이 든다.언어의 맛, 말맛을 알게 한다"
9791155813102,6,<꼬리에 꼬리를 무는> 시리즈 영어로 번역 출간되지 않았었니요? 그 책 보고 따라 한 것 같은데요?
9791155813102,10,완전 재밌다!!^^
9791155813102,8,번역을 하면서 발음기호를 달았으면 좋지 않았을까? 하는 아쉬움이 있다
9791155813102,10,세상에서 가장 재밌는 어원 사전인지 아닌지는 잘 몰라도 비슷한 책을 여러 권 본 것 중에는 단연 최고. 서문 부터 유머가 넘치는 문장 덕분에 책장이 술술 넘어간다. 시리즈가 계속 나와도 좋겠다.
9791155813102,10,재밌고 유익한 책입니다. 영어가 지루하고 난해하다고 생각하면 추천
9791155813102,10,올해 만난 최고의 책입니다. 완전 재미있어요. 책을 손에서 놓을 수 없을 정도로 빠져들게 만들어요.
9788900448801,6,예비초등라 구매한 책입니다. 책은 만족합니다. 다만 케이스가 찢어져 와서 그부분이 실망입니다. 포장에 신경써주셨으면 좋겠습니다.
9788900448801,10,7살 아이가 책읽듯 읽고 재미있다고 함. 뒷면 한자어 등 부록도 좋아함.
9788900448801,10,초등생이 모르는 낱말 찾고 뜻을  알기에 괜찮네요! 인터넷 사전으로 금방 찾기는 하지만 사전 찾는 방법을 가르쳐 주려고 샀는데 괜찮아요!
9788900448801,10,"[연세초등국어사전]을 살펴보다 내용의 충실함에 놀랐다. 저자(연세대학교 언어정보연구원)도 믿을 만하고, 구성 또한 알차다. 국어교육 전공자로서 이 사전을 적극 추천한다. ‘초등’ 고학년 때 종이 사전 먼저 익히고, 학령이 올라가면 온라인사전(고려대한국어대사전)을 더하면 된다."
9788900448801,4,"교육과정에 맞는 어휘가 수록되어 있다고는 하나, 아이가 궁금해하는 어휘를 찾아보면 열에 일곱은 찾을 수 없었습니다. 글씨가 조금 크고 단어검색시 약간 수월하다는점을 빼면 사전의 본래기능면에서 굳이 초등사전을 살 필요성을 못느끼게 되었습니다. 그냥 일반 성인용 국어사전을  구입할걸 후횓"
9788900291506,10,좋아요
9788900291506,10,학교에서 옥편을 구해오라고해서 열심히 검색하여 가장 좋아 보이는 옥편을 골랐습니다.요즘은 한문을 애들이 싫어해서 걱정입니다.
9788900291506,8,손바닥만한 유용한 사전 퍽이나 쓸모많다
9788900291506,8,학교 한문 시간에 필요해서 구입했어요 책이 가벼워 가지고 다니기 편리하네요~
9788900291506,10,민중옥편을 보다가 오자도 많고 약자 속자등 참고할 글자의 페이지를 알려주지 않아 찾는데 쓸데 없는 시간을 많이 낭비하여 다시 구입했습니다사전은 동아사전이 제일 정확하고 친절한 것 같습니다
9788900291506,8,"정말 한손에 들어가는 작은 책이더군요
중학생 아이ㅏ 쓴다고는 하지만 가격은 왜이렇게 또 비싼지..."
9788900291506,10,맞아요 좋아요!! 한문교사인데 수업시간에 이 자전을 활용해서 수업합니다.
9788900291506,10,이 좋은 옥편에 댓글이 없다니 씁쓸하네
9788938701428,10,국어공부할때많이도움되네요
9788938701428,10,평소에는 인터넷사전을 사용하지만 한번씩은 사전을 펼치고 양면을 쓱 읽고 싶을때가 있습니다.종이사전을 출판해줘서 감사합니다.
9788938701428,10,저는 학교 다닐때 사전의 사자도 몰랐었습니다. 하지만 지금에 와서야 사전의 중요성을 절실히 느낍니다민중서림의 엣센스 특판 국어사전은 정말 잘 만들었고 보는 재미도 있어서 좋은것 같아요하지만 찾는 사람들이 많이 없는것 같아 아쉬움이 남습니다.
9788938701428,10,요즘같은 시대에 이렇게 방대한 국어사전을 출판해준다는건 좋은일이다.
9788938701428,10,불편해도 자꾸 찾아보면 자연스럽게  익히게 되는데 요즘 너무 쉬운 방법으로만 찾다 보니 종이 사전 다루기가 익숙하지 않는듯하다.
9788938701428,10,초등학교 4학년 올라갔는데.. 국어사전으로 하는 수업이 있는가보네요~ 학창시절에 사용했었던 엣센스 사전~ 아이에게 사주는 날이 오다니 ㅎㅎ 저도 잘 사용했고 아이도 잘 사용할것 같아요!
9788938701428,8,활용도가 좋다.
9788938701428,10,예전부터 사용
9788938701428,10,국어사전 최고인듯하네요
9788938701428,10,"10년만에 개정판으로 새로 구입!전자사전도 있고, 스마트폰 검색이 훨씬 빠르지만,,,,아날로그 사전 훓는 삶도 꽤 매력적....글을 쓸때 점점 맞춤법이 헷갈리는 나이가 되어간다면 구입추천"
9788938701428,10,올 초3이 되는 아이들을 위해 준비했다. 스스로가 찾아보는 기쁨을 누리게 하고 싶어서..매장서 보고 알라딘으로 사니 많이 저렴하다. 모르는 단어를 사전을 집어 얇은 종이 한 장 한장 넘기는게 아이들이 좋아한다.
9788938701428,6,국어사전 좋네요.. 개정판이라 더욱더
9788938701428,10,초등고학년부터는 꼭 필요한 사전입니다.
9788938701428,10,외국에 다년간 살다와서 작은애가 한글어휘가 많이 부족했어요.학문적 단어보다 정말 상식적인 단어에서 많이 막히더라구요. 그래서 구매했어요.
9788938701428,10,학교에서 어린이 사전이 아닌 일반 사전을 가져오라고 해서 구입했는데 아주 좋네요.
9788938701428,10,"보리국어 쓰다기 초등학교 고학년이 되면서 좀 더 낱말이 많은 것을 요청해서, 샀는데, 좋습니다. 보리국어는 초등학교1학년 동생에게 주고요.."
9788938701428,8,뭐 국어 사전은 다 그놈이 그놈인 듯 .. 잘 볼게염.
9788938701428,10,집에 한권 두고나니 든든합니다 ^^
9788938701428,10,초등학교 국어수업에 필요해서 구입했는데 커서도 계속 사용할 수 있는 사전
9788938701428,10,감사합니다
9788938701428,10,"엣센스사전은 역시라는 생각이듭니다.영어,일어,영한사전다있거든요.단어찾기편해요."
9788938701428,8,전자사전익숙한아이들사전찾기어려워하는데찾기도쉽게잘되어있어학습에도움되고빠른배
9788938701428,8,종이재질도 좋고 제가 학교다닐때부터 쓰던 그대로 입니다.
9788938701428,2,너무 하는군요 사전공지도 없고 그때는 기상 악화도 아니였는데...실망이 큽니다.
9788938701428,10,국어사전을 꼭사줘야한다는 생각은 있었지만~ 자기 학습에 무척 도움됩니다 꼭 구매!
9788938701428,10,"학교에서 선생님이 사라고 해서 장만했는데,,역시 좋습니다"
9788938701428,10,개정판이라 구입햇답니다. 교과서도 개정되서 아이에게 선물하니 너무 좋아하네요
