ISBN13,rating,review
9788965422921,10,잘 받았습니다 열공할게요!
9788965422921,10,"풀어볼 수 있는 연습문제도 많고, 교재의 무료인강들으면서 부담없이 공부할 수 있는 영문법책이네요.기초영문법 다지기 좋아요. 뒷부분에 테스트랑 문법표도 따로 있고 구성이 괜찮아요."
9788965422921,10,군대에서 영어를 배우려던 차에 기초가 너무 복잡했던지라 검색을 하다가 어쩌다보니 구입하게 되었다. 진짜 기본 문법만 탄탄하게 배울 수 있는 책이니 구입을 고려하시는 분들 모두 참고하셨음 한다.
9788965422921,10,부족한 영문법 기초를 쌓을 수 있는 좋은 책입니다. 지루하지 않고 영문법 공부를 하는 것에 흥미를 느낄 수 있습니다. 그림과 예문 등 다양한 방법으로 문법을 설명하고 있어 좋습니다.
9788965422921,10,"쉽고 재미있게 영문법을 익힐 수 있고, 다양한 예문들을 활용할 수 있어서 좋아요. <그래머 인 유즈>처럼 한국인들이 영어에 대한 감각을 자연스레 익힐 수 있는 영문법 교재인 듯."
9788965422921,10,기다리고 있어요!
9788936321154,8,총페이지 수정이 필요할거 같네요~667쪽 입니다~2판을 가지고 있음에도 다시 구매했는데 열심히 공부해야 겠네요~이기동교수님 앞으로 나올 책도 기다리고 있겠습니다~
9788998591373,10,미드볼때 언뜻 언뜻 듣던 것들이 책에 나오니 재밋음....난이도는 무난한듯? 재밋게 잘 보고 있어요 ㅎㅎ
9788965420774,10,잘 받았습니다 열공할게요!
9788965420774,10,새벽01시에 주문하니 당일로 받아볼 수 있었습니다.빠른배송 감사합니다.가끔 영작하다보면 헷갈릴때가 있는데 그럴 때 마다 길잡이가 되주길 바라는 마음으로 구입했어요다 배웠던 건데 잊고있었던 내용들을 새록새록 떠올리면서 재밌게 보고있네요
9788965420774,10,"시험을 위한 시험서가 아닌,제대로 영문법에 대해 기초부터 알고싶어서 구매하게 되었어요.요령으로 보는 시험이었던지라, 기초를 꼭 다지고 싶었는데 구성에 만족합니다-"
9788965420774,10,"명성 만큼 훌륭합니다, 한국에 있다  미국으로 다시 돌아가는 분들도 격하게 추천하는 분이 있었습니다."
9788965420774,10,"그래머게이트웨이 베이직과 인터미디엇 책 겉에 책 표지부터 열고 싶게 만드는 색감이 예쁜 디자인과 안의 내용은 grammar in use를 연상하게 하는 익숙함이 있고, 실용영어로 자주 쓸수 있는 표현들인 것같아 좋습니다. 인터디디엇이 작년 9월 출간되었으니 고급편- Advanced 편도 나왔으면 해요."
