ISBN13,rating,review
9791186701911,10,기대중이에요
9791186701911,10,기대됩니다
9788965422945,8,학원교재로 구입했씁니다
9788965422945,10,영어 왕초보인 저도 알아 들을 수 엄청 쉽게 설명돼 있어서 좋아요
9788965422945,10,단어만 외우기도 힘들고 문법만 공부하기도 지루해서 같이 병행하려고 샀어요 :) 하루에 몇 문단씩 정해놓고 보기 좋습니다!
9791197005619,10,영어원서책 읽기에 도전하시는 분들께 추천합니다.어려운 원서가 읽어지는 신기한 경험을 하게 됩니다.이제까지 얼마나 잘못된 방법으로 영어공부를 했는지 깨닫게 해주는 책입니다. 스티브오작가님 다른책도 구매할겁니다.
9791197005619,10,어린 왕자 원서를 사놓고 방치해두는 사람의 특징이 있는데 얇고 쉬워보여서 샀다가 막상 읽으면 어려워서 포기해버린다는 것이다 그런 사람들을 위한 원서가 바로 이책이다
9791197005619,10,영어원서를 쉽게 읽을수있어 좋네요
9791197005619,10,이 책은 놓고 있던 영어에 대해 다시 끈을 잡게 해주는 수단이 되었어요 영어 재미와 자신감이 생기게 해주면서 성취감도 느끼게 해주네요 원문 영어인 5단계가 아직 무리이지만 만족스럽게 읽고 있습니다
9791197005619,10,영어 초보나 원서 읽기엔 아직 도전 못해본 분들이 시작하기에 좋은 책인 것 같아요. 좋네요.
9791197005619,8,‘어린 왕자‘ 영문을 자기 수준에 맞게 읽을 수 있도록 편집되었다. 1단계부터 5단계까지 한 계단씩 가는 방법과 랜덤으로 단계를 바꿔가면서 읽는 재미가 있다.
9791197005619,10,오래두고 보관하며 그때그때마다 다시 읽어보고픈 신기한 영어공부책입니다
9791197005619,2,어린왕자 원서는 불어지 영역판이 아니다. 약팔지 마라 진짜.
9791197005619,10,정말 좋은 책입니다. 단계별로 되어있어서 읽기도 쉽고. 공부에 많은 도움도 됩니다.
9791197005619,10,영어 원서를 처음 접하는 분들이라면 부담없이 시작할 수 있는 책이라고 생각합니다. 어린왕자를 쉽고 부담없이 접하고 싶으신 분들에게 이 책을 추천합니다.
9791197005619,10,영어로 된 원서를 읽으며 공부하고 싶거나 쉽고 효과적으로 책을 읽으며 공부하고 싶은 분에게는 적극 추천드립니다. 반복적인 단계별 읽기로 기분좋은 경험을 하실 수 있습니다!
9791197005619,10,초보부터 고수까지 읽기 가능한 책입니다!
9791197005619,10,이전 펀딩으로구매하였습니다. 1-5단계로 이뤄지는 이 책의 가장 큰 장점은 유튜브영상으로 함께 공부가 가능하다는 점입니다. 읽을 때 모르는 단어가 있더라도 유튜브로 들으면서 함께 읽어나가면 흐름상으로 이해가 가능하며 전체적인 단어가 어렵지 않아 영포자들도 부담없이 도전가능합니다.
9791197005619,10,고민하고 계시다면 빨리 구매하시길 바랍니다!
9791197005619,10,영어원서는 읽고싶고 어린왕자를 좋아하신다면 이 책을 추천합니다 단계별 영어단어 1단계부터 5단계를 지나며 자연스럽게 읽게됩니다
9791197005619,10,친근한 어린왕자로 매일매일 영어 공부 시작해보세요.
9791197005619,10,부담없이 즐기기 좋은책입니다.아메리카노 일주일에 한잔 아낀다는 생각으로 투자해보실만합니다.
9791197005619,10,일단 잼있습니다!영어 원서로 읽는 어린왕자~
9791197005619,10,다양한 영어 책 많지만 레벨별로 구성 된 이 책은 개인용으로 구매해도 좋고선물용으로 좋습니다.
9791197005619,10,우연한 기회에 접하게 되어 지금도 잘 보고 있는 책중에 하나예요.나이가 들어 40중반이 넘었는데도 영어에 대한 두려움과 목마름은 멈춰지질 않더라구요. 말그대로 계단처럼 한단계 한단계씩 알아갈수 있어서 재미있구요.유투브를 통해 발음을 듣을수 있어서 더 좋아요. 고민없이 초초 강추합니다!!
9791197005619,10,전 와디즈펀딩으로 구매했었습니다레벨별로 어렵지 않게 시작할수있어서 좋았고영어원서책을 읽는다는 생각에 뿌듯함도 생기게됐습니다일단 구매해서 읽어보시면 그 느낌을 아시게될거라 생각됩니다~!!!
9791186701126,10,너무 재밌다. 다만 낭독자의 음성이 좀 졸린데 참을 만하다. 이북 출시를 염원한다 ㅜㅜㅜㅜㅜ
9791186701126,10,"영화를 먼저 보고, 개개의 동물들의 특성을 정말 잘 묘사하고 반영한 것에 대해 큰 감명을 받아 꼭 외워 보리라 하고 산책~ 원문이 크게 어렵지 않아 다행인거 같다~"
9791186701126,10,인물소개 케릭터 그림부터 대본 해석 까지 드라마틱한 cd듣기등 다양하게 원서를 읽을 수 있어서 좋네요. 북2의 단어집 까지 영어원서를 완벽하게 읽을 수 있을 것 같아요.
9791186701126,10,네영카덕분에 재미있게 본 애니메이션 주토피아의 즐거움을 다시한번.원래는 영화 사운드를 기대했는데 이 책에서는 부드러운 여자 목소리로 읽어가면서 목소리 연기를 해서 책을 보면서 차분히 들을수있다. 워크북도 있어서 아이들이 좀더 흥미롭게 영어공부를 더 할수있겠다.
9791186701126,8,책 읽어주시는 분 목소리가 넘 따분하고 기운없으셔서 약간 실망 ...시무룩
9791186701126,8,ZOOTOPIA를 영화를 본 사람에게는 새로운 감동과 새로운 재미를 줄 것이라고 생각이 된다.
9788956055053,10,유튜브는 음질이 너무 떨어져서 도저히 못 듣겠어서...살려고 합니다. 이미 들어보신 분들께 음질이 어떻는지 문의 좀 드립니다. 감사합니다.
9788956055053,10,"오디오북까지 있어서 원서 책읽기가 더욱 편해질 것 같습니다. 좋은구성, 합리적인 가격. 재밌게 영어공부 잘 하겠습니다~^^"
9788956055053,8,영화를 보자마자 바로 주문했습니다~ 이렇게 새로운 책을 만나게 되서 좋네요
9788956055053,10,영화 더기버를 본 후 구입하지 않을 수 없었던 원서
9788956055053,10,"영어 공부에는 꼭 읽어야 할 필독서.
높은 어휘력과 표현력, 하지만 현재는 사용하지 않는 예전 표현이 일부 있음.
워크북이 단어장 스타일이 아닌, 영영식으로 현재 사용하는 표현으로 바꾸어 주었으면 하는 아쉬움이 있음."
9788956055053,10,번역서는 절대따라갈수없는 원서만의 묘미가 뭔지 알게해준 계기가 된 책!!잘안쓰이는 단어좀 빼면 어린이들도 어렵지않다.다만 그재미를 위해선 우리현실의 문제점을 좀알아야하기에 어른들에게 더한감동이.
9788956055053,10,수준이 좀 높다 하지만 영어공부에 도움이 많이 될 듯 하다!! 영어다운 영어를 위해.
9788956055817,4,"책 내용은 좋으나 책 재질이 완전 꽝입니다. MP3로 들으려고 일부러 이걸로 골랐는데, 알고보니 한국판이라서 종이도 엄청 무겁고 크기도 외국것 처럼 가방에 쏙 들어가는 작은 사이즈도 아니고... 속았네요."
9788956055817,10,"ebs 원목달 교재용으로 산건데, 책 내용도 재밌고 강사님 강의도 매우 유익해요!! :)  단어장에 영영사전 해석도 들어있어서 굿~중급 코스가 holes랑 도리를 찾아서 두가지인데 도리는 내용이 그다지 끌리지가 않고 holes가 더 재밌어보여서 샀는데 책 내용이 재밌어서 공부하는 재미가 있어요 :)"
9788956055817,10,이야기가 전개되면서 퍼즐처럼 완성이 되서 더욱 재밌게 읽었어요. 영어도 자연스럽게 늘어서 좋습니다^^
9788956055817,10,재미있게 읽었습니다. 롱테일북스 책은 믿고 읽습니다. 앞으로도 좋은 책 많이 소개해 주세요. ^^
9788956055817,10,요즘 부지런히 원서 읽기에 도전하고 있어요. 이 책을 통해 영어실력이 많이 향상되길 기대합니다.
9788917199000,10,리딩라이브러리 역시 모으고 있다. 이런 좋은 책은 아이들에게 정말 유용할것 같아요.
9788965420286,10,동영상이랑 같이 보려고 샀어요~
9788965420286,10,문법이 생소하고 어려운 초등학생 아들에게 엄마표 영어 공부리켜주기 위해서 주문했어요순차적으로 차곡차곡 준비하기 좋은 구성입니다. 그림으로 아이의 이해도 돕고 쉬운 구성으로 쉽게 받아들이고 있습니다.
9788965420286,10,영어 공부하시는 초보자 분들이 보시기에 괜찮다고 생각합니다. 보기도 쉽고 이해하기도 쉽게 되어있습니다.
9788965420286,8,영어초보자가 보기에도 쉽게 정리가 되어있는거같아요.
9788965420286,8,토플 준비하면서 기초적인 문법책이 필요해서 샀어요부담없이 풀기에도 좋고 기본적인 책 그대로 입니다.다만 자세한 예문이나 설명을 원한다면 이 책말고 다른 책 사는게 나을 것 같네요오랜만에 공부하거나 기초를 정리하기 위한 분들에겐 적합할 것 같아요
9788965420286,2,이책 정말 눈 아픕니다. 저처럼 노안이 온 사람은 절대 사지마세요. 해석부분이 너무 잔글씨라서 돋보기 쓰고도 잘 안보여서 책을 집어던지고 싶습니다. 책 글씨 좀 크게 인쇄할 수 없나요? 노안기 중년에게는 강력히 비추합니다.
9788965420286,8,쉬워서 좋은 책
9788965420286,10,"명성 만큼 훌륭합니다, 한국에 있다  미국으로 다시 돌아가는 분들도 격하게 추천하는 분이 있었습니다."
9788965420286,4,이거 구성같은건 좋은데 설명 없어서별로고 동영상강의없이 그냥 책만볼라면 사지마세요. 설명없어서 뭐가뭔지몰라요. 어플에 무료강의는 5분짜린데 유료강의에서 앞부분5분만짤라논거라서 결국엔 유료강의봐야하는데 유료강의는9만원돈하네요.ㅋㅋ
9788965420286,10,기초도 가물가물한 나에게는 이보다 친절하고 깔끔하게 정리되있는 책이 있을 수 없다 어려운 문법용어에 치중되지 않고 예문이면 예문 설명이면설명 틈틈히 점검할 수 있는 연습과 테스트까지 기초를 한달 안에 정복할 수 있는 용기가 생긴다 단 한페이지 안에 글씨가 너무 작고 빼곡한 게 흠이라면
9788965420286,8,대학다니기전에 문법이 부족해서 기초를다질려고 샀다.책의 구성도 나름알차고 삽화들이 있어서 책보는 맛이 더 좋은것같다.1000원 추가로 스프링 분철을 달았는데 너무 좋았다.이책은 오래볼수록 앞부분이 덜렁덜렁 찢어질꺼 같아서 불안했는데 안심하고 쓸수 있을꺼 같다.스프링 분철 아이디어 good!
9788965420286,10,문법은 늘 어려웠는데 설명이참 쉽고 그림도 많아서 이해가 잘되네요ㅎㅎ 이 책으로 꼭 왕초보 탈출하겠습니다!! 파이팅^^
9788965420286,10,삽화랑 연습문제가 잘 나와 있어서 이해가 쉬워요. 저같이 게으른 사람한테는 학습플랜도 도움되네요~ 초보자에게 여러모로 유용한 책~!!
9788965420286,10,우리엄마가 항상 끼고다니시는 교재 ㅎㅎ 어머니가 좋아하셔서 저도 기분이 좋네요 ㅎㅎ 제가 사드렸거든요~ 좋은 책 추천!
9788965420286,10,초보자들에게 좋은 교재입니다. 어머니가 영어공부하고 싶으시다고 해서 그래머게이트웨이를 사다드렸습니다. 어려운 용어가 없는게 무엇보다 좋아요쉬운 구성과 그림들이 학습하는데 부담이 되지 않게 공부할 수 있게 끔 해주는 것 같습니다
9788965420286,10,"어려운 문법 용어들이 없어서 초보들도 이해하기가 쉽네요.중간중간 삽화도 있고,실생활에서 쓸 수 있는 예문들이 많아서 기초문법공부하기 좋은 책이예요!"
9788965420286,4,저한테는 설명이 너무 없어서 어렵네요 해석되있는것도 없고
9788965420286,10,현재 약 3주정도 공부하고 있는데 정말 최고인것 같습니다.초보자가 보고 공부하기에는 딱!입니다.해커스 동영상 강의도 너무 좋아서 현재 지식이 무럭무럭 자라나고 있어요^^
9788965420286,10,열심히 보고 있어요! 합격!^^
9788965420286,6,쉬워도 너무 쉽다... 완전 초보나.... 영어를 수십년간 외면했던 사람들을 위한 책... ㅠㅠ
9788965420286,10,"거의 15년 만에 영어 공부를 다시 시작해 보려고 구입한 책인데, 잘 선택했다는 생각이 듭니다. 구성이 알차고, 재미있게 공부할 수 있도록 짜여 있어서 시간가는 줄 모르고 공부하게 되네요^^."
9788965420286,10,영어 기초 문법에 아주 좋을 것 같아요 ㅎ
9788980995622,10,"영어를 국어 비문학 분석하던 접근법으로 유도하는 책. 영어-한국어는 일본어-한국어와는 달리 두 언어가 전혀 닮지 않았다는 점, 그래서 더욱 오랜 수련기간이 필요하고 독해전략이 중요하다는 점에서 좋은 책. 전략을 몸에 익히려면 한번 보지 말고 여러번 회독해야 효과를 볼 듯."
9788980995622,10,리뷰 당선된 적이 없다 그래도 쓰자면 편입교재용 보단 독해 실력을 올리기에 더 좋은것같습니다
9788980995622,8,편입교재용으로 샀는데 기본적인것부터 잘되어있고 논리정연하게 잘 정돈되어있어서 기본서로 정해놓고 공부하기 딱 좋은 교재인 것 같습니다.
9788980995622,6,독해의 뼈대를 잡는데 좋은 개념책입니다. 우리가 국어 문학을 배울 때 기초이론지식을 배우는 것 처럼 영어독해지문의 이론을 하나씩 알려줍니다. 부족한 건 단어 뜻 같은 것도 따로 적혀있으면 더 좋았을걸 하네요.
9788980995622,8,기본편이라 내용이 그리 어렵지 않고 잘 정리되어 있는 책이네요. 기본을 다지기 좋은 책인거 같아요..
9788960498617,10,"이 책 정말 좋네요~ 영어 공부를 할 수록 궁금한 내용들이 잘 담겨 있습니다.  추천 하고 싶고, 주변에 권하고 싶네요. 상황별 조금씩 다르게 적용 되는 예문이 수록 되어 있어 훨씬 이해가 쉬워요. 정말 괜찮은 책인거 같아 리뷰 남깁니다."
9788960498617,10,알듯 모를듯 햇갈리던 단어들의 미묘한 차이점들이 잘 정리되어있어요. 주제별로 예문대화도 같이 있어 실제 상황에서 어떤 느낌으로 쓰이는지 쉽게 알 수 있네요.
9788960498617,2,설마 했는데. 한국에서 영어 좀 공부하는 사람들은 거의 알만한 초보적 내용이 대부분이라. 한마디로 책 참 쉽게 냈다
9788960498617,10,평소 바라던 책이어서 구입했는데 실제 영어공부에 도움이 돼요 이 분의 다른 책도 읽고 싶어지네요
9788960498617,10,이책 너무 좋은거 아닙니까??비슷한 단어들의 자세한 설명과문장들로 한번더 공부가 되네요!!공부하는데 엄청도움될것같아요!!너무 유용해서 공부하고싶은 열정이 막 생기네요~저자님의 다른책들도 알고싶어지네요~감사합니다
9788960498617,10,고급 영어로 가는 첫 걸음은 단어의 뉘앙스를 제대로 아는 것. 적확한 영어 사용에 매우 유용.
9788960498617,10,영어활용면에서 도움이 되는 좋은 책이네요^^~이런뉘앙스를 정확히 알면 좋겠죠.
9788960498617,8,나 너 좋아해 / 나 너는 좋아해 두개 뉘앙스를 구별할 줄 아시는 분 계시나요? 계시다면 설명해주세요 저는 잘 모르겠거든요
9788960498167,6,영어가 직설적이면서 완곡한 이유가 궁금하시다면
9788960498167,10,"이 책은 영어 공부에 관심이 있는 모든 사람들이 쉽게 읽을 수 있게 쓰여져 있습니다. 개인적으로는 반복해서 읽으면서 각인시켜야 할 듯 합니다. 미국 여행, 유학, 출장 등을 앞두고 계신 분들이 보시면 좋습니다. 학생들도 영어 공부에 대한 개념을 형성하기 일독을 권유합니다."
9788960498167,2,영어회화문법 책의 같은 저자라고 기대하면 안됨. 잡담수준의 글모음. 특히 4부는 자신만의 개똥철학.
9788960498167,6,P182머리로 이해하는 것은 쉽지만  깨달은 바를 생활속에서 실천하는 습관을 형성할 정도의 변화를 가져오기 위해서는 그만큼 노력과 연습이 필요하다는 얘기이다.
9788960498167,4,영어 공부에 도움이 될까 해서 구입했는데 기대 이하에 실망스러웠음.
9788960498167,10,이렇게 영어 공부에 직접적으로 도움이 되는 미국 문화 공부는 처음이네요. 재밌게 술술 읽히기까지 해서 정말 강추합니다.
9788960498167,6,아 선생님 책은 믿고 사서 보는데 이번 책은 여전히 친절하긴 하나 좀 허술한 느낌.
9788956055213,8,"책 이라기 보단 강의에 대한 얘기가 될 수도 있는데. EBSLang에서 이수영 선생님의 강의를 들으려고 이 책을 샀습니다. 1-3강까진 몰랐는데, 4강에서 확실히 내 읽기가 잘못되었다는 걸 알았습니다. 머리에 경종이 울리는 느낌-.-; 책의 내용 자체도 따뜻하지만, 공부용으로도  좋은거 같아요."
9788956055213,10,아이에게 영어공부 시키기에 좋은 교재인것 같네요~
9788956055213,10,"워크북과 본문이 분리되어 공부하기 편하고, 오디오북 CD가 있어서 좋아요. 이야기도 쉽고 재미있습니다. 영어원서읽기 입문서로 추천^^"
9788956055213,10,이책이 원서입문자에게는딱임
