ISBN13,rating,review
9788917230581,10,유튜버 서메리님 추천으로 구입했습니다. 긴가민가하거나 이해되지 않는 부분이 있을때 찾아보면 좋습니다! 개인적으로는 ‘이러이러하다‘고 원칙만 알려주는 것보다는 왜 그렇게 사용하는지까지 알려줬으면 더 좋았을거라고 생각하지만.. 여러모로 도움 받고있습니다!
9788917230581,10,꾸준히 할 예정이다. 볼 만한 내용이 많은 책
9788917230581,10,레퍼런스로서 손색 없는 문법서의 결정판이라 할만합니다.
9788917230581,10,검색하는 기분으로 공부합니다 아주 유용합니다
9788917230581,10,"지난 3판에 이어 전면개정4판을 출간되자마자 구입하였습니다. 이번 전면개정판은 코** 등 유사 어법사전 보다도 생생한 실용어법과 표현들이 일목요연하게 정리되어 있어, 책상 서랍에 꽂아 놓고 수시로 찾아보니까 빠진 내용이 없어 든든합니다. 특히 영국유학 준비하는데 정말 유용한거 같아요~~"
9788917230581,10,유명하다해서 구매해봅니다 천천히 읽어보겠습니다
9788938704849,10,빠른 배송 감사드립니다최상의 중고상품 저렴하게 잘 받았습니다새해 복 많이 받으셔요
9788938704849,2,10년전 오역이 아직도 남아있네.. 거기다 beat라는 단어는가장 많이 사용되는 뜻도 안적혀있고 명사는C/UC 표시도 제대로 안되있다. 참 이런게 우리나라 대표사전이란 말인지 헛 웃음이 나온다. 맨 앞에 서문을 보면최초의 영한사전이니 그딴 소리하는데 부끄러운 줄 알아라.참..
9788938704849,10,레몬쌤 방식으로 공부해보려구 구입했습니다. 글씨가 큼직해서 보기가 참 좋습니다
9788938704849,10,시력이 나쁜 편인데 글씨 크기가 커서 눈에 잘 들어와서 좋습니다. 또한 자주 쓰이는 중요한 어휘들은 붉은색으로 표시를 해줘서 공부할때 도움이 많이 됩니다. 뜻이 여러가지 있는 단어의 경우 중요뜻을 볼드체로 처리한 점도 마음에 듭니다. 대신 사전이 크고 두꺼운만큼 휴대성은 떨어집니다. ^^*
9788938704849,8,아들이 사전이 필요하다해서 구매합니다
9788938704849,10,좋은사전이네요.
9788938704849,10,영어공부에 열심인 조카에게 선물. 집에 있는 사전은 단어가 적다고 하기에 큰맘 먹고 선물
9788938704849,8,눈 안좋은 나로썬 정말 보기 편하게 글자도 크고 좋다.두껍지만 그냥 단순히 두껍지만은 않은. 내용도 좋고 알차다.
9788938704849,6,"어려서부터 사용해 왔고, 내용 자체는 정말 만족합니다.다만...1년여 쓰니까 사전을 펼칠 때마다 연두색 겉표지가 조금씩 떨어져 나가네요조각들 치우는 것두 일입니다~~ ㅠㅠ개선하여 주시길 바랍니다!!!"
9788938704849,10,저도 레몬쌤 책보고 당장 주문했는데..오늘보니 책에 대한 평들이 많네요.이런저런 공부방법론에 지친 영혼을 이번에야말로 달랠 방법이라 생각하는데..여튼 영영사전의 한계는 분명 느꼈으니.. 모든건 개개인의 경험에 달린 문제라 생각되네요.
9788938704849,6,레몬샘 진짜영어공부를 읽고 구입하려고요. 집에 전자사전도 있지만 종이사전이 더 좋아요. 올해는 영어에 한번 미쳐서 사전으로 무식하게 영어 공부할거예요.
9788938704849,8,글씨가 큼직해서 눈의 피로가 덜하네요. 사전이지만 조금씩 교정해서 출판하는 것이니 가격을 좀 내렸으면 좋겠어요.
9788938704849,10,저도 레몬님 책 보고 구입하러 왔어요~^^
9788938704849,8,단어를쉽게찿을수있어요.
9788938704849,10,전에 쓰던게 망가져서 샀는데 만족합니다~~
9788938704849,10,"레몬님 블로그 보고 구매하게 됐어요..그러고 보니 전자사전이나 스마트폰에 익숙해져서 종이사전 본지가 언젠지. 기억이 가물하더라구요. 어차피 집에두고 볼거니 글씨 큼지막하고 종이도 너무 얇은 종이 아니라서 좋아요. 반달색인도 편하네요~아참, 표지는 빨간색 가죽이예요^^ 참고되셨길."
9788938704849,10,좋아요.글씨도 크고...
9788959974306,10,믿고 공부할수있는 최초의 영한사전.단지 아쉬운 점은 표지와 종이가 얇아서 찢겨지지 않도록 조심해야 한다는 것.
9788959974306,4,과연 이 사전의 편집 방향이 옳은 것인지 의문이 든다. 일단 본래 롱맨 사전의 예문이 실리지 않은 경우가 허다하다. 생략이 과도하다.  따라서 본 사전을 주 사전으로 사용하는 것은 비추한다. 롱맨 영어 사전에 대한 참고용 사전 정도의 용도라면 모를까..
9788959974306,10,"다른 사전들은 가독성도 안좋고 한데 이건 정리 잘되어 있고,정보도 사용빈도도 나오고, 컬러삽화 사진, 미세한 차이, 특히 거기서 거기인 시중 사전과 비교할 수 없는 ˝정확한 역어 게다가 깔끔함˝ 다른 사전들은 빼다 박았는데 요건 다름."
9788959974306,10,사전 잘 받았습니다. 배송도 빨랐고 새것과 다름없어 보일 정도로 깨끗합니다. 이제 공부하면서 찾아볼 수 있어서 좋네요.
9788959974306,10,잘 받았습니다 책도 매우 깨끗하고! 온라인에서 더 저렴하게 구매해서 너무 좋네요열심히 공부하겠습니다.
9788959974306,8,사전 좋아요 가격도 타 사전에 비하면 저렴하고 다만 공무원단어가 전부는 없네요  구매해서 보고 판단하세요
9788959974306,8,"제가 여태까지본 영한사전중에서는 능률 롱맨이 최고였습니다. 더불어 능률 한영사전도 정말 최고입니다. (알바로 오해하실까봐 별점 4개줍니다.) 언어의 본질을 꿰뚫어 그 뉘앙스, 영어로의 뉘앙스를 아주 잘 표현하고 예문도 아주 좋습니다."
9788959974306,8,"책도 깔끔하게 포장되어서 배송왔고, 내용도 어디 찢어지거나 접힌데 없이 안전하게 와서 잘 보고 있습니다"
9788959974306,6,떡 하니 내 책상 위를 차지 하고 있다. 볼 때 마다 기분 좋아진다.하지만 자주자주 펼쳐보야 한다는 의무감도 함께 ^^
9788959974306,10,학교다닐 때 이런 사전 있었으면 훨씬 재미있게 공부했을 것 같습니다. 참 좋습니다. 애들은 이 책이 얼마나 좋은지 잘 모를 것 같네요. 지들이 공부를 해봤어야 알지^^
