ISBN13,rating,review
9791162371732,8,앱작동 안돼는 분들 참고하세요.앱을깔고 저는 간편로그인 네이버로 회원가입을 하였습니다.대부분 여기까지는 문제없으시고 쿠폰번호를 입력하면 데이터 오류가 나오실겁니다. 화면 상단 왼쪽 톱니바퀴모양을 선택하고 로그아웃을 했다가 다시 앱을 켜서 로그인하세요. 그럼 교재가 잠금해제됩니다
9791162371732,4,"새벽달 유튜브보고 샀어요. 근데 저는 좀 실망이네요. 우선 책 두께에 비해 비싸다는 생각도 들고 그림과 글자가 너무 작아요. 눈에 들어오지 않으니 읽고 싶은 생각이 안 드네요. 옆에 단어 정리는 굳이 있을 필요가 있나는 생각이 들어요. 그 부분 빼고 본 그림, 글자를 더 크게 했으면 좋겠네요"
9791162371732,4,앱설치가 잘 되지 않을 뿐만아니라 설치하고 운영하기가 너무 어렵습니다. 나이 많은 촌로라 그런지 넘 후회되고 화가 납니다.
9791162371732,2,어플은 잘만들었는데 로그인이 안됩니다고질적인 문제인듯 해요혼자 공부할려고 하면 mp3파일을 따로 제공을 하든지..
9791162371732,10,한글버젼까지 나와서 너무 좋네요. 앱까지 나왔다는 말에 단숨에 구매했습니다.~~ 이것만큼 실생활 유용한 책은 없는것 같아요. 데일리 액티비리 끝판왕 책입니다.
9791162371732,10,한번은 볼만한책~~^^
9791162371732,10,내 입에 영어를 달고 살고 싶으신가요??그렇다면 내 일상생활속에서 영어와 함께 할수 있는 방법을 여기서 찾을수 있다.내 일상생활 곳곳에 영어심기.내 하루하루를 영어로 표현할수 있다면 너무 멋질것 같다.내가 열심히만 한다면...
9791162371732,10,일상을 영어로 표현하는 것이 응축되어 있어서 좋다. 게다가 앱을 활용하면 반복적으로 연습하게 되어 문장을 외울 수 있게 해 준다! 마지막에 필사 한 번만 추가하면 게임 끝!
9791162371732,6,기대보다는 너무 못한듯해서 안타깝습니다.
9791162371732,10,"실생활에서 활용가치가 높은 상황별 구성으로 영어 스피치를 위한 첫걸음으로는 정말 훌륭한 책입니다,더군다나 앱을 활용해서 강의도 들을수 있고 게임처럼 문장 구조 연습도 할수 있어서 영어 학습을 재미있게 할수 있도록 접근한 거 같습니다... 강추!!!!"
9788954757225,10,기다리고 기다리던  마유쌤  책!  학수고대합니다.
9788960498792,10,부드럽고 듣기 좋은 영어 표현들을 배울 수 있어서 더 좋아요~!
9788960498792,10,유튭에서 항상 만나는 구슬쌤 너무 좋습니다 다음책이 벌써 기다려져요^^
9788960498792,10,페이지마다 동영상 강의 qr코드가 있어서 쉽게 따라할 수 있어서 좋아요!
9788960498792,10,구슬쌤 유튜브 보고 구매합니다! 기대되네요!
9788960498792,10,예의바른 영어를 생각해 본적이 없는데 이 책을 통해서 예의바르게 영어를 말하는 방법이 어떤 것인지 다시 한 번 깨닫게 되었어요. 쉽고 자세한 설명과 어렵지 않은 예문들로 영어공부를 쉽게 할 수 있으면서도 올바른 영어표현을 배울 수 있어서 참 좋았습니다. 추천합니다.
9788960498792,10,단순히 의사소통을 넘어서 예의 바르고 상대를 배려하고 다듬어진 영어를 배우고 싶으신 분이 읽어보시기에 딱 좋은 책입니다. 알기 쉽게 잘 설명이 되어 있어서 어렵지도 않습니다. 강추 !
9788960498792,10,구슬쌤의 친절한 설명과 현지인들이 쓰는 표현으로 문화적인 사고방식도 알 수 있어서 좋았던 책!
9788960498792,10,"똑같은 표현이라도 실제 원어민들이 사용하는 격식있고 예의바른 표현은 따로 있는데 말하는 사람의 품격을 높혀주는 품격있는 표현들을 배울 수 있고, 늬앙스적으로 올바른 표현들도 배울 수 있어서 영어수준을 한단계 높혀주네요"
9788960498792,10,"격식있는 영어 표현을 재밌게 익힐수있는 책, 진짜 영어는 이거다!"
9788960498792,10,설명이 친절하게 잘 되어 있습니다
9788960498792,6,"복습겸, mp3 파일을 다운 받아서 들어보려고 하는데, QR 코드를 통해 각각의 표현만 듣는 방법밖에는 없나요?유닛별로 mp3 파일 만들어 주시면 도움이 많이 될거 같습니다."
9788960498792,10,200여개의 unit으로 세분화 되어 있고 제목처럼 예의 바른 표현이 풍부해서 너무 유용합니다!
9788960498792,10,유튜브에서 구슬샘의 강의 동영상을 열심히 보고 있는 구독자입니다. 구슬샘 강의에서 본 내용을 책으로 복습할 수 있어서 참 좋습니다. 유튜브 강의처럼 책 내용도 충실하고 읽기 편하게 구성되어 있어 좋습니다. 본의 아니게 외국 고객들하고 많이 만나는 제게 꼭 필요한 책입니다.
9788960498792,8,˝예의바른˝이라는 단어에 구매를 하게 되었어요.음..아직 읽어보지 않았지만 기대가됩니다.구매후 다시 후기 남길게요!
9788960498792,10,영어공부 제대로 한번 해보려구요 정말 기대되는 좋은 책 입니다
9788960498792,10,원어민들이 쓰는 진짜 영어 표현이 가득한 책
9791190931182,10,유튜브 보며 구매하고 싶었어요. 영어 공부는 꾸준히~^^
9791190931182,10,올리버쌤에게 감사하는 마음으로 바로 구매했습니다. 매일매일 한 문장씩!! 아이디어가 넘 좋습니다!!
9791190931182,10,일력으로 간편하게 하루하루 공부하고 더 좋은건 이벤트가로 왕자달력 ㅠㅠ 넘 뿌듯함 선착순에 든 나 칭찬함..
9791190931182,10,단번에 끝내고 싶다는� 유혹을결코 따라 해서는 안돼요 욕심이 생겨 더 많은 양을 했더니쉽게 지치고 아이들이 싫어했거든요 1년의 목표를 매일 보고 배우도록 해요
9791190931182,10,"동생이 간단한 영어회화를 목표로 영어공부 하고 싶대서 선물로 샀어요.욕심으로는 단어의 발음, 뜻 정도가 같이 있었으면 싶긴 한데, 요즘엔 스마트폰으로 그 정도는 금방 검색이 되니까요~ 동생에게 일력 선물주고, 저는 왕자달력을 겟 했습니다!블로그를 운영중이라 블로그에도 후기 남겼어요!"
9791190931182,10,"오늘 도착해서 받았는데, 영어회화공부에 도움이 많이 되어요(^^). 그리고 우리나라에서 유명한 올리버쌤의 영어책을 받으니깐 너무 좋아요(^^). 영어회화에 도움이 되는 책들이 많이 발행되길 빌고 있어요."
9791190931182,8,한 장씩 넘기면서 자주 눈으로 확인할 수 있어서 좋네요.
9791190931182,10,매년 달력 넘기듯 넘기면서 읽겠습니다!! 완전 만족..ㅠㅠ
9791190931182,10,올리버 쌤~ 유튜브에 소식 올라온거보고 바로 구매했어요. 믿고 공부하는 올리버쌤ㅋㅋㅋ 매일 즐겁게 부담없이 달력볼게요!
9791190931182,10,올리버쌤 믿고 영어공부 다시 해보려고 해요! 왕자달력 넘 좋아여 최고b
9791190931182,10,올리버쌤 영어책도 너무 좋았는데 2021 일력이라니 너무 유용할 것 같아요!
9788960498839,10,초중급 패턴영어를 공부해보신 분들이 그 이후에 읽기 좋은 책이라고 생각해요
9788960498839,10,미국인과의 실제 인터뷰를 실어 살아있는 영어 표현을 익히는 데 좋았습니다.
9788960498839,10,미국 영어 회화 1은 유튜브를 통해 알게 된 저자의 책이다. 꼭 읽고 싶던 저자의 책이다. 그런데 운이 좋게 이 책을 무료로 얻게 됐다. 그리고 요즘 이 책을 활용해 틈틈이 영어 인풋을 채우고 있다. 이 책은 영어회화를 아웃풋이 아니라 인풋 중심으로 익히도록 설계돼 있는 것 같다.
9788960498839,10,"실제적으로 미국인들이 말하는 인터뷰내용을 볼 수 있고, 문법과 어휘까지 같이 잡을 수 있으니 1석 3조 이상의 효과를 거둘 수 있겠네요."
9788960498839,10,"믿고 보는 김아영 교수님 영어회화 책이다. 품격 있는 인터뷰 대상자들의 영어와 인터뷰 내용의 충실성, 가독성 높고 독자 친화적인 장치(QR코드 등)으로 최고의 영어회화 책 중 한 권으로 추천한다."
9788960498839,10,영어회화를 인터뷰를 통해 색다르게 공부할 수 있어 좋았습니다.
9788960498839,10,영어 말하기능력을 강화해서 말할 수 있도록 현지에서 쓰이는 표현들을 접해볼 수 있어서 더욱더 미국문화에 대해 많이 공부할 수 있었던 책이었다!
9788960498839,10,"다양한 미국인들이 들려주는 흥미로운 삶의 이야기를 들으면서 영어 공부를 할 수 있는 책.초급자에게는 많이 어려울 듯하고, 중급, 고급 학습자들에게 강추합니다."
