ISBN13,rating,review
9788965422945,8,학원교재로 구입했씁니다
9788965422945,10,영어 왕초보인 저도 알아 들을 수 엄청 쉽게 설명돼 있어서 좋아요
9788965422945,10,단어만 외우기도 힘들고 문법만 공부하기도 지루해서 같이 병행하려고 샀어요 :) 하루에 몇 문단씩 정해놓고 보기 좋습니다!
9788965420774,10,잘 받았습니다 열공할게요!
9788965420774,10,새벽01시에 주문하니 당일로 받아볼 수 있었습니다.빠른배송 감사합니다.가끔 영작하다보면 헷갈릴때가 있는데 그럴 때 마다 길잡이가 되주길 바라는 마음으로 구입했어요다 배웠던 건데 잊고있었던 내용들을 새록새록 떠올리면서 재밌게 보고있네요
9788965420774,10,"시험을 위한 시험서가 아닌,제대로 영문법에 대해 기초부터 알고싶어서 구매하게 되었어요.요령으로 보는 시험이었던지라, 기초를 꼭 다지고 싶었는데 구성에 만족합니다-"
9788965420774,10,"명성 만큼 훌륭합니다, 한국에 있다  미국으로 다시 돌아가는 분들도 격하게 추천하는 분이 있었습니다."
9788965420774,10,"그래머게이트웨이 베이직과 인터미디엇 책 겉에 책 표지부터 열고 싶게 만드는 색감이 예쁜 디자인과 안의 내용은 grammar in use를 연상하게 하는 익숙함이 있고, 실용영어로 자주 쓸수 있는 표현들인 것같아 좋습니다. 인터디디엇이 작년 9월 출간되었으니 고급편- Advanced 편도 나왔으면 해요."
9788965420774,10,현재 그래머게이트웨이 베이직과 인터미디엇을 공부중에 있는데 머리에 쏙쏙 너무나 잘들어옵니다.영어 기초가 부족하신 분들께서 보시면 아주 좋은 책이에요^^
9788965420774,10,다른 책보다 훨씬 도움이 된다. 당연하지만 반복학습하면 더 효과가 있을 것.
9788965420774,8,영어문법 다시 시작
9788965420774,10,"베이직 끝내고 이책으로 공부하시는 분들이 많을것같은데, 영어가 좀 되시는 분들은 바로 이책으로 공부하셔도 될것같아요.ㅎㅎ"
9788965420774,8,"문법을 공부하려는 사람들에게 가장 적합한 책인 것 같습니다. 저도 알라딘에서 이 책을 구매하고 날마다 2장씩공부를 하고 있는데, 이해하기 쉬운 설명과, 관련그림들이 알맞게 들어가 있어서 공부하는 게 지루하지"
9788965420774,10,"간편하고 쉬운 문법 교재 찾던 중, 실용 문법 위주로 구성된 이 책 구매하게 되었습니다. 뭔가 예시도 많고, 책이 실생활에서 쓸 수 있는 문장 위주로 구성되어 있어서 영어를 좀 더 재미있게 배울 수 있을 것 같네요 ^^"
9788965420774,10,엊그제 받았어요~ 1달 안에 문법 정리할 만한 교재 찾고 잇었는데 후기 보니까 이게 문법교재인데도 안지루하고 재밌게 공부할 수 있다고 해서 구매했습니닷! 예문도 다양하고 구성이 쉬워서 문법 다시 한번 짚고 넘어가기 좋을 것 같아요! 낼부터 공부 시작합니닷 ㅋㅋ
9788965420774,8,유학가기전에 실용문법 정리용으로 추천을 많이 받아서 구매했어요. 기대돼요ㅎㅎ
9788965420774,10,베이직 끝내고 다음단계용으로 구매했습니다. 좋아요.
9791157685844,10,"눈에 띌 정도로 오타가 있지만, 그게 평점을 깎을 이유가 되지 않을 정도로 좋은 책. 시험을 준비하든 에세이를 쓰든 모든 라이팅에 크게 도움이 될 듯 합니다. 지금의 제게 딱 필요한 과외를 받는 느낌에 감탄하며 읽고, 또 공부하고 있습니다. 중급 이상의 영어 실력을 가지신 분께 특히 강추합니다."
9791157685844,2,나는 이 책과 저자의 남다른 사연을 보고 그 진심을 믿었고 그냥 좋은 책이라고 생각했다. 표지도 누가 잘 만들었네.  그런데 이 책의 내용이 일반적인 내용인가????? 좋은 대화는 전달하려는 의지가 있을 때 가능하다. 예문에서 도저히 그런 게 느껴지지 않는다.
9791157685844,10,진짜 책이 꽉차있어요. 예문하나씩 써보고 비교대조하면서 공부하는데 꾸준히 하면 정말 얻어가는게 많을듯.
9791157685844,10,"아직  part 1을 읽고 있는 중인데, 평소 영어 독해 하면서도 이해하지 못하고 두루뭉술하게 넘어갔던 부분인 하이픈, 세미콜론, 콜론 부분이 책에 자세히 설명되어 있다.  게다가 이것으로 끝나지 않고 배운것을 적용해볼 수 있는 부분도 있다.앞으로 어떤 것들을 또 배우게 될지 기대가 된다."
9791157685844,10,한국인에게 통하는 미국식 영작문 수업이 기대됩니다.
9791157685844,10,저자의 경험이 반영된 수업이 미국식 영작문 학습에 도움이 되겠네요.
9791157685844,10,"˝완전 ‘딴판‘˝ ˝역사적 ‘과오‘˝ ˝생각에 ‘잠겨‘˝ 우리말로는 ‘쓰고 싶은 말‘을 바로 쓰는데 영어로는 ‘쓸 수 있는 말‘만 쓰는 내가 초라해질 때, ‘이렇게 쓰자‘ 수업 중 토닥여준 선생님처럼 정말 고마웠습니다!^^"
9791157685844,10,"영어 실력이 중상급 어딘가에 멈추어 있다고 생각하시는 분들께 강력히 추천합니다. 단순한 영작 이상으로, 단어와 문법을 적절히 활용하여 ‘말의 의도‘를 영어로 섬세하게 표현하는 데에 도움을 주는 책입니다."
9791157685844,10,"외국 대학 준비하려면 특히 시간 안에 에쎄이 쓰는데 엄청난 훈련이 필요하다. 이 책으로 모든 게 커버되지는 않지만, 개별 문장부터 글의 완성, 부록으로 문법까지 기본이 담겨있어서 영어 글쓰기에 대해 확실한 감각을 갖게 된다. 좋은 선생을 찾기 어렵다는 이유로 독학을 좋아하는 사람이라면 꼭."
9791157685844,10,한국에선 절대 가르쳐 줄 수 없다. 가장 깔끔하고 자연스러운 문장을 빠르게 만들고 싶다면 추천한다.
9791157685844,10,최종적으로 우린 영작문에 도전해야 합니다. 교과서와 수능이라는 틀에 갇혀 정해진 문장만을 구사하는 것이 아닌 원어민의 문장력을 배울 수 있는 비법이 담긴 책입니다. 자신의 영어 실력을 높이는데 도움됩니다.
9791157685844,10,"야, 너도 본토 영작문 할 수 있어."
9791157685844,10,"본토 미국인은 영어로 글을 어떻게 쓸까? 콩글리시를 걷어낸 순도 100%의 영작문 수업, 서둘러 수강 신청하세요!"
9791157685844,10,"콜론,세미콜론,분사의 올바른 사용 등이 큰 도움이 되었으며 영작에 조금 자신감이 생겼습니다.저자가 말한 5가지 학습 단계는 별도로 메모해서 매일 보고 있습니다.영작의 두려움을 이겨내어 매일 연습하겠습니다."
9791157685844,10,"늘 제대로 된 영작을 배우고 싶다는 생각은 있었지만 기회가 없었는데, 최정숙님의 인생도 보고 영작문도 배우고 일석이조입니다. 본문 영작이 버거웠는데 부록 문제를 정성껏 풀고 나니 조금 수월해졌습니다."
9791157685844,10,‘코리안 네이티브 스피커‘(토종 한국인)들이 미국식으로 글을 써 보는 방법을 직접 가르쳐 왔던 분의 노하우가 총 집약된 책인것 같아서 기대를 모읍니다.본토 영어작문에 관심이 있는 분들께 자신있게 추천합니다.
9791157685844,10,"한국식 영어 교육과 교재의 틀로는 구사하기 힘든 실제 영어권 작문에서 한국인들이 이해하기 어렵거나 필요한 필수 사항들을 실제 예문과 상세한 비교, 설명을 통해 격을 갖춘 영어문장을 만들 수 있습니다."
9791157685844,10,영작문은 본토 학생들에게도 쉽지 않을 것이다. 그래도 글쓰는 감각은 한국인이 낫지 않을까? 여기에 어휘력과 작문 실력이 붙는다면 금상첨화일것이다.
9791157685844,10,지루한 영작문팁이 아닌 작가의 삶과 경험이 농축되어 있는 유익한 책. 다양한 예시와 자세한 설명으로 작문에 있어 영어적 사고를 할 수 있도록 길잡이가 되어주는 듯.
9791157685844,10,"국제중이나 외고, 유학의 루트를 거치지 않고서 에세이 라이팅의 최고봉(!?)이 된 저자에게 과외를 받는 느낌으로 읽었다. 첫 번째 읽을 때에는 공부하는 마음보다 감을 익힌다는 목적.수준이 낮은 책은 아님~"
9791157685844,10,영어 활용 능력이 그 어느 때보다 ‘필수‘이자 ‘기본‘인 요즘 시대! 아직도 영어로 어떻게 글을 써야 하는지 막막하시다구요? 이젠! 걱정 or 고민 하실 필요 전혀 없으십니다! 바로 이 책이 우리 곁에 있기 때문이죠!
9791157685844,8,영작은 처음 시작할 때 미국식으로 배워야 제대로겠다는 생각이 듭니다.
9791157685844,10,어렸을때 영어 좀 열심히 공부해둘 걸 엄청 후회됩니다~
9791157685844,10,한국적인 문법에서 벗어나 눈과 귀가 트이는 기분이었습니다. 실생활에도 유용해요!
9791157685844,8,"흔히 ‘사과’ 와 ‘apple’이 같다고 생각하지만, 이 책을 읽고 난 후 전혀 다르게 보였다. 이 100자평도 영작한다면 또한 같은 내용이지만 전혀 다른 단락 하나가 탄생할 것이다. 같지만 다른 이 느낌을 이해하자."
9791157685844,10,미국 유학 후 영어를 매일 쓰는 일을 하면서도 영어 공부에 많은 돈을 쓰는 사람입니다. 이 책은 작문시 실수하기 쉬운 부분들을 짚어주고 세련된 문장을 쓸수 있게 훈련시켜주는 훌륭한 실용서이자 안내서입니다
9791157685844,10,미국식 방식은 접근법이 다른 걸까요? 말의 순서부터 다르고 생각하는 발상도 다른데 이런 걸 문장으로 다듬는 게 어려워요. 이런 부분 잘 짚어주시면 좋겠네요^^
9791157685844,8,한국인이 영작문을 하다 겪는 어려움을 정확하게 간파한 책! 영어권 나라에서 공부한 경험이 전혀없지만 영작문을 업으로 하는 사람들에게는 강추!
9791157685844,10,‘영어를 책으로 배웠다!‘고 자랑할 수 있는 책!
9791157685844,10,"콩글리시를 업그레이드 한다. 리얼 미대륙 영어로, 세계 접수 시작!"
9791157685844,10,왠만큼 영어공부 경험이 있는 사람도 작문앞에서는 큰 벽을 느낍니다. 독해 청해와는 차원이 다릅니다. 이 책은 어느 정도 기초가 있는 사람의 영작문 공부에 굉장히 유용합니다. 추천합니다.
9791157685844,10,"고급 영문을 쓰려는 독자들에게 필수적인 책! 구두점, 접속사, 어순 등에 따라 보다 세련된 문장을 만들 수 있는 꿑팁들이 담겨있다. 과제와 모범답안도 있어 글쓰기 연습과 자연스러운 영어 표현을 공부할 수 있다."
9791157685844,10,토익150점인 나도 가능할까요?
9791157685844,10,"‘영어 말하기는 어려운 것, 영어 글쓰기는 불가능한 것‘이라 믿는 우리의 두려움을 부숴주는 책!"
9791157685844,10,저자분의 경험과 현지인들의 느낌을 그대로 받을 수 있는 도서네요.재밌게 잘 보고 있는 도서입니다.
9791157685844,10,별 다섯으로도 부족할 만큼  좋은 책.   한 사람의  인생  역정이  영어 공부로도  충분히  드러난다.  이런 책은  얼마던지  추천 !
9791157685844,10,여러 도서를 접해봤지만 정말 제대로 도움이 되는 도서를 찾은듯 싶어 지인들에게 추천하고 싶네요
9791157685844,10,한국식 영어 교육을 넘어선 미국식 영어 공부법
9791157685844,10,영작문의 어려움을 많이 겪고있었는데. 이 책을 통해 영작문 실력이 일취월장한 것 같아 너무 좋습니다.
9791157685844,10,미국식 영작문에 도움이 됩니다.
9791157685844,10,영작문에서 더 이상 무엇을 바랄까? 작문이 필요하다면 나는 이책을 추천합니다.정말 세련된 문장을 만들고 싶다면 필독하세요.
9791157685844,10,책이 너무좋아요. 수업이 재미있어요.
9791157685844,10,현지 미국인들이 주로 쓰는 작문을 통해 유용하게 읽었습니다^
9791157685844,10,영작문을 위한 최고의 책이라 생각합니다. 작가의 다음 책이 벌써부터 기다려집니다.
9791157685844,8,작가의 이력이 남다르다. 그만큼 치열한 고민과 성실한 노력을 통해서 소개하는 노하우들이다. 명확하고 경제적이며 수준 있는 영어 에세이를 쓰고 싶은 이들에게 추천한다.
9791157685844,10,재밌어요 나와있는 예문도 어렵지만 한번쯤은 공부하면서 수준있는 문장들을 보고싶었는데 딱입니다. 지금도 열심히 쳔천히 읽고있어요
9791157685844,10,빽빡한 글들에 겁냈는데 정말 알찬 정보를 깨알같이 담으려하신 작가님의 노고가 보입니다.다 읽고 나니 영작법이 아니라 전반적인 논술과 화법에 대한 공부를 한 것 같습니다.유용했고 또 감사했습니다.다시 공부하고 싶은 의욕을 만들어준 책이였습니다.
9791157685844,10,저자의 노력에 감사!
9791157685844,8,기대됩니다
9791157685844,8,기대됩니다
9791157685844,10,기대되요
9791157685844,10,단순한 설명으로 만 되어 있지 않고 저자가 사례와 교정을 함께 단계별로 설명하고 있습니다. 내공이 느껴지는 만족스러운 책입니다. 다만 어느정도 문법 기본기와 문장 구조의 이해가 잡힌 분들께 적합합니다.
9791157685844,10,포기와도전을반복했던나의영어에돌파구가생긴듯...머리속에 여기저기에 어지러있던문법이질서있게정리되는기분이입니다~~특히 부록의글쓰기맞춤문법의보니 문법정리하는데완전도움되는거같아요~이책강추예용~^^
9791157685844,10,스토리텔링으로 영작을 설명하고 이끌어주고 있다. 가감없이 드러내는 본인의 이야기는 허언이 없고 진솔하며 영작 기술은 초보자도 쉽게 이해할 수 있도록 단계적으로 설명한다. 끝에가서는 전체를 볼수있도록 정리가 되는 구성ㅇ다. 간간히 무릎을 치게 하는 부분도 나온다. 추천하고 싶다
9788998454500,10,얇은 편이에요. 도움이 됩니다.
9788998454500,10,좋아요 원했던 구성이에요
9788998454500,4,중고책을 사서 그런가요? (2016년 12월 10월 초판 2쇄 발행) 중간에 빠진 알파벳도 있고 문장연습 하는데 단어가 통으로 빠져있고.. 검수 안하셨나봐요. 생각없이 쓰긴 좋은데 정가주고 샀는데 이러면 억울했을거 같아요.
9788998454500,8,"상상했던 멋드러진 고전필기체보다는 정말 기초!에 초점을 맞춘, 영어필기 완전 초보에게 적절한 구성입니다. 필기체는 대문자도 a라고 쓰는건지 처음 알았어요ㅎㅎ~"
9788998454500,10,깔끔한 디자인에 가독성이 좋아서 마음에 듭니다. 예문이 좀 더 있었으면 더 좋았을 것 같아요.
9788960478268,10,한영에 친해진다
9788960478268,10,쉽지만 매우 강력한 233가지 패턴
9788960498617,10,"이 책 정말 좋네요~ 영어 공부를 할 수록 궁금한 내용들이 잘 담겨 있습니다.  추천 하고 싶고, 주변에 권하고 싶네요. 상황별 조금씩 다르게 적용 되는 예문이 수록 되어 있어 훨씬 이해가 쉬워요. 정말 괜찮은 책인거 같아 리뷰 남깁니다."
9788960498617,10,알듯 모를듯 햇갈리던 단어들의 미묘한 차이점들이 잘 정리되어있어요. 주제별로 예문대화도 같이 있어 실제 상황에서 어떤 느낌으로 쓰이는지 쉽게 알 수 있네요.
9788960498617,2,설마 했는데. 한국에서 영어 좀 공부하는 사람들은 거의 알만한 초보적 내용이 대부분이라. 한마디로 책 참 쉽게 냈다
9788960498617,10,평소 바라던 책이어서 구입했는데 실제 영어공부에 도움이 돼요 이 분의 다른 책도 읽고 싶어지네요
9788960498617,10,이책 너무 좋은거 아닙니까??비슷한 단어들의 자세한 설명과문장들로 한번더 공부가 되네요!!공부하는데 엄청도움될것같아요!!너무 유용해서 공부하고싶은 열정이 막 생기네요~저자님의 다른책들도 알고싶어지네요~감사합니다
9788960498617,10,고급 영어로 가는 첫 걸음은 단어의 뉘앙스를 제대로 아는 것. 적확한 영어 사용에 매우 유용.
9788960498617,10,영어활용면에서 도움이 되는 좋은 책이네요^^~이런뉘앙스를 정확히 알면 좋겠죠.
9788960498617,8,나 너 좋아해 / 나 너는 좋아해 두개 뉘앙스를 구별할 줄 아시는 분 계시나요? 계시다면 설명해주세요 저는 잘 모르겠거든요
9788960498167,6,영어가 직설적이면서 완곡한 이유가 궁금하시다면
9788960498167,10,"이 책은 영어 공부에 관심이 있는 모든 사람들이 쉽게 읽을 수 있게 쓰여져 있습니다. 개인적으로는 반복해서 읽으면서 각인시켜야 할 듯 합니다. 미국 여행, 유학, 출장 등을 앞두고 계신 분들이 보시면 좋습니다. 학생들도 영어 공부에 대한 개념을 형성하기 일독을 권유합니다."
9788960498167,2,영어회화문법 책의 같은 저자라고 기대하면 안됨. 잡담수준의 글모음. 특히 4부는 자신만의 개똥철학.
9788960498167,6,P182머리로 이해하는 것은 쉽지만  깨달은 바를 생활속에서 실천하는 습관을 형성할 정도의 변화를 가져오기 위해서는 그만큼 노력과 연습이 필요하다는 얘기이다.
9788960498167,4,영어 공부에 도움이 될까 해서 구입했는데 기대 이하에 실망스러웠음.
9788960498167,10,이렇게 영어 공부에 직접적으로 도움이 되는 미국 문화 공부는 처음이네요. 재밌게 술술 읽히기까지 해서 정말 강추합니다.
9788960498167,6,아 선생님 책은 믿고 사서 보는데 이번 책은 여전히 친절하긴 하나 좀 허술한 느낌.
9791159240607,4,난이도가 너무 낮습니다. 거의 기초표현 위주로만 정리가 되어 있어서 공부하기엔 아쉬운 책이라고 생각합니다.
9791159240607,10,". 하루에 한패턴 10개의 문장이라도 좋으니 그렇게 6개월 이상을 공부해보시면 큰 효과가 있으리라 믿습니다. 비즈니스 영어가 두려운 분들,  꾸준함이라면 자신있는 분들에게 <비즈니스 영어회화 & 이메일 핵심패턴 233>은 좋은 길잡이가 되어줄것 입니다."
9791157527021,8,연습하기 좋아요
9791157527021,8,재미있게 필기체를 연습할수 있는 구성이지만 대문자 소문자만 먼저 연습할수있는 장이 없어 좀 아쉬움.
9791157527021,10,연습하기 딱 좋아요~ 아직 손에 힘이 많이들어가지만ㅋㅋㅌㅌ 계속 연습하다보면 자연스러워질 듯
9791157527021,10,필기체 연습하기 딱 좋은 두께에 스프링이라 들고다니며 연습하기도 참 좋습니다. 그런데 단어 연습하는 칸이 조금 적어서 ... 아쉽긴 하네요 ㅠㅠ
