ISBN13,rating,review
9788984994881,10,수업 준비를 하면서 없어서는 안 되는 필독서입니다.
9788984994881,8,"그다지 특별하지 않지만, 필독서 식으로 구비하면 좋을 것 같습니다. 한번 쭉 훓어보고 종종 찾아보게 될 듯. 가격이 좀 세지만, 그래도 사전이다~ 생각하고 구매했습닏. ^^"
9788984994881,10,전공자가 아니더라도 문법을 익히는데 불편이 없다
9788984994881,8,국립국어원이 편찬한 한국어교육 관련 필독서!
9788984994881,10,깔끔한 구성 보기에 좋아요~ 문법기초가 잘 정리될 것 같아요.
9788984994881,10,1권은 이론서라면 2권은 용법에 관한 자세한 예들을 적어 놓았어요.
9788955186260,8,마음에 진짜 든다! 토픽 시험 공부 위해 좋은 책이다!
9788955186260,10,토픽 공부하는 데 도움이 많이 돼요.
9788968178160,10,한국어 교사들을 위한 너무나 적절하고 알찬 지침서가 개정증보판으로 발행되어서  기쁩니다. 큰 도움이 될 것입니다. 감사드립니다
9788953934405,10,이주민 교재로 사용하려고 구입했습니다. 워크북이라서 단독교재로만 쓰기엔 좀 부족함이 있지만 기본교재와 함께 사용하니 훨씬 학습효과가 좋습니다. 잘사용하고  있습니다.
9788959951987,10,"한국어 배운 지 6개월 된 외국인 친구를 위해 고른 최고의 문법서입니다. 그 친구는 모 대학 출판부에서 나온 교재로 세 권 배웠는데, 자기가 배운 게 이 책의 아주 일부밖에 안 될 정도라며 정말 좋은 책이라네요."
9788959951987,10,"정말 좋은 책입니다. 여러명의 외국인들을 가르쳐봤는데 문법책으로는 이 책이 최고인 것같아요. 다만 연습문제가 좀 부족한 면이 있으나, 별도의 프린트를 병행해주시면 별 문제가 되지 않을 것입니다."
9788953934283,10,교재가 아주 좋아요.많이 쓰는 이유를 알겠습니다.^^
9788953934283,10,바뀐 서울대 한국어 교재예요. 기존의 단점이던 말하기를 보완한 칼라판입니다.
9788974640323,10,간략하게 잘 나왔어요..
9788974640323,10,배송빠름
9788974640323,8,매우 좋은 품질 감사합니다
9788992491266,10,was good book
9788992491303,8,잘 쓰겠습니다
