ISBN13,rating,review
9788983007803,4,책은 괜찮은거 같은데 동영상 세기말... 강의 너무 졸려요.. 우주 최강 졸려요.. 발음이랑도 좀 웅얼웅얼하시는거같고.. 마이크탓인지 뭔지...
9788983007803,2,예전 초중딩때 교과서 느낌나서 구매했는데 내용이 너무 부실한거같다... 책을 또 사야할거 같아서 별1개.
9788983007803,10,여름에 프랑스로 휴가를가서 조금은 자유롭게 이야기해보려 산 책입니다.회사 동료와 매일 한두문장씩 즐겁게 공부하고있어요~
9788983007803,8,프랑스어실전회화에서 원어민음성을 들을 수 있어서 좋아요(^^). 근데 이책으로 문법공부하기에는 부족해서 다른책으로 사야해요.
9788983007803,10,문법부분 설명하고 회화부분이 정말 유익했고 문법부분은 단원별로 설명해주는 부분이 정말 깔끔했음
9788983007803,10,상당히 유익함
9788983007803,2,가장 쉽다며.. ㅠㅠ
9788983007803,8,귀여운 그림체가 같이 있고 예문도 무난하게 되어있어서 좋아요^^아쉬운 점이 있다면 동영상 강의가 필기나 영상자료 없이 강사 한분이 앉아서 계속 말 하시는 것 뿐이라 좀 지루한 면이 없지 않네요 ㅠㅠ
9788983007803,10,"서점에서 직접 타 교재들과 비교해본 뒤 택한 교재입니다. 군더더기 없고, 문법편이 따로 정리되어 있어 공부하기 편리하네요. 특히 r 발음을 [봉쥬르] 와 같은 식으로 표기한 책이 많았는데 이 교재에서는 [봉쥬흐] 와 같이 히읗으로 잘 살려 표기했습니다."
9788983007803,10,그림도 귀엽고 보기도 쉬워서 계속보게되요
9788983007803,6,회화와 문법이 따로 나눠져서 돌려봐야 하는 스타일입니다...내용이 중복되는걸 제일 싫어하는데 회화편 구석에 깔짝 설명나오고 자세한건 문법편에서 봐라 식으로 되있는게 너무 짜증나요ㅠㅜ 이럴거면 처음부터 합쳤으면 좋았을것을..정리가 부족한 느낌이 좀 듭니다
9788983007803,10,첫걸음의 모든 것 시리즈는 외국어를 혼자 독학하려고 마음먹은 사람에게 매우 좋은 교재이다. 예전에 스페인어를 이 책으로 시작하였는데 도움이 많이 되었다. 아는 프랑스 단어라고는 ｀봉쥬｀ 밖에 없기에 프랑스어를 좀 공부해볼까 해서 같은 시리즈로 샀는데 역시나 좋다. 씨디와 포켓북도 있다.
9788983007803,10,"처음볼때 문법편이 와서 당황했는데 뒤집으니까 회화편으로 나오네요 ^^;;
알파벳부터 기초적으로나와서 처음배우는데 좋을거같습니다"
9788983007803,10,프랑스어의 매력! 추천입니다!
9788983007803,10,"고등학교 때 제2외국어로 프랑스어를 배웠는데, 너무 재미있어서 다시 처음부터 독학하려고 샀어요. 잘 산 것 같아요!"
9788983007803,10,배송도빠르고..좋아요!!
9788983007803,8,일단 알라딘에서 싸게 구입할수 있게 되어서 좋았다 다른 프랑스어책을 많이 못봣지만 프랑스어 인강은 별로 좋지는 않았다
9788983007803,10,처음불어하기에좋네요
9788983007803,10,굿! 프랑스어를 처음 공부하려는 사람들에게 큰 도움이 될 것 같아요. 정말 쉽게 잘 풀어 써 있는 것 같아요.
9788983007803,10,프랑스어 하나도 모르는 사람이 접하기에 매우 좋습니다. 발음까지 세세하게 적혀져 있네요
9788983007803,8,프랑스어는 처음이라 두렵기도 하지만 늘 해보고 싶었던 것이라서 시작합니다. 발음이 표시되어 있는 것이 저 같은 초보에게는 정말 큰 힘이 되고 자신감이 됩니다. 감사합니다.
9788983007803,8,"회화, 문법이 함께있어서 처음 배울때 좋은 것 같다.."
9788983007803,10,자국민들에 대한 자부심이 워낙 강한 프랑스 인들의 언어...!!!
9788983007803,10,회화편과 문법편이 따로 나뉘어져있어서 너무 좋고 동영상강의가 있어서 발음공부할때도 매우 도움이 됩니다.
