ISBN13,rating,review
9791136005182,10,한자자격증 따야지 따야지 하면서 미뤄왔는데  애듀윌에서 책이 나오네요 이번에는 에듀윌 책으로 미루지 않고 자격증 꼭 따겠습니다ㅎㅎ
9791136005182,10,"공무원 국어 시험 한자파트에 대비 할 책을 찾고 있었는데 딱 발견했어요. 아직 본격적으로 시험준비는 하지않지만 영단어, 한자,사자성어 외우기, 한국사 틀 잡기 정도 하고 있는데 ˝에듀윌 상공회의소 한자3급2주끝장˝책으로 한자한번 뽀사볼랍니다!!"
9791136005182,10,한자 자격증 교재를 찾던 중 에듀윌 교재가 활용하기 좋았다는 블로그 글을 많이 보았습니다. 이책과 함께 꾸준히 공부한다면 한달 뒤에 있을 상공회의소 3급 시험응 합격할수있을것같아요!
9791136005182,10,저자의 오랜 노하우로 단 2주 목표 상공회의소 3급 따기 프로젝트에 도전해 볼까 싶네요~~
9791136005182,10,"너무 많아서 늘 작심삼일로 포기하는 한자, 에듀윌 2주 플랜 따라서 단기간에 합격 노려요~"
9788991325357,10,한자책을 쉽게 이해하고 볼수 있게 되어있어서 좋네요알라딘에서 책을 사면 저렴하고 배송도 빨라서 아주 좋아요
9788991325357,10,좋아요
9788900291506,10,좋아요
9788900291506,10,학교에서 옥편을 구해오라고해서 열심히 검색하여 가장 좋아 보이는 옥편을 골랐습니다.요즘은 한문을 애들이 싫어해서 걱정입니다.
9788900291506,8,손바닥만한 유용한 사전 퍽이나 쓸모많다
9788900291506,8,학교 한문 시간에 필요해서 구입했어요 책이 가벼워 가지고 다니기 편리하네요~
9788900291506,10,민중옥편을 보다가 오자도 많고 약자 속자등 참고할 글자의 페이지를 알려주지 않아 찾는데 쓸데 없는 시간을 많이 낭비하여 다시 구입했습니다사전은 동아사전이 제일 정확하고 친절한 것 같습니다
9788900291506,8,"정말 한손에 들어가는 작은 책이더군요
중학생 아이ㅏ 쓴다고는 하지만 가격은 왜이렇게 또 비싼지..."
9788900291506,10,맞아요 좋아요!! 한문교사인데 수업시간에 이 자전을 활용해서 수업합니다.
9788900291506,10,이 좋은 옥편에 댓글이 없다니 씁쓸하네
9788965723530,10,체계적인 학습이 가능합니다
9788965723530,10,에듀윌 한자능력검정시험 교재 덕분에 2급 합격!공부하기에 편하게 교재가 구성되어있어서 만족했어요~에듀윌 믿고 공부하면 금방 합격할수있어요!
9788974313562,10,소리내어 반복 읽기에 적합하게 구성된 천자문책이에요. 군더더기 없이 깔끔한 구성되어 있어요.
9788974313562,10,뒤늦게 천자문을 다시 외우려고 천자문 책을 찾다가 가장 깔끔하게 되어있어서 샀어요.
9788974313562,10,천자문 쓰기는 어린이 뿐만 아니라 급수 한자 자격증을 준비하는 일반인에게도 쓸만한 교재입니다.
9788980974863,10,"중학생을 위한 교육용 기초한자 900자는 알찬 구성, 학습에 도움이 되는 내용들로 가득하고 깔끔한 편집이 좋았다. 게다가 5000원도 되지 않은 가격에 책을 구입할 수 있다니! 부담없이 구입하여 아이와 같이 공부하기 정말 좋다. 강추한다."
9788980974863,4,아직도 ‘계집‘녀라고 표기하는 한자교육서가 있군요.
9791187791744,10,아이 한자능력시험 준비하면서 단계별로 구매하여 공부하고 있어요
9788976962751,10,다 좋은데 한자들이 너무작다. 책편집한 출판사 잘못이크다. 어르신과 아이들을 위해서라도 나중에라도 큰글자로 다시 개정하여 출판되면 좋겠다
9788976962751,10,한문공부의 최고의 책인 것 같습니다.
9788976962751,8,다른 한문책과 차별성을 가지네요. 저자의 경험이 잘 녹아 있습니다.
9788976962751,10,어렵게만 느껴지던 한문의 원문들이 친근하게 느껴지네요. 계속적인 공부를 실천하렵니다. 감사합니다!!!
9788976962751,10,한자 공부한다고 남편이 주문한 책입니다.
