ISBN13,rating,review
8809611350038,10,요즘 같은 때 ... 아이들과 함께 하기 참 좋다!! 시리즈를 계속 파게 된다. 유투브 중독에서 그림찾기 중독이 되었다는 아이의 평을 덧붙인다. ㅎ
8809611350038,8,아이가 무척 좋아합니다. 다른 그림들을 바로바로 찾아내면서 이 책을 자주자주 펼쳐봅니다. 다른 그림 찾기 시리즈를 더 주문하려고 합니다.
9791186494431,10,정적인 종이접기 과정에 역동성이 느껴짐 ㅎ
9791186494431,10,종이접기를 계속 해달라고 하는 아이와 같이 보면서 만들다가 이제는 책을 혼자 보고 만들 줄 알게 되었습니다.  책을 보고도 모르는 건 QR코드로 유튜브 들어가 따라서 만들어주면 됩니다.
9791186494431,10,우리  초등학교 2학년 아들이 네모아저씨의 종이접기를 아주 좋아해서 책을 구매합니다.늘 잔잔한 목소리로  설명해주시는걸 종이접기동영상에서 봤는데 이번에는 책으로 보면서 종이접기를 해보려구요^^
9791186494431,10,9살아들 네모아저씨 종이접기  정말 좋아해요.쉽게 설명해주어서 쉽게 종이접기 잘 할 수 있어요.동영상보고 종이접기했는데  책이 나와서 정말 좋아요 ~네모아저씨 종이접기책 추천해요.
8809264180921,8,배송이늦고 오배송되어 좀 번거로웠지만 아기가잘보네요
8809264180921,10,아기가 좋아해요
8809264180921,10,소리도 잘 나오고 좋아요가격이 비싸지만 종류별로사고싶네요
8809264180921,10,9개월 된 아기가 너무 좋아합니다. 책이 두껍고 구멍도 나 있고 올록볼록 입체적으로 되어있어 만지고 물고 그렇게 이 책으로 놀아요. 사운드 배터리는 너무 많이 누르는데도 제법 오래가는거 같아요. 실제 동물소리 입니다. 이 시리즈 다 구입하고 싶은 마음이네요.
8809264180921,10,좋아요ㅋㅋㅋㅋ 근데 내용이 좀 더 많았음 좋겠어요ㅜ색감도 예쁘고 잘봅니다
8809611350588,10,6살 딸아이가 받자마자 신나게 풀고있습니다.저희 딸에겐 적당히 쉬워서 맘에 듭니다.두껍고 많이 들어있어서 좋습니다.찢어서 들고다닐 수 있다고 하는건 좋지만 바로 뒷면에 정답이 나와서 그것만 약간 아쉬움이 있어요.
8809611350588,10,작은애꺼라고 샀는데 소개에 나온것들이 쉬운거였네요 ㅠ책은 엄청 알차요. 좀 더 크면 줘야겠어요.
9788963057101,8,7세 여아 너무좋아해요~유치원도못가는데...집중력도높아지고 잘찾아서풀어내가네요
9788963057101,8,좋아요.
9788963057101,8,재미있기는 하지만 조금 쉬워서 금방 다 찾아버림. 좀더 어려운 난이도가 있어야 할듯. 초등1학년 기준으론 너무 쉽다.
9788963057101,10,천천히 커가고 있는 6살 조카에겐 조금 어려운 것 같습니다. 그래도 재미있게 잘하네요. 약간만 도와주면 혼자서도 잘할 수 있는 미로 찾기 인것 같아요.
9788963057101,10,초등학교 2학년인 딸아이가 미로찾기를 참 좋아해요. 예전에 우연히 들른 오프라인 서점에서 특가 책 한 권을 사 줬는데 너덜너덜해 질때까지 보고 또 보고 학교가서 보고 학원가서 보고 친구들과 함께 보고...^^; 그래서 좀 더 다양한 것으로 준비한 거거든요. 아주 좋아해요~!
9788963057101,8,재미는 있어요
9788963057101,10,그림이 정말 너무너무너무 예쁘네요♡ 난이도 있는것도 있고 재밌어요~!
9788963057101,10,5살 아들이 하기엔 조금 힘드네요... 중간에서 자꾸 포기하려하는데요~~!!!
9788963057101,10,다양한 미로들이 아이를 지루하지 않게 해줘요. 근데 5세아이 혼자서 하기에는 조금 버거워서 엄마의 도움이 필요해요
9788963057101,10,아이의 집중력향상에 도움도 되고 아이가 무척 재미있어해요
9788963057101,10,산만한 아이에게 집중력 향상시키기 좋은 책이라 우리 아이들도 미로에 관한 책을 많이 사서 게임을 했어요.
9788963057101,10,아들이 너무 좋아합니다. 하루에 절반 이상을 후다닥 해버려서 조금 아쉽기는 하지만 너무 즐거워하네요
9788963057101,10,아이가 좋아해서 미로찾기 책 이것저것 구입해봤는데 요거 내용이 알차네요.
9788963057101,10,교실에서잠깐 쉬는 시간에 활용하는 교재로 쓰고 있습니다.
9788963057101,10,"미로찾기, 아이들의 집중력과 인내심을 키워줄 수 있는 책, 미로 속 길을 찾으려면 눈이 아프도록 집중해야겠지만, 뿌듯한 성취감을 준다."
9788963057101,10,아이가 좋아해요
9788963057101,10,집중력도 키워주고  찾으면 성취감도 느끼네요 ^0^
9788963057101,8,아이들에게 유익할 듯
9788963057101,10,미로찾기 아이가 무척 좋아해요. 사고력.집중력에 좋다는 미로찾기. 어렵기도 하고 쉽기도해요. 혼자 앉아서 쭈욱 미로찾기를 집중하는 모습이 대견하네요. 한번 도전해보세요. 미로찾기~
9788963057101,10,재미있을거 같아요
9788963057101,10,아이가 재미있어하고...집중력을 키울수 있다
9788963057101,10,아기가 좋아하는 책십니다
9788963057101,10,아이가 너무 좋아하는 책이예요^^ 강추합니다
9788963057101,10,아이가 시간가는줄 모르고 앉아있네요 ^^
9788963057101,10,"아이도,엄마도 좋아하는 100가지 숨은 미로 찾기!!!아이가 혼자 하다가 엄마한테 잘 모르겠다고 가져오는 순간을 기다려요!!엄마가 해도..짜릿한 기분을 느낄 때가 있거든요^^종종 아이가 틀려주길 바라게 되는 미로찾기랍니다!!강추할만해요!!!"
9788963057101,10,아이와 함께 해 보려고 구입한 책이랍니다.
9788963057101,10,아이가 재밌어해욥~^^
9788963057101,10,미로를 찾으며 아이들의 창의력을 키울수 있답니다^^
9788963057101,10,아이가 집중하고 열심히 하는 책이에요
9788963057101,10,아이가 집중에서 놀이를 하더라구요.만족도가 높은 책이예요.
9788963057101,10,미로가 많기도 하고 난이도도 적당해서 아이가 틈만 나면 하고 있어요~
9788963057101,10,미로책 가격도 착하고 그림도 너무 괜찮더라구요. 아이와 정말 재미있게 활용한 책이에요^^ 시간가는줄도 모르고 집중해서 하는 아이의 모습을 볼때마다 어찌나 흐뭇하던지~미로도 100가지라 많아서 좋아요 작은돈으로 뽕뺀책이에요
9788963057101,10,우리 아이에게 재미와 창의력을 제공할수있는 좋은 자료인것같아요~~
9788963057101,10,"아이의 집중력을 위해서 사줬는데, 일주일만에 다 풀어버릴정도로 아이가 너무 좋아했답니다^^2탄이 나오면 필히 살려고요~!!"
9788963057101,10,"따뜻하고 밝은 색감의 그림과, 아이의 집중력을 키워줄 수 있는 재미있는 책!!"
9788963057101,6,애들이 좋아하네요
9788963057101,10,재밌어요
9788963057101,10,아이가 넘넘 즐거워해요. 집중력 향상에도 좋은 숨은 미로찾기!! 무려 100가지나 다양해서 더 좋아요.
9788963057101,10,아이가 좋아해요. 어려운 것들도 있긴 하지만 호기심 자극하기에는 최고
9788963057101,10,기대됩니다ㅕ
9788963057101,10,엄마랑 같이 놀수 있어서 좋아요^^
9788963057101,10,우리아이가 좋아해요처음에는 좀 어려워하는듯하더니 요즘은 금방 미로찾기 두개는 하네요~
9788963057101,10,흥미로운 책이네요
9788963057101,10,즐겁게 아이와 놀아줄수 있는 도서
9788963057101,10,좋아하는 미로찾기네
9788963057101,10,미로 찾기하면 두뇌발달에 도움이 될 것 같아요
9788963057101,10,"다양한 미로로 구성되어 있어서1학년인 아이가 참 재미있게 보고, 학교에 까지 들고 다닐 정도 였어요"
9788963057101,10,5세 딸과 재미나게 본 책이예요. 미로를 다양한 그림으로 했는데 쉬운 것 부터 좀 복잡한 것 까지 재미나게 100지 길을 찾아 재미난 시간을 보냈어요~
9788963057101,10,재미있다. 찾는것이 흥미진진하다.
9788963057101,10,현재 우리 아이에게 가장 사주고 싶은 책이라서.
9788963057101,10,미로찾기 좋아요 ^^
9788963057101,10,그림도 이쁘고 괜찮네요
9788963057101,8,미로안에 미션이 있어서 그 미션을 하기위해 미로를 열심히 헤처나갈려고 해요.알록달록하고 질리지않게 다양한 미로들로 이루어져 있네요.
9788963057101,10,요 미로책은 아이가 손에서 놓질 않네요~~^^넘 재밌어해요~ 어려운부분도 있어서 집중해서 잘 보고 있습니다~ 좋아요
9788963057101,10,5살 조카 사줬어요. 알록달록 그림이 맘에 드는지 마구 넘겨보네요.어린아이 혼자하기엔 조금 무리인듯해요. 어른이 옆에서 길잡이 해주며 같이하면 재미있어요.
9788963057101,10,아이들 집중력을 키우는데 참 좋은 책이네요
9788963057101,8,아이들이 서로 찾으려고 경쟁합니다. 미로찾기책 재미있네요.
9788963057101,8,아이혼자 하기엔 어려울것 같지만 옆에 어른이 도와준다면..! 같이 해나가는 책이네요!
9788963057101,10,이 책 어른인 저도 정말 재밌을 것 같은 책입니다. 좋을 것 같아요.
9788963057101,10,아이와 함께 놀기위해 구입한 책이예요. 혼자 아이가 할수 있는 나이가 되니 참 이상하네요.^^
9788963057101,10,집중력 쑥쑥~~사고력 팡팡~~!!정말 한시도 눈을 뗄수가 없네요.미로찾기 아이들이 정말 좋아해요.놀이도 하면서 머리도 똑똑해지고 일석 삼조입니다.
9788963057101,10,"어려운건 날짜적어놓고 다음에 다시도전하고있어요. 한번 미로찾기 시작하면 끝날줄을 모른답니다.색감도 넘 예쁘구요, 이렇게 다양하게 미로찾기를 할수 있는게 더 신기해요. ^^"
9788963057101,10,세상에서 가장 재미있는 미로들이 다 모여있어서 아이가 너무 좋아해요^^은근히 어려워서 아이의 집중력에 매우 좋아요~~어른들도 재미나게 좋아요♡♡
9788963057101,10,어른도 학생들도 아기들도 풀기 쉬우니까 정말 좋은것같아요!
9788963057101,10,숨어 있는 미로를 찾으면서 우리아이 재미난 시간도 보내고 아이큐와 이큐 모두 발달할 것 같아요. 구입해야겠는데요 ^^
9788963057101,10,아이 전용 시간 때우기 책이네요.
9788963057101,10,숨은 미로 찾기를 통해 재미있게 놀이하는 동안 아이의 집중력이 높아질 것 같아요.
9788963057101,8,산만한 아이들에게 주면 좋아할 것 같네요.
9788963057101,10,미로찾기를 하면서 아이들 집중력도 좋아지고 사고의 폭도 넓어질 것 같아요.
9788963057101,10,구매했어요~ 아들이 미로 엄청 좋아하는데~ 좋아요~
9788963057101,8,우리 조카가 산만해지는 편인데요.살펴보니 흥미도 불러일으키고 괜찮네요.
9791186872307,10,절대 사지 마세요. 책에 꿀이라도 발라놨는지 아이가 환장을 하며(42개월) 이 책을 사는 순간 잠도 못 자고 잡혀서 노예처럼 반복해서 읽어주어야 합니다. 질리지도 않나봐요. 아이가 좋아하는 걸 보는 건 좋은데 잠을 자고싶네요....
9791186872307,10,책페이지 두꺼우니 좋아요 아이가 몸안에 대해 공부하는게 재미있어 합니다
9791186872307,10,플립북이 정말 알차게 들어있네요. 역시 어스본. 내용도 좋아요! 내용은 물론이거니와 그림이며 디자인이 예쁘기까지~! 선물하기에 정말 좋은 책.
9791186872307,10,아이가 몸에 대해 궁금해 하는게 많아서 백과 보다 좀 더 잼있고 쉽게 볼 수 있을꺼 같아 구매했어요 플랩북이라 잼있어하고 더 궁금해 해요 ㅎㅎ 한곳에 두번 열게 되있어서 궁금증 유발하기도 하고 생각을 꼬리에 꼬리를 물게 해주는 책이네요 ㅎㅎ
9791186872307,10,좋아해요 자동차 다음으로 구매했네요
9791186872307,8,처음 받았을 때 5세 딸아이가 이해하기엔 어려운 단어들이 많아서 좀 커야 읽겠구나 했는데 웬걸 하루에도 몇 번씩 읽자며 가져오고 굉장히 흥미로워 하네요 맨날 그림 동화 같은 것만 읽히다가 이런 거 좋아할까 싶었는데 다른 종류도 구매하고 싶어요^^
9791186872307,8,진짜 애기도 애기지만 제가 궁금했던 내용들이 여기 다 들어가네요
9791186872307,10,정말 입체적인 책이네요 보기만 해도 관심이 샘솟아요.
9791186872307,10,재미있는 그림으로 아이들이 책을 읽는것을 귀찮아 하지 않을 것 같아요.
9791186872307,10,요리조리 열어보는 우리몸. 아이가 신체에 대해 쉽고 재미있게 알수 있게 되어있어서너무 좋습니다.
9791186872307,10,아이가 재미있어하네요
9791186872307,10,진짜 애기도 애기지만 제가 궁금했던 내용들이 여기 다 들어가네요~~정말 좋은 책이네요~~
9791186872307,10,재미있는 플랩북이 나왔네요. 인체의 신비를 엿볼수 있는 플랩북이랍니다. 아이도 부모도 함께 재미있게 읽을수 있어요.
9791186872307,10,아이들에게도 정말 도움이 된 책 특히 간결한 내용과 눈의 주목을 이끌어주는 그림정말 추천해줄 책입니다.
9791186872307,10,아이들의 눈높이에 맞춘 책이라서 설명도 쉽게 되어있고 신체기관에 대해서 잘 이해할수 있을거 같아서 아이들이 신체를 이해하는데 큰 도움이 될거 같습니다. 아이들이 좋아할거 같아요
9791186872307,10,우리 몸에 대한 자세한 설명이 있어서 너무 좋네요. 아이들에게도 유익하겠지만 어른들도 같이 공부할수 있는 책인거 같아서 기대됩니다
8809264180679,6,유명해서 구매했는데..고장 우려했지만 역시 고장이네요..특정 페이지 소리 안나고또 특정 페이지 소리가 누르지도 않았는데 계속 나요..6-7개월 아기 보여주니 아직 관심 없네요..노래 나오는 사운드북을 더 좋아해요..
8809264180679,4,그림도 예쁘고 아기도 반응을 보여서 좋은데 자꾸 고장나네요. ㅠㅠ 고장나서 교환했는데 교환한 것도 금방 고장나서... 결국 반품했습니다.
8809264180679,4,색감 화려하고 이쁘고 좋은데첫날 고장나서 교환했습니다ㅠ새로 받은 책도 소리가 막 나고 띠용띠용하는 기계음이 들리네요사운드북이 사운드 컨트롤이 안 되니많이 아쉽습니다.
8809264180679,2,"소리도 실감나고 인쇄도 아주 좋습니다. 하지만 내구성이 떨어집니다.구입한지 며칠만에 망가지고, 새로 교환 받은 것도 삼일이 되지않아 망가졌습니다.메쉬 형태의 버튼이 눌러지지 않거나, 전원 버튼을 켜면 뿅뿅 소리가 납니다."
8809264181478,8,큰 어스본 책은 .버튼이 총 10개가 들어가 있는데 이책은 크기가 작고 버튼은 총 5개밖에 안들어 있네요... 아쉬워요
8809264181478,10,어린아이부터 큰 아이들까지 다양한 악기소리를 매력적으로 들을 수 있는 좋은 책인 것 같아요^-^ 각각의 악기소리를 따로 듣는 것도 함께 듣는 오케스트라의 소리도 정말 공연장에서 듣는 것처럼 너무 아름다워요- 작은 그림 삽화도 아이들이 보기에 재미있는 요소들이 많아서 찾는 재미도 있어요
8809264181478,10,동물들이 악기를 연주하니 아이에게 더 친근한 것 같아요. “내가 좋아하는 판다가 북을 쳐요!” 자연스럽게 악기를 접할 수 있어 좋네요.
8809264181478,10,애기가 너무너무 좋아해요 !!자꾸 일어나면 들고와서 같이 누르자고 해요노래도 퀄리티가 좋고 그림체도 참 예쁘네요 ^^
9791164061471,10,아이들이 혼자서도 접을수 있어서 좋아요!간단하고 자세히 나와서 혼자서도 잘 접어요.주제별 분류가 되어 있어서 아이들이 종이접기로 역할놀이도 합니다~
9791164061471,10,"아이들이 너무 좋아해요~~작품이 다양해서 좋고,색종이도 예쁘고,눈스티커도 있어서 더 예쁘게 만들 수 있어 넘 좋아요~~"
9791164061471,10,아이들이 너무 좋아해요 둘이 앉아서 이것도 저것도 접고 저에게 선물도 주고아이들이 만들어서 완성품을 보며 신나하니 저도 기분이 너무 좋네요ㅋ
8809611350328,10,아이들이 좀 어려워합니다.
8809611350328,10,생각보다 두꺼워서 놀랐어요. 그림이나 소재도 다양하고 미로찾기 방법도 다양해서 한장한장 풀때마다 재밌네요.
8809611350328,2,재미없습니다.
8809611350328,10,다양하고 많은 미로가 있어단타스피드선생께서 일주일째집중력을 발휘함.문제식 미로 칭찬해!참..아직 영알못이라 중간 영어 문제 모름.
9788949120447,10,"[동시, 말놀이] 우리글의 재미를 느끼게 해주는 책입다. 그냥 읽어도 재미있고, 책 속 CD와 함께하면 더 재미있겠네요.(책 속에서) -돼지- 자야지/ 일어나야지/ 먹어야지// 또 자야지/ 일어나야지/ 먹어야지// 오늘은 노래해야지/ 오늘은 돼지춤을 출 거야"
9788949120447,10,말놀이 동시집 내용이 아주 좋더군요. 동요집도 그렇지 않을까하는 생각이 듭니다. 창의적이고 언어발달에도 좋은 자극을 줄 수 있는 책 같아요. 어른도 읽어도 좋을 것 같기도 하고 그래서 투표합니다.
9788949120447,10,유아에게 많은도움이 되는 동요네요^^^
9788949120447,8,말놀이 좋아요
9788949120447,10,귀에 쏙쏙 들어오고 입에 착 달라붙는 가사와 멜로디가 재밌어서 나도 모르게 흥얼거리게 된다. 말 배우는 아이들에게 딱 좋다!
9788949120447,10,처음에는 아이들이 듣기만 하더니 요즘에 반주만 나오면 무슨노랜지 알아요~ 아이들이 따라부르기 딱 좋아요..
9788949120447,10,조카들에게 강추. 동요를 많이 부르며 동시를 많이 들으며 감성을 키울 수 있게 선물 하고픈 책이다. 우리말이 참~ 재미있음을 다시 한 번 느끼게 한 책.저자들의 열정이 느껴진다
9788949120447,8,처음에는 별로다고 생각했는데 애기가 자꾸 듣더니 즐거워합니다. 책그림이 엉성해서 좀 아쉽네요.
9788949120447,10,최승호시인과 방시혁의 멋진 조화!! 최고입니다~ ^^
9788949120447,10,좋아요 동요가 재미있어요 가사도 재미있고 노래도 재미있어요
9788949120447,10,정말 좋아요. 절로 외워지는 잼있는 노래들이예요. 전 완전 맘에 들어요 ^^
9788949120447,2,가격에 비해 너무 실망스럽습니다. 조권이 부른 원숭이만 괜찮음 ㅠㅠ
9788949120447,10,"cd player의 주도권을 잡고 있는 작은 아들(6살,52개월)이 듣자 마자 중독되어 흥얼."
9788949120447,10,아이가 너무나 신기해하며 좋아하네요~~운전중인 차안에서 틀어주니 듣고 따라해요
9788949120447,10,정말 재미있습니다.아이도어른도함께즐길수 있어요.한글공부에도도움이됩니다
9788949120447,10,"완전대박~강추~!! 6세 울아들 매일 끝까지 듣고, 노래마다 율동을 만들어 신나게~"
9788949120447,8,좋아요..아직은 아이보다 제가 더 좋아하는 듯...ㅋㅋ
9788949120447,10,아이가 몇번 따라부르더니 입에 달고 사네요. 경쾌해서 듣기 좋아요~
9788949120447,6,가사는재미있는데...아이들동요인데왜이리샾과플랫이많은지...따라부르기쉽지않네요
9788949120447,10,아이랑 같이듣기 너무 좋아요.. 아야아야어여오요우유으이~ 하며 같이 불러요 ^^
9788949120447,10,4살 우리아이가 정말 좋아해요. 매일 아침 틀어 달라고 하고 맨날 흥얼거리고 다니지
9788949120447,10,중독성있어요. 계속 흥얼거리게 되서 아이들과 다른 말도 붙여서 불러보게 돼요
9788949120447,10,방시혁씨 그렇게 안봤는데 완전똑똑하네요 아주 맘에 듭니다
9788949120447,10,교사인데 첨 곡이 재미있다 싶었는데 반복해서 들으니까 아이들이 좋아할것 같아 요
9788949120447,10,5살난 아이 첨엔 시큰둥한거 같더니... 끝까지 책보면서 다 들었네요. 재미있어 해요.
9788949120447,8,방시혁씨 좋은일 하셨네요
9788949120447,10,정말 추천합니다! 아이들이 말도 배우고 노래도 배우는 1석2조 효과! 정말 재밌어요!
9788949120447,10,재미있는 동요집으로 듣기가 편하다.
9788949120447,10,"우리 아이들보다 제가 더 웃겨서리, 얘들아 이것좀 들어봐라니 깔깔대고 넘어갑니다."
9788949120447,10,재미와 함께 공부까지 굳이네요 ㅎ
9788949120447,10,선물용으로 좋을것 같네요
9788949120447,10,괜찮아요~
9788949120447,10,아빠와 딸이 서로 좋아하는 노래 듣겠다고 실랑이를 벌이는 걸 행복하게 바라봅니다.
9788949120447,10,"저도 샘이 나서, 악보가 있어 한 권 구입했습니다.^^"
9788949120447,10,재미있겠네요^.^
8809771554277,6,아직 안와서 어떨지는 모르겠는데 2월19일에 결제했는데 아직도 안옵니다 .
9791162243602,10,이거 너무 재밌어요.아이랑 앉아서 시간 보내기도 정말 좋습니다강추에요❤
9791162243602,10,동물 사람 음식 다양해요. 차분하게 놀았으면 한다면 혹은 집중력 높여주고 싶다면 추천해요.
9791162243602,10,"단순히 숨어있는 똑같은 그림을 찾는게 아니라 문제와 같은 그림을 생각해가며 찾고, 아래와 같은 그림을 찾는 숨은그림찾기한글공부하는 6살 우리 딸에게 문제도 스스로 읽게하고 연상되는 그림 찾게하니 공부도되고 찾기놀이도 같이할수 있어서 너무 좋아해요^^"
9788980714544,10,"엄마의 구연이 중요한 책이에요! 아이들이 너무 재미있어해요. 마지막은 엄마, 아빠도 함께 웃으며 읽은 책입니다^^"
9788980714544,10,7개월 남자아이를 키우면서반응이 아주 좋은 책!내용도 웃음이 나오는데 내용은 아기가 아직 모르지만아주 임팩트있는 팝업이 아주 마음에 드는 듯 하다.
9788980714544,10,이야기도 재미있고 팝업책이라 아이가 좋아합니다. 반복되는 단어로 노래처럼 음율감도 있어요여우야 여우야를 연상하게 하는 책입니다.
9788980714544,10,"쌍둥이 아기들을 키우고 있어요 18개월됐구요. 아기들이 너무 좋아하네요 튀어나오는 그림을 보고 놀라기도하고 재밌어하기도 하고, 울다가도 책을 보여주면 너무 좋아해요^^"
9788980714544,10,입체적인데다가 익살스러운 그림까지. 아이들이 안좋아할수가 없습니다
9788980714544,10,4살 아들이 좋아하네요.
9788980714544,10,재미있는 팝업북 마지막 장면에서 깔깔깔하고 웃네요.
9788980714544,10,무엇보다 아이들이 좋아합니다.
9788980714544,8,재미있다
9788980714544,10,아이가 너무 좋아하며 위트있는 내용과 큼직한 그림들이 너무 만족스럽다
9788980714544,10,"우리 아이가 아기였을때부터 읽어주던 책인데...
지금 우리 아이는 초4학년.
2-3살 조카들에게 읽어주네요."
9788980714544,10,2-4세 아이 대상으로 같이 놀아주는데 100점짜리 책 입니다.
