ISBN13,rating,review
9788958285557,10,아이가 너무 아끼는 책. 읽고 또 읽고.... 아이가 원하는 책을 사주는게 답인듯.
9788958285557,10,아이가 좋아하네요
9788958285557,10,다시 읽어도 감동. 초등학교 입학한 아들에게 선물하기 위해 샀습니다.
9788958285557,2,"일제강점기도 아니고 왠 홍도야 우지마라 식 신파적 센티멘탈리즘인가?  거기에 유치한 클리셰, 빈약한 네러티브까지..과연 누굴 위한 동화일까?..엔딩에 이르면 이 스토리가 아이들 것이 아닌 부모가 주입하고 싶은 이데올로기였음이 노골적으로 드러난다.대중적 성공이 작품성을 담보하진 못한다."
9788958285557,8,전 감동적이도 좋은데 아덜은 그렇게까진 아닌가 봐요..
9788958285557,8,자기새끼가 아니지만 자기새끼와 똑같이 사랑으로 키웠다.동물에게도 사람과 같은 정이 있서 감동적이었다.
9788958285557,10,이이야기는 정말 슬픈이야기이다. 이암탉은 남의 알을 키운이야기다. 그 알은  친엄마가 족재비에게 잡아먹어서 암탉이키워주는 이야기이다
9788958285557,10,"좋은 책이긴 한데, 읽으면서 너무 고통스럽고 힘들고 섬뜩했다. 어린이들이 정말 좋아하나? 읽은 후 별도 교육이 필요하지 않을까? 역사의식이나 노동 인권 주제로 쓰임 건지 싶기도 한데, 제 몸을 희생하는 비극적 엔딩 괴롭다.뭐 우선 동물복지 달걀만 먹기로 했다."
9788958285557,2,책으로 는 보지 못하였는데  책으로보니까훨씬 감동적이다. 재미있고
9788958285557,8,아이들이 보기에는 좋은 책이네요.
9788958285557,10,영화로도 감동적이었는데.. 아이에게 읽어 줄 수 있는 그림책이 있어 좋다.
9788958285557,8,처음 책이 나왔을때 아이에게 꼭 읽어보라고 했었다.아직 아이가 읽기에 조금 어려 3학년은 되어야 겠지 하던차에 애니메이션이 나왔다. 그리고 그림동화가 나와서 둘째 아이에게 읽기를 권했다. 영화를 본후여서 그림 한장면 한장면이 살아나면서 아이가 읽기에 더욱 재미있었다. 하지만 원서가 짱!!
9788958285557,10,보고싶고 소장하고 싶은 그림책~!! 내가 구매를 했다고??? 확인을 하니 예전에 이벤트 선물로 알라디너분에게 드린 적이 있었네...
9788958285557,8,"이것은 오세 아이가 살짝 어려워하는 듯 하며, 이야기가 좀 길어 설명을 많이 해주어야하는 책이다."
9788958285557,10,아이가 너무 좋아해요^^
9788958285557,10,아이와 함께 애니메이션을 봤는데 너무 감동적이었습니다.
9788958285557,10,애니메이션을 못보았는데 찾아서 아이랑 같이 읽고 싶을 정도입니다 결말을 읽고 아이랑 정말 꺼이꺼이 울었네요 너무 감동적입니다
9788958285557,10,책으로 보는건 또 다른 감동이 있네요. 선명한 그림에 아이가 푹 빠져 살아요
9788958285557,10,6살 조카아이에게 사줬어요 영화로 먼저보고 책을 접해서 인지 더 호기심을 갖더라구요 그림도  너무 선명하고 이뻐요~
9788958285557,10,"아이가 너무 좋아해요.
이렇게 좋아 할 줄 알았다면 아이가 요구하기 전에 사 줄 걸 하는 아쉬움과 마당을 나온 암탉을 통해서 더 멋진 아이가 되길 바랍니다."
9788958285557,8,"아이가 영화를 보고는 너무 신기한지 재미있어 하네요..
맨날 수달(달수씨) 흉내내달라고 하고 하나하나 다 궁금해해서 책을 구입했네요
아이가 책을 재밌게 봤으면 좋겠네요.."
9788958285557,10,재미있어요~
9788958285557,10,워낙에 유명한 책이라서 그런지 흠잡을 만한 곳도 없고 스토리는 물론 그림까지 아주 선명하고 기가 막히게 좋아요
9788958285557,8,"그림도 예쁘고 같이 온 스티커도 좋은데 너무 빨리 샀나봐여 
아이가 4세인데 말밥이 많고 내용도 길고 복잡해서 조금 보다가 가버리네여 스티커는 열심히 부쳤네여"
9788958285557,10,우리 아이들이 좋아하는 책이랍니다.
9788958285557,10,"잎싹이라는 양계장에서 사육되던 닭이,엄마가 되겠다는 꿈을 이루기 위해 자신을 희생하는 용기있는 모습이 그려진 동화. 형태는 동화이나, 어찌보면 인간의 한생을 담아놓은 것 같아 보인다.어른이 꼭 봐야할 동화"
9788958285557,6,원래 책을 읽어본 후라... 좀 아쉽다
9788958285557,10,아이에게 읽어주다가 왠지 짠해져서 마지막에는 눈물이 나올뻔 했습니다. 좋은 책이네요. 한국정서에도 잘맞고. 만족합니다.^^
9788958285557,10,영화를 본 아이들이라면 이 책을 이해할 거예요. 저희집 아이들 6살 5살 아이들은 이 책을 잘 보네요. 끝부분이 슬프게 끝나 책을 읽어주면서 어떻게 마무리져야 하나 고민은 되지만...오랜만의 한국적인 책 좋아요^
9788958285557,10,삽화가 이뻐요ㅜ
9788958285557,6,긴 애니메이션을 함축했으니 스토리가 약간 ..어색한 ㅎ
9788958285557,10,영화의 감동을 책으로 느껴 애가 좋아해요
9788958285557,8,아들이랑영화보면서둘이울었어요손수건없어제옷으로눈물닦아가며책도구입해야겠죠
