ISBN13,rating,review
9791158711597,10,곧 새학년이 시작되는 아이들에게 낯설움의 공간으로 가기 전 함께 읽으면 좋을 책이다. 감정에 따라 바뀌는 색깔이 바뀌는 몬스터의 모습은 언제나 웃기고 즐겁다. 아이와 색깔놀이를 하면 서로의 마음을 살펴주기 좋은 책이다!
9791158711597,10,˝컬러몬스터 학교에가다˝ 컬러 몬스터 시리즈 답게 아이들 좋아하며 책을 읽었어요. 감정에 대해 표현도 해보고 서로의 감정에 대해 알아가보는 즐거운 시간이었어요. 아직 감정이 서툰 아이들에게 같이 읽어보고 스티커북으로 활동해가며 감정코칭하기 좋은 그림책입니다.
9788955823707,10,아이랑 같이 읽었어요. 제가 봐도 내용이 참 재미있어요. 왜 띄어써야하는지 아이가 맞아맞아 하면서 이해를 잘했어요 ㅎㅎ
9788955823707,10,5살 아들이 한글을 계속 붙여 썼는데 왜 띄어써야하는지 확실히 알았다고 합니다.장난으로 아빠를 가방에 넣는다고 자꾸 말하네요.
9788955823707,8,초3 형들이 읽는 책이라며 짜증내는 초1 아들을 겨우 달래서 읽어줬더니 재미있다며 다시 보고싶다고 하네요. 특히 그림을 재미있어 하는 것 같습니다. 띄어 쓰기의 중요성을 알려주고 싶어서 고른 책인데 효과가 있을 것 같네요.
9788955823707,10,"주변에서 초등학교에 입학하면 받아쓰기, 띄어쓰기에 스트레스가 많다고 들었어요. 엄마가 먼저 도서관에서 이 책을 읽고 나니 띄어쓰기가 왜 필요한지 아이에게 자연스럽게 알려 줄 수 있을 거 같아 구매했어요. 깔깔거리는 아이의 웃음 유발~ 어려운 띄어쓰기를 쉽게 이해시키는 지름길. ^^"
9788955823707,10,예비 초등인 딸아이와 넘 재미있게 읽었어요. 요 나이때 애들에게 강추합니다~^^
9788955823707,10,초등2학년 우리 아들에게 가장 먼저 읽혔던 책!표지를 열고 제일 먼저 만나게 된 면지의 내용...분명 일기장인데...받아쓰기 연습노트인 것 같은 느낌...책제목이 확 와닿는 부분이다.그리고 익살스런 그림과 함께 ‘띄어쓰기의 중요성‘을 강조하고 있다.
9788955823707,8,"초등3학년, 7살 조카 읽으라고 선물했습니다.둘다 읽기에도 재미있고, 저도 읽어봤는데 흥미로운 내용이었습니다.좋아요^^"
9788955823707,10,"기발하게 재미난 그림책이예요. 쓰기 싫어하는 아들과 띄어쓰기 실랭이 중에 이 책 추천 받아서 읽었습니다.띄어쓰기 왜 해야하는지 재밌게 바로 이해하고, 그 뒤로는 알아서 띄어쓰기에 신경을 쓰기 시작했습니다."
9788955823707,10,이 책 아이들이 정말 좋아해요~ 절판되서 아쉬웠는데 다시 만나 반갑네요~ 재밌고 자연스럽게 교육도 되고 좋습니다.
9788955823707,10,"알라딘에서 구입했어요, 내용이 정말 기발하고  어른도 재밌게 보게 되요. 교과서 수록 책이라 조카 선물해줬습니다."
9788955823707,2,뭔가 그림이 무섭네요 어린이 정서에 별로 좋지는 않을거같아요..
9788915086807,8,생각보다 어려워요
9788915086807,8,"문제를 요렇게 다르게 내는구나 이해했어요. 단순 문제만 풀다가 조금더 생각해야하니 아이가 어려워 하지만, 생각하는 힘을 기르는거 같아요."
9788915086807,8,"퀴즈푸는걸 좋아하는 아이를 위해 샀어요. 6,7세 되면 글씨는 웬만큼 안보고 다 쓸수있지 않나요? 힌트없이 생각해서 쓰는 거였음 더 좋았을 것 같아요.간혹 싱거운 문제가 많아 아이가 흥미를 잃어버리네요."
9788915086807,10,"7살 남자아이 이게 은근히 쉬우면서도 울 아들 쉽다고 풀다가 틀리고 틀리고 한답니다. 
오히려 그래서  차분하게 풀도록 노력 하게 되는 부분입니다 . 쉽다고 빨리 풀다가 아~~~자기도 클리고 나면 반성 하더라고요 ^^"
9788915105515,10,"코로나로 집에 있는 시간이 길어지면서 구입했어요. 올해7살된 딸아이가 호감을 보이면서 시작했는데 접근방법이 쉬워서 1권은 무리없이 잘 따라가주네요. 덧셈을 ‘모으기’, 뺄셈을 ‘가르기’라는 개념으로 접근하는 방식이 제가 어릴때 무조건 주입식으로 배우던것과 다른 느낌이라 나름 신선했"
9788915105515,10,7세아들 초등대비로 보고있는데 아이가 정말 재미있어하면서 즐기면서 풀고있어요^^ 반복학습을 해서 확실하게 알고 넘어가서 너무 좋네요^^
9788915105515,10,6살 이제곧 예비초등이 되는 우리 아이와 같이풀기 좋은 수학교재찾고있었는데 너무 좋네요. 필요한 내용만 쏙쏙~~ 12주후면 아이도 수학에 자신감이 좀더 생길것같아요.문제유형도 다양하고 좋아요.
9788915105515,10,아직 100단위까지는 숫자 세는거 어려워 하는 우리 아이에게 선물해줬어요. 책 받고나니까 앉은자리에서 금방 금방 푸네요. 진도가 정해져있어서 어떻게 알려줘야 할지 고민인 엄마들한테도 딱일거 같아요. 정말 말그대로 연필하고 요 책만 쥐어주면 알아서 하네요ㅎㅎ 사길 잘 했습니다. 추천드려요
9788915105515,10,"3권안에 예비초등이 풀어봐야할 내용이 모두 들어가있네요 그림으로 설명이 잘 되어있고 기초부터 단계적으로 차근차근 풀기 좋아요 받아올림이 있는 덧셈, 받아내림이 있는 뺄셈 설명해주기가 힘든데  수직선 설명부터 10을 만든뒤 덧셈 뺄셈 하는방법이 설명이 잘 되어있어요  만족합니다."
9788943308827,10,믿고보는 보증수표 송언쌤이랄까... 깜찍한 결말이(너무 기대하면 실망함 ^^;) 그림책에 별 관심없는 초6도 몇 번씩이나 다시 들여다보고 큭큭거리게 만들더라.
9788943308827,10,"[과거, 현재 이야기] 그림책의 왼편에는 과거 국민학교에 입학한 구동준의 일기가, 오른편에는 초등학교에 입학하는 김지윤의 일기가 펼쳐집니다. 부모님 세대 때 사회가 어떤 모습이었는지 재미있게 알려줍니다. 구동준이 커서 어떤 직업을 갖게 되는지도 재미있습니다."
9788943308827,6,글밥이 많아서 유아보다는 초등 입학전 정도에 읽어주면 좋을 듯...  종이 탓인지 그림이 좀 선명하지 않음.
9788943308827,10,"ㅋㅋ 반전이 있는 책이다. 아무 생각 없이 아이와 읽다가 다시 첨부터 찾아봄. 어쩌면 엄마와, 아빠와, 또는 젊은 할머니, 할아버지와 같이 읽으면서 추억도 회상하고 재밌어 할 수 있는 책.
그땐 그랬지를 아이와 나눌 수 있는 책이다. 어렸을 적 첨 학교 갈때 어땠는지, 아이와 오래 대화할 수 있다."
9788943308827,10,"엄마 아빠의 국민학교와 지금의 초등학교 입학하는 모습을 통해 옛시절을 추억하며 가슴뭉클해지는 이 책은 꼭 엄마 아빠와 아이가 함께 봐줘야 할 책이에요, 끝에는 놀라운 반전도 있어요"
9788943308827,6,재미있네요^^
9788943308827,10,처음학교하는날.. 기대 반 두려움반.. 이말이 딱맞는거 같아요. 책 읽어보면 엄마인 저도 새로운 느낌으로 다가와요. 우리 아이들도 두렵지만 설레고 기대되고 생각보다 재밌는 학교생활을 할수 있을꺼예요~
9788943308827,10,귀염귀염 열매가 주렁주렁 달린 책이다...끄아아
9788968305696,10,곧 입학하는 조카랑 읽었어요.  이모는 처음 회사에 갈 때 얼마나 떨렸는지 조카가 처음 태어났을 때는 엄마랑 얼마나 떨었는지 여러 이야기들을 같이 할 수 있어서 좋았어요. 우리 꼬맹이 초등학교 생활 잘 해보자! 화이팅!
