ISBN13,rating,review
9791191056471,10,"˝위기의 순간,인간은 선한본성에 압도당한다!˝이 한마디에서 너무 읽어보고 싶던 책책의 두께에 먼저 압도그러나 시작부터 압도라는 말이 이책에 참 어울린다할 정도의 자신감 넘치는 글이다아무렇지도않게인간은 이기적이고 악하다하는 세상을 향해전하는희망의메세지"
9791191056471,8,"이 책을 통해 우리는 인간이 가진 선함을 믿고, 예외적인 사건을 과장하는 뉴스에 휘말리지 않으며 타인에 대한 이해와 연민을 구체적으로 실천할 수 있는 방법을 모색해 나갈 수 있으리라 생각한다.​"
9791191056471,10,악한 인성이 뉴스화 되기 좋기에 선한 본성보다 더 부각되는역사 속에 뤼트허르 브레흐만은 역사를 파헤치고 파헤쳐 감춰진 인간의 본성을 찾는 희망의 연대기를 보여준다. 파릇 파르한 새싹들이 흙을 뚫고 나와 생명의 신비를 보여주듯 내 안의 악한 껍질을 깨고 착한 본성을 계발되길 바란다.
9791191056471,10,획일적으로 말할 수 있는 인간본성은 없습니다. 서양인들은 그만큼 인간 본성에 대해 무지하다는 것을 보여주는 책일 수 있습니다. 동양에서는 인간본성의 선악보다는 어떻게 마음을 수양할 것이냐가 주된 관심이었죠. 사람은 각자 자신의 의식수준애 따라 세상을 인식하는 것입니다
9791191056471,10,인간은 기본적으로 악하다라는 전제를 가지고 살아온 나에게굉장히 신선한 관점을 준 책입니다. 특히 유명한 실험들 뒤에 숨겨진 이야기를 꺼내와 설명하고 설득한것이 인상깊었습니다. 우리가 믿는것이 우리를 만든다. 인간의 선함을 좀 더 믿고싶어졌습니다
9791191056471,8,"작가의 인간본성에 대한 관점은 믿음 그 자체이며,미래를 준비하는 태도도 매우 적절하다.그러나 선악에 대한 이분법적인 편가르기식 태도를 버리더라도 동일한 결론에 도달했을텐데,기존 실험에 대한 반박도 관점에 따라 기존 성악설을 더 공고히 하는 듯 보인다.그럼에도 읽을 가치가 있는 책이다"
9791191056471,8,휴먼카인드를 통하여 인간의 본성에관한 선함 등을 다시한번 일깨우게되었습니다! 수많은 고난과역경속에서 피어난 인간의 서로에관한의지와 희망을 향한 생각들을 통하여 다시한번 삶을 바라보게되었습니다.
9788937834790,10,명불허전!
9788937834790,6,"많은걸 생각하게 해주는 책이지만, 이렇게 두꺼울 필욘 없다. 결국 같은 이야기만 예를 달리해서 반복하는 꼴. 책으로 판매하기 위해서 양을 늘렸다는 생각을 지울 수 없다. 메세지는 간단하니 사례에 집중해서 분석했다면 어땠을까."
9788937834790,2,리버럴의 교과서같은책 가볍게 읽어볼걸 추천합니다
9788937834790,10,"십 년 전, 한국에 처음 번역출판 되었을 때 절반정도 읽고 묻어두었던 걸 다시 꺼내 완독. <정의란 무엇인가>라는 책 제목에 매우 걸맞는 상세하고 친절한 개론서."
9788937834790,10,어느 책을 읽어야할지 모를때 유명한책을 고르더 중에 고르게 되었는데 한번쯤 정의가 무엇인가라는 물음에 자신의 생각을 제대로 말을 하지 못할때 그럴때 보기 좋은 책인거 같다 처음에는 어렵게 느꺼 질수는 있지만 필자가 예시를 적절하게 들어줘서 묘한 쾌감이있다
9788937834790,10,언제나 갈등이 생겼을 때 정의가 가장 중요한 덕목이라고 생각합니다.
9788937834790,8,정의란 이책속에 답이 있는 것이 아니고 내마음속에 있는 것임을 알아가는 책!
9788937834790,8,고3 아들이 읽겠다고  해서 선물하려고  구입 했습니다저도 함께 읽어  보고 싶네요
9788937834790,10,친구들이랑 토론용책으로. 구매했는데 생각보다 얘기할게 많고 그만큼 스스로한테 질문하는 문제도 많았던거 같네요. 읽을수록 생각이 많아집니다
9788937834790,10,"어디에 지향점을 두고 번역을 해야하느냐를 떠나서,적어도 한국 독자들에게 ˝ 잘 읽힌다˝는 의미에서는 이전 번역과 천지차이.뚝뚝 끊기는 것이 아니라 ,그야말로 문맥이  흐른다."
9788937834790,10,꼰대들이라면 반드시 읽어야할 책이네요.
9788937834790,8,정의에 대해 고민하게 만들어 준 책 내용은 어렵지만 책을 안 읽었으면 전혀 고민하지 않았을 것을 고민하게 만들어줘서 좋았던 것 같다. 특히 칸트철학에 대해 조금 알 수 있어서 좋았다.
9788937834790,10,"내 자신이 어떤 사람인가를 수십번 반문하게 된다. 정의라는 거대하고 추상적인 단어 속에서 내가 읽어낸 것은, 결국 우리 자신의 선택 속에서 우린 어떤 사람이 되고 싶은가, 되어야 하는가에 대한 고민이었다."
9788937834790,8,"교환적 정의,분배적 정의, 규제적(사법적)정의...결국 정의란 개인과 공동체사이의 사회윤리적 가치를 의미한다. 존 롤즈의 정의론에 기반."
9788937834790,10,"처음으로, 책을 읽으며 깊은 생각에 빠지게 만들었던 책이지 싶다."
9788937834790,10,예전 책을 잃어버려서 새로 구매하였습니다.
9788937834790,10,정의에 대해서 마이클의 생각을 좀 더 가지게 되었습니다. 이 책 이전에 키루스의 교육을 먼저 읽어 보라고 권하고 슆네요. 정의란 각 개인이 가지는 정의란 평등이 아니라 자신의 보전이라는 것을...
9788937834790,10,베스트셀러를 전공서적으로 접하게됨
9788937834790,8,세상을 보는 관점을 한꺼플 더 벗겨주다
9788937834790,10,"한국사회를 ｀신드롬｀에 빠뜨린 너무나도 유명한 책. 한번에 완독하기가 쉽지 않았는데, 전자책으로 필요할 때마다 찾아 읽을 수 있으니 얼마나 유용한지 모르겠다."
9788937834790,10,정의란 무엇인가.이제 정의라는 말은 찾기 힘들고 가치도 많이 떨어진 시대인 것 같은데.그럴 수록 참 정의란 무엇인지 다시 생각 해보는 계기가 되었으면 합니다
9788937834790,10,"예전에 방송으로 저자가 똑같은 제목으로 강의하는(학생수나 교실규모가 엄청났던..)것을 봤는데 무척 흥미로웠죠. 그걸 책으로 다시 봤는데, 좀 더 깊게 생각할 수 있어 좋더군요. 일상에서 느끼는 정의 더 나아가 국가와 가치에 따른 정의 한번은 읽을 만한 글입니다."
9788937834790,10,사회속의 정의에 대한 여러가지 질문들과 함께 생각을 정리해볼수 있어서 의미있었어요
9788937834790,10,만족합니다~~ 감사합니다~~
9788937834790,10,정의란 과연 무엇인지 다시 생각해보는 시간이 됩니다.
9788937834790,8,아직도 다 못읽었어요..졸려요 읽으면그래도 번역체가 어려워서 그런가 계속 반복하면서 생각하며 읽기때문에 괜찮은것 같아요물론 언제 다 읽을지는 모르겠지만요..ㅎ
9788937834790,10,제목부터가 강렬하네요. 추천하기 좋은 책입니다.
9788937834790,10,정의가 불분명한 사회에서 꼭 필요한 답을 얻을 수 있을 것 같아요.
9788937834790,10,이 책 남동생이 사서 읽고 집에 둔 책 한 권이 있습니다. 비밀독서단에 소개가 되었다니 정말 궁금하고 꼭 펼쳐서 읽어봐야 겠다는 생각이 드네요.
9788937834790,10,집에 김영사의 것이 있어서 굳이 사야 되나 했었는데 책 좋네요.
9788937834790,10,돈으로 살수 없는것들 읽고 이책도 구매했는데 역시 실망하지 않았어요.마이클샌들 교수님을 통해 많은걸 배웠습니다~
9788937834790,10,우리 사회는 정의에 대해 더 이야기해야 한다. 그것이 무엇인지 합의하지 않고 그저 정의만을 외치는 것은 너무나 공허하다.
9788937834790,10,샌델 교수 책 중 개인적으로 가장 쉽고 재미있는 책이라고 생각합니다. 안보셨으면 교양서적 보는 느낌으로 한번 보시는것도 괜찮을듯합니다. 읽는 시간보다 읽고나서 생각하는 시간이 더 들어가는 책.
9788937834790,4,기대와는 달랐어요. 아이러니를 진지하게 풀어나갈줄 알았는데 그 무게는 생각보다 가벼워요.
