ISBN13,rating,review
9791189683832,10,"작가님, ‘문장 부호‘에 대한 책, 절실히 필요합니다."
9788930316736,10,어렵지만 그래도 많이 알려진 저자의 책이니 저도 보면서 공부를 많이 해야겠어요
9788930316736,4,"1장은 좋았는데, 2장 너무 어렵게 쓴 듯. 하아... 내가 멍청한 건가."
9791155813102,6,재밌는데 소장하진 않아도 될 듯..
9791155813102,8,알찬 구성!! 재밌어요~~ 영어에도 도움이 되곘지만..그게 아니라도 일단 재밌음
9791155813102,10,글머리부터 비범하더니 너무 재밌습니닼ㅋㅋㅋㅋ
9791155813102,8,"아껴서 읽고 싶은 책영어를 잘 못해도 잘 하는 것 같은 기분이 든다.언어의 맛, 말맛을 알게 한다"
9791155813102,6,<꼬리에 꼬리를 무는> 시리즈 영어로 번역 출간되지 않았었니요? 그 책 보고 따라 한 것 같은데요?
9791155813102,10,완전 재밌다!!^^
9791155813102,8,번역을 하면서 발음기호를 달았으면 좋지 않았을까? 하는 아쉬움이 있다
9791155813102,10,세상에서 가장 재밌는 어원 사전인지 아닌지는 잘 몰라도 비슷한 책을 여러 권 본 것 중에는 단연 최고. 서문 부터 유머가 넘치는 문장 덕분에 책장이 술술 넘어간다. 시리즈가 계속 나와도 좋겠다.
9791155813102,10,재밌고 유익한 책입니다. 영어가 지루하고 난해하다고 생각하면 추천
9791155813102,10,올해 만난 최고의 책입니다. 완전 재미있어요. 책을 손에서 놓을 수 없을 정도로 빠져들게 만들어요.
9788988408391,10,"설명이 간결하지만 놓친 부분이나 부족한 부분은 없다고 생각합니다. 그리고 문제를 통해 다시 내용을 점검할 수 있도록 한 것도 좋습니다. 다만, 가격이 좀 걸리기는 하죠.."
9788988408391,6,340쪽 책이 대략 3만원이라니... 그아아악. 임용고시생은 슬픕니다.
9788988408391,10,국어로 임용고시를 보려고 한다면 꼭 봐야 하는 필독서라고 해서 구매했어요! 확실히 책 안의 내용이 다른 문법 책에 비해서 읽기에 편하고 좋아요~
