ISBN13,rating,review
9788935213344,10,문진이 너무 이뻐서......책을 사고 싶어요...
9788935213344,10,https://m.blog.naver.com/diasphora87/222225352465아이를 키우는 엄마에게 필독서네요.공부가 무엇이고 왜 공부해야하는지.힘들어도 해야하는이유가 상세히나와있어요
9788935213344,8,"워커홀릭에 책 500권 한문으로 쓰신 분의 이야기니 새겨 들을만 하다.하루에 한 줄의 일기라도 남겨보자. 1년이면 365줄, 10년 그리고 평생이면 몇줄일까요?습관 하나 만들어 보죠 뭐."
9788935213344,10,좋은챌같아요
9788935213344,10,"최태성의 <역사의 쓸모>를 읽고, 힘든 현실에도 과거에 갇히지 않은 채 미래를 바라보는 정약용의 태도에 많은 깨달음을 얻었다. 그래서 그의 마지막 습관을 담은 이 책이 궁금하다."
9788935213344,10,퇴직하고 마냥 게을러지고 있다. 다산의 마지막습관이 궁금해진다.
9791189946913,6,김영민 교수의 책은 늘 기대가 되지만 요즘 알라딘은 고가 전략으로 가기로 한 모양이다. 타 서점과 달리 할인이 없네.
9791189946913,10,고화질 그림이랑 지도도 많고 다 컬러라서 보는 재미가 있습니다
9791189946913,10,중국을 읽었네요
9791189946913,10,이 책 정말보고싶다!!!!
9791189946913,10,책 한권으로 중국이라는 나라를 꿰뚤어본다는건 사실 불가능할것 같다. 하지만 저자가 얘기한 것처럼 한국을 이해하려면 그 주변까지 훑어야 큰 맥락을 이해할수 있다는 수준에서 중국의 본질을 깨우치기에는 충분히 가치가 있는 책인것 같다.
9791189946913,4,정치사상사에서 흔히 논의되는 개념들을 단지 중국통사라는 교과서를 시도한 책. 소공권 이후 이 분야 교과서가 없었던 이유는 기존학계에서 더 이상 그와 같은 통사를 쓸 필요를 못 느꼈기 때문. 원서를 봤을땐 기존의 저자 논문들을 엮은 책인데 특정 주제가 아니라 교과서로밖에 엮지 못한 한계가.
9791189946913,10,칼럼과 책을 통해 만난 동료시민 김영민이 좋았다. 학자 김영민은 어떤지 궁금하다. 류쩌화의 책과 비교하는 재미도 있을 듯하다. 사서 읽어볼 수밖에.
9791189946913,10,선생님 팬입니다. 일단 별다섯개박고 시작하겠습니다~
9788958623427,8,"<차이나는 클라스>에서 김원중교수님 강의 인상깊게 들어서 삽니다. 그냥 병법서라서 저랑은 상관없다고 생각하면서 살았는데 삶 자체에, 그리고 국제정세를 보는 안목에도 도움이 될 것 같습니다."
9788958623427,10,내용이 정말 훌륭합니다. 특히 전례를 통해 역사를 배우는 기회도 생겼구요. 하지만 딱 하나 아쉬운 점이 춘추전국 시대 지도가 있었으면 정말 좋았을텐데.... 지도가 없어서 잘 모르는 중국 대륙을 상상하며 읽어나가야 하기에 좀 무리가 있습니다..
9788982641473,10,현실적인 조언이 담긴 글 도올선생님의 혜안이 그대로
9788982641473,10,읽으면 읽을수록 겸˝謙˝ 이라는 말이 무겁게 다가온다.1989년 책 ‘길과 얻음˝으로부터 시작된 노자와의 대화가 ˝노자철학 이것이다˝로 이어지고 ˝노자와 21세기˝3권 으로 활짝 피었다가 이번 ˝노자가 옳았다˝로 끝을 맺는 느낌이다.유튜브로 ˝노자˝를 강의도 하고 계신다. 부디 건강하시길...
9788982641473,10,"노자는 중 3때부터 빠져 있었지만 제대로 만나보지 못하고 겉돌고만 있었는데, 이번 기회에 도돌을 통하여 온전히 함께 하리라, 불끈."
9788982641473,8,"김용옥님의 일생의 연구를 편하게 볼 수 있는 세상이래서 좋습니다. 생각이 깊은지는 잘 해득을 못했으나, 다양한 사고의 관점을 제공한 책이라 여겨집니다."
9788982641473,10,"老子哲學이것이다. 노자-길과 얻음, 노자와 21세기 에 이은 도올 선생님의 노자의 마지막 역작"
