ISBN13,rating,review
9788972910657,10,상징의 기본이되는 도서라고 해서 소장용으로 구매 했습니다 좋은거 같아여 가격대비 하더라도 좋네요
9788972910657,10,최고입니다. 잘 사용하고 있습니다. 궁금했던 것들이 아주 잘 나와 정말 유용해서 별 다섯 개 드립니다~
9788972910657,10,안 사면 후회하는 책. 덕분에 분석하는 데 많은 도움이 되고 있습니다.
9788972910657,10,두고두고 볼 수 있는 좋은 책입니다.
9791160803211,8,읽다보니 ‘책등‘이 접혀서 책이 파손되었는데. 재출간할 거면 양장본으로 하시지... 아쉽네요. 가격도 올렸으면서요.
9788964941416,4,번역이 많이 아쉽다. 수능 해석 같은 느낌이라 가독성이 좋지 않다. 각주도 어느 내용과 어울리며 나타나는 게 아니라 덩그러니 갑자기 나타난다. 또한 다른 악마를 참고하라고 별표시를 해뒀을때 몇 페이지에 있다고까지 적어놨으면 좋았을 텐데 내가 찾아서 왔다갔다하기가 번거로웠다.
9788964941416,6,"다들 대단하시네요.저는 엄청 기대하고 봤는데 솔직히 내용 이해가 어려웠습니다.콘텐츠의 양은 풍부하게 수록된 듯 하나 문장 하나하나가 이해가 머리에 쏙쏙 들어오질 않네요. 로봇백과사전, 괴수백과사전, 어벤저스 캐릭터 가이드 등등 흔히 생각나고 접하는 OO 백과사전류는...글쎄요..."
9788964941416,10,"궁금해서 구입했느데 의외로 내용이 알차다. 정리도 잘되어있다. 알고보니 소설,만화책 캐릭터 이해가 잘되네.ㅋㅋ 매치가 안되는 것도 있지만.ㅋㅋ"
9788964941409,10,악마 백과사전도 구입해서 신도 구입. 처음보는 신이 매우 많다.
9788964941409,10,"그리스 신화 뿐 아니라, 우리에게 낮설고 잘 알려지지 않은 시베리아나 코카서스 쪽의 신들에 관한 지식도 상세하게 담았다는 점에서 높은 점수를 주고 싶다. 신화에 관심이 많으신 분들께 추천한다."
9791189801311,10,조선 최고의 요리 백과사전! 감동입니다~
9791159251269,8,"텍스트를 읽기 전에 그림을 통해 내다보고, 텍스트를 읽고 나서 다시 그림으로 요약되는 그림이 있는 철학서. 사상, 철학자별로 찾아 읽고 참고 하기도 좋다."
9791159251269,10,"독일의 저명한 철학자가 공저한 철학사전이자 철학사. 교양철학계의 세계적 스테디셀러인데, 우리나라에선 한때 절판됐고 중고가가 몇 갑절 뛰기도 했다. 작년 이월에 출간됐고, 이제 주문했다. 유명 철학사 서적과 값이 뛴 절판도서가 많이 출간되기를 바란다."
9791159251269,10,시원하고 명쾌하다.철학사를 한 눈에 들여다보게 하다니!
9791189801250,10,"아, 이게 완벽본 이였구나... 나온다고는 들었는데ㅋ"
9791160804539,10,놀라울 정도로 유용한 책이다. 이런 책을 써내준 저자에게 감사한다.
9788955661330,6,"문화이론사전으로 개정판이다. 사전처럼 이용하거나, 처음부터 끝까지 읽어도 좋다. 개정판에서 윤문에 신경썼다. 그러나 여전히 군데군데 어색하다. 무엇보다 철학분야 등에서 전문용어 번역이 학계와 다른 경우가 많다."
9788961950466,6,"이 책은 번역서다. 만일 원저자가 인용한 들뢰즈의 저서가 우리말로 번역되어 있다면, 인용은 번역서에 큰 문제가 없는 한 번역서를 따라야 하고 출처를 밝힐 때에도 번역서의 해당 부분을 밝혀 주어야 한다. 그래야 이 책이 우리 연구 생태계의 일부가 되지 않겠는가?"
9788961950466,8,라캉이나들뢰즈 혹은현상학책들을꾸준히읽고있지만여전히주요개념들이이해될듯말듯한간지러움으로늘몸을긁는다/라깡사전이나들뢰즈사전이간혹도움이되지만사전자체도그리만만한건결코아니다/사전으로해결될수있다면좋겠지만이양반들이그리호락호락한논리의규정에묶일수있는게아니어서사전말고다른게더긴요하고갈급하다/그다른게체화될때비로소사전은도움이된다/그이전에는?/속물교양의탄생일뿐이라고과격하게못박아두고싶다!
9788961950466,10,"들뢰즈는 자신만의 개념을 창조해서 쓰기 때문에, 일반적인 사전적 이해로는 힘들죠. 이런 들뢰즈만의 사전이 그래서 필요하다고 봅니다."
9788991221758,10,"반값할인에 혹해 구입했지만, 이 가격에 사는 것이 황송할 정도의 책이다. 중국문화의 영향권에서 벗어날 수 없는 우리에게도 꼭 필요한 사전."
9788991221758,10,어려워지만 시간이 되면 Chapter별로 다시 읽으면... 좋을 것 같다.
9788991221758,10,수박 겉핥기 정도로만 알고 있던 중국사상을 좀 더 가까이 접할 수 있었습니다
9788991221758,8,"과거에 나온 사전, 개정판인가요?"
9788991221758,10,"우주?인륜, 정치?사회, 종교?민속, 학문, 예술, 과학 등 6개 분야로 구성!!"
9791189801236,10,이운지 시리즈 중에선 얘가 제일 난 듯.
9791187440369,6,이거 과학경제편은 업뎃 언제되나요?
9791187440369,10,책 너무너무 재미있어요~!!다 읽은 후에 다른 사람들과 대화할 때도 재밌는 얘깃거리가 많아져서 분위기도 업되는거같아용당연하다고 생각했던 상식이 뒤집히는게 너무 재밌고 신기해요~~~
9791187440369,10,쉽고 재밌게 읽히는 반면에 꽤 알차고 깊이있는 내용으로 가득차 있어서 놀라웠습니다. 잠깐 하나를 읽더라도 책장을 덮을 땐 새롭게 알게 된 사실들로 인해 뭔가 내가 좀 똑똑해진 듯한 뿌듯함을 안겨주는 책이었습니다
9791187440369,10,분명 어디서 들어는 본 거 같은데 잘 몰랐던 이야기들~흥미로운 내용이 많아서 시간 가는 줄 모르고 봤네요평소 일욜마다 서프라이즈 보면서 오! 하고 감탄한 적 있는 사람들에겐 필구템?!!!화장실에서 스마트폰 뒤적이는 대신 요거 읽다보면유쾌상쾌통쾌..변!!!
9791187440369,10,신기한 내용들이 많네요. 아이랑 재밌게 봤습니다.
9788952115119,10,"많이 비싸지만,,,동양사, 서양사, 한국사의 각 분야 전문가들이 직접 집필한 기존의 역사 연구를 압축하여 풀이한 역서입니다. 소장가치 충분하며 인문사회과학 연구자들의 필독서로 추천합니다."
9788984316942,10,읽어보면 예쁘고 고운 한글이름이 많다는 것을 알게 된다
9788970844794,10,이 책은 그리스 로마 신화를 더 자세히 알고싶어하는 독자들에게 가려운 부분을 시원하게 긁어주는 책이다. 에피소드도 읽으면서 동시에 그림을 감상할 수 있어 신화 속 인물들을 이해하기가 쉽고 재미있다.
9788985982504,4,"편집상의 한계일 수도 있겠으나, 한쯔(중국식 한자)의 병음표기와 칸지(일본식 한자)의 가나표기 없이 한글로만 되어 있어 전문성이 결여된 듯하다. 효과적인 발음비교를 위해서 일부러 한글표기를 했다면 병기를 했었을 수도 있겠건만... 추천하고 싶지는 않다."
9788996792925,4,한 단어가 철학자마다 다를 수 있는데 작가는 어떤 관점으로 적었나 보니..현상학자로써 단어를 해석..퀵으로 볼 사전은 아님.
9788996792925,6,철학 개념어에 대한 깔끔한 정리가 돋보인다.  개념어 하나에 대한 설명이 길진 않지만 축약되어 있어 많은 도움이 된다.  쉬는 시간 짬짬이 한 단락씩 보면 좋을 듯.
9788996792925,8,"책은 쉽지 않아보이지만, 도서관에서 한 출판기념 강의는 좋았습니다. 많은 사람이 함께하지 못해 아쉬울 만큼."
9788996792925,10,책도 탐이 나지만 알사탕도 탐이 난다... 알사탕이 많았는데 유효기간이 지나서... 유효기간이 다 되어 간다고 메일을 보내 주었으면 얼마나 좋냐구...ㅠㅠ
9788991706255,8,"현상학과 하이데거에 관심이 있다면, 옆에 두고서 시간날때마다 몇 페이지씩 읽어보는 것이 도움이 될 것. 일본에서 나온지 시간이 꽤 되어서 그 동안의 학문적 성과나 서지사항이 부족한 점이 옥에 티."
9788971994542,10,간찰을 대하다 보면 수 많은 용어와 씨름을 하게 된다. 이 책에는 그 용어에 대한 풀이와 출처를 제시하고 있다.
9788971994542,10,"옛편지는 일정한 양식을 벗어나 그야말로 사적이면서 자유로운 내용으로 가득하다. 학문과 사상을 논한 깊은 사유도 있겠지만, 전통 문화의 보고이자 당대 삶의 기록이다. 한문전적 연구에 좋은 길잡이가 되겠다."
9788991706231,8,자본론 책옆에 두고 같이 읽을때 유용한책
9788993741025,10,"개인이 소장 하기데는 부담이 되고 전국학교나  도서관에 비치되어 많은 사람들이 봐야할 책이네요! 하지만, 좀더 경제적인 능력을 배양하여 꼭 소장하고 싶습니다"
9788993741025,10,정리가 필요한 법
9788993741025,10,"사료가 스스로 말하게 하라. 무미건조한 사료들이 연속된다. 그것으로 충분하다. 그들의 당시 행동을 지금이 아닌, 당시의 사료가 말하고 있다."
9788993741025,10,"수많은 자료와 증거문헌을 검토하고 연구해서 나라의 해방을 방해했던 지독한 인간들을 추려내 증거로 남겨놓은 책입니다.먹고 살기 힘들어서,살기위해 어쩔수 없이 창씨개명을 하고 친일을 했던 사람들이 적힌 책이 아닙니다."
9788993741025,10,"조만간 큰 누님께서 이책마저 없애버릴까 싶어, 빨리 구매해야할 듯 싶네요. 구매자 목록 찾아서 다 뺏어가려나??"
9788993741025,10,"제가 중고등학교 다닐때 교과서에서 수록되었고 좋은 작품이라고 외웠던 최남선의 시, 이광수의 소설. 역사의 심판을 받고 사라져야 할 것들입니다."
9788993741025,10,이 책에 대해 악평을쓰는 인사들은 대부분 뉴라이트일베사상에 세뇌된 고등학생이라는 특징이 있다.친일파에대한자료를 치밀하게검토하여 각고의노력을기울여 만든 책을 폄하하는 어린 이들.친일파를 비판하는 건 좌빨종북 뿐이라는 어처구니없는 뉴라이트의헛소리를 진리로 떠받드는 철없는 어린애들.
9788993741025,10,청소년필독도서로 선정되야함...
9788993741025,10,전국 도서관에 모두 비치되어야 할 책
9788993741025,10,여유가 없어서 못사는게 아쉽다..
9788993741025,10,"빼곡한 이름과 기록, 사진들을 보며 힘들게 이런 책을 만들어졌다는 것에 감사. 사전이다 보니 정황성을 기하기 위해 그 범위를 아주 확실하고 좁게 잡은 것 같다. 마지막 주미공사 김정양 같은 확실한 친일 인사들이 빠져서 아쉽다."
9788993741025,10,우리 동네 도서관에 비치되어 있는 것을 발견하고 뿌듯하였습니다~~
9788993741025,10,<친일인명사전> 울 동네 공공도서관에 비치희망도서로 신청했습니다. 많은 사람들이 함께 보았으면 합니다. 최재천의원님의 ｀이 책은 ｀고발｀이 아닌 ｀교훈｀이다｀ 가슴에 박히네요.
9788993741025,10,전에 민족문제 연구소에서 친일인명사전 발간한다고 했을 때 사전예약 해 구매했죠. 친일 청산을 똑바로 못 했으면 이런 거라도 국가에서 신경을 써야 하는데 그렇지 못한 듯 해 안타깝습니다.
9788993741025,10,"구매함으로써 마음의 빚을 덜다. 만년백수 가장으로서의 빚은 어쩌나~~. 귀가 가렵다, 자꾸 어디서 ˝바보야! 문제는 밥이야˝라는 소리가 들리는 듯하다. ㅜㅜ"
9788993741025,10,가격의 압박. 조금만 여유있으면 구입해서 카피한 뒤(물론 불법이지만-_-)동네방네 다 뿌리고 싶은 심정이다.
9788993741025,10,쥐미... 오늘 오마이뉴스 기사를 보니 이 책의 공공도서관 보급률이 32%라네요. 그나마 시민단체들의 노력에 힘입어서... 이 주옥같은 세상 갈아엎어야 하는데... 내가 내돈으로 사고 나서 리뷰 다시 쓴다!
9788993741025,10,이런 책은 정부에서 보조금 29만원 정도는 해 줘야 하는것 아닌가요?
9788993741025,10,1판을 구입했습니다 너무좋은책 민족정기를 드높이는책으로 모두 구입하세요
9788993741025,10,책이 배달되었습니다~ 30만원 값어치가 외형이나 내용이나 있습니다. 감사합니다~
9788993741025,10,집에서 소장하기엔 부담스런 가격이네요. 도서관에서도 대출불가겠네요. 문고판 없나?
