ISBN13,rating,review
9791185035956,10,저도 VD를 실행하고 있는 중입니다.처음에는 될까? 하는 어려움을 가지고 시작했지만이제 시작 단계이지만 희망이 보이기에 이 글을 적어봅니다.회사와 세금에 관련된 억울한 일이기에  노력하고 있습니다.좋은 책이기에 저희 직원들에게도 나눠주려고 들럿다가 이 글을 쓰게 되었네요.
9791185035956,10,나이 50이 넘어서 내 잃어버렸던 꿈을 다시 생각하게 되었고 나도 모르게 VD를 사용해서 이룬 꿈들이 기억났다  분명히 나는 VD했고 그 일이 이루어지면 손에 장을 지지겠다고 말하던 선생님 앞에서 많은 사람들 앞에서 꿈은 이루어졌다다시 꿈꾸기 시작한다!!!
9791185035956,10,진짜 이지성 작가님 믿고 책샀는데 ㅠㅠ 진짜 감동너무 감사합니다 꼭 열심히 공부해고 읽어서 꿈을 이루고 싶어요작가님 감사합니다~~최고최고다음에 만난다면 책에 싸인 받고싶어요!!!
9791185035956,2,"명상이나 정신수양에 가까운 책이라고 생각이 드네요... 사회 경험 없는 학생들에게는 다소 위험한 책일 수도 있습니다.. 물론 이 책에서 전하고자 하는 메시지도 일리가 있지만, 모든 성과의 90%는 노력과 연구로 이루어진다는 것을 명심하시길 바랍니다...... 금수저가 아닌 이상 말이죠.."
9791185035956,2,껍데기는 가라
9791188388394,2,신사고 운동의 양자역학을 끌어다 쓰는 행태를 비판하면서 본인도 역시 양자역학을 근거로 설명하는 아이러니.진화론을 비판하며 창조과학회 자료를 가져와 근거로 대는 허술함.역시 나는 이 작가랑 안 맞다.꿈꾸는 다락방 1을 그나마 좋게 봤던 느낌마저 희석되려고 한다.
9791188388394,6,"<이지성의 꿈꾸는 다락방> 1,2 다읽었는데, 1만 읽어도 충분할듯 하다. 이지성작가가 말하고자 하는 바(R =VD)를 전달받기에는. 참고로 난 이지성작가의 팬이며, 그의 인스타(@ejisung1)의 열렬한 구독자다."
9788901239859,10,"그때 할 수 있는데, 왜 지금은 못할까? 힘차게 열심히 살아야 겠어요."
9788901239859,10,몇년 전 이 책을 읽을 때만해도이십대를 갓 넘긴지라 '그저 그랬다.'몇년 사이 나는무언가를 얻었고 동시에 잃었다.자주 넘어졌고 오래 일어나지 못했으나여전히 걷는 중이다.더 잘 살고 싶어진 나에게개정판으로 만난 이 책은세상은 여전히 무궁무진한 기회로나를 기다린다고 말해준다.
9791188343065,10,책이 우리 손에 들어오기까지 어떤 분들의 땀방울이 있었는지 알게되었다. 책 한 권에 수많은 사람들의 마음이 담겨있으니 소중히 읽어야지.
9791188343065,6,책이란 이렇게 많은 사람의 마음이 담겨있구나
9791188343065,8,"한 권의 책이 만들어지기까지 얼마나 많은 사람들의 열정과 수고가 깃드는지, 여실히 보여주는 책. 앞의 세 사람(김민정편집자, 김경희저자, 홍한별번역자) 이야기가 특히 인상 깊었는데, 그들처럼 부지런히, 뜨겁게 살아야겠다는 생각도 들더라. 책을 처방하는 서점(정지혜 서점인)이야기도 흥미롭다."
9791188343065,10,"한 권의 책 속에 숨은 여러 마음들, 그 마음들을 하나하나 살펴준 인터뷰어의 마음이 무척이나 감사하다."
9791188343065,8,"왠지 모르게 책이나 그것을 만들고 파는 출판계는 ‘성역‘처럼 치부했지만, 이 책을 보고 현장에서 일하는 출판 노동자들의 고충을 좀 더 이해할 수 있었다."
9791188343065,10,"저자, 편집자, 디자이너, 제작자, 마케터, 온라인 서점 MD의 솔직한 이야기를 시간 가는 줄 모르게 읽을 수 있었다. 인터뷰이를 한껏 돋보이게 하는 저자의 글솜씨에 감탄하게 되는 책."
9791188343065,10,끝낸주는 기획입니다. 아껴서 읽고 있어요.
9791188343065,8,보려는 자에게만 보이는 출판 노동.
9791188343065,8,일하면서 종종 외로웠는데 이 책을 읽고 누군가와 연결되어 있는 듯한 느낌이 들어 좋았습니다. 근데 표지 먹박이 문지르면 벗겨져서 너무 속상해요.ㅠㅠ 그래서 별 네 개...
9791188343065,10,출판 마케터로 살면서 그 놈의 ‘마음’ 때문에 좌절하던 중 만난 책. 출판 노동자 혹은 장사꾼 마음의 온기를 담아내려 집중한 인터뷰가 어찌나 고맙던지..때론 그 마음 붙드는 게 전부더라. 이제 ‘출판’을 제목으로 한 이런 책도 있다는 사실이 뿌듯하다. 책이 건네 준 위로를 오래 기억할 것이다.
9791188343065,10,이 한 권의 진실함. 이 한 권의 무게.
9791188343065,10,내가 집어든 한 권의 책 속에 이렇게 많은 사람의 수고로움이 녹아있을 줄 미처 몰랐다. 편집자의 역할이 이렇게 클 줄고 몰랐고 출판 마케터와 제작팀장님들의 존재는 아예 알아차리지도 못했다. 앞으로는 책 한 권을 읽을 때 이 모든 이들을 떠올리며 더 감사히 읽겠다.
9791188343065,10,"읽는 행위를 넘어 ‘책’ 그 자체를 열망해 본 적 있는 사람이라면 놓칠수없는 책이다. 인터뷰이들의 간략한 소개만으로 이미 마음이 기울었는데 가장 궁금했던 홍한별 번역자의 마음을 먼저 읽은후 이책, 제대로 만났다라는 느낌이..독자의 마음에 정확히 와닿은 제목과 디자인까지, 완벽하다."
9791188343065,10,책이 나오기까지 많은 사람의 노력과 열정이 느껴지네요.....소중한 노력으로 나오는 책들을 더 열심히 읽어야겠다고 다짐합니다....
9791188343065,10,"진로, 직업 탐색, 자기계발, 성장, 직업적 공감과 연대, 그리고 감동!!! 그 어떠한 키워드에도 적절한 책."
9791188343065,10,이 책을 읽고 내 일과 삶을 다시 돌아봤다. 내가 지금 왜 일을 하는지를 깊이 생각해 볼 기회를 준 고마운 책. 후배들에게 꼭 사서 선물하고 싶다.
9788958915034,10,대학교 교재였는데 참 알찬 내용들로 가득차있어 좋았다.
9791130621005,8,바른취업으로 한발자국 다가갈수있는 책인것같아요~!저도 취업준비할때 읽었다면 많은도움이 되었을꺼에요
9791159313783,8,"전공을 살리고는 싶지만 내 능력은 애매하고, 다른길로 가자니 너무 늦은것 같은 생각이 들었는데 실제 상담하신분들의 사례를 보며 용기를 얻었습니다."
9791159313783,10,취업을 준비할 때 생각해볼만한 질문과 그에 대한 답변으로 책이 구성되어 있어서 내가 원하는 일이 무엇인지 찾을 수 있도록 도와주는 조력자 역할을 하는 책입니다!
9791159313783,10,"사회 초년생들이나, 일하고 있는데 내 적성이 안맞는 것 같다고 고민하시는 분들에게 도움이 많이 될 것 같아요!개인적으로 도움 많이 받았습니다.워크넷등 알짜정보도 많이 들어있어요 :)무엇보다 먼저 실행하라는 이야기가 많은 용기를 주었습니다.주저하지말고, 실행하는 사람이 되야겠어요."
9791159313783,10,"진로를 고민하는 사람들에게 최고의 책입니다!단순한 자기계발서가 아닌, 작가가 꾸준하게 고민하고 쓴 글이라는 게 느껴져요그리고 중간중간에 내가 정말 추구하는게 무엇인지 직접 기입해볼 수 있어서 더욱 생산적으로 진로를 설정할 수 있어요! 다들 이 책 읽고 진로 고민 타파하시길 바라요 :)"
9788963302942,6,지극히 타당하지만 새로울 것도 특별할 것도 없다. 평범한 조언들. 보다 가볍고 편하게 썼다면 좀더 공감이 되었을 것을
9788963302942,10,정말 유익한 책인것 같내요. 잘봤어요.
9791190067409,10,아픔을 알고 치유해가는 방법을 터득한다. 세대는 필요없다. 함께 공감 가능해 읽고 느끼는 작품이다
9791190067409,10,자신을 마주하는 용기가 다른 사람들에게도 희망을 줄 수 있다는게 인상깊었어요!
9791190067409,10,서른의 규칙이지만 내마음속 아이를 만나고 싶은 어른들에게 추천하고 싶습니다.
9791190067409,10,"정말 감명깊었던책이에요 ㅠㅠ하나하나 제상황이란 겹쳐 공감이가고, 작가님이 정말 큰용기를 내주신게 너무 고맙습니다 덕분에 깨달음이많아지고, 제자신을 한번더 돌아보는 큰계기가 됬어요 ♥️"
9791157638925,10,저자의 경험을 가감없이 서술해서  독자에게 조리사가 아니더라도 자신의 길을찾아 꿈을 키울수 있게 해주는 책입니다.
9791157638925,10,처음 이 책을 접했을때는 허황된 정보가 많지 않을까 이런 걱정을 했었습니다. 그러나 읽어보니 이 책은 달랐습니다. 재치있는 표현과 현실적인 경험담이 정말 많이 쓰여있어 조리사를 꿈꾸는 사람들이 읽기 정말 좋은 책인것 같습니다.
9791157638925,10,각종 매체와 미디어에 노출되지않은 화려함 뒤의 현실을 저자의 경험을통하여 잘 담아둠. 조리사의 꿈을 키우고있다면 필수지침서로 삼아야 할 책!
9791157638925,10,"생생한 체험담을 바탕으로 꿈과 희망을 가지고,매사에 즐겁게 살아 보라는 이야기를 하는 책.저자가 꽤 고생한 듯... 그런데도 행복하다니..."
9788988613504,10,가르치는 학생의 추천으로 읽고 감명 받은 책. 얇은 책이지만 책을 잡고 마지막 장까지 놓을 수 없었다. 스승은 어째서 훌륭한가? 무엇이 스승을 만드는가? 교육에 종사하는 이들의 필독을 권한다
9788988613504,6,교육의 주체성은 ‘가르치는 자’에게 있는 게 아니라 ‘배우는 자’에게 있다고 주장합니다. 들뢰즈&데리다류 철학을 교육이라는 주제에 적용한듯 보이기도 해요. 친절한 문체덕에 쉽게 읽을 수 있습니다.
9788988613504,8,"좋은 선생이 되려면 먼저 좋은 학생이 되어야합니다, 배우고자 하는 욕망이 충만한 좋은 학생. 스승은 그런 욕망을 삶의 목표와 지혜로 바꿔주는 사람...스승은 있습니다!"
9788988613504,8,배움의 모든 여정은 질문을 던질 수 있느냐 그렇지 않느냐에 달려있습니다.˝그렇게 함으로써 당신은 무엇을 전하고 싶은가?˝라는 질문 과정에 모든 배움의 시작과 끝이 집약되어 있습니다. p.149+ 쓸데없이 산만하다고 느껴지는 문장들이 유쾌하다.
9788988613504,8,"본질, 근원에 가닿는 사유를 추구하는 자세를 배운다. 스승, 커뮤니케이션, 교환에 대한 새로운 정의!"
9788988613504,10,"암, 스승은 있고 말구. 우치다 타츠루의 책을 읽고 나는 그렇게 느꼈다. 인생의 스승을 찾았다구."
