ISBN13,rating,review
9791155813355,10,IT가 사회와 경제하고 밀접하게 연결되어 있어서 하나하나 우리 일상에서 일어나고 있는 일들이 기본상식으로 알아가야 할 상황이라는 걸 인지시켜주었던 책이었다.
9791162243763,8,"보고서의 가독성을 올리는 편집의 기술, 문장, 구성, 표현력을 키우는 구성의 기술, 그리고 최적화된 보고서 작성법을 익히는 활용의 기술에 대해 소개해주고 있어 매우 유익하다."
9791162243763,10,"가독성 높은 보고서를 작성하는 노하우를 알려주는 책답게 ˝실전 보고서 작성 기술 with 파워포인트, 워드, 한글˝이라는 책도 가독성이 높아 술술 읽혔다. 다양한 예시와 책의 중간중간에 나오는 컨설턴트의 조언도 이해를 도왔고, 평소 가독성 높은 보고서를 위해 고민했던 부분에 도움이 되었다."
9791162243763,10,"보고서 작성의 기본부터 실전까지 총망라되어 있다. 작성요령은 물론 한글, 워드, 파워포인트를 활용하여 가독성 있는 최선의 보고서를 만들 수 있는 방법을 소개하였으며, 저자 본인의 경험이 고스란히 녹아 있어서 누구나 따라하면 한 단계 업그레이드 된 보고서를 작성할 수 있게 될 것이다."
9791162243763,10,"특히 이렇게 어떤 텍스트와 어떤 글꼴을 써야하는지에 대해서도 자세히 나와있기 때문에, 보고서를 작성할 때 용도와 글의 배치에 따라서 선택할 수 있는 방법을 알게된 것이 가장 좋았다. 글꼴뿐만 아니라 어떤 색상이 어디에 어울리는지와 같은 정보까지 제시해줘서 만족한다."
9788984078062,10,산만했던 제 머릿속이 한꺼번에 다 정리된듯합니다! 아주 큰 도움이 되었습니다!
9788984078062,10,"한장으로 도식화하는 말하기 기술을 배울 수 있는 자기계발책, 좋습니다~!"
9788984078062,8,복잡한 생각을 깔끔하게 정리하는 방법을 알려주는 책이다.
9788984078062,8,"정리 잘하는 법, 정리가 잘 되어 있습니다"
9788984078062,10,보고자료와 발표자료를 만들 때 머릿 속이 하얘지는 것을 방지하도록 만들어 주는 기술
9788984078062,10,글을 쭉쭉 열심히 읽었으나 이해 못할 때가 있다. 그럴 때 도식화하면 이해가 쉬울 것 같다. 방법을 알았으니 앞으로 많이 적용해 볼 생각이다.
9791190403238,8,인간과 예술 그리고 비지니스의 교집합. 지금 오늘 필요한 창의력이란 무엇인지 생각해본다.
9791190403238,8,"양쪽 세대에 끼어 한창 왕성해야 활동해야 할 지금, 가장 창의적으로 일하는 사람의 생각, 태도, 가치관들이 궁금했다. 한 알의 모래에서 세계를 보듯 해야 하나보다. 창작의 과정이란."
