ISBN13,rating,review
9791162540640,8,습관책 중에 넘버원
9791162540640,2,쓸모 없는책 심지어 재미도 없고 이책을 보는게 고통스러웠다.
9791162540640,6,정말 중요한 것을 알면서도 쉽게 바꾸지 못하는 것이 습관이다. 좋은 습관을 기르고 나쁜 습관을 근절하기 위해 실천할 수 있는 방법들을 배울 수 있었다.
9791162540640,10,"나를 생각만 하는 단계에서 행동하는 단계로 이끌어준 책, 삶의 뼈가되는 지침을 찾을수 있는 책."
9791162540640,10,그렇게 기대하지 않고 보았는데 습관과 관련해서 괜찮은 책을 만나게 되었다. 책에서 설명하는 지침을 잘 숙지해서 삶에 응용해봐야겠다.
9791162540640,10,내 하루하루는 여러가지 좋은/나쁜 습관들로 자동화 되있는데내가 무엇을 하는것에 있어 내 의지력보단 환경설정이 매우 중요하다는걸 보여줌이해하기 쉽고 실제로 적용하기 좋은 아이디어들이 많음유투브 책리뷰 보고 기대했는데 엄청 특별한 내용은 없는듯그래도 배울게 있는 책이었음
9791162540640,10,지루함을 즐겨야 프로.
9791162540640,2,솔직히 별로인 책입니다. 구매평 믿지 마세요. 너무나 뻔한 내용을 장대하고 길게 써놓은 느낌. 어떻게 이게 2019 베스트셀러가 됐는지 의문입니다.
9791162540640,10,습관에 대해 다시한번 생각해봤습니다.올해의 책이 선정된 책은 달라도 확실히 다르네요..정말 좋습니다!
9791162540640,8,"습관에 대한 새로운 관점을 제시한다. 단순하고 활기찬 문체로, 무기력할 때 읽으면 힘이 나는 책."
9791162540640,10,분량은 꽤 되는데 내용도 너무 무겁지 않고 쉽게 설명해서 괜찮네요.
9791162540640,8,사소함과 관심으로 시작 되는 습관당장의 결과 보다는 미래보상의 의미를 다시 한번 재정비 하는 계기가 되었다가벼운 예시와 짜임새 있는 글로 읽는 이가 흐름을 놓쳐도 다시 되찾을 수 있게 만들어진 책
9791162540640,10,9점 주고싶은데. 대단한 사람을 꿈꾸기보다는 좀 더 나은 나를 꿈꾸는 목표달성이 마음에 들었다. 자아를 바꿔야한다는 말도 좋았고 지나치게 가르치지 않는 점도 좋았다. 자기발전서 중에서는 매우 읽을 만 하다고 생각된다.
9791162540640,10,책이란 이런것.
9791162540640,10,"습관의 필요성, 중요성 그리고 힘을 다시 한번 깨닫게 해준 책"
