ISBN13,rating,review
9791162542040,10,방을 정리하는 기술을 배우고 물건을 다시 배치하는 것을 알아보는 것처럼 나의 생각을 정리하는 기술 또한 배움이 필요했다.
9791162542040,10,생각 정리를 잘 못하는 저에게 한 줄기의 빛과 같은 책입니다!
9788955616477,8,작가는 프랑스인답지않게 동양의 스님처럼 쓰여졌다.법정의 무소유와도 일맥상통하는 내용이다.나도 정말 심플하게 살고싶다아침마다 화장실에서 조용히 하루를 다짐하는데 아주 훌륭했다.이책이 2권도있었네.
9788955616477,10,제 인생을 바꾸어 준 책. 저자께 감사드립니다. 지구에 있는 모든 사람들 다 읽었으면 좋겠어요!
9788955616477,6,의지가 강박으로.
9788955616477,6,미니멀라이프를 실천하는 삶이 궁금해 읽어보았습니다. 하지만 사실 좋은 말이고 응당 그리하면 편할 것 같지만 현재 내가 살아가는데 있어 꼭 필요한 것만 갖고 산다는 건 말로는 쉽지만 행동으로 시행하기까지는 어렵다고 생각되어요.
9788955616477,10,인생지침서 같은 책 취향저격..소장하고싶은 책.필사하고싶은책
9788955616477,10,미니멀리즘의 선두 주자격인 책. 하지만 그 모든 콘텐츠보다 훨씬 더 알차다. 참고로 1권이 좋음.
9788955616477,10,‘짐을 쌓아두면 마음에도 부담이 된다‘는 구절이 와닿았다 언젠가 쓸것 같아 버리지 못하던 것들과 안녕할수 있도록 해준책.. 덕분에 비우기와 버리기 심플하게 살기가 진행중이다
9788955616477,10,그냥 책의 모든 내용을 외우고 싶다.책읽으며 집정리를 했는데 물건을 비움으로써 내 몸과 마음도 홀가분해진 기분이 들었다. 참 좋다.항상 곁에 두고 자주 펼쳐보고 싶은 책♡
9788955616477,10,(현재) 내 인생 책
9788955616477,10,아름다움은 모든 것을 흡수한다. 095p오래전에 읽었고 집에 쳐박아 두었는데 급 꺼냄
9788955616477,10,좋아
9788955616477,2,음.. 알맹이가 없는 느낌.  잘 읽었습니다.
9788955616477,10,마음 챕터를 여러번 반복해서 읽게 된다. 내적인 미니멀리즘의 필요성을 상기시킨다.
9788955616477,8,"많은 것을 선택하느라 그 무게를 감당할 수 없는 삶에 지친 지금, 생각의 전환을 준 책.. 좋은 것 하나에 집중하고,자연에서 나온 재료를 선택하고,가까이 있는 단순한 흥밋거리를 소중하게 여기자!!"
9788955616477,10,처음엔 너무 보편타당한 얘기만 하는 거 아닌가 싶었는데 보면 볼수록 괜찮네요.
9788955616477,4,"책부터 단순함의 가르침을 따르는 것은 좋은데, 단순함이 지나쳐 알맹이가 없는 느낌입니다. 깊은 철학도 구체적인 테크닉도 배우기 어려웠어요. 아래 후기말씀들 중에 이북으로 사봤으면 좋았겠다는 말씀이 있었는데요, 이북으로 사봐도 아쉬웠어요..ㅎㅎ"
9788955616477,6,이 북으로 사서 볼 걸. 종이책으로 보기엔 좀 아까운 내용이었다.그치만 비움의 미학이 뭔지 느끼게 해준다.
9788955616477,10,이 책 읽으면 보름 정도는 치우고 산다.
9788955616477,8,simple life로 산다는 것.. 인간관계도 영향이 있는 것 같다~*심플한 만큼 책도 심플 하다..약간의 일러스트가 있었음.!
9788955616477,6,회색빛 유토피아의 클론 만들기
9788955616477,6,자기 주장이 세기도 하지만거의 내 생활지침서와 참 많이 닮았다
9788955616477,10,좋아요 이 책 읽고 내가 너무 쓰잘데기 없는 것 하나 하나에 연연하며 복잡하게 살았구나 싶더라고요
9788955616477,8,좋은내용입니다. 복잡한 세상에서 단순하고 행복한 삶을 원하는분이라면 추천합니다.
9788955616477,10,미니멀라이프 관련 서적 중에서 상급자 코스라고 할까?? 주변 환경을 심플하게 정리하는 것에서부터 시작해서 몸과 정신의 미니멀리즘에 대한 좋은 글귀가 많았다.
9788955616477,8,뭐든 적게. 조금만. 좋은 글귀가 많았다.나중에 다시 보면 더 좋을 것 같다.나이가 좀 더 들고. 지금보다 안 심플하게 살고 있을때.
9788955616477,10,단순히 가지고 있는 물건 가짓수를 줄이는 차원에서 벗어나 라이프 스타일 전반에 걸쳐 심플함을 추구하고 좀더 스스로에게 집중하도록 가이드하는 책. 좋다. 다만 이 작가의 책은 이것 하나로 충분하다. 다른 시리즈는... 흐음...
9788955616477,8,그냥 가볍게 읽기 좋아여 물건으로 압박당해 사는 현재의 삶을 잠깐 반추해 볼 수 있는 기회에요 이거 읽고 필요없는 물건 많이 정리했네요 ㅋ
9788955616477,6,"기대보다 얕은 내용. 한마디로 요약하면 ｀몸가짐을 정갈히 하자｀이고, 도덕 교과서 같은 느낌이다."
9788955616477,2,책 한 권짜리 잔소리 모음... 저자의 조국 프랑스에서는 새롭게 받아들여지는 얘긴지 모르겠으나 아랫 분 말마따나 꼰대소리 모아놓은 것 같았다
9788955616477,6,기승전자기계발서와 간결한 실전 지침서 간의 줄타기. 아슬아슬 위태위태
