ISBN13,rating,review
9788935213405,10,책을 읽고 보니 오십이 두렵지 않아지네요.오히려 내 삶이 준비 되었구나 이리 하면 되겠구나 안심이 됩니다
9788935213405,10,누구에게나 좋은 사람이 되어야 한다는 강박을 버리고 누구보다 나를 아끼며 살아간다면 그 누구와도 안정적인 관계를 유지할 수 있다. 앞으로의 인생을 함께할 소중한 인연을 지켜내는 중년의 인간관계론을 배워보자.
9788935213405,10,나이들어감을 실감하는 오십에 대해서 말하고 있다 지혜롭게 처신하고 자신을 잘 다스리는 방법을 이 책에서 말하고 있다
9788935213405,10,오십을 맞이하며 한번쯤 읽어보면 좋을  책
9788935213405,10,"책 속에는 저자 자신이 살아 온 세월동안, 생활과 경험 속에서 얻은 마음 속에 생각들과 자신과 주변의 이야기를 독자들에게 부담없이 이야기하여 시간가는 줄 모르고 읽게 된다. 꼭 오십이라는 나이대가 아니더라도 부담없이 술술 즐겁게 읽을 수 있는 에세이다."
9788935213405,10,오십은 자기 나이로 보면 기분 나쁘고 자기 나이로 대접받지 못해도 기분 나쁜 분기점이라고 한다. 외모평준화가 일어나고 나의 외모가 무리로 구분되는 .. 그래서 가치가 더 중요한 시점일지도 보이는 나가 아닌 존재하는 나로 살아가기 시작 척대신 진짜 나로.먼저 살아본 언니가 동생에게 들려주는
9791190356039,2,일본 정서라 그런지 공감이 떨어집니다. 이런 책이 베스트인건 문제가 있는 듯
9791190356039,2,완전 실패한 책!!서평도 이렇게 적긴 처음......https://www.instagram.com/p/B9ddysdlJvy/?igshid=p15o3n5cwt1a
9791190356039,2,별로였슴.마치 인생 다 산 사람처럼 취급하니 말이야.
9791190356039,2,"여기 표지와 달리, 구입한 책 표지에는 500만이 선택한 사이토다카시의 신작 이라는 표시가 되어있었고.. 여기서 이 책이 500만(400만인가?)부가 팔린걸로 착각했는데, 정작 다시 보니.. 그 작가가 그 정도 판매하는 베스트셀러작가라는 뜻인거 같음. 내가 오해한거니까 내 잘못이긴한데.."
