ISBN13,rating,review
9788973435296,10,한동안 나름대로 블로그를 하다가 말았는데 이 책 보니까 다시 블로그 하고 싶은 마음이 들어서 주문하게 됐어요~! 코시국에 어디 갈 일도 없어서 sns는 죄다 끊고 살고 있는데 이 책읽고 블로그 다시 시작해 보려고요 ^^!
9788973435296,10,"블로그 어떻게 시작해야 할지 막막했는데, 읽다 보니 답이 좀 보이네요~!어서 끝까지 읽어보려고 합니다~ 역시 핑크팬더^^"
9788973435296,10,블로그를 한번 해볼까 했는데~ 의외로 관련 서적이 없더라구요^^친구 책 빌려보고 넘나 좋아서 방금 구매했습니다!!진솔한 작가님의 이야기가 너무 공감이 되네요~~
9788973435296,2,정말 돈 아깝다. 목차만 보세요.
9791135494598,6,IT진로를 꿈꾸는 이들을 위하기 보다는 전체적으로 어떤 진로를 고민하고 있는데 IT가 조금 관심이 간다 하시는 분들에게 추천합니다. 그중에서 첫 개발자 파트는 IT 기본지식이 없는 상태에서 읽으면 안와닿을것 같아요
9788901222660,10,"˝인건비가 비싸다˝ 는 말을 입에 달고 사는 사람들이 메신저의 가치를  이해할까? 한국인들에겐 타인의 경험과 지적 재산, 노동을 경시하는 이상한 풍조가 있다. 다행히 세대가 젊어지면서 인식이 많이 달라지고 있긴 하지만 더 개선되야 마땅하다. 메신저 성공은 그런 사회적 기반에서 가능하다."
9788901222660,10,기대보다 훨씬 큰 임팩트를 준 책. 사람들이 나에게 자주 묻는것이 바로 내가 가진 컨텐츠다!
9788901222660,6,"자기개발 서적을 쓴 사람 중에 실제로는 그런 삶을 살지 못하는 사람들이 많다. 그것이 과연 의미있나 의문인데, 이 책은 그걸 망설이지 말고 콘텐츠를 만들어서 하라고 한다. 요새 유행하는 유트브 크리에이터들이 참고하면 도움이 될 것 같다."
9791188348824,10,대세를 따라가기보다는 나만의 분야를 파고들라는 저자의 메세지가 깊이 와닿았습니다
9791188348824,10,예약 구매하며 기다리고 있어요. 좋아하고 잘하는 일로 잘 먹고 잘 살기!!
9788960513051,10,"나는 미래의 사회복지사. 마음의 준비도 하고, 경험도 얻고, 많은 자극과 동기부여가 되기 위해 구입했고 만족한 책^^"
9791163031260,10,김메주네 고양이랑 김메주 이야기 유튜브에 잘나와있다. 강추!!!!
9791163031260,6,좋은 이야기가 많이 들어있는데 편집쪽에서 약간 안 맞는 거 같아요. 따라서 만들었는데 사이즈 규격이 안 맞아서 좀..당황스럽네요. 그거 빼면 괜찮은 거 같아요.
9791163031260,10,"유튜브에 대해 더 많은 것을 알고 싶어서 시중에 나와 있는 ‘유튜브‘와 관련된 유명한 책이란 책은 모두 구입해서 읽어보았다.모든 책의 정독을 끝낸 후, 나에게 누군가가 유튜브에 대해 묻는다면.#김메주 책을 권하고 싶다."
9791163031260,10,촬영 영상편집 무료음원 저작권법등 다양한 정보가 있는 책이네요~ 유튜브를 처음 시작하시거나 또는 이미 시작하고 있으신분들도 읽어보면 좋을듯해요. 알고 시작하는것과 무작정 시작하는건 다르니까요^^ 유튜브 처음 시작할때 어려울수있는 채널꾸미기와 워터마크 만들기도있네요도움됐어요
9791163031260,10,너무갖고싶네요 받으면좋을것같아요
9791189683818,10,"책 안 만드는 사람이 읽어도 재미있는 책!처음엔 책 만드는 레시피나 훔쳐볼까 하는 마음으로 읽기 시작했는데 읽다 보니 이 책은 책 만드는데 진심인 한 인간의 고군분투기였다. 어디에서 살아남는 법, 나는 무엇 하기로 했다 류의 책과는 다른 느낌의 울림이 있는 책으로 모든 직장인들에게 이것은 '거의 나의 이야기'일 것이다. 물론 책 만드는 레시피를 살짝 훔쳐보는 재미와 저자가 언급한 책까지 궁금해지는건 기본, 어느새 그들의 2쇄, 3쇄를 응원하게될것이다."
9791196616083,2,마치 일기장을 보는 것 같다.... 얄팍한 책자만큼 얄팍한 내용으로 가득한 느낌.. 그냥 에세이로 출판하지.. 마치 실용서를 가장해서 발행된게 독자로서는 속은 느낌...
9791196616083,10,"‘판을 짜는 사람들‘이라는 말에 홀려서 산 책. 와우! 신선해, 흐믓해, (나를)칭찬해! 메모해, 따라해, 행복해!     특히 ‘취향껏 살고 싶은 사람을 위한 안내자‘ 편,   「별집 공인중개사사무소」, 아주 대단해, 존경해, 응원해!"
9791189430207,6,2020: 도비가 되기 위하여. near future: ˝STAY!!!!˝
9791189430207,10,"리뷰 잘 안남기는데 혹시나 저자분들이 보실까 감사의 의미를 담아 남깁니다. 아무도 해주지 않았고 어디서도 듣지 못했지만, 꼭 필요한 이야기입니다. 대학원생의 막연한 불안감은 덜고 나를 돌아볼 수 있었습니다. 대학원생의 바이블이라고 해도 손색이 없습니다. 책 만들어주셔서 감사합니다."
9791189430207,10,"대학원을 졸업한 뒤에 읽었는데도 큰 도움이 되었어요! 무엇보다 제목에 끌려서 보게 되었는데, 주변에 대학원 진학에 관심있는 분들께 꼭 추천하고 싶습니다!!"
9788901248318,10,그의 삶의 일부를 읽어서 좋았다. 먼저 자신을 가감없이 표현한 용기에 정말 감사하다는 말을 전하고 싶다. 크리에이터의 마음가짐에 대한 진심이 담긴 글은 다른 유튜브나 인터넷 방송에 종사하는 사람에게 귀감이 되기 충분했다. 그리고 편중된 문화권력의 분산에 노력하는 점이 대단하다고 느꼈다.
9788901248318,10,일요일에 주문했는데 월요일 오전에 배송되어 깜놀!! ^^친필 사인도 무사히 잘 들어있습니다. 감사해요!
9788901248318,10,"단순히 잘 나가는 유튜버의 성공담이 아니라 플랜B는 차선책이 아닌 새로운 가능성이자 다양성이라는 멋진 인생의 조언이자 교훈으로 꿈과 희망, 용기를 북돋아주는 책이었다."
9788901248318,10,오늘 배송됬네욥 앞부분에 도티님 싸인이있고 중간부분에 QR코드가 있어요
9788901248318,10,많은 이들이 크리에이터를 꿈꾼다. 대체 어떻게 하면 그 꿈에 이를 수 있는지 도티를 통해 알아보고 싶다.
9788901248318,10,"1인 미디어 시대, 시대가 바뀌는 시점에 대단한 커리어를 쌓은 유튜버의 이야기가 절실히 듣고 싶어진다."
9788901248318,10,성장과정을 보며 나에게 필요한 부분들을 찾고 적용해 볼 수 있는 것들이 많았다.
9788901248318,10,기술이 아니라 마음을 담는 크리에이터 도티가 말하는 크리에이터로 성공하는 법
9788901248318,10,나이는 숫자일 뿐! 배울 점이 너무 많네요~! 아들에게도 보여줘야겠어요~!
9788901248318,10,초통령 도티가 가르쳐주는 크리에이터들의 필독서 ! 현실을 즐기며 충실할 때 운명은 기적처럼 찾아온다.
9788901248318,10,울 아들둘이 홀릭되서 나도 알게된 도티.그는 계속 성장하고 있는 1인크리에이터더군요.
9788901248318,10,도티가 전하는 용기와 희망이 담긴 메세지 ..
9788901248318,2,뒷광고를 숨겼다가 문제가 되자 사과 방송을 하는데 ˝유튜브로 쉽게 돈 버니까 배 아프냐?˝고 오히려 시청자를 조롱하는 인성은 세상살이를 한참 더 겪어야 미숙했음을 깨달을 것이다.
9788901248318,10,빅 크리에이터의 성장형 일기 그리고 크리에이터에 대하여를 서술한 책.
9788901248318,10,명사의 꿈이 아닌 동사의 꿈을 꾸는 도티의 인생 플랜 B 이야기
9788901248318,10,플랜A에 좌절한 사람들에게 추천해 주고 싶은 도티의 플랜B..!!우리에겐 플랜B가 있다!!
9788901248318,10,도티는 어떻게 초통령이 되었을까? 유재석은 몰라도 도티는 아는 아이와 함게 공감하고 싶네요.
9788901248318,10,"올바른 길을 누가 정할 수 있나, 내 길의 바른 방향은 오로지 나만이 만들 수 있다. 내가 원하는 길이라면 그것이 바로 인생의 플랜A!"
9788901248318,10,무슨일이든 자신이 좋아하는 일에 몰두해보라.
