ISBN13,rating,review
9788966182411,8,좋은 내용 감사합니다.
9791162540947,10,"˝결론 근거 방법˝이라는 말하기 방식을 배운 게 가장 큰 수확이었습니다. 면접, 보고서 등에서 핵심이 잘 드러나지 않을 경우에 개선할 수 있는 여러 방법을 제시하고 있습니다."
9791162540947,10,MECE논리의 유형:병렬형과 해설형
9791162540947,8,‘로지컬 씽킹‘이 천부적 재능이 아니라는 점에 주목한다. 누구나 훈련을 거듭하면 충분히 습득할 수 있는 테크닉이라는 것이다.
9791162541555,10,예제가 풍부해 이해가 쉽고 바로 실무에 적용해도 될만큼 깔끔한 구성이 돋보이는 책이다
9791162541555,4,"한 문장으로 말하라 백자평, 한 문장으로 말하라. 끝. 에세이 라이팅의 구조와 패턴, 안 좋은 예와 고친 예시들이 지루함. 한 문장 말하기의 콘셉트에 꽂혀서 관련 책들 찾아보고 있고, 알라딘 쵸이스까지 붙어 있는데, 무슨 일이야!"
9791162541555,10,"남들에게 관심받고싶고 말을 잘하고 싶다면 지금 당신의 말에 불필요함을 걷어내어보라,"
9791162541555,10,"언어의 스나이퍼, 원킬 원샷의 내공이 빛나는 책."
9791162541555,10,한문장으로 표현하자면 한단어로 상대방에게 확실한 의사표현을 전달하고 싶어서 읽어보고 싶어서 신청하게 되었습니다
9791162541555,10,일단  겟!! 훔  한문장으로  말한다?상대방에게  한문장으로  전달한다는것  쉬운일이 아닙니다.읽어보고 보고싶어서  일단 장바구에  겟!!
9791197193507,10,와~기본 PPT 운용법만 알아도 충분히 따라할 수 있네요! 컨텐츠 제작의 신세계를 접했어요!!이전 버젼 책도 있다 들었는데 그거도 보고싶어졌어요^^
9791197193507,10,파워포인트 디자인의 달인. 까칠한 조땡님의 책은 믿고 주문합니다.
9791196626341,10,기대되는 책입니다.~
9788993635850,2,몇장 보다가 던져버림ㅠ
9788993635850,6,전형적인 일본식 처세술 책이다.특히 영업직에 있는 사람이라면 공감할 만한 이야기들로 채워져 있다.그렇지만 말하기에 대한 나름대로의 통찰력이 있어서 좋은 인사이트를 준다.
9788993635850,10,죄송합니다. 횡설수설해서. 하지만 나같은 인간도 있어야 당신같은 사람이 책을 팔아먹겠지. 저자가 일하면서 얼마나 설명 개떡같이 하는 놈들땜에 열받았으면 이 책을 썼는지 느낄 수 있었다.
9788993635850,6,대화법이라기보다는 보고나 발표에 적응하기 유용한 스킬들에 관련된 책.
9788993635850,2,"제가 제 돈주고 알라딘에서 이거 새책 구매해서 읽었으며, 개인적으로 정말 별롭니다."
9788993635850,2,비즈니스용이어서 별로 도움이 안됐음.
9788993635850,8,이대로 실천해 보면 도움 될 것 같아요. 핵심이 간단히 잘 설명돼 있어요.
9788993635850,2,개인적으로 느끼기에 이런부류의 책들은 대부분 핵심을 짚지않고 별로 도움되지않는 방법들을 자기만의 방식대로 연구해서 책으로 출간한 책들이 많은 것 같습니다. 차라리 자기 감정에 대한공부나 갈등을 잘 해소할 수있는 소통법에 대한 책을 보시는 걸 추천드립니다. 지극히 개인적인 의견이입니다.
9788993635850,10,알기쉽게 잘 설명 되있고 재밌어요 ㅎㅎ
9788993635850,4,그냥 상대방이 원하는 말을 해라...이한줄이 이책의 전체내용임...
9788993635850,10,우리가 알고있지만실천이 잘안된것들을 요약했다
9788993635850,4,"준비된 사람, 생각을 조금하고 살면 이정도는 됩니다. 허겁지겁 준비하다보면, 이 책처럼 사는 사람도 허공에 빠질 수 있죠. 고로 이건 깨달을 수 있는 자기계발이 아니라. 되새김질하는 자기계발입니다."
9788993635850,6,"여느 베스트 셀러처럼 상당히 소프트해요. 한 시간이면 읽을 수 있고, 두번 읽게 되지는 않을 것 같은 그런 책입니다. 그리고 저자가 본인의 책을 읽어봤으면 좋겠다는 생각이 드는 그런 책입니다."
9788993635850,10,실용적이라 좋아요
9788993635850,10,평소에는 말을 잘하다가도 앞에 서서 이야기하면 말더듬이가 되어 혀가 떨어지지도 않고 머리속이...하얗게되어 사회생활이 힘들었는데 그나마 저에게 도움을 주어 좋았습니다.
9788993635850,10,도움이 될거같아 샀습니다.
9788993635850,10,점점 조리있게 말하는 실력이 줄어드는 것 같은데 이 책이 도움이 많이 됩니다~^^
9788993635850,8,누구한테 설명해야 할 상황이면 먼저 긴장부터 되는 나한테는 제법 쓸만한 팁이 있었다. 책도 작고 콤팩트해서 실용적임.
9788993635850,10,설명하기 힘든 경우가 종종 있었는데 심플한 설명법 꼭 필요한 책이네요
9788993635850,10,늘 설명하는데 자신이없었던 내게 자신감을 불어넣어준 책이다
9788993635850,8,학교에서 배웠던 설명법을 직장인의 관점에서 다시 알려주는 책. 제대로 설명하는 법을 기본부터 배우기에 좋았다.
9788993635850,2,최악 의 책이다. 이제부터 일본에서 만듣 자기개발서는 더이상 사지 않겠다고 결심하게 된 책.
9788993635850,4,정직한 제목에 이끌려 읽어봤으나 내가 모르는 내용은 없었다.
