ISBN13,rating,review
9791136259240,10,우선 북 디자인이 너무 예쁩니다. 안 예쁜 책은 진짜 사기 싫거든요.^^............ 그리고 내용도 좋고요. 다시 현실로 되돌아 가며 부정적인 마음이 올라올지라도 한 번 읽을 때마다 마음이 몽글몽글해져요.
9791136259240,10,사실 책이 예쁘고 베스트셀러라고 해서 샀는데 생각한 것 이상으로 내용이 좋네요. 매일 꼬박꼬박 읽는 것을 추천드립니다! 요즘 힘들어하는 친구에게도 한 권 선물하려고요.
9791136259240,10,새해 첫 날 부터 너무도 충만한 하루하루가 되고 있습니다.
9791136259240,10,"그녀가 해온 모든 작업들을 10개 테마로 정리하고, 그녀의 책과 말들 중 에센스만 모아 담았다. 그녀의 다른 책들도 읽었지만, 매일 한페이지씩 읽을 수 있어, 오래 곁에 두고 보면서 마음에 스며들게 할 수 있어 더 좋다. 사랑하는 이들에게 선물하고 싶은 책"
9791136259240,10,잠깐 읽어봐도 뇌가 깨끗해지는 느낌이에요! 새해 사랑하는 자신을 위한 선물로 추천합니다^^
9791136259240,10,짧지만 결코 가볍지 않은 지혜를 담고 있다. 루이스 헤이 책은 거의 다 봐왔던 편이라 굳이 읽을 필요 있을까 생각도 들었지만 미리 보기를 보니 가슴에 들어오는 말들이 눈에 띈다. 역시나 이번에도  쉬운 언어로 깊은 뜻을 전하고 있다.
9791136259240,10,"하루한장 머리식힐때 읽기 좋은책, 추천합니다"
9791191280333,8,데일카네기 인간관계론과 함께 한번 읽어볼만한 책. 걱정의 늪에서 벗어나 자기 삶의 균형을 찾을 수 있기를.
9791191280333,10,걱정이 많은 분들에게 추천! 읽으면 읽을수록 나에게 도움이 되는 책! 인생 베스트셀러입니다.
9791191280333,10,걱정이 많은 사람이라면 주저하지 말고 당장 이 책을 읽길. 이 책이 당신의 삶을 바꿀 것!
9791191280333,10,"크, 역시 사람들에게 꾸준히 읽히는데는 다 이유가 있는 거였네요."
9791191280333,8,걱정을 줄이는 방법에 관한 교과서
9791191280333,10,데일카네기의 인간관계론과 자기관리론은 자기계발의 바이블이라고 하죠. 읽다보면 이유를 알 것 같아요.걱정이 많은것이 걱정이라면 추천하고싶은 책입니다~^^
9791191280333,10,"걱정과 우울에 휩싸여 있는 사람들에게 현실적으로 도움이 되는 조언들이 들어있는 책입니다. 저에겐 도움 되는 부분들이 많아서 좋았는데, 다른 분들에게도 이 책이 도움이 되었으면 좋겠네요!"
9791191280333,10,카네기가 들려주는 걱정 없이 살아가는 비밀과 행복
9791191280333,10,인간관계론을 읽어본 사람이라면 꼭 읽어야 할 필수도서입니다. 오랫동안 사랑받은 가치가 담긴 책. 두고두고 읽으며 실천해야 할 책입니다.
9791191280333,10,살면서 가장 중요한 자기 관리를 꼭 해보고 싶습니다.
9791191280333,10,데일카네기의 <인간관계론>과 쌍벽을 이루는 <자기관리론> 꼭 읽어보고 싶네요. 원어 제목이 걱정을 멈추고 살아가는 방법이라는 뜻이라 내용도 궁금합니다.
9791191280333,10,데일카네기의 책을 읽지 않고 자기개발서를 읽었다 할 수 있을까요. 기대됩니다
9791191280333,10,목차만읽어봐도 무지하게 흥분되는책. 국내에서 유일하게 1948년 초판의 10부까지 고스란히 담은 ‘오리지널’ 초판 완역본이라니 너무기대됩니다.
