ISBN13,rating,review
9788965964223,10,라포 형성 과정을 디테일하게 설명해준다. 커뮤니케이션 역시 물리의 법칙과 마음의 법칙 안에 있다는 걸 확인한다. 대화에 어려움을 겪는 이에게 꼭꼭 눌러가며 읽기를 추천드린다.
9788965964223,4,"너무 뻔하디 뻔한 이야기를 끝도없이 계속 하는책, 대화의 핵심은 듣기이다, 상대방을 이해하라, 참아라, 화내지 않는다 등 초등학교 도덕책 수준의 너무나도 당연한 이야기를 몹시 어렵게 ‘전문적인척‘ 정신없이 풀어둔 책. 읽는 순간순간 너무 당연해서 화가난다"
9788965964223,10,정말 최고입니다. 줄 치고 치고 ... 책 닳게 생겼습니다. 특히 가족과의 갈등에 적용해보면 좋을것 같고 나아가 세일즈레도 적용될 요긴한 라포르 형성 대화법을 심리학을 적용해 잘 풀어냅니다. 최근 읽은 책중 최고!!
9788965964223,10,"흥미로운 사례(범죄,회사,부부,자녀)를 통해 소개되어 있어 술술 읽힙니다. 특히 소통의 방식에 4가지 동물을 대입하여 설명해주는데 “난 어떤 동물 방식에 강하고 상대는 어떤 동물인지, 서로 어떤 형태여야 좋은 대화를 이끌어낼지” 파악할 수 있는 점이 인상 깊었습니다."
9788965964223,6,특별한 방법을 기대하고 이책을 산다면 실망할 듯.  그리고 영국과 우리나라의 관계의 맥락이 달라서 예시가 잘 와닿지 않았음.
9788972773412,10,어머니가 밤에 잠이 안온다고 제가 읽던 책을 가져가 읽고 너무 좋은 책이라면 친구들에게 여기저기 추천하더군요 제가 이제꺼 읽어왔던 자기개발서중에 최고인듯 합니다. 친구들에게 제자들에게 자녀들에게 선물하기에 좋은 책입니다. 책을 옅에 두고 하나 하나 실천해나갈려고 합니다.
9788972773412,6,"말보다는 침묵이, 침묵보다는 좋은 말이 더 좋다. 그런데 침묵보다 좋으려면 그 말이 아주 엄청나게 좋아야만 한다는 생각."
9788972773412,10,명쾌하게 말하기공식이 정리되어 있어서 좋았습니다. 여기저기 꽂아두고 읽어야 할 책입니다.
9788972773412,10,실전에 적용할수 있는 말하기 전략과 공식.  나에겐 유용합니다
9788972773412,10,일하고 사람만나는데 대화없인 이루어질수 없기에...  말하기만 잘해도 인생이 달라질수 있잖아요
9791165211387,10,특히 신입사원들은 한번쯤 읽어보면 좋은 지식이 될거 에요~~
9791165211387,10,사회초년생에게 유익한 팁이었습니다.글이 만화보듯 술술 읽힙니다.일을 하시는 분들이라면 누구나 읽어보면 좋을법한 책입니다.
9788950969325,10,두고두고 새길 법칙들이 가득하죠. 다시 읽어볼 생각입니다.
9788950969325,4,도움되는 내용이지만 뻔하기도 함
9788950969325,10,가능하면 모든 일에 대하여 잠깐이라도 생각하게 만들어 준 책. 내가 읽어본 자기개발서중 최고다 (읽은 책이 얼마 안되는 것은 함정ㅋ)
9788950969325,10,"책에서 보여주는 놀라운 실험 결과들을 통해 우리 산다는게 과연 내 의지와 판단으로 사는건가 하는 생각이 들었음.
그러나 한편으로는 영업과 마케팅하는데 활용할만한 유용한 정보들이 많은 설득 마케팅의 바이블 같은 책이라고 봅니다."
9791191056433,10,<사람은 무엇으로 움직이는가>에서 말하고자 하는 건 ‘모든 협상의 출발점은 자기 자신이다‘에 있다라고 요약할 수 있다. 이 책은 모든 협상의 순간에 적용할 수 있는 가장 직관적이고 현실적인 방법들을 소개하면서도 과감하면서도 참신하고 설득력 있는 협상 방법에 대해 소개했다.
9791191056433,8,"처음 이 책을 읽을 때 까지만 해도 육아서가 아닌 이 책이, 육아에 접목될 수 있을 거란 생각은 못했다. 아이와의 관계를 해치지 않고, 어떻게 아이의 마음을 이끌어낼 수 있는지, 꼭 필요한 그것을 깨우칠 수 있었다."
9788972773481,10,말하는 기술을 익히면 대화가 즐겁다. 변화하는 나를 기대해봅니다
9788972773481,10,매력적인 말하기 법칙 잘 활용해 봐야겠어요
9788972773481,10,언어의 매력 최고네요
9788972773481,10,많은 화술책을 읽어봤는데 내용도 깔끔하고 유용해서 좋았다 문체가 단순명료해서 술술 잘 읽힌다 갖고 다니기에 적당한 두께로 이동시간에 읽기 좋았다
9788972773481,10,내 말에 습관이 되도록 자주 읽으면 좋아요
9788972773481,10,내 말을 좀더 근사하게 만들기 위한 시간
9788972773481,10,말하기는 참 쉬우면서도 어렵다
9788972773481,10,말하기 중요성을 다시한번 공감해요
9788972773481,6,강의를 듣다보면 저 사람 정말 말 잘 하네를 가끔 한번씩 느낄때도 있다. 그러나 말로 진실을 어필하기는 매우 힘들다. 사탕 발림의 말이 표가 나기 때문이다. 너무 말을 많이 해도 상대방이 좋아 하지 않는다. 적당히 꼭 필요한 말만 하는 것이 정답 아닐까 !
9788972773481,10,끌리는 대화 호감가는 대화 좋아요
9788972773481,10,포스트 연재된 글이 너무 좋아 구매하게 됩니다. 끌리는 말투 호감가는 말투 도전!!
9788972773481,10,대화에도 기술이 필요함에 열독하고 있어요
9788972773481,10,호감가는 말투로 호감가는 사람이 되고 싶다
9788972773481,8,상황별 토크가 꽤 괜찮네요..  좋아요
9788972773481,10,호감가는 말투로 내 매력을 더욱 발산하는 한해가 되길 바라며~~
9788972773481,10,말하는것도 노력해야 함을 성인이 되니 더욱 실감하게 됩니다.
9791166570063,10,"핵심만 전달하라, 구구절절 말하는것은 상대방이 원하는 것이 아니다! 짧게 상대방이 원하는 말을 전달하라"
9791166570063,10,‘단순한 것이 아름답다‘이는 말에도 적용될 수 있다.
9791166570063,10,"상대방에게 꽂히도록, 짧게 말하는 기술을 배워보자"
9791166570063,10,"당신의 말에 강력한 힘이 생긴다는건? 당신이 나누는 모든 대화가 유익하고,  짧고 인상적인 말로 메시지를 전달함으로써 세련되어질것이다. 이 책을 통해 많은 걸 배울 수 있을꺼라고 판단된다~"
9791166570063,8,득이 되지 않는이상 당신의 긴 말에 아무도 관심이 없다. 외면당하지 않으려면 짧게 말해라.이 책이 당신을 외면당하지 않게 도와 줄 것이다.
9791166570063,10,말을 잘 전달하는 노하우를 터득할 수 있는 책이다. 구체적인 사례가 많아서 좋았던 책이다! 이 책을 통해 좋은 팁을 많이 가져갈 수 있으면 좋겠다!
9791166570063,8,누군가와 소통이 일상화 되어버린 요새 짧은 말로 자신의 경쟁력을 만들수 있을거 같아 유용하게 다가옵니다.
9791162541845,10,어떻게 품격 있게 말을 할 수 있을지 나이가 들면서 고민이 참 많은데 실천하기 쉽게 잘 정리되어 있습니다. 말때문에 고민인 분들께 추천합니다.
9791162541845,2,나도 내용 그닥..... 문화상품권이 있어서 싰는데 일본어 번역판이라 실전용으로도 쓰기 애매하고 내용도 부실하다고 생각이 듭니다.
9791162541845,6,소제목은 좋은데 내용은 그다지... 알라딘 추천 문자 떠서 샀는데....
9791162540947,10,"˝결론 근거 방법˝이라는 말하기 방식을 배운 게 가장 큰 수확이었습니다. 면접, 보고서 등에서 핵심이 잘 드러나지 않을 경우에 개선할 수 있는 여러 방법을 제시하고 있습니다."
9791162540947,10,MECE논리의 유형:병렬형과 해설형
9791162540947,8,‘로지컬 씽킹‘이 천부적 재능이 아니라는 점에 주목한다. 누구나 훈련을 거듭하면 충분히 습득할 수 있는 테크닉이라는 것이다.
9788954672733,6,말하기를 배우기. 소통하고 배려하는 말하기.
9788954672733,8,"내향적이고 고양이를 좋아하고, 말을 엄청 잘하면서도 스스로는 못한다고 생각하는 고등학생에게 김하나 작가님을 알려주었다. 롤모델로 알려줄 수 있는 작가님이 있어서 참 다행이다. 작가님의 책을 나도 처음 읽었는데(그럼 나는 어떻게 알았지?-.-;), 왠지 경건해지는 느낌이었다. :)"
9788954672733,10,책의 내용 중에서 우리 삶에 적용해볼만한 마음가짐이나 태도들을 얻을 수 있어서 좋았다.
9788954672733,10,"차분하지만 분명한 작가의 음성처럼, 잔잔하지만 또렷하게 마음에 와 박히는 문장과 에피소드들이 많아서 좋았다."
9788954672733,8,김하나 작가의 단단하면서도 세심한 글들이 좋다책읽아웃 너무 유명해서 안 들었는데 궁굼해졌음
9788954672733,6,<여자 둘이 살고 있습니다> 책을 재미있게 읽어서이 책도 재미있게 읽을 수 있을거라 생각했다생각보다는 잔잔하지만말하기에 대해생각해 볼 수 있는 책이다
9788954672733,8,누구에게나 말할 수 있는 작은 마이크가 생겨난 시대. 말하기를 말한다는 제목이 담백하다. 책 속에서 가장 좋아하는 칭찬이라고 언급된 것처럼 ‘무해하게 재미있는‘ 산문이었다.
9788954672733,8,"별다른 생각없이 해오던 “말하기”에 대해 깊이 생각해보게 만드는 책. 화법, 억양, 높낮이, 속도 등 나에게 적합한 말하기 방법을 고민하고 연습해보아야겠다. 윤리적인 말하기에 대한 부분도 계속 업데이트 해야할 것 같다."
9788954672733,2,작가가 자기 피알을 무척 잘하는 사람이구나 느꼈다. 아주 긴 자기소개서를 읽은 느낌. 양지에서 대화를 하자는 부분은 좋았다.
9788954672733,8,좋다 뒤로갈수록 내용이 더 재밌다.여성들에게: 우린 겸손할 권리가 없다그럿 것까지 굳이 말로 해야 됩니다설득은 매혹을 이기지 못한다누구에게도 상처 주지 않는 말들
9788954672733,8,"어제 뿜고 나서 생각했다. 이 책을 읽은지 24시간도 채 안 되어 뿜다니... 그래, 나는 게스트와 함께 방송을 진행하는 디제이나 유튜버가 아니라 편성표도, 대본도 없는 생방송, 엎질러진 물 속에서 허우적대는 일개 일반인이었지."
9788954672733,2,이전 책에 비해 실망스럽다. 작가의 자의식 과잉을 확인한 것 외에 기억에 남는 내용이 별로 없다. ‘나 이렇게 아는 것도 많고 재능있고 인맥 넓고 말하기연습도 빡세게 한 결과 잘나가고 있어˝로 요약된다.
9788954672733,8,"사려 깊고 다정하게 다독이던 말들이 나를 키웠다. 그런 말들로부터 얻었던 용기를 잊고 살았더랬다. 이 책을 읽으며 다시 용기를 가져본다. 나 또한 사려 깊은 말, 다정한 말, 다독이는 말로 용기를 주는 사람이 되어야겠다고."
9788954672733,10,‘하면 는다‘와 칭찬 받을 때 ‘별 것 아니에요‘ 하지 않고 ‘고맙습니다‘ 말하기. 잘 듣는 사람이 잘 말할 수 있다. 잘 듣는 사람이 되자고 다짐했다.
9788954672733,4,"분명 말하기에 대한 좋은 내용이 있다 그거빼면 다른 내용은 깊이가 얕았다. 얕은 행복, 깊지않은 고뇌, 겉핥기식의 항쟁이 보였다. 직업특성상 더 그렇겠지만 살아내기보다 그저 얘기하기 좋아하는 사람의 주저리주저리를 읽은 것 같다.그냥 나는 그렇게 느꼈음"
9788954672733,4,김하나님의 책은 구입해서 읽게된다. 근데 자신이 출연하는팟캐스트광고같은 느낌이드는건 왜일까..
9788954672733,10,"재밌다. ‘말하기‘라는 하나의 주제로 이토록 다채로운 이야기를 물 흐르듯이 자연스럽게 엮어낼 수 있다니! 말하기의 태도에 관한 서술이 참 좋았다. 이 책은 세상에 목소리를 내지 못하고 있는 사람들에게, 예의를 갖추는 한 자유롭게 말을 해도 된다고, 목소리를 내도 된다고 ‘용기‘를 북돋우고 있다"
9788954672733,8,남들이 좋다고 하여 나한테도 무조건 좋은 책이란 없다.
9788954672733,10,부드러운 간섭이란 표현이 딱. 손을 잡고 조금 이끌어주는 정도의 다정함이 참 좋았다.
9788954672733,10,책읽아웃 김하나의 측면돌파 찐팬인데 말하기를 말하기 읽어보니 왜 그 방송이 듣는사람의 마음을 편안하게 해주는지 미루어 짐작할수있다. 말이란 내용도 중요하지만 소리도 중요하다는 말 깊게 공감하며 앞으로 더 많은 응원을 보낼 작정임.
9788954672733,10,"누구나 쉽게 내뱉는 말에 대해 지금까지 이런 책이 있었던가? 소리와 리듬, 내용과 맥락, 기술과 소통, 하물며 침묵에 대해서까지 짚어준다. 말하기 팁을 얻는다는 실용적인 목적에도 부합하지만 에세이로서 그저 글을 읽는 쾌감도 탁월한 글."
9788954672733,10,말하기에 대한 작가의 깊은 고민이 느껴지는 책. 읽는 내내 작가님의 목소리로 책을 듣는 듯 했다. 일상 에세이가 아니라 말하기에 대한 이야기들이라 새로웠고 이런 주제에 대해 깊이 생각해보지 못했던 터라 의미있었다. 울다 웃다 재미까지 갖춘 에세이.
9791163430339,8,일잘러가  되고싶다면 유머로 소통의도구를 활용해보자유머는 당신의삶의 비타민이새다
9791163430339,10,인생의 목표를 다시 한 번 되돌아 보게 하는 탈무드 식 유머 / 교훈을 주는 유머
9791163430339,8,생각거리와 교훈을 함께 주는 유대인 유머 특유의 블랙 코미디
9791163430339,10,"거실, 침실, 욕실 어디건 가까운 곳에 두고 한 편 한 편 음미할 가볍고도 유쾌한 지혜"
9791163430339,10,지혜의 보고인 탈무드에서 찾아낸 재치와 유머. 좋은 교훈이 반드시 어렵고 딱딱할 이유가 없음을 보여준다.
9791163430339,10,"유머러스함과 위트, 지혜까지 모두 한번에 담긴 책. 말을 하려면 유대인처럼 하고 싶네요"
9791163430339,8,유대인의 재치와 지혜를 엿볼 수 있는 있는 책
9791163430339,8,박장대소는 아니지만 한 번쯤 생각하고 웃는 유대인의 유머
9791162541746,10,설득에 있어 공감이 중요하다는 이야기를 몇 가지 사례들을 통해 흥미롭게 접할 수 있었습니다. 설득해서 내가 원하는 바를 얻으려면 상대방을 공감하는 게 시작이군요. 유익한 책 감사합니다.
9791162541746,8,보고 싶은 대로만 보고 듣고 싶은 대로만 듣는 사람들이 많다. 나도 그럴 거라 생각한다. 온라인 서점 소개글을 보고 일단 덥석 샀다. 내가 고민하던 지점을 풀어주지 않을까 기대된다!!
9791162541746,10,팩트체크라는 말이 이제는 일상처럼 쓰이는 말이다. 그럼 팩트는 모두 사람들에게 공감이 되는걸까???
9791162541746,10,"남편이 읽고 싶다고 해서 제 책이랑 같이 샀는데, 앞 부분만 잠깐 읽으려고 했다가 절반 가까이 읽었어요직장에서도 그렇고 시댁 가는 일, 아이 숙제시키는 일.. 설득하지 않을 일이 없다는 말이 맞네요. 결국 남이 듣기에 매력적인 설득이 뭔지 아는 게 핵심!!"
9791162541746,10,공감을 통해 사람의 마음을 움직이는 것부터 마케팅에서 유용하게 쓸만한 스킬까지 총망라되어있는 간만에 재미읽게 읽은 책
9791162541746,4,아주 오랜만에 책을 잘못 골랐네요.응용심리학이나 뇌과학쪽인줄 알았어요.개인적으로 비추입니다. ㅎㅎ
