ISBN13,rating,review
9791166114663,10,"역시 명불허전입니다! 드라마 시디가 나왔었다니, 부럽네요!"
9791166114663,10,이번 에피소드들도 정말 재밌었습니다 하지만 다시 9권부터는 정발이 느려질거라 하는것은 많이 아쉽네요ㅠㅠ
9791166114663,10,애니화후로 빨리 나오니까 좋네요.
9791166256851,10,그뎌 나왔군 바로 구매!
9791166256851,10,다음권에서 드디어 렘이....ㅠㅠㅠ
9791127858773,10,아 ㅋㅋ 아이나나 히로는 못참지 바로 구매해버리기 ㅋㅋㅋ
9791127858827,10,3권이 나와서 구매했습니다! 기대되네요
9791166114564,10,읽진 않았지만 야점 드리겠습니다
9791166256875,10,재미있습니다
9791166256875,10,드디어 나왔네요! 바로 구매했습니다 ^^
9791166256875,8,잘받았고 잘 읽을게여.
9791166256875,10,기대하던 작품이 나와서 바로 구매했습니다.!
9791166256875,10,"기숙사 들어가기 전 마지막 지름슬슬 탈덕 느낌이라 신간은 구매 안 할 생각이지만, 1년 전부터 기대하던 작품인지라 이 작품까지만 구매함"
9791166114113,10,볼때마다 판이 커지네요... 그래도 한 명 더 추가 되는건가.?!
9791166114113,10,1~2권도 재밌었지만 3권은 앞권에서 차곡차곡 쌓아올린걸 한번 터뜨려주는 구성이라서인지 밀도가 다른느낌입니다. 말해뭐하겠어요. 이번권도 재밌습니다. 정발이 제발 쭉쭉 나오길.
9791136264053,10,재미있어요
9791136264053,10,1권부터 모으고 싶은데 품절된 것들 다시 발매해주시면 안되나요?
9791136264053,2,작년 ㅈ레이어즈 원툴 이번년도 그림갈 원툴이냐? nt망하자 그냥
9791136264053,10,한달만에나오네 ㄷㄷ
9791136264053,10,아닛... 이렇게 잘 나올 줄 알았으면 계속 보는거였는데.. ㅠㅠㅠ
9791127858575,10,보자마자 바로 예약 했습니다
9791190866941,10,정말 오랫동안 기다렸습니다.뭐랄까 이 소설은 다른 흔한 이세계 전입물이나 환생물들과는 다르게 너무 스토리가 가볍지도 또 무겁지도 않은 딱 적당한 정도를 유지하고 있어서 좋습니다.정치적 상황극이나 모험물의 경향도 좋고 등장인물들이 개성적이고 공기화 대지 않아서 정말 좋은 소설입니다.!
9791190866941,10,와 진짜 주 5일 하루에 한 페이지씩 번역하나...
9791166113260,10,범생이 같은 모습의 벨에 웃었어요~ ㅎㅎ
9791166113260,8,뭐랄까 요번권은 다음권이 정말 기대되고 궁금한 권이었습니다.어쩌면 최종보스라고 할만한 존재의 등장이라고나 할까 조금은 마음 아픈듯할 내용이랄까 다음 내용이 어떻게 진행되는지에 따라 역대급 스토리 전개가 될지도 모르겠습니다.정말 재미있는 작품이라 다른 분들에게도 추천해 드리고십네요.
9791166113260,10,둘이 무슨 연관이 있다는 건 조금 눈치채고 있었지만... 진짜 같았다니! 그리고 다음권에 완결을 예고해도 마치 놀라지 않을 것 같은... 파란이 예상되네요! 더 계속 되었으면.
9791166113260,10,빨리나와서 넘 좋네요옆동네 어마금은 존나 느리게 나오고 오역도 많은데..ㅋㅋ
9791166113260,10,구매! 기달렸다!
9791166114236,10,여전히 시간가는 줄 모르겠네요!
9791166114236,10,그림이 코게챠라 삽니다....
9791136255662,10,로우 과거편 매우 재밌어요! 구매하자마자 바로 다 읽었습니다~
9791136255662,10,사랑은 위대합니다!
9791166255526,10,코믹스 알람은 오던데 이건 왜 안왔지...?일단 구매
9791127857387,10,완변한 결말 애니화 기대
9791127857387,10,"이멋세 완결!! 고생하셨습니다! 그래도 아직 많은 외전이 남아있어서.. 조금은 이 아쉬움을 달래 줄 수 있을거 같아요. 카레기, 카오물, 아니 카즈마 고생했다 ㅋ"
9791127857387,10,데어라도 완결 나고 다 완결이네..아쉽다 ㅠㅠㅠ
9791127857387,10,아 드디어 완결이군요씁쓸하네
9791127857387,10,슬프다
9791127857387,10,흐엥 ㅠㅠ 완결이라니 슬프당..
9791127857387,10,완결권!
9791134856816,10,드디어.. 감사합니다!
9791165078515,4,"지금 까지는 캐릭터간의 우위 관계를 스토리 내에서 표현하려는 노력이라도 있었지만, 전력 비교를 본격적으로 숫자놀음으로 때우는 모습이 이번 권부터 보인다.내용전반이 좀 거슬릴 정도로 편의주의적으로 흘러가는 부분도 단점이다.전자책 값은 두배가 되가는데 어째 내용은 연재본이 나은 듯."
9791165078515,10,"이번권은 잠시 다음 챕터로 넘어가기 전 쉬어가는 느낌으로, 시엘 선생님의 만행(?)을 정리해보는 시간이었던 것 같네요 ㅋ 다음권에 대한 궁금증은 더 커졌습니다! 빨리 다음권!!"
9791190866934,10,여주인공 장르 장편소설중에서는 거의 유일하게 구매하는 작품입니다.저는 어지간한 호평작이 아니면 여주인공물은 절대로 구매하지 않는데 이 작품은 그 흔지않는 작품중 하나입니다.라노벨의 중요한 요소중 하나인 일러스트부터 가장 중요한 소설 내용까지 어느곳 하나 빠지지 않는 좋은 작품입니다.
9791190866934,8,해체쇼...ㅎㅎ. 로제마인은 분명 평민 출신이고 피로 연결되지 않았는데도 잘 살펴보면 어딘가 비슷한 이들이 하나씩 등장해서 비교하는 묘한 재미를 준다.
9791127858476,10,껄껄껄 예약구매했는데 설지나서 월요일에 오는데월요일 지방으로 출장가서 못보네 슬프다
9791127858223,10,와우... 당장 예구
9791134866051,10,"본지에서 노먼이 출하되기 전에 탈출 방법을 편지로 남기면서 추억을 회상하는 감동적인 이야기로, 에피소드마다 소소한 미스터리가 있어요. 엠마 노먼 레이 행복해야 해...(새 이름은 네르가 아니라 렌으로 지을 수도 있었던 거 아닌가! 레이가 먼저 발견했는데?!ㅋㅋ)"
9791134866051,10,약네랜은 뜰때마다 지르는데ㅠㅠㅠㅠ노먼의 출하당시 편지라니....그때감정을 느낄수있게되서 너무좋아요ㅠㅠㅠㅠㅠ오면 소중히볼꺼같습니다..ㅠㅠ
9791134866051,10,정발 뜨자마자 바로 주문했어요ㅠㅠ 예전에 출판사 측에서 정발 안 할거라고 했는데 역시 존버는 승리하는군요 ㅠㅠ 내일 수령 예정이라는데 너무너무 기대됩니다ㅠㅠ 노먼 사랑해!!
